,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
539,Mattia Zaccagni,it ITA,MFFW,Hellas Verona,22,1995,1.7,0,3,1,33.3,1.78,0.59,0.00,0.00,13.1,0,0,0,0.5,0.5,0.18,-0.5,-0.5,Matches,d85c238b
540,Francesco Zampano,it ITA,DF,Udinese,23,1993,4.6,0,2,0,0.0,0.44,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,8e45910b
541,Niccolò Zanellato,it ITA,MF,Crotone,19,1998,0.8,0,2,0,0.0,2.40,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,741e058f
542,Cristián Zapata,co COL,DF,Milan,30,1986,11.0,0,4,1,25.0,0.36,0.09,0.00,0.00,10.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,b1deecf8
543,Duván Zapata,co COL,FW,Sampdoria,26,1991,23.4,11,57,22,38.6,2.43,0.94,0.19,0.50,13.5,0,0,0,9.7,9.7,0.17,+1.3,+1.3,Matches,d3de9af0
544,Davide Zappacosta,it ITA,DFFW,Torino,25,1992,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7fe90ccd
545,Rafik Zekhnini,no NOR,FW,Fiorentina,19,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1b62a7df
546,Piotr Zieliński,pl POL,MFFW,Napoli,23,1994,18.5,4,39,15,38.5,2.11,0.81,0.10,0.27,22.5,0,0,0,2.5,2.5,0.06,+1.5,+1.5,Matches,a5296e55
547,Bruno Zuculini,ar ARG,MF,Hellas Verona,24,1993,13.5,2,7,2,28.6,0.52,0.15,0.29,1.00,16.3,0,0,0,1.1,1.1,0.16,+0.9,+0.9,Matches,17cddb4d
548,Franco Zuculini,ar ARG,MFFW,Hellas Verona,26,1990,3.7,0,4,2,50.0,1.09,0.55,0.00,0.00,24.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,9c31bb89
549,Ervin Zukanović,ba BIH,DF,Genoa,30,1987,31.9,0,23,3,13.0,0.72,0.09,0.00,0.00,14.8,2,0,0,1.7,1.7,0.07,-1.7,-1.7,Matches,1253a12e
550,Filip Đuričić,rs SRB,MFFW,Benevento,25,1992,10.8,0,15,7,46.7,1.39,0.65,0.00,0.00,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches,eccbe56a
551,Filip Đuričić,rs SRB,MF,Sampdoria,25,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eccbe56a
552,Christian Rutjens,,,Benevento,,,0.0,0,,0,,,0.00,,,,,0,0,,,,,,Matches,Christian-Rutjens
