,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
465,Patrik Schick,cz CZE,FWMF,Roma,21,1996,11.0,2,27,11,40.7,2.45,1.00,0.07,0.18,12.2,0,0,0,3.1,3.1,0.12,-1.1,-1.1,Matches,5d4f7d61
466,Simone Scuffet,it ITA,GK,Udinese,21,1996,6.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,41bd99ea
467,Stefano Sensi,it ITA,MF,Sassuolo,21,1995,11.6,2,21,5,23.8,1.82,0.43,0.10,0.40,24.8,3,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches,b70bde8f
468,Luigi Sepe,it ITA,GK,Napoli,26,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,343f753a
469,Lee Seung-woo,kr KOR,MFFW,Hellas Verona,19,1998,4.0,1,11,3,27.3,2.77,0.75,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,0f22b650
470,Stephan El Shaarawy,it ITA,FW,Roma,24,1992,23.9,7,73,23,31.5,3.05,0.96,0.10,0.30,16.3,0,0,0,8.9,8.9,0.12,-1.9,-1.9,Matches,d3aaad90
471,André Silva,pt POR,FW,Milan,21,1995,10.4,2,35,10,28.6,3.35,0.96,0.06,0.20,12.8,0,0,0,3.8,3.8,0.11,-1.8,-1.8,Matches,3effaa34
472,Jonathan Silva,ar ARG,DF,Roma,23,1994,1.2,0,1,1,100.0,0.80,0.80,0.00,0.00,23.3,1,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,f2308b33
473,Matías Silvestre,ar ARG,DF,Sampdoria,32,1984,34.0,1,17,5,29.4,0.50,0.15,0.06,0.20,11.6,0,0,0,2.1,2.1,0.12,-1.1,-1.1,Matches,b6ca47a2
474,Marco Silvestri,it ITA,GK,Hellas Verona,26,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d422df7
475,Giovanni Simeone,ar ARG,FW,Fiorentina,22,1995,33.3,14,107,37,34.6,3.21,1.11,0.13,0.38,15.1,0,0,0,14.3,14.3,0.13,-0.3,-0.3,Matches,343c0d52
476,Lorenco Šimić,hr CRO,DF,SPAL,21,1996,3.5,1,2,1,50.0,0.57,0.28,0.50,1.00,12.0,0,0,0,0.1,0.1,0.07,+0.9,+0.9,Matches,65e4dede
477,Stefan Simić,cz CZE,DF,Crotone,22,1995,6.2,0,2,1,50.0,0.32,0.16,0.00,0.00,10.2,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,b5365398
478,Salvatore Sirigu,it ITA,GK,Torino,30,1987,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,10dc46f0
