,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
166,Gregory van der Wiel,nl NED,DF,Cagliari,29,1988,3.2,5,3,4,1,0,3,5,60.0,2,1,0,1,10,15,12,0,Matches,2fb3ad46
167,Daniele Dessena,it ITA,MFDF,Cagliari,30,1987,6.4,18,10,12,5,1,6,12,50.0,6,7,1,6,6,24,17,0,Matches,02b2937c
168,Mattia Destro,it ITA,FW,Bologna,26,1991,18.0,15,13,4,9,2,3,11,27.3,8,10,1,9,5,20,26,0,Matches,d7d32194
169,Gianluca Di Chiara,it ITA,DF,Benevento,23,1993,11.2,26,19,18,6,2,7,21,33.3,14,10,3,7,11,37,37,1,Matches,68852c0a
170,Federico Di Francesco,it ITA,FWDF,Bologna,23,1994,17.7,26,13,14,8,4,5,20,25.0,15,24,2,22,16,42,25,0,Matches,1fca9171
171,Davide Di Gennaro,it ITA,MF,Lazio,29,1988,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,951a4ee4
172,Cheick Diabaté,ml MLI,FW,Benevento,29,1988,7.4,1,1,0,1,0,1,3,33.3,2,2,0,2,0,1,6,0,Matches,95cfe655
173,Moussa Diaby,fr FRA,MF,Crotone,18,1999,0.8,1,0,1,0,0,1,4,25.0,3,1,0,1,1,2,0,0,Matches,aeed5c06
174,Amadou Diawara,gn GUI,MF,Napoli,20,1997,7.3,11,9,3,7,1,1,7,14.3,6,12,2,10,9,20,5,0,Matches,bf309d24
175,Berat Djimsiti,al ALB,DF,Benevento,24,1993,30.0,32,17,28,4,0,12,30,40.0,18,37,23,14,62,94,178,1,Matches,6eee05f1
176,Gianluigi Donnarumma,it ITA,GK,Milan,18,1999,38.0,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,13,8,Matches,08f5afaa
177,Godfred Donsah,gh GHA,MF,Bologna,21,1996,19.9,29,20,11,14,4,10,17,58.8,7,25,0,25,22,51,43,0,Matches,384dd218
178,Bartłomiej Drągowski,pl POL,GK,Fiorentina,19,1997,2.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches,085e71a7
179,Boukary Dramé,sn SEN,DFMF,SPAL,32,1985,1.1,1,1,1,0,0,0,0,,0,0,0,0,2,3,4,0,Matches,a5cd894b
180,Alfred Duncan,gh GHA,MF,Sassuolo,24,1993,21.6,39,29,16,18,5,15,52,28.8,37,32,2,30,19,58,29,1,Matches,528492ea
181,Noë Dussenne,be BEL,FW,Crotone,25,1992,0.9,2,0,2,0,0,0,0,,0,0,0,0,1,3,8,0,Matches,8b9b8e43
182,Paulo Dybala,ar ARG,MFFW,Juventus,23,1993,26.1,19,11,4,10,5,4,32,12.5,28,22,0,22,12,31,4,0,Matches,e0921a4f
183,Edin Džeko,ba BIH,FW,Roma,31,1986,33.5,15,10,1,9,5,3,15,20.0,12,9,1,8,4,19,36,0,Matches,3bb7f478
184,Blerim Džemaili,ch SUI,MFFW,Bologna,31,1986,13.3,27,19,11,15,1,9,27,33.3,18,15,4,11,18,45,11,0,Matches,756959aa
185,Éder,it ITA,FWMF,Inter,30,1986,8.9,10,7,2,4,4,0,10,0.0,10,6,1,5,5,15,4,0,Matches,5a325298
186,Simone Edera,it ITA,FWMF,Torino,20,1997,3.6,6,2,2,4,0,3,10,30.0,7,0,0,0,2,8,1,0,Matches,8697c095
187,Valentin Eysseric,fr FRA,FWMF,Fiorentina,25,1992,7.8,17,13,7,4,6,6,20,30.0,14,10,2,8,6,23,6,0,Matches,ae82fa48
188,Diego Falcinelli,it ITA,FW,Fiorentina,26,1991,4.9,1,1,1,0,0,0,5,0.0,5,5,1,4,1,2,4,0,Matches,a39b9ef6
189,Diego Falcinelli,it ITA,FW,Sassuolo,26,1991,14.6,4,4,1,2,1,1,13,7.7,12,12,2,10,2,6,9,0,Matches,a39b9ef6
190,Cesar Falletti,uy URU,MFFW,Bologna,24,1992,3.6,11,7,4,6,1,4,8,50.0,4,10,0,10,0,11,5,0,Matches,00823e9a
191,Iago Falque,es ESP,FWMF,Torino,27,1990,31.3,41,31,15,20,6,6,43,14.0,37,22,0,22,15,56,15,0,Matches,440c84ed
192,Paolo Faragò,it ITA,DF,Cagliari,24,1993,27.3,92,67,53,24,15,24,60,40.0,36,41,5,36,23,115,76,0,Matches,9085dd7c
193,Davide Faraoni,it ITA,DFMF,Crotone,25,1991,19.5,62,39,36,20,6,28,47,59.6,19,30,8,22,58,120,76,0,Matches,aae9d04a
194,Mohamed Fares,dz ALG,DFMF,Hellas Verona,21,1996,28.9,50,33,29,17,4,16,42,38.1,26,24,5,19,50,100,132,2,Matches,b7a5bc86
195,Diego Farias,br BRA,FWMF,Cagliari,27,1990,17.9,21,15,3,9,9,6,24,25.0,18,17,0,17,8,29,6,0,Matches,157d29b6
196,Federico Fazio,ar ARG,DF,Roma,30,1987,32.5,56,43,38,18,0,25,31,80.6,6,30,22,8,46,102,161,3,Matches,4e358a2d
197,Luiz Felipe,it ITA,DF,Lazio,20,1997,13.0,40,28,24,16,0,15,25,60.0,10,26,14,12,18,58,50,1,Matches,15d0c248
198,Alex Ferrari,it ITA,DF,Hellas Verona,23,1994,23.7,73,54,42,23,8,36,67,53.7,31,41,15,26,47,120,117,4,Matches,d0dbca9f
199,Gian Filippo Felicioli,it ITA,MFDF,Hellas Verona,19,1997,3.1,13,8,5,5,3,0,4,0.0,4,0,0,0,5,18,6,0,Matches,ff219f73
200,Sergio Floccari,it ITA,FW,SPAL,35,1981,9.8,13,9,7,5,1,6,11,54.5,5,6,1,5,2,15,6,0,Matches,df301450
201,Alessandro Florenzi,it ITA,DF,Roma,26,1991,26.5,38,28,20,13,5,18,47,38.3,29,19,8,11,44,82,62,1,Matches,e288d4b3
202,Seko Fofana,ci CIV,MF,Udinese,22,1995,20.8,20,17,8,12,0,4,20,20.0,16,17,3,14,27,47,26,1,Matches,5313ed43
203,Marco Fossati,it ITA,MF,Hellas Verona,24,1992,12.2,27,13,11,14,2,11,33,33.3,22,19,6,13,23,50,31,1,Matches,39bec070
204,Remo Freuler,ch SUI,MF,Atalanta,25,1992,33.4,89,62,35,41,13,27,82,32.9,55,46,13,33,28,117,37,2,Matches,98d2c2c4
205,Roberto Gagliardini,it ITA,MF,Inter,23,1994,22.1,63,45,28,29,6,20,54,37.0,34,18,3,15,45,108,32,2,Matches,ce30bfc8
206,Andrey Galabinov,bg BUL,FW,Genoa,28,1988,12.5,7,5,0,5,2,0,5,0.0,5,17,1,16,2,9,11,0,Matches,0a1efd3c
207,Alessandro Gamberini,it ITA,DF,Chievo,35,1981,20.2,13,8,11,2,0,8,12,66.7,4,32,25,7,16,29,117,1,Matches,8ec95452
208,Luca Garritano,it ITA,MFFW,Chievo,23,1994,2.1,4,3,2,1,1,0,4,0.0,4,3,1,2,1,5,6,0,Matches,1ceeae3e
209,Bruno Gaspar,ao ANG,DF,Fiorentina,24,1993,8.7,20,11,13,6,1,9,15,60.0,6,8,1,7,9,29,25,0,Matches,55ae91f0
210,Gianluca Gaudino,de GER,MF,Chievo,20,1996,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches,0d72fbca
211,Marcello Gazzola,it ITA,DF,Sassuolo,32,1985,8.2,10,9,3,6,1,8,12,66.7,4,10,2,8,8,18,25,0,Matches,93390969
212,Santiago Gentiletti,ar ARG,DF,Genoa,32,1985,3.2,4,3,4,0,0,1,6,16.7,5,1,0,1,3,7,11,1,Matches,4ac07e1b
213,Gerson,br BRA,MFFW,Roma,20,1997,10.1,20,12,10,8,2,2,7,28.6,5,15,2,13,11,31,11,1,Matches,8827bf46
214,Faouzi Ghoulam,dz ALG,DF,Napoli,26,1991,10.9,8,4,3,5,0,4,6,66.7,2,10,2,8,15,23,19,0,Matches,c5adc293
215,Emanuele Giaccherini,it ITA,MFFW,Chievo,32,1985,10.0,7,4,4,2,1,5,25,20.0,20,9,3,6,5,12,6,0,Matches,1c50f354
216,Emanuele Giaccherini,it ITA,FWMF,Napoli,32,1985,0.7,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches,1c50f354
217,Niccolò Giannetti,it ITA,FWDF,Cagliari,26,1991,3.3,5,4,2,3,0,2,6,33.3,4,1,0,1,1,6,3,0,Matches,d9e750e5
218,Massimo Gobbi,it ITA,DF,Chievo,36,1980,22.8,24,18,13,9,2,11,26,42.3,15,20,5,15,22,46,90,1,Matches,635b0bae
219,Edoardo Goldaniga,it ITA,DF,Sassuolo,23,1993,12.8,14,8,10,4,0,5,9,55.6,4,10,5,5,19,33,56,0,Matches,4b029b31
220,Pierluigi Gollini,it ITA,GK,Atalanta,22,1995,6.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,f0f7f62f
221,Papu Gómez,ar ARG,MFFW,Atalanta,29,1988,30.6,14,9,6,5,3,5,26,19.2,21,16,1,15,22,36,7,0,Matches,6e4df551
222,Alfred Gomis,sn SEN,GK,SPAL,23,1993,25.1,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,10,3,Matches,cecbce23
223,Maxime Gonalons,fr FRA,MF,Roma,28,1989,12.2,26,18,7,12,7,9,23,39.1,14,15,4,11,23,49,19,1,Matches,b8c1de25
224,Giancarlo González,cr CRC,DF,Bologna,29,1988,20.6,20,15,14,5,1,9,13,69.2,4,26,18,8,33,53,152,1,Matches,117beb8f
225,Robin Gosens,de GER,DF,Atalanta,23,1994,16.1,61,46,35,22,4,27,46,58.7,19,17,2,15,22,83,40,0,Matches,2d970560
226,Alberto Grassi,it ITA,MF,SPAL,22,1995,25.0,44,33,22,12,10,16,35,45.7,19,27,8,19,47,91,55,0,Matches,6cc97b6a
227,Andrew Gravillon,gp GLP,DF,Benevento,19,1998,0.9,2,1,2,0,0,0,1,0.0,1,1,1,0,3,5,10,0,Matches,49136c42
228,Guilherme,br BRA,MFFW,Benevento,26,1991,10.5,20,11,7,7,6,3,19,15.8,16,14,1,13,8,28,4,0,Matches,9e61c019
229,Samuel Gustafson,se SWE,MFFW,Torino,22,1995,0.9,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0,Matches,b1e61f23
230,Bright Gyamfi,gh GHA,DF,Benevento,21,1996,3.6,2,2,1,1,0,1,2,50.0,1,3,1,2,7,9,8,0,Matches,251d982a
231,Nicolas Haas,ch SUI,MF,Atalanta,21,1996,1.9,1,1,1,0,0,0,2,0.0,2,1,1,0,1,2,4,1,Matches,fa449bba
232,Emil Hallfreðsson,is ISL,MF,Udinese,33,1984,8.5,19,14,9,7,3,7,24,29.2,17,13,2,11,20,39,16,0,Matches,86015b20
233,Marek Hamšík,sk SVK,MF,Napoli,30,1987,26.3,36,22,10,15,11,15,37,40.5,22,35,2,33,14,50,16,0,Matches,e6ad16b2
234,Samir Handanović,si SVN,GK,Inter,33,1984,38.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,7,1,Matches,74419746
235,Hans Hateboer,nl NED,DF,Atalanta,23,1994,26.6,31,25,13,13,5,15,26,57.7,11,32,5,27,30,61,46,1,Matches,3b333ac3
236,Filip Helander,se SWE,DF,Bologna,24,1993,27.8,48,32,33,15,0,15,29,51.7,14,47,25,22,37,85,160,2,Matches,27f0ddef
237,Dalbert Henrique,br BRA,DF,Inter,23,1993,5.9,15,10,11,3,1,7,13,53.8,6,7,4,3,13,28,19,0,Matches,f45f9427
238,Përparim Hetemaj,fi FIN,MF,Chievo,30,1986,26.8,74,48,34,25,15,29,78,37.2,49,39,6,33,39,113,47,1,Matches,90b70194
239,Thomas Heurtaux,fr FRA,DF,Hellas Verona,29,1988,15.5,14,11,12,2,0,4,8,50.0,4,25,16,9,37,51,97,1,Matches,32d1c24f
240,Gonzalo Higuaín,ar ARG,FW,Juventus,29,1987,31.3,19,17,3,7,9,2,19,10.5,17,19,4,15,7,26,20,0,Matches,8a08491a
241,Oscar Hiljemark,se SWE,MF,Genoa,25,1992,14.2,12,8,2,8,2,3,24,12.5,21,14,4,10,9,21,12,0,Matches,98e958af
242,Benedikt Höwedes,de GER,DF,Juventus,29,1988,2.7,1,1,1,0,0,0,0,,0,0,0,0,8,9,10,1,Matches,d5c04323
243,Vitor Hugo,br BRA,DF,Fiorentina,26,1991,13.4,32,21,26,6,0,10,17,58.8,7,10,6,4,43,75,92,0,Matches,f2c1300a
244,Elseid Hysaj,al ALB,DF,Napoli,23,1994,34.7,64,45,28,30,6,32,56,57.1,24,35,4,31,43,107,68,4,Matches,2f3452eb
245,Mauro Icardi,ar ARG,FW,Inter,24,1993,32.9,3,2,1,2,0,1,8,12.5,7,14,6,8,5,8,23,1,Matches,43b78598
246,Pietro Iemmello,it ITA,FW,Benevento,25,1992,9.8,2,2,1,1,0,2,8,25.0,6,4,0,4,1,3,11,2,Matches,0861b8d6
247,Josip Iličić,si SVN,MFFW,Atalanta,29,1988,22.2,24,19,5,13,6,8,29,27.6,21,19,0,19,16,40,2,0,Matches,68252d6d
248,Ciro Immobile,it ITA,FW,Lazio,27,1990,29.8,4,2,0,3,1,0,17,0.0,17,14,1,13,0,4,9,0,Matches,4431aed2
249,Svante Ingelsson,se SWE,MF,Udinese,19,1998,3.6,9,6,3,3,3,2,10,20.0,8,4,0,4,6,15,4,0,Matches,4133cfcf
250,Roberto Inglese,it ITA,FW,Chievo,25,1991,30.9,31,21,13,9,9,7,30,23.3,23,21,2,19,8,39,17,1,Matches,6c1f7328
251,Lorenzo Insigne,it ITA,FW,Napoli,26,1991,34.3,29,17,11,13,5,13,33,39.4,20,20,0,20,17,46,4,0,Matches,2f557579
252,Artur Ioniță,md MDA,MF,Cagliari,26,1990,29.7,63,45,30,24,9,17,38,44.7,21,39,7,32,28,91,29,0,Matches,cedb3e36
253,Armando Izzo,it ITA,DF,Genoa,25,1992,15.4,30,23,14,10,6,12,18,66.7,6,15,6,9,34,64,70,0,Matches,89976232
254,Jakub Jankto,cz CZE,MFFW,Udinese,21,1996,29.5,29,18,9,14,6,10,46,21.7,36,46,8,38,20,49,27,0,Matches,1ea5f91c
255,Paweł Jaroszyński,pl POL,DF,Chievo,22,1994,9.0,20,12,14,5,1,9,18,50.0,9,11,4,7,21,41,40,1,Matches,958a601f
256,Juan Jesus,br BRA,DF,Roma,26,1991,18.4,42,30,25,15,2,18,34,52.9,16,18,9,9,39,81,63,0,Matches,79083382
257,Jorginho,it ITA,MF,Napoli,25,1991,29.4,62,46,14,39,9,15,68,22.1,53,32,3,29,50,112,12,2,Matches,45db685d
258,Mariano Julio Izco,ar ARG,MF,Crotone,34,1983,2.0,6,4,2,4,0,2,4,50.0,2,2,0,2,4,10,1,0,Matches,0d2bdb4b
259,Nikola Kalinić,hr CRO,FW,Milan,29,1988,20.1,6,5,1,4,1,0,8,0.0,8,4,1,3,3,9,12,0,Matches,d4931a5a
260,Mamadou Kanouté,sn SEN,FWMF,Benevento,23,1993,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches,3d5ed93d
261,Yann Karamoh,fr FRA,FWMF,Inter,19,1998,5.4,3,1,1,1,1,0,3,0.0,3,4,0,4,4,7,1,1,Matches,8b66d9cc
262,Rick Karsdorp,nl NED,DF,Roma,22,1995,0.9,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches,9f84febe
263,Moise Kean,it ITA,FW,Hellas Verona,17,2000,12.6,8,5,1,3,4,1,6,16.7,5,6,0,6,7,15,4,0,Matches,3d50bcdb
264,Cheick Keita,ml MLI,DF,Bologna,21,1996,1.4,2,2,1,1,0,1,3,33.3,2,5,0,5,2,4,1,0,Matches,82f32d55
265,Franck Kessié,ci CIV,MF,Milan,20,1996,36.3,48,34,20,19,9,17,44,38.6,27,47,11,36,26,74,45,3,Matches,05e19d6a
266,Sami Khedira,de GER,MF,Juventus,30,1987,21.2,14,9,1,9,4,2,23,8.7,21,13,3,10,20,34,20,0,Matches,38ac43d3
267,Aleksandar Kolarov,rs SRB,DF,Roma,31,1985,34.0,58,47,34,16,8,27,49,55.1,22,24,7,17,53,111,100,2,Matches,eda40760
268,Kalidou Koulibaly,sn SEN,DF,Napoli,26,1991,34.1,54,42,31,19,4,20,40,50.0,20,36,16,20,40,94,119,3,Matches,da974c7b
269,Dawid Kownacki,pl POL,FW,Sampdoria,20,1997,9.1,8,7,1,4,3,3,11,27.3,8,7,0,7,1,9,5,0,Matches,be5e1c4c
270,Emil Krafth,se SWE,DF,Bologna,22,1994,10.5,23,16,14,8,1,10,19,52.6,9,12,4,8,16,39,39,1,Matches,77cf6852
271,Oliver Kragl,de GER,MF,Crotone,27,1990,1.1,1,0,0,1,0,0,0,,0,1,0,1,2,3,2,0,Matches,1c17dfe0
272,Ladislav Krejčí,cz CZE,MFFW,Bologna,25,1992,4.4,7,5,1,3,3,1,5,20.0,4,3,0,3,2,9,3,0,Matches,58027adc
273,Jasmin Kurtić,si SVN,MFFW,SPAL,28,1989,16.0,28,18,13,11,4,5,21,23.8,16,13,1,12,17,45,25,0,Matches,144607cc
274,Jasmin Kurtić,si SVN,MF,Atalanta,28,1989,7.4,12,7,6,3,3,3,7,42.9,4,7,0,7,5,17,4,0,Matches,144607cc
275,Han Kwang-song,kp PRK,FW,Cagliari,18,1998,3.1,1,1,0,0,1,0,4,0.0,4,4,0,4,0,1,0,0,Matches,87243064
276,Eugenio Lamanna,it ITA,GK,Genoa,27,1989,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,349601c3
277,Gianluca Lapadula,pe PER,FW,Genoa,27,1990,16.6,8,5,4,4,0,1,11,9.1,10,7,1,6,3,11,8,0,Matches,2ead2809
278,Danilo Larangeira,br BRA,DF,Udinese,33,1984,30.8,35,21,26,8,1,16,29,55.2,13,50,38,12,50,85,161,2,Matches,fed5f993
279,Kevin Lasagna,it ITA,FW,Udinese,24,1992,23.7,10,7,0,8,2,2,7,28.6,5,27,4,23,8,18,18,0,Matches,09538fdb
280,Vincent Laurini,fr FRA,DF,Fiorentina,28,1989,17.9,34,23,21,9,4,12,22,54.5,10,20,5,15,11,45,72,1,Matches,3535098b
281,Diego Laxalt,uy URU,DF,Genoa,24,1993,31.2,54,43,31,17,6,22,59,37.3,37,38,3,35,25,79,55,1,Matches,f26e3c59
282,Achraf Lazaar,ma MAR,MFDF,Benevento,25,1992,5.3,12,8,9,2,1,5,11,45.5,6,5,1,4,6,18,10,0,Matches,957d41d2
283,Darko Lazović,rs SRB,DFMF,Genoa,26,1990,13.8,19,12,16,2,1,9,18,50.0,9,8,0,8,13,32,12,0,Matches,5128bde4
284,Manuel Lazzari,it ITA,DF,SPAL,23,1993,34.6,61,47,33,21,7,27,62,43.5,35,32,7,25,31,92,73,2,Matches,02caf6e0
285,Lucas Leiva,br BRA,MF,Lazio,30,1987,32.0,107,80,43,59,5,29,100,29.0,71,33,7,26,70,177,59,0,Matches,4c78b5ed
286,Mauricio Lemos,uy URU,DF,Sassuolo,21,1995,7.8,11,9,8,3,0,7,14,50.0,7,10,5,5,9,20,33,1,Matches,dbe5a587
287,Mehdi Léris,dz ALG,MFFW,Chievo,19,1998,0.5,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches,7d3cbc67
288,Gaetano Letizia,it ITA,DF,Benevento,27,1990,23.8,36,26,21,14,1,19,49,38.8,30,24,3,21,33,69,47,3,Matches,3dd45b70
289,Timo Letschert,nl NED,DF,Sassuolo,24,1993,4.6,13,8,10,3,0,5,8,62.5,3,9,3,6,7,20,23,0,Matches,be9938ed
290,Stephan Lichtsteiner,ch SUI,DF,Juventus,33,1984,18.9,31,27,16,10,5,9,17,52.9,8,11,2,9,15,46,38,1,Matches,99b1d0e6
291,Karol Linetty,pl POL,MF,Sampdoria,22,1995,23.8,66,49,25,31,10,17,77,22.1,60,40,2,38,18,84,13,0,Matches,d023d70f
292,Pol Lirola,es ESP,DFFW,Sassuolo,19,1997,22.5,34,21,26,6,2,20,35,57.1,15,11,4,7,28,62,88,1,Matches,ff800ed8
293,Adem Ljajić,rs SRB,MFFW,Torino,25,1991,24.1,12,9,4,6,2,5,13,38.5,8,11,1,10,9,21,13,0,Matches,2648e18f
294,Simone Lo Faso,it ITA,FW,Fiorentina,19,1998,0.4,1,1,1,0,0,0,1,0.0,1,0,0,0,1,2,0,0,Matches,51c614fd
295,Manuel Locatelli,it ITA,MF,Milan,19,1998,7.6,16,13,6,9,1,4,18,22.2,14,10,2,8,9,25,13,0,Matches,a8a874f1
296,Cristiano Lombardi,it ITA,MFDF,Benevento,21,1995,12.4,25,19,16,7,2,6,27,22.2,21,12,2,10,13,38,22,0,Matches,f124b4c9
297,Lisandro López,ar ARG,DF,Inter,27,1989,0.5,2,2,1,1,0,0,2,0.0,2,0,0,0,1,3,3,0,Matches,8320fe65
298,Maxi López,ar ARG,FW,Udinese,33,1984,18.7,12,8,2,7,3,0,4,0.0,4,8,2,6,2,14,18,0,Matches,ad469944
299,Fabio Lucioni,it ITA,DF,Benevento,29,1987,8.0,11,9,7,4,0,7,11,63.6,4,14,11,3,7,18,61,0,Matches,8efa621b
300,José Luis Palomino,ar ARG,DF,Atalanta,27,1990,22.0,60,39,36,19,5,24,51,47.1,27,36,21,15,39,99,111,1,Matches,921f6058
301,Everton Luiz,br BRA,MF,SPAL,29,1988,7.1,22,16,10,10,2,6,29,20.7,23,8,1,7,10,32,8,1,Matches,3799e138
302,Jordan Lukaku,be BEL,DF,Lazio,23,1994,15.1,28,15,14,11,3,10,16,62.5,6,14,2,12,15,43,23,0,Matches,0cd0e21b
303,Senad Lulić,ba BIH,DFMF,Lazio,31,1986,27.0,66,40,32,22,12,21,80,26.3,59,32,4,28,36,102,39,0,Matches,7fd58fe3
304,Lyanco,br BRA,DF,Torino,20,1997,3.5,11,8,8,3,0,5,8,62.5,3,4,3,1,5,16,17,0,Matches,b5bf1770
305,Charalambos Lykogiannis,gr GRE,DF,Cagliari,23,1993,7.6,16,12,9,5,2,11,18,61.1,7,12,3,9,15,31,28,0,Matches,5efc5389
306,Christian Maggio,it ITA,DF,Napoli,35,1982,7.1,17,10,9,6,2,7,19,36.8,12,15,4,11,13,30,21,0,Matches,31d7f557
307,Francesco Magnanelli,it ITA,MF,Sassuolo,32,1984,27.7,56,38,30,20,6,20,65,30.8,45,26,7,19,58,114,78,2,Matches,07767f42
308,Domenico Maietta,it ITA,DF,Bologna,34,1982,5.2,5,4,4,1,0,3,9,33.3,6,8,6,2,7,12,13,1,Matches,3d936ba9
309,Nikola Maksimović,rs SRB,DF,Napoli,25,1991,1.1,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,5,0,Matches,16b9d5cf
310,Gianluca Mancini,it ITA,DF,Atalanta,21,1996,7.6,20,14,11,8,1,10,17,58.8,7,8,2,6,15,35,22,0,Matches,5aa53281
311,Rolando Mandragora,it ITA,MF,Crotone,20,1997,36.0,91,60,48,34,9,26,69,37.7,43,41,13,28,86,177,75,0,Matches,c7259b83
312,Mario Mandžukić,hr CRO,FW,Juventus,31,1986,25.8,36,23,13,11,12,8,29,27.6,21,20,3,17,25,61,42,2,Matches,afa0d4e0
313,Kostas Manolas,gr GRE,DF,Roma,26,1991,26.0,23,20,14,7,2,9,15,60.0,6,31,24,7,46,69,133,2,Matches,c707411f
314,Gabriele Marchegiani,it ITA,GK,SPAL,21,1996,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,8cf63012
315,Claudio Marchisio,it ITA,MF,Juventus,31,1986,9.1,17,10,9,5,3,6,21,28.6,15,7,2,5,4,21,7,0,Matches,e304acd5
316,Gian Marco Ferrari,it ITA,DF,Sampdoria,25,1992,29.4,12,8,8,4,0,5,10,50.0,5,42,38,4,31,43,149,4,Matches,8650af85
317,João Mário,pt POR,MFFW,Inter,24,1993,6.2,8,4,3,3,2,2,8,25.0,6,6,1,5,4,12,5,0,Matches,f0021247
318,Bruno Martella,it ITA,DF,Crotone,24,1992,29.1,30,21,19,7,4,12,30,40.0,18,22,9,13,48,78,151,1,Matches,1e12c53b
319,Adam Marušić,me MNE,DF,Lazio,24,1992,28.0,28,21,17,8,3,12,28,42.9,16,22,2,20,31,59,33,0,Matches,d4535821
320,Andrea Masiello,it ITA,DF,Atalanta,31,1986,30.1,58,38,34,20,4,30,54,55.6,24,24,6,18,72,130,137,0,Matches,e0314d87
321,Adam Masina,ma MAR,DF,Bologna,23,1994,31.4,82,57,49,26,7,36,84,42.9,48,46,7,39,51,133,127,0,Matches,de0f152c
322,Ryder Matos,br BRA,MF,Udinese,24,1993,1.9,3,1,1,1,1,1,1,100.0,0,2,0,2,2,5,3,0,Matches,7280b54f
323,Ryder Matos,br BRA,FWMF,Hellas Verona,24,1993,10.9,18,15,11,5,2,4,9,44.4,5,5,0,5,3,21,9,1,Matches,7280b54f
324,Alessandro Matri,it ITA,FW,Sassuolo,32,1984,10.2,2,1,1,1,0,0,3,0.0,3,1,0,1,0,2,5,0,Matches,58d97e77
325,Federico Mattiello,it ITA,DF,SPAL,22,1995,24.5,59,40,31,22,6,21,44,47.7,23,53,15,38,64,123,66,0,Matches,fba81826
326,Blaise Matuidi,fr FRA,MF,Juventus,30,1987,26.2,49,35,14,25,10,10,35,28.6,25,28,4,24,32,81,22,1,Matches,c0cddebe
327,José Mauri,it ITA,MF,Milan,21,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,644faf10
328,Maurício,br BRA,DF,Lazio,28,1988,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,d5bd1abc
329,Luca Mazzitelli,it ITA,MF,Sassuolo,21,1995,11.3,37,24,14,15,8,10,36,27.8,26,21,2,19,21,58,19,0,Matches,dc61b402
330,Ibrahima Mbaye,sn SEN,DF,Bologna,22,1994,19.6,59,34,40,17,2,25,36,69.4,11,25,6,19,28,87,95,0,Matches,cfbf9881
331,Iuri Medeiros,pt POR,FWMF,Genoa,23,1994,7.1,6,4,3,2,1,4,8,50.0,4,3,1,2,2,8,3,0,Matches,97e2aa67
332,Riccardo Meggiorini,it ITA,FW,Chievo,31,1985,8.7,9,6,3,6,0,1,6,16.7,5,12,3,9,2,11,9,0,Matches,2ec0f902
333,Ledian Memushaj,al ALB,MF,Benevento,30,1986,14.0,28,18,11,13,4,7,30,23.3,23,24,5,19,10,38,10,1,Matches,8011fcf6
334,Alex Meret,it ITA,GK,SPAL,20,1997,12.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,0,Matches,9413b19f
335,Dries Mertens,be BEL,FW,Napoli,30,1987,33.4,28,22,5,13,10,5,36,13.9,31,18,2,16,5,33,8,1,Matches,89b2c8a9
336,Senna Miangue,be BEL,DFFW,Cagliari,20,1997,8.9,7,5,4,2,1,3,7,42.9,4,8,1,7,7,14,35,0,Matches,42591ed0
337,Francesco Migliore,it ITA,DF,Genoa,29,1988,3.7,5,5,4,1,0,2,6,33.3,4,1,0,1,3,8,9,1,Matches,1a584cb2
338,Nikola Milenković,rs SRB,DF,Fiorentina,19,1997,13.9,39,25,20,16,3,16,29,55.2,13,18,8,10,23,62,70,0,Matches,bee704fc
339,Arkadiusz Milik,pl POL,FWMF,Napoli,23,1994,5.0,2,1,0,1,1,0,1,0.0,1,5,0,5,1,3,4,0,Matches,85613cf0
340,Sergej Milinković-Savić,rs SRB,MF,Lazio,22,1995,31.6,55,39,11,34,10,13,52,25.0,39,29,6,23,33,88,36,1,Matches,4e6dbac4
