,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
39,Andrea Barzagli,it ITA,DF,Juventus,36,1981,16.1,26,15,14,11,1,9,16,56.3,7,14,7,7,17,43,46,0,Matches,7c0000fd
40,Daniele Baselli,it ITA,MF,Torino,25,1992,28.0,63,33,23,36,4,20,56,35.7,36,29,5,24,57,120,40,1,Matches,ea06dd97
41,Dušan Basta,rs SRB,DF,Lazio,32,1984,8.6,9,7,4,3,2,6,14,42.9,8,10,3,7,13,22,15,0,Matches,3b57f7f8
42,Gil Bastião Dias,pt POR,FWMF,Fiorentina,20,1996,13.2,49,31,28,15,6,19,48,39.6,29,23,0,23,19,68,12,1,Matches,e61bdd69
43,Samuel Bastien,cd COD,MF,Chievo,20,1996,15.1,17,13,7,8,2,7,23,30.4,16,23,2,21,18,35,25,0,Matches,ec30b9c8
44,Alessandro Bastoni,it ITA,DF,Atalanta,18,1999,1.0,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,3,0,Matches,75b86fb3
45,Bastos,ao ANG,DF,Lazio,26,1991,15.6,33,24,19,13,1,19,30,63.3,11,13,8,5,24,57,67,0,Matches,c01c66d9
46,Enrico Bearzotti,it ITA,DFFW,Hellas Verona,20,1996,4.6,3,2,2,0,1,1,4,25.0,3,3,1,2,4,7,18,0,Matches,c67836b8
47,Valon Behrami,ch SUI,MF,Udinese,32,1985,15.5,63,46,30,27,6,8,44,18.2,36,47,15,32,22,85,19,0,Matches,d3d758d8
48,Vid Belec,si SVN,GK,Benevento,27,1990,12.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,1,Matches,4f8ce0e1
49,Vid Belec,si SVN,GK,Sampdoria,27,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches,4f8ce0e1
50,Andrea Belotti,it ITA,FW,Torino,23,1993,29.8,32,23,9,15,8,3,30,10.0,27,14,1,13,6,38,19,1,Matches,d705ba44
51,Ahmad Benali,ly LBY,MF,Crotone,25,1992,9.0,19,10,8,10,1,5,27,18.5,22,14,1,13,8,27,15,0,Matches,a128b07e
52,Marco Benassi,it ITA,MFFW,Fiorentina,22,1994,30.9,54,38,18,22,14,17,52,32.7,35,52,2,50,28,82,36,0,Matches,0000acda
