Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lionel Messi,PSG,35," AM(CR),FW  ",21,1852,13,12,0,0,4.3,83.1,0,11,8.51
Kylian Mbappé,PSG,24," AM(LR),FW  ",20(2),1742,18,3,4,0,4.2,82.7,0.3,3,7.79
Martin Terrier,Rennes,26," AM(CL),FW  ",16,1330,9,4,0,0,2.9,75.3,3.9,7,7.71
Neymar,PSG,31," AM(CLR),FW  ",18(2),1553,13,11,4,1,1.9,82.7,0.1,3,7.71
Dango Ouattara,Lorient,21, AM(LR)  ,18,1552,6,5,1,1,2.9,63.9,2.2,3,7.43
Alexandre Lacazette,Lyon,31," M(CLR),FW  ",23,1976,14,4,2,0,2.9,74.2,0.9,3,7.38
Enzo Le Fée,Lorient,23, M(CLR)  ,26,2259,4,5,3,0,1.4,84.1,0.5,5,7.36
Rémy Cabella,Lille,33," M(CLR),FW  ",17(3),1558,4,6,3,0,1.5,85.1,0.2,1,7.27
Fabien Centonze,Nantes,27," D(R),M(R)  ",11(2),1008,0,0,3,0,0.5,78.5,1.9,1,7.25
Benjamin André,Lille,32," D(R),M(CLR)  ",24,2118,1,1,7,0,0.7,85.3,3,3,7.24
Andrei Girotto,Nantes,31," D(C),DMC  ",25,2235,1,1,4,0,0.7,84.7,2.3,4,7.23
Téji Savanier,Montpellier,31, M(C)  ,21,1808,10,1,3,2,2.1,78.5,0.3,5,7.23
Jonathan David,Lille,23," AM(C),FW  ",24(1),2120,16,4,4,0,3.2,82.7,0.3,5,7.23
Branco van den Boomen,Toulouse,27, DMC  ,25,2179,5,7,5,0,1.8,82.1,0.2,1,7.17
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",18(4),1342,16,4,2,0,2.1,77.4,0.4,4,7.17
Aleksandr Golovin,Monaco,26, M(CLR)  ,20(5),1812,6,6,4,0,1.6,74.7,0.6,3,7.16
Florian Sotoca,Lens,32," AM(CR),FW  ",24(2),2125,6,7,4,0,2.8,79.3,1.3,3,7.15
Gaëtan Laborde,Nice,28," AM(CLR),FW  ",19(2),1631,7,1,0,0,2,70.7,1.9,3,7.10
