Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Carlos Gruezo,Augsburg,27, DMC  ,23(5),2092,2,1.3,1.3,0,1,1.1,0.2,0,6.35
Jean-Manuel Mbom,Werder Bremen,23," D(R),DMC,M(R)  ",15(6),1166,0.9,0.6,1.5,0.1,1.2,0.9,0.3,0,6.34
Christian Gentner,Union Berlin,37, M(CLR)  ,13(9),1037,0.8,0.8,0.4,0,0.7,0.6,0,0,6.34
Davie Selke,Werder Bremen,28, FW  ,7(16),803,0.1,0,0.9,0,0.3,0.3,0.1,0,6.33
Romano Schmid,Werder Bremen,23, AM(CL)  ,13(9),1180,1,0.4,0.8,0,0.2,1.2,0,0,6.33
Jannes Horn,FC Koln,26," D(CL),M(L)  ",20(9),1772,1.2,0.3,0.5,0.1,1.4,0.3,0.1,0,6.32
Fabian Kunze,Arminia Bielefeld,24, DMC  ,12(14),1261,1.5,0.7,1.4,0,0.7,0.9,0.1,0,6.32
Tobias Strobl,Augsburg,32," D(CR),DMC  ",21(8),1849,0.7,1,0.6,0,0.8,0.7,0.3,0,6.32
Pascal Stenzel,Stuttgart,26," D(CR),M(R)  ",14(9),1275,1.4,1.1,0.9,0.2,1.6,1.2,0.2,0,6.32
Hannes Wolf,Borussia M.Gladbach,23, M(CLR)  ,14(18),1372,0.8,0.3,1.1,0,0.1,0.9,0,0,6.32
Michael Gregoritsch,Augsburg,28," AM(CR),FW  ",9(15),832,0.5,0.1,0.5,0,0.7,0.3,0,0,6.31
Niklas Moisander,Werder Bremen,37, D(C)  ,12(6),1218,0.8,1.2,0.9,0.4,3.2,0.3,0.4,1,6.31
Marius Bülter,Union Berlin,29," D(R),M(CLR),FW  ",8(18),968,0.6,0.5,0.5,0,0.3,0.5,0.1,0,6.30
Oscar Wendt,Borussia M.Gladbach,37," D(L),M(L)  ",15(7),1259,0.5,0.6,0.8,0.1,1,0.4,0.2,0,6.29
Cedric Teuchert,Union Berlin,26," AM(CLR),FW  ",5(19),740,0.3,0.2,0.6,0,0.2,0.5,0,0,6.29
Robert Gumny,Augsburg,24, D(CLR)  ,14(10),1373,1,0.8,0.9,0.3,1.1,0.3,0.1,0,6.28
Salih Özcan,FC Koln,25, M(C)  ,15(13),1369,0.8,0.7,1.1,0,0.5,0.8,0.1,0,6.28
Julian Ryerson,Union Berlin,25," D(R),M(CLR)  ",10(14),1064,0.9,0.5,0.4,0,0.7,0.1,0,0,6.28
Mijat Gacinovic,Hoffenheim,28, M(CLR)  ,7(16),812,0.8,0.8,0.6,0,0.6,0.7,0,0,6.27
Yuya Osako,Werder Bremen,32," AM(CLR),FW  ",7(17),753,0.5,0.2,0.6,0,0.3,0.3,0,0,6.26
Victor Sá,Wolfsburg,28, AM(CLR)  ,3(18),459,0.4,0.4,0.4,0,0.1,0.2,0,0,6.25
Bastian Oczipka,Schalke,34," D(CL),M(L)  ",20(7),1919,1.2,0.9,0.5,0.1,1.5,0.5,0.1,0,6.24
Bartosz Bialek,Wolfsburg,21, FW  ,1(18),257,0.3,0.2,0.4,0,0.2,0,0.1,0,6.23
Jan Thielmann,FC Koln,20," AM(CLR),FW  ",9(15),1024,0.5,0.4,0.5,0,0,0.2,0,0,6.23
Ádám Szalai,Mainz,35, FW  ,8(10),733,0.4,0.1,1,0,0.2,0.3,0.1,0,6.21
Benito Raman,Schalke,28," AM(LR),FW  ",13(12),1246,0.8,0.2,0.6,0,0.2,0.9,0,0,6.21
Sven Schipplock,Arminia Bielefeld,34, FW  ,5(27),724,0.5,0.2,1.2,0,0.2,0.7,0.1,0,6.19
Christian Gebauer,Arminia Bielefeld,29," D(R),M(R)  ",5(18),677,0.4,0.3,0.3,0,0.5,0.3,0,0,6.17
Hwang Hee-Chan,RBL,27," AM(CLR),FW  ",3(15),448,0.2,0.1,0.7,0,0.1,0.3,0,0,6.16
Sebastian Griesbeck,Union Berlin,32," D(C),DMC  ",8(16),881,0.8,0.2,0.7,0,0.3,0.5,0.1,0,6.13
Alessandro Schöpf,Schalke,29, M(CLR)  ,10(9),943,0.6,0.3,0.6,0.1,0.2,0.3,0.1,0,6.05
