Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Giovanni Simeone,Cagliari,27," AM(R),FW  ",34(3),2939,12,3,2.4,0.5,0.9,1.4,0.6,1.4,3,6.72
Antonio Sanabria,Genoa,27, FW  ,16(8),1392,6,2,1.7,0.6,0.9,1.1,0.2,0.7,2,6.72
Rafael Leão,AC Milan,23," AM(CL),FW  ",12(19),1397,6,1,1.4,1,1.3,0.5,0.2,0.7,1.4,6.72
Timothy Castagne,Atalanta,27," D(CLR),M(LR)  ",19(8),1764,1,2,0.7,0.8,0.5,0.3,0.2,0.4,0.9,6.72
Mario Balotelli,Brescia,32, FW  ,16(3),1409,5,0,3.8,0.5,0.5,2.7,0.4,0.5,1.8,6.71
Giacomo Bonaventura,AC Milan,33, M(CLR)  ,13(16),1327,3,5,1.5,0.9,0.8,1.1,0.1,0.6,1.2,6.71
Konstantinos Manolas,Napoli,31, D(C)  ,25(1),2178,4,0,0.7,0.1,0,0.6,0,0.1,0.3,6.71
Amadou Diawara,Roma,25, DMC  ,19(3),1523,1,1,0.5,0.7,0.5,0.8,0,0.1,0.2,6.71
Dimitri Bisoli,Brescia,28, M(C)  ,24(1),2154,1,1,1,0.8,0.8,1.8,0.2,1.4,1.6,6.70
Nicola Sansone,Bologna,31," AM(LR),FW  ",26(7),2274,4,3,2.4,1.4,1.3,2.3,0.2,1.4,1.6,6.70
Leonardo Bonucci,Juventus,35, D(C)  ,36,3086,3,0,0.6,0.3,0.1,0.5,0,0.1,0.2,6.70
Elseid Hysaj,Napoli,29," D(LR),M(R)  ",17(3),1485,1,2,0.3,1.1,0.7,0.9,0,0.3,0.4,6.69
Bartlomiej Dragowski,Fiorentina,25, GK  ,31,2790,0,0,0,0,0,0.2,0,0,0.1,6.69
Bram Nuytinck,Udinese,32, D(C)  ,26,2229,0,0,0.2,0.3,0.1,0.3,0,0,0.2,6.69
Paolo Faragò,Cagliari,30," D(R),DMC,M(R)  ",14(7),1338,1,1,0.6,0.7,0.6,0.7,0,0.5,0.9,6.69
Albin Ekdal,Sampdoria,33, M(C)  ,27(5),2389,0,2,0.5,0.7,0.8,1.8,0,0.8,1.1,6.68
Diego Perotti,Roma,34," M(CLR),FW  ",10(11),875,5,3,0.7,1,1.4,1.1,0,0.7,0.3,6.68
Felipe Caicedo,Lazio,34, FW  ,18(12),1413,9,2,1,0.8,0.4,0.7,0.3,0.7,1.1,6.68
Matías Vecino,Inter,31, M(C)  ,14(6),1281,2,2,1.4,0.8,0.3,0.6,0.2,0.6,0.6,6.68
Leonardo Spinazzola,Roma,29," D(LR),M(L)  ",18(6),1549,1,2,0.6,0.9,1,0.1,0,0.4,1.1,6.67
Soualiho Meïté,Torino,28, M(C)  ,23(10),2194,0,2,0.7,0.7,1.9,1.1,0,1.1,1.4,6.67
