Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Robert Lewandowski,Bayern,34, FW  ,31,2762,4,1.2,24.7,73.2,0.3,0.5,0.1,8.13
Jadon Sancho,Borussia Dortmund,22, AM(CLR)  ,25(7),2292,16,2.2,47.1,85.1,0.6,0.8,0.1,7.64
Timo Werner,RBL,27," AM(CLR),FW  ",33(1),2809,8,1.6,27.7,75.6,0.5,0.7,0,7.60
Alphonso Davies,Bayern,22," D(L),M(LR)  ",24(5),2234,5,1.3,52.1,86.5,0.9,1.1,0,7.52
Marco Reus,Borussia Dortmund,33," M(CLR),FW  ",18(1),1502,5,1.2,33.7,82.5,0.2,0.9,0.1,7.50
Serge Gnabry,Bayern,27," AM(CLR),FW  ",26(5),2203,10,1.7,33.1,82.3,0.4,0.6,0.1,7.49
Thiago,Bayern,31, M(C)  ,20(4),1772,0,0.8,74.9,90.5,0.1,6.2,0,7.47
Thomas Müller,Bayern,33," M(CLR),FW  ",26(7),2260,21,2.5,36.6,78,1,1.3,0.2,7.42
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  ",33,2959,11,2.4,32.1,67,3,1.5,0,7.41
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",32(1),2822,7,2.3,77.2,90.1,1.9,5.8,0.2,7.40
Christopher Nkunku,RBL,25," M(CLR),FW  ",21(11),1927,13,2.3,21.7,85.9,1.4,0.6,0.1,7.33
Kevin Mbabu,Wolfsburg,27," D(R),M(R)  ",18(2),1694,1,0.8,30.6,72.2,1.1,1.4,0,7.32
Raphaël Guerreiro,Borussia Dortmund,29," D(L),M(CL)  ",26(3),2340,2,1.3,65,89.2,0.7,2.1,0,7.32
Achraf Hakimi,Borussia Dortmund,24," D(LR),M(R)  ",29(4),2717,10,1.1,62.8,84.9,0.6,2,0,7.32
Suat Serdar,Schalke,25, M(CLR)  ,19(1),1605,0,0.6,23.8,75.4,0,0.9,0.2,7.31
Marcus Thuram,Borussia M.Gladbach,25," AM(L),FW  ",28(3),2217,8,1,20.2,69.4,0,0.1,0,7.30
Alassane Plea,Borussia M.Gladbach,30," AM(CLR),FW  ",25(2),2151,10,1.4,24.9,75.2,0.4,0.6,0.3,7.24
Kai Havertz,Leverkusen,23," M(CR),FW  ",29(1),2462,6,2,45.1,85.4,0.2,1.3,0.1,7.24
Marcel Sabitzer,RBL,28," M(CLR),FW  ",30(2),2507,7,1.8,42,77.5,0.9,2.4,0,7.24
Philippe Coutinho,Bayern,30, M(CLR)  ,15(8),1414,6,1.3,34.8,84.1,0.3,2,0.2,7.22
Thorgan Hazard,Borussia Dortmund,29," M(CLR),FW  ",28(5),2393,13,1.7,33.1,81,1,1,0,7.21
Andrej Kramaric,Hoffenheim,31," AM(CLR),FW  ",14(5),1423,2,1.5,26.9,83,0.4,1.1,0.1,7.21
Benjamin Pavard,Bayern,26," D(CLR),M(R)  ",31(1),2790,4,0.6,69.6,88.7,0.6,3.1,0,7.19
Leon Goretzka,Bayern,28, M(CR)  ,17(7),1513,5,0.9,38,85.9,0.2,1.5,0,7.17
Christopher Trimmel,Union Berlin,36," D(CR),M(R)  ",32,2864,8,2.1,30.8,71.3,2.4,2.5,0,7.16
Denis Zakaria,Borussia M.Gladbach,26," D(C),DMC  ",22(1),1947,2,0.5,38.3,86.7,0,1.5,0.1,7.15
Marcel Halstenberg,RBL,31," D(CL),M(L)  ",28(1),2523,3,1.2,58.3,84.9,0.7,1.8,0,7.15
