Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Lionel Messi,PSG,35," AM(CR),FW  ",21,1852,12,2.5,58.8,83.1,0.8,2.9,1.1,8.51
Kylian Mbappé,PSG,24," AM(LR),FW  ",20(2),1742,3,1.5,34.2,82.7,0.5,0.3,0.1,7.79
Martin Terrier,Rennes,26," AM(CL),FW  ",16,1330,4,1.6,36.8,75.3,0.2,1.4,0.2,7.71
Neymar,PSG,31," AM(CLR),FW  ",18(2),1553,11,2.5,59.4,82.7,0.9,2.2,0.5,7.71
Dango Ouattara,Lorient,21, AM(LR)  ,18,1552,5,1.3,22.3,63.9,0.2,0.4,0.2,7.43
Alexandre Lacazette,Lyon,31," M(CLR),FW  ",23,1976,4,1.5,25.8,74.2,0.1,0.8,0.1,7.38
Enzo Le Fée,Lorient,23, M(CLR)  ,26,2259,5,2,55.3,84.1,1.1,3.2,0.2,7.36
Rémy Cabella,Lille,33," M(CLR),FW  ",17(3),1558,6,3.1,51,85.1,1.3,1.1,0.2,7.27
Fabien Centonze,Nantes,27," D(R),M(R)  ",11(2),1008,0,0.5,35.1,78.5,0.6,1.5,0,7.25
Benjamin André,Lille,32," D(R),M(CLR)  ",24,2118,1,0.8,68.8,85.3,0,5.6,0.2,7.24
Andrei Girotto,Nantes,31," D(C),DMC  ",25,2235,1,0.4,49,84.7,0.1,4.8,0,7.23
Téji Savanier,Montpellier,31, M(C)  ,21,1808,1,2,49.1,78.5,1.7,4.8,0.1,7.23
Jonathan David,Lille,23," AM(C),FW  ",24(1),2120,4,1.3,22.6,82.7,0.1,0.4,0.1,7.23
Branco van den Boomen,Toulouse,27, DMC  ,25,2179,7,2.5,56,82.1,2.5,7.8,0.1,7.17
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",18(4),1342,4,0.7,17.3,77.4,0.1,0.2,0,7.17
Aleksandr Golovin,Monaco,26, M(CLR)  ,20(5),1812,6,1.8,28.8,74.7,1,1.3,0,7.16
Florian Sotoca,Lens,32," AM(CR),FW  ",24(2),2125,7,1.9,35.8,79.3,0.5,2,0.2,7.15
Gaëtan Laborde,Nice,28," AM(CLR),FW  ",19(2),1631,1,1.2,19.7,70.7,0.5,0.5,0,7.10
Achraf Hakimi,PSG,24," D(LR),M(R)  ",16(5),1506,3,1.4,45.7,89.4,0.6,0.4,0,7.04
Yehvann Diouf,Reims,23, GK  ,19,1710,0,0.1,26.7,74.2,0,5.9,0,7.04
Adam Ounas,Lille,26," AM(CLR),FW  ",9(4),787,1,1.7,26.5,79.7,0.8,1.6,0.2,7.04
Malo Gusto,Lyon,19," D(R),M(R)  ",17,1448,1,1.4,61.1,85.2,1.8,2.4,0,7.03
Jean-Ricner Bellegarde,Strasbourg,24, M(CLR)  ,19,1594,5,1.9,39.9,80.6,1.9,1.6,0.1,7.03
Amine Gouiri,Rennes,23," AM(L),FW  ",19(2),1597,1,1.1,20.3,81,0.3,0.5,0,7.02
Nabil Bentaleb,Angers,28, M(C)  ,21(1),1816,3,1,60.5,84.6,0.8,4.4,0.1,7.02
Nicolás Tagliafico,Lyon,30," D(CL),M(L)  ",24,2139,3,0.8,48.4,87,0.3,1,0,7.01
Marco Verratti,PSG,30, M(C)  ,18(1),1434,0,0.7,82.3,92.8,0.1,3.1,0.2,7.01
Jonathan Clauss,Marseille,30," D(R),M(LR)  ",20(2),1629,8,1.5,32.1,76,1,1.2,0.1,7.01
Seko Fofana,Lens,27, M(C)  ,23(1),2106,4,1,48.8,89.1,0.6,2.1,0.1,7.01
Terem Moffi,Lorient,23," AM(R),FW  ",17(1),1398,0,0.5,11.3,75.9,0,0.2,0,7.01
Rafael Ratão,Toulouse,27, AM(LR)  ,19(1),1348,2,1.1,25.9,75.9,0.4,1,0.1,7.01
Sofiane Boufal,Angers,29," AM(CLR),FW  ",9(4),838,3,2.1,33.7,81.1,0.5,1.2,0.2,7.01
Caio Henrique,Monaco,25," D(L),M(CL)  ",21(2),1939,7,1.5,44.6,80.7,1,1.5,0,7.00
Gianluigi Donnarumma,PSG,24, GK  ,26,2340,0,0,21.3,82.3,0,2,0,7.00
Nuno Mendes,PSG,20," D(L),M(L)  ",13(4),1096,3,1,32.2,85.7,0.2,0.4,0.1,7.00
Ludovic Blas,Nantes,25," M(CLR),FW  ",21(4),1944,1,1.2,29.6,85.4,0.6,2.2,0,7.00
Alexis Sánchez,Marseille,34," M(CLR),FW  ",20(3),1737,1,1.5,26,78.2,0.2,1.3,0.1,7.00
Azor Matusiwa,Reims,24, DMC  ,19(1),1672,0,0.7,51.2,85.9,0,4.4,0.1,6.99
Franck Honorat,Brest,26," M(LR),FW  ",21(2),1820,3,2.7,24.6,73.7,2.2,0.7,0,6.99
Nuno Tavares,Marseille,23," D(L),M(L)  ",18(4),1758,0,1,34.8,80.7,0.5,1.5,0.1,6.99
Junya Ito,Reims,30," AM(LR),FW  ",22(1),1878,5,1.9,24.4,70.6,1.2,0.5,0.2,6.98
Kevin Danso,Lens,24, D(C)  ,26,2340,1,0.3,66.3,90.5,0,2.8,0,6.98
Breel Embolo,Monaco,26," AM(CR),FW  ",18(8),1636,2,1.1,14.3,69.4,0,0.2,0,6.98
Yunis Abdelhamid,Reims,35, D(C)  ,26,2340,1,0.3,50.3,82.4,0,2.8,0,6.97
Youcef Belaïli,AC Ajaccio,30, AM(L)  ,12(2),961,3,1.4,23.4,76.5,1.1,1.4,0.1,6.97
Jonathan Bamba,Lille,26," AM(CLR),FW  ",20(2),1799,4,1.5,39.2,83.7,0.4,0.9,0.2,6.96
Przemyslaw Frankowski,Lens,27, M(CLR)  ,20(6),1876,2,2,36.2,82.5,1.8,1.4,0,6.96
Dante,Nice,39, D(C)  ,25,2250,2,0.2,69.4,89.9,0,4.4,0.1,6.96
Valentin Rongier,Marseille,28," D(R),M(C)  ",23(2),2044,0,0.8,58.3,88.5,0.1,2.6,0,6.96
Benjamin Bourigeaud,Rennes,29, M(CLR)  ,25,2040,5,2.5,45.2,79.3,1.9,2.6,0.2,6.94
Baptiste Santamaría,Rennes,28, DMC  ,13(1),1129,0,0.7,61.7,85.5,0.1,5,0,6.94
Maxence Caqueret,Lyon,23, DMC  ,21(3),1830,5,1.5,45.6,86.4,0.6,1.5,0.1,6.93
Marshall Munetsi,Reims,26," D(C),M(C)  ",19(3),1672,2,0.8,25.4,75,0.1,1,0,6.93
Youssouf Fofana,Monaco,24, DMC  ,24(1),2111,1,0.8,47.8,82.2,0,2.8,0.2,6.93
Habib Diallo,Strasbourg,27," AM(R),FW  ",21(5),1896,0,0.6,15.3,69.7,0,0.3,0.1,6.93
Folarin Balogun,Reims,21, FW  ,22(3),1953,1,0.7,13.3,69.4,0.1,0.3,0,6.92
Tetê,Lyon,23, AM(R)  ,14(3),1114,2,0.6,26.6,81.7,0.4,0.6,0,6.92
Nicolas Pépé,Nice,27," AM(LR),FW  ",14(2),1259,0,1.2,30.4,80.9,0.7,0.6,0.1,6.92
Pau López,Marseille,28, GK  ,22,1980,1,0,29,77.3,0,5.3,0,6.92
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",15(4),1357,2,1.4,30.4,82.3,0.3,1.4,0.1,6.91
Neto Borges,Clermont Foot,26," D(L),M(L)  ",23,1984,0,1,34.5,79.1,0.7,1,0,6.91
Rayan Cherki,Lyon,19, AM(CR)  ,11(12),1018,4,2,23.7,80.5,1.2,1.2,0.1,6.91
Axel Disasi,Monaco,24, D(C)  ,25(1),2250,3,0.3,51.3,84.3,0.1,3.8,0,6.91
Alexis Flips,Reims,23, M(CLR)  ,18(3),1278,5,1.5,24,68.5,1.2,1.5,0.1,6.91
Chancel Mbemba,Marseille,28," D(CLR),DMC  ",24(1),2108,0,0.1,49.5,85.3,0.2,2.1,0,6.91
Mohamed Camara,Monaco,23, DMC  ,17(2),1478,2,0.7,45.7,88.4,0.1,3.8,0.1,6.90
Khéphren Thuram,Nice,21, DMC  ,21(5),1845,4,0.9,36.7,86.6,0.1,1.3,0.1,6.90
Edon Zhegrova,Lille,23, AM(R)  ,8(7),721,3,1.3,21.8,82.9,1,0.5,0,6.90
Rony Lopes,Troyes,27," AM(CLR),FW  ",20(2),1572,5,1.7,22.9,74.8,1.2,1.2,0,6.90
Kasper Schmeichel,Nice,36, GK  ,24,2160,0,0.1,30.8,73.8,0,8.2,0,6.90
Jordan Lotomba,Nice,24," D(LR),M(R)  ",21(4),1911,2,0.6,35.1,84.2,0.4,0.6,0.1,6.89
Hicham Boudaoui,Nice,23, M(CR)  ,12(4),1033,1,0.8,35,87.9,0.1,0.9,0.1,6.88
Florian Tardieu,Troyes,30, M(C)  ,11(3),1009,0,1.2,50.4,90.4,0.9,4,0,6.87
Ismaily,Lille,33, D(L)  ,17(1),1452,1,1,45,80.5,0.1,0.6,0,6.86
Stijn Spierings,Toulouse,26, M(C)  ,26,2340,0,0.6,58,85.7,0.1,3.9,0,6.86
Guillermo Maripán,Monaco,28, D(C)  ,17(1),1486,0,0.1,45.2,87.2,0,3.1,0,6.85
Emmanuel Agbadou,Reims,25," D(C),DMC  ",19(1),1690,2,0.3,47.6,85.5,0,3.5,0.2,6.85
Vanderson,Monaco,21," D(R),M(R)  ",14(6),1300,3,0.7,35.5,82.1,0.6,2.6,0,6.85
Romain Del Castillo,Brest,26," AM(LR),FW  ",9(6),797,3,1.1,20.3,69.8,1.3,1.1,0.1,6.85
Youcef Atal,Nice,26," D(R),M(R)  ",7(6),636,0,0.8,24.6,83.8,0.6,1.2,0,6.85
Alexander Djiku,Strasbourg,28," D(CR),DMC  ",23,1979,2,0.3,49.2,81.1,0.1,5.1,0,6.84
Adrien Truffert,Rennes,21," D(L),M(L)  ",22(4),1883,6,0.8,41.4,80.5,0.4,1,0,6.84
Rasmus Nicolaisen,Toulouse,25, D(C)  ,25,2187,2,0.1,48,83.2,0,3.4,0,6.84
Jordan Veretout,Marseille,30, M(C)  ,19(7),1784,2,0.8,48.8,87.8,0.5,3.7,0.1,6.83
Hamari Traoré,Rennes,31," D(R),M(R)  ",18(1),1633,2,0.7,58.3,87.5,0.6,2.3,0,6.83
Rominigue Kouamé,Troyes,26, DMC  ,21,1797,1,0.7,42.8,88.7,0.1,2.1,0.1,6.83
Gédéon Kalulu,Lorient,25, D(R)  ,22,1980,3,0.9,44,80.6,0.3,2.2,0,6.82
Krépin Diatta,Monaco,24," M(CLR),FW  ",17(5),1594,2,0.9,24.2,80.5,0.5,0.4,0,6.82
Sead Kolasinac,Marseille,29," D(CL),DMC,M(L)  ",16(6),1338,1,0.4,32.7,84.8,0.2,0.9,0,6.82
Samuel Gigot,Marseille,29, D(C)  ,16(1),1278,2,0.2,46.6,87.8,0.1,1.2,0,6.81
Jonathan Gradit,Lens,30, D(CR)  ,21,1756,2,0.4,62,90.8,0.1,2.4,0,6.81
Jean-Clair Todibo,Nice,23, D(C)  ,24,2032,0,0.2,62.5,88.4,0,3.1,0,6.81
Alban Lafont,Nantes,24, GK  ,25,2250,0,0,26.7,63.1,0,6.2,0,6.81
Alidu Seidu,Clermont Foot,22, D(CR)  ,20,1755,0,0.3,43.1,87.3,0.3,2.3,0,6.80
Mory Diaw,Clermont Foot,29, GK  ,26,2340,0,0.1,33.3,65.9,0,8,0,6.80
Pierre Lees-Melou,Brest,29, M(CLR)  ,21,1783,1,0.3,41.1,83.6,0.2,4.9,0,6.80
Vito Mannone,Lorient,35, GK  ,12(1),1157,0,0,25.8,69.9,0,3.2,0,6.80
Cengiz Ünder,Marseille,25, M(CLR)  ,17(8),1486,4,1.1,22.5,77.4,1,1.2,0,6.79
Aaron Ramsey,Nice,32, M(CLR)  ,13(7),1129,1,1,33.5,87,0.5,2.1,0.1,6.79
Mama Baldé,Troyes,27," D(R),M(CLR),FW  ",22(1),1840,3,0.8,15,69.8,0,0.5,0,6.79
Désiré Doué,Rennes,17, AM(C)  ,9(11),934,1,0.6,16.8,82.7,0.4,0.9,0.1,6.79
Danilo Pereira,PSG,31," D(C),DMC  ",15(6),1364,0,0.2,51,93.8,0,2,0,6.79
