Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  "," AM(LR),FW  ",34(1),28,17,4.2,2,3.2,1.5,1.1,1.6,3.2,8.04
Lionel Messi,PSG,35," AM(CR),FW  "," AM(CR),FW  ",24(2),6,14,3.4,2.4,2.5,1.3,0.4,1.6,1.8,7.77
Neymar,PSG,31," AM(CLR),FW  "," AM(CLR),FW  ",22,13,6,2.5,2.8,2.6,3.2,0.5,3,3.7,7.65
Benjamin Bourigeaud,Rennes,29, M(CLR)  , M(CLR)  ,38,11,12,1.3,3.2,0.2,0.2,0.1,0.5,1.1,7.44
Dimitri Payet,Marseille,35," M(CLR),FW  "," M(CLR),FW  ",28(3),12,10,2.2,3.2,0.9,1.4,0.1,1.1,1.4,7.44
Martin Terrier,Rennes,26," AM(CL),FW  "," AM(CL),FW  ",37,21,3,2.4,1.1,0.8,1.1,0.2,0.6,1.6,7.41
Téji Savanier,Montpellier,31, M(C)  , M(C)  ,28(1),8,7,2.8,2.1,2.6,2.7,0.1,1.2,2.9,7.40
Aurélien Tchouaméni,Monaco,23, DMC  , DMC  ,33(2),3,2,1.6,0.6,1.1,1.7,0.1,0.9,0.5,7.32
Sofiane Boufal,Angers,29," AM(CLR),FW  "," AM(CLR),FW  ",28(1),8,4,2.2,1.9,3.1,2.8,0.5,2.6,3.8,7.27
Lucas Paquetá,Lyon,25," M(CLR),FW  "," M(CLR),FW  ",32(3),9,6,2.5,1.2,2.3,1.8,0.2,2.2,3.2,7.24
Jonathan Clauss,Lens,30," D(R),M(LR)  "," D(R),M(LR)  ",35(2),5,11,1.1,2,0.8,0.4,0.1,0.4,1.3,7.22
Marco Verratti,PSG,30, M(C)  , M(C)  ,23(1),2,2,0.3,1.3,1.9,2,0,0.9,1.2,7.21
Bruno Guimarães,Lyon,25, DMC  , DMC  ,19(1),0,3,0.6,1.8,1.9,3,0.1,1.4,1.3,7.21
Moussa Dembélé,Lyon,26, FW  , FW  ,25(5),21,4,2.9,0.9,0.8,0.6,0.3,1.5,3.1,7.21
Romain Faivre,Brest,24, AM(CLR)  , AM(CLR)  ,20(1),7,5,1.8,1.8,2,1.3,0,1.5,2.8,7.20
Ángel Di María,PSG,35," M(CLR),FW  "," M(CLR),FW  ",19(7),5,7,2,2.1,1.2,0.5,0.3,0.6,1.8,7.17
Karl Toko Ekambi,Lyon,30," AM(LR),FW  "," AM(LR),FW  ",26(4),12,5,2.5,1.3,1.5,0.5,0.3,1.3,2.2,7.15
Gaëtan Laborde,Rennes,28," AM(CLR),FW  "," AM(CLR),FW  ",32(2),12,8,2.5,1.1,0.3,0.6,0.6,0.6,2.7,7.14
Andrei Girotto,Nantes,31," D(C),DMC  "," D(C),DMC  ",36,6,1,1.3,0.3,0.2,0.8,0,0.1,0.5,7.13
Franck Honorat,Brest,26," M(LR),FW  "," M(LR),FW  ",34,11,4,1.8,1.7,1.1,0.6,0.1,0.9,2.3,7.13
Andy Delort,Nice,31," AM(R),FW  "," AM(R),FW  ",26(6),16,2,3.1,1,0.6,1.3,0.5,0.8,2.1,7.09
Lovro Majer,Rennes,25, AM(CR)  , AM(CR)  ,21(8),6,8,1.6,1.6,1,1.1,0,0.9,1.6,7.06
Ludovic Ajorque,Strasbourg,29, FW  , FW  ,31(5),12,8,1.6,1.3,0.4,1,0.4,1,1.9,7.05
Wissam Ben Yedder,Monaco,32," AM(C),FW  "," AM(C),FW  ",29(8),25,5,1.9,0.9,0.7,0.6,0.6,1.2,1.7,7.04
Kiki Kouyaté,Metz,25, D(C)  , D(C)  ,30,1,0,0.7,0.1,0.2,0.9,0.2,0.2,1,7.04
Frédéric Guilbert,Strasbourg,28," D(CLR),M(R)  "," D(CLR),M(R)  ",28(5),0,4,0.7,1.4,1,0.7,0.1,0.6,1.2,7.04
Amine Gouiri,Nice,23," AM(L),FW  "," AM(L),FW  ",32(6),10,9,2,1.3,1.6,0.9,0.2,1.5,1.8,7.01
Moses Simon,Nantes,27," M(CLR),FW  "," M(CLR),FW  ",29(1),6,8,1.4,2.2,1.4,0.9,0.1,1.7,2.5,7.01
Randal Kolo Muani,Nantes,24," AM(R),FW  "," AM(R),FW  ",34(2),12,4,1.5,1.1,1.7,2,0.5,2,3.1,7.01
Hamari Traoré,Rennes,31," D(R),M(R)  "," D(R),M(R)  ",33,3,10,0.9,1,0.3,0.7,0.3,0.2,0.9,7.00
Kamaldeen Sulemana,Rennes,21, AM(L)  , AM(L)  ,11(9),4,2,1.3,1.1,2.7,0.7,0.2,1.3,1.9,7.00
Benjamin André,Lille,32," D(R),M(CLR)  "," D(R),M(CLR)  ",33,2,1,0.5,0.5,0.6,1.7,0.1,0.8,1.6,6.99
Jimmy Cabot,Angers,28, M(LR)  , M(LR)  ,24,0,4,0.5,0.8,1.9,1.3,0,0.9,2.5,6.99
Florian Sotoca,Lens,32," AM(CR),FW  "," AM(CR),FW  ",28(7),6,4,2,0.9,0.9,1,0.2,0.7,1.9,6.99
Florian Tardieu,Troyes,30, M(C)  , M(C)  ,29(1),4,2,0.8,1.6,0.7,1.2,0,0.6,0.6,6.98
