Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Mickaël Alphonse,AC Ajaccio,33, D(LR)  ,11(9),1038,1.4,1.3,0.7,0.3,1.4,0.4,0.2,0,6.46
Falaye Sacko,Montpellier,27," D(CR),M(R)  ",18(5),1616,1.5,1,0.7,0.2,1.6,0.3,0.4,1,6.46
Mathias Pereira Lage,Brest,26, M(CLR)  ,14(4),1088,0.9,0.8,1.1,0,0.6,0.9,0.1,0,6.45
Jim Allevinah,Clermont Foot,28, M(LR)  ,16(8),1480,1.3,0.5,0.6,0,0.4,1.1,0,0,6.45
Lesley Ugochukwu,Rennes,18, M(C)  ,8(8),873,1.6,0.9,1.1,0,0.5,0.3,0.4,0,6.45
Léo Leroy,Montpellier,23, DMC  ,10(8),817,2.2,0.4,1.6,0,0.2,0.9,0.1,0,6.44
Moussa Sissoko,Nantes,33, M(CR)  ,15(4),1320,1.2,0.7,1.3,0,0.6,0.2,0.3,0,6.44
Miha Blazic,Angers,29, D(C)  ,19(1),1684,0.3,1.1,0.6,0.6,3.1,0.3,0.9,1,6.44
Bevic Moussiti-Oko,AC Ajaccio,28, FW  ,7(10),696,0.2,0.1,1.1,0,0.5,0.1,0.2,0,6.44
Arbër Zeneli,Reims,28," AM(LR),FW  ",11(7),904,0.5,0.1,0.4,0,0.1,0.4,0,0,6.44
Cyrille Bayala,AC Ajaccio,26, AM(R)  ,19(6),1527,1.7,0.8,0.9,0,0.4,0.6,0.1,0,6.43
Lucas Perrin,Strasbourg,24, D(C)  ,11(6),1096,1.7,1.1,0.8,0.5,1.8,0.9,0.3,0,6.43
Wilson Odobert,Troyes,18, AM(L)  ,11(12),1113,0.7,0.5,0.3,0,0.2,0.5,0,0,6.43
Thomas Mangani,AC Ajaccio,35, M(C)  ,9(9),893,1.1,1.2,1.1,0,0.7,0.8,0.1,0,6.43
Gauthier Gallon,Troyes,29, GK  ,19,1710,0.1,0.1,0.1,0,0.9,0.1,0,0,6.43
Dion Lopy,Reims,21, DMC  ,12(9),983,1.5,0.9,1,0,0.8,1.2,0.1,0,6.42
Stephy Mavididi,Montpellier,24," AM(LR),FW  ",11(3),846,1,0.2,0.7,0,0.6,0.6,0,0,6.42
Paul Bernardoni,Angers,25, GK  ,18,1620,0.1,0.1,0.1,0,0.8,0,0,0,6.42
Ross Barkley,Nice,29, M(CLR)  ,6(12),605,0.6,0.2,0.4,0,0.2,0.2,0.1,0,6.42
Colin Dagba,Strasbourg,24," D(R),M(R)  ",7(7),598,1.4,0.7,0.9,0.4,0.6,0.2,0.1,0,6.41
Christophe Hérelle,Brest,30, D(CR)  ,12(3),1051,0.7,1.3,0.9,0.3,3.1,0.6,0.7,1,6.41
Yoann Salmier,Troyes,30, D(C)  ,24,2062,1.5,1.2,0.9,0.4,3.9,0.4,0.7,0,6.40
Adrien Thomasson,Strasbourg,29, M(CLR)  ,10(5),938,1.3,0.2,1.1,0,0.1,1.3,0,0,6.40
Achraf Dari,Brest,23, D(C)  ,13(3),1150,1.1,1,0.7,0.7,3.2,0.3,0.6,0,6.40
Gaetan Perrin,Auxerre,26, AM(L)  ,10(15),958,0.4,0.3,0.4,0,0.2,0.7,0,0,6.40
Ruben Aguilar,Monaco,29," D(R),M(R)  ",8(6),691,1,0.9,0.9,0,1.3,0.6,0,0,6.40
Grejohn Kyei,Clermont Foot,27, FW  ,15(10),1300,0.4,0.1,1.5,0,0.4,0.1,0.1,0,6.40
Jeff Reine-Adélaïde,Lyon,25," AM(CLR),FW  ",1(13),325,0.6,0.4,0.5,0,0,0.3,0,0,6.39
