Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Robert Lewandowski,Bayern,34, FW  ,31,2762,34,4,5,0,4.5,73.2,2,7,8.13
Jadon Sancho,Borussia Dortmund,22, AM(CLR)  ,25(7),2292,17,16,2,0,1.6,85.1,0,7,7.64
Timo Werner,RBL,27," AM(CLR),FW  ",33(1),2809,28,8,4,0,3.6,75.6,0.2,10,7.60
Alphonso Davies,Bayern,22," D(L),M(LR)  ",24(5),2234,3,5,2,1,0.4,86.5,1.1,1,7.52
Marco Reus,Borussia Dortmund,33," M(CLR),FW  ",18(1),1502,11,5,1,0,2.5,82.5,0.4,2,7.50
Serge Gnabry,Bayern,27," AM(CLR),FW  ",26(5),2203,12,10,0,0,3.1,82.3,0.2,7,7.49
Thiago,Bayern,31, M(C)  ,20(4),1772,3,0,7,0,0.8,90.5,1.5,1,7.47
Thomas Müller,Bayern,33," M(CLR),FW  ",26(7),2260,8,21,5,0,1.6,78,1,1,7.42
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  ",33,2959,4,11,4,0,2.7,67,0.6,5,7.41
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",32(1),2822,4,7,7,0,0.8,90.1,0.8,1,7.40
Christopher Nkunku,RBL,25," M(CLR),FW  ",21(11),1927,5,13,2,0,1.6,85.9,0.8,5,7.33
Kevin Mbabu,Wolfsburg,27," D(R),M(R)  ",18(2),1694,3,1,4,0,0.6,72.2,1.7,4,7.32
Raphaël Guerreiro,Borussia Dortmund,29," D(L),M(CL)  ",26(3),2340,8,2,3,0,1.4,89.2,0.3,2,7.32
Achraf Hakimi,Borussia Dortmund,24," D(LR),M(R)  ",29(4),2717,5,10,5,0,1.2,84.9,0.5,2,7.32
Suat Serdar,Schalke,25, M(CLR)  ,19(1),1605,7,0,2,0,1.8,75.4,1.1,4,7.31
Marcus Thuram,Borussia M.Gladbach,25," AM(L),FW  ",28(3),2217,10,8,3,0,1.8,69.4,2.5,5,7.30
Alassane Plea,Borussia M.Gladbach,30," AM(CLR),FW  ",25(2),2151,10,10,0,2,2.9,75.2,1.1,4,7.24
Kai Havertz,Leverkusen,23," M(CR),FW  ",29(1),2462,12,6,3,0,2,85.4,1.4,3,7.24
Marcel Sabitzer,RBL,28," M(CLR),FW  ",30(2),2507,9,7,4,0,2.2,77.5,0.8,1,7.24
