Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Harry Kane,Tottenham,29," AM(C),FW  ",35,3087,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79
Kevin De Bruyne,Man City,31," M(CLR),FW  ",23(2),2001,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65
Jack Grealish,Aston Villa,27," AM(CL),FW  ",24(2),2184,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56
Bruno Fernandes,Man Utd,28, M(CLR)  ,35(2),3110,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43
Tomás Soucek,West Ham,28, DMC  ,38,3420,1,0.5,42.3,75.5,0,2.2,0,7.36
Mason Mount,Chelsea,24, M(CLR)  ,32(4),2892,5,2.4,47.3,86.5,1.7,1.6,0,7.33
Sadio Mané,Liverpool,30," AM(CLR),FW  ",31(4),2813,7,1.7,28.8,78.7,0.3,0.8,0,7.33
Riyad Mahrez,Man City,32," AM(CLR),FW  ",23(4),1955,6,1.6,37.2,88.4,0.7,0.9,0,7.31
João Cancelo,Man City,28," D(LR),M(R)  ",27(1),2302,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31
Gareth Bale,Tottenham,33," M(CLR),FW  ",10(10),923,2,1.1,18.3,73.2,0.6,1.5,0.1,7.30
Ilkay Gündogan,Man City,32, M(C)  ,23(5),2031,2,1.5,61.2,91.7,0.3,1.6,0,7.29
Son Heung-Min,Tottenham,30," M(CLR),FW  ",36(1),3127,10,2,28.6,83.4,1,0.8,0,7.27
Wilfred Ndidi,Leicester,26," D(C),DMC  ",25(1),2179,4,0.6,55.1,86.9,0,2,0,7.25
Raphinha,Leeds,26," AM(LR),FW  ",26(4),2364,9,2.1,29.2,72.3,1.3,1.5,0,7.22
Raheem Sterling,Man City,28," M(CLR),FW  ",28(3),2537,7,1.3,35.9,86.2,0,0.3,0,7.22
James Rodríguez,Everton,31," AM(CLR),FW  ",21(2),1776,4,1.7,44.8,83.3,0.7,4.3,0.2,7.21
Ollie Watkins,Aston Villa,27," AM(LR),FW  ",37,3329,5,1.2,21.7,71.5,0.1,0.2,0,7.18
Rodri,Man City,26," D(C),DMC  ",31(3),2749,2,1,81.9,91.3,0.1,4.6,0,7.17
Michail Antonio,West Ham,32," D(R),M(CLR),FW  ",24(2),1984,5,1,17.4,68.2,0.1,0.5,0,7.17
Dominic Calvert-Lewin,Everton,25," AM(L),FW  ",32(1),2876,0,0.5,20.5,68.7,0.1,0.5,0,7.17
Aaron Wan-Bissaka,Man Utd,25," D(R),M(R)  ",34,3060,4,0.9,53.1,84.9,0.4,0.8,0,7.15
Phil Foden,Man City,22," AM(CLR),FW  ",17(11),1614,5,1.3,27.2,88.2,0.5,0.3,0,7.14
Marcus Rashford,Man Utd,25," AM(CLR),FW  ",33(4),2928,9,1.2,32.1,82.1,0.2,0.9,0,7.13
Thiago,Liverpool,31, M(C)  ,20(4),1858,0,1.3,71.7,89.6,0,5,0.1,7.12
Allan Saint-Maximin,Newcastle,25," AM(CLR),FW  ",19(6),1568,4,1.2,16.7,82.5,0.2,0.6,0,7.12
Gabriel Jesus,Man City,25," AM(LR),FW  ",22(7),2060,4,1.1,25.2,85,0.1,0.4,0,7.11
Pedro Neto,Wolves,23," AM(CLR),FW  ",30(1),2559,6,2,32.9,88.4,1.9,0.5,0,7.11
Adama Traoré,Wolves,27," M(CLR),FW  ",28(9),2645,2,1.5,18.9,76.3,0.6,0.4,0,7.11
Roberto Firmino,Liverpool,31," M(CLR),FW  ",33(3),2852,7,1.2,36.1,80.7,0,0.6,0.1,7.11
Jamie Vardy,Leicester,36," AM(L),FW  ",31(3),2846,9,0.8,12.8,67.5,0.1,0.1,0,7.11
Youri Tielemans,Leicester,25, M(C)  ,37(1),3358,4,1.3,65.2,81.7,0.6,3,0.2,7.09
Lucas Digne,Everton,29," D(CL),M(L)  ",30,2682,7,1.5,42.2,77.5,1.5,1.3,0,7.08
Christian Benteke,Crystal Palace,32, FW  ,21(9),1819,1,0.5,19.2,58.6,0,0.3,0,7.08
Bernardo Silva,Man City,28," M(CLR),FW  ",24(2),2071,6,1,52.8,91.8,0.1,1.9,0,7.07
Kurt Zouma,Chelsea,28, D(CR)  ,22(2),2025,0,0.2,74,90.9,0,3.8,0,7.07
Solly March,Brighton,28, M(CLR)  ,19(2),1675,1,1.3,34.1,76,0.9,2,0,7.07
James Ward-Prowse,Southampton,28, M(CR)  ,38,3420,7,1.6,64.1,86.4,1.4,2.1,0,7.07
Mohamed Salah,Liverpool,30," AM(CLR),FW  ",34(3),3082,5,1.5,34.1,83.7,0.2,0.6,0.1,7.07
Liam Cooper,Leeds,31, D(C)  ,25,2188,0,0,65.9,85.6,0,3.8,0,7.06
Serge Aurier,Tottenham,30," D(CLR),M(R)  ",19,1609,3,0.9,41.7,80.8,0.5,1.1,0.1,7.06
Paul Pogba,Man Utd,29, M(CL)  ,21(5),1896,3,1,51.3,83,0.1,3.7,0.1,7.06
Harry Maguire,Man Utd,30, D(C)  ,34,3048,1,0.2,65.5,87.3,0,4.5,0,7.04
John Stones,Man City,28, D(CR)  ,22,1934,0,0.1,78.5,93.3,0,2.8,0,7.03
James Justin,Leicester,25," D(CLR),M(LR)  ",23,2070,1,0.9,45.8,80.5,0.3,1.2,0,7.03
Luke Shaw,Man Utd,27," D(CL),M(L)  ",30(2),2657,5,2.3,50.3,85,1.8,0.9,0,7.03
Patrick Bamford,Leeds,29," AM(CLR),FW  ",37(1),3066,7,0.8,13.3,77.3,0,0.1,0.1,7.03
James Tarkowski,Burnley,30, D(C)  ,36,3240,0,0.3,35,70.1,0.1,3.6,0,7.02
Antonio Rüdiger,Chelsea,30, D(CR)  ,19,1710,0,0.2,80.2,89.4,0.1,4,0,7.02
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  ",34(2),3033,7,2.1,66.1,79.4,1.9,4.2,0.1,7.02
Wesley Fofana,Leicester,22, D(C)  ,27(1),2265,0,0.2,60.3,86.4,0,2.7,0,7.01
Declan Rice,West Ham,24," D(C),DMC  ",32,2880,1,0.7,47.7,88,0.3,2.3,0,7.01
Kalvin Phillips,Leeds,27," D(C),DMC  ",28(1),2431,2,1.2,48.4,84.7,1,4.7,0.1,7.01
James Maddison,Leicester,26, AM(CLR)  ,24(7),2105,5,1.6,32.9,83.3,0.8,1.1,0.1,7.00
Ben Chilwell,Chelsea,26," D(L),M(L)  ",27,2290,5,1.1,54.4,82,1,1.9,0,7.00
Emiliano Martínez,Aston Villa,30, GK  ,38,3420,0,0.1,29.8,62.5,0,7,0,7.00
André-Frank Zambo Anguissa,Fulham,27, M(C)  ,29(7),2587,3,0.8,39.3,84.2,0.1,1.1,0.1,6.99
Yves Bissouma,Brighton,26, M(C)  ,35(1),3114,0,0.4,46.8,87.4,0,2.1,0,6.98
Richarlison,Everton,25," AM(CLR),FW  ",33(1),2872,3,0.7,22,70,0.1,0.4,0.1,6.98
Harvey Barnes,Leicester,25, AM(CL)  ,22(3),1950,4,1,24.2,75.2,0.1,0.7,0,6.98
Jack Harrison,Leeds,26," AM(CLR),FW  ",34(2),2858,8,1.6,27.5,74,0.9,0.9,0,6.96
Matheus Pereira,West Brom,26, AM(CLR)  ,30(3),2582,6,1.8,28.5,79.6,1.1,1.5,0.2,6.96
Vladimír Coufal,West Ham,30," D(R),M(R)  ",34,3055,7,1.3,37.6,71.2,1,1,0,6.95
Pierre-Emile Højbjerg,Tottenham,27, M(C)  ,38,3420,4,0.4,72.8,88.5,0,2.8,0,6.95
