Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Nicolas Nkoulou,Torino,32, D(C)  ,16(2),1359,0,0.1,40,86,0,2.7,0,6.53
Gastón Ramírez,Sampdoria,32," AM(CLR),FW  ",10(15),966,4,0.9,17.2,78.2,0.5,1,0,6.53
Aleksey Miranchuk,Atalanta,27," M(CR),FW  ",4(21),661,2,0.6,15.4,79.5,0.2,0.5,0,6.53
Danilo,Bologna,38, D(C)  ,34(1),3131,1,0.3,49.9,80.7,0,5.1,0.1,6.53
Gaetano Castrovilli,Fiorentina,26, M(C)  ,29(5),2349,3,0.5,20.8,78.5,0.3,1.2,0,6.53
Mattias Svanberg,Bologna,24, M(CL)  ,24(10),1863,2,0.4,18.9,79.6,0,0.8,0.1,6.52
Ivan Radovanovic,Genoa,34," D(C),DMC  ",24(9),2228,0,0.1,34.4,85.1,0.1,2.9,0,6.52
Nicolás Domínguez,Bologna,24, M(C)  ,15(13),1258,0,0.7,24.9,87.1,0.1,1.1,0,6.52
Andrea Masiello,Genoa,37, D(CR)  ,30,2567,0,0.2,46.5,83.8,0.1,3.5,0,6.52
Walace,Udinese,27, DMC  ,23(7),2059,0,0.3,38.4,88.5,0,2.3,0,6.52
Ivan Provedel,Spezia,28, GK  ,29,2610,0,0,43.8,72,0,10.6,0,6.52
Miha Zajc,Genoa,28," M(C),FW  ",22(9),1871,3,0.6,31.7,84.6,0.6,1.3,0,6.51
Riccardo Improta,Benevento,29," DMC,M(L)  ",23(11),2335,0,0.6,23.1,73.2,0.7,0.9,0,6.51
Riccardo Gagliolo,Parma Calcio 1913,32, D(CL)  ,22(6),1956,2,0.6,42.6,81.3,0.5,3.5,0,6.51
Maxime Lopez,Sassuolo,25, M(CR)  ,22(7),1871,0,0.7,57,94.1,0.2,1.1,0,6.51
Daniele Verde,Spezia,26," AM(CLR),FW  ",13(9),983,1,0.5,16,84.9,0.2,0.7,0,6.50
Jakub Jankto,Sampdoria,27, M(CLR)  ,29(6),2423,3,1,23,73.2,0.4,0.7,0.1,6.50
Marco Silvestri,Verona,32, GK  ,34,3060,0,0,27,41.1,0,6.5,0,6.49
Bartlomiej Dragowski,Fiorentina,25, GK  ,37,3151,1,0,24,60.7,0,6.2,0,6.49
Nahuel Molina,Udinese,24," D(R),M(R)  ",18(11),1821,5,0.8,25.5,78.8,0.6,0.8,0,6.49
Sandro Tonali,AC Milan,22, DMC  ,17(8),1338,0,0.6,29.6,83.6,0.4,1.4,0,6.49
Giulio Maggiore,Spezia,24, M(C)  ,26(7),2225,1,0.4,23.6,70.9,0.1,0.8,0.1,6.48
Sasa Lukic,Torino,26, M(C)  ,24(8),2112,0,0.7,23.8,81,0.4,0.6,0,6.48
Pawel Dawidowicz,Verona,27, D(C)  ,22(8),1866,0,0.2,29.1,83.4,0,1.3,0,6.48
Mert Müldür,Sassuolo,23, D(R)  ,18(10),1678,0,0.3,29.7,80.5,0.1,1.1,0,6.48
Sebastian Walukiewicz,Cagliari,22, D(C)  ,18(1),1618,1,0.1,42.5,85.9,0,2.6,0,6.47
Claudio Terzi,Spezia,38, D(C)  ,22(3),1874,1,0.2,53,84.5,0,7.1,0,6.47
Germán Pezzella,Fiorentina,31, D(C)  ,32,2748,0,0.1,36.6,85.1,0,2,0,6.46
