Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Edimilson Fernandes,Mainz,26," D(C),M(CR)  ",17(4),1525,2,0.5,31.6,75.5,0.5,3.5,0,6.63
Karim Adeyemi,Borussia Dortmund,21," AM(R),FW  ",12(4),806,2,0.8,16.7,77.2,0,0.3,0,6.63
Serhou Guirassy,Stuttgart,26," AM(L),FW  ",12(1),980,0,0.8,20.2,69.8,0.1,0.4,0,6.63
Jirí Pavlenka,Werder Bremen,30, GK  ,23,2009,0,0,31,68.3,0,8.2,0,6.62
Kevin Akpoguma,Hoffenheim,27," D(CR),M(R)  ",12(7),1200,0,0.2,32.7,78.7,0.1,1.6,0.1,6.62
Anthony Jung,Werder Bremen,31," D(CL),M(L)  ",22(1),1795,4,0.7,36.7,77.7,0.4,1.7,0,6.62
Niklas Stark,Werder Bremen,27," D(C),DMC  ",12(4),1137,0,0.2,47.3,82.8,0,3.8,0,6.62
Robert Skov,Hoffenheim,26," D(L),M(LR)  ",14(3),1081,2,1,24.8,72.4,0.8,1.5,0,6.62
Kerem Demirbay,Leverkusen,29, M(C)  ,12(7),1081,3,1.1,36.2,80.6,0.9,1.6,0.1,6.61
Lucas Höler,Freiburg,28," AM(CLR),FW  ",6(9),635,0,0.3,14.7,63.6,0.1,0.2,0,6.60
Waldemar Anton,Stuttgart,26," D(CR),DMC  ",23,2024,0,0.3,55.3,80,0.3,2.9,0,6.60
Rani Khedira,Union Berlin,29," D(C),DMC  ",22,1924,0,0.3,31,75.7,0.1,1.3,0,6.60
Piero Hincapié,Leverkusen,21, D(CL)  ,17(3),1587,0,0.4,53.9,83.6,0.2,2,0.1,6.60
Niko Gießelmann,Union Berlin,31," D(CL),M(L)  ",11(7),1047,2,1.1,22.2,70.7,1.3,1.4,0,6.60
Mohamed Simakan,RBL,22, D(CR)  ,11(3),850,1,0.1,46.9,83.7,0.1,2.2,0.1,6.59
Josko Gvardiol,RBL,21, D(CL)  ,16(5),1485,0,0.4,69,89,0.1,4.7,0,6.59
Emil Forsberg,RBL,31," AM(CLR),FW  ",10(10),990,3,0.6,18,84.7,0.1,0.5,0,6.59
Jakub Kaminski,Wolfsburg,20, AM(LR)  ,15(5),1265,2,0.9,16.2,74.7,0.2,0.4,0.1,6.59
Omar Marmoush,Wolfsburg,24," AM(L),FW  ",10(12),1009,1,0.3,12.8,70.9,0.1,0.5,0,6.59
Janis Blaswich,RBL,31, GK  ,16,1440,0,0,36.7,86.9,0,3.2,0,6.59
Munas Dabbur,Hoffenheim,30," AM(C),FW  ",4(10),571,0,0.7,13.3,72.6,0.1,0.3,0,6.58
Atakan Karazor,Stuttgart,26," D(C),DMC  ",13(7),1192,1,0.7,34.3,85.4,0,1.8,0,6.58
Adam Hlozek,Leverkusen,20," AM(CL),FW  ",12(8),934,3,0.9,12.1,76.4,0.3,0.3,0.1,6.58
Jonjoe Kenny,Hertha Berlin,25," D(LR),M(R)  ",18(2),1598,1,0.6,34.5,75.8,0.4,2.5,0,6.57
Mattias Svanberg,Wolfsburg,24, M(CL)  ,13(9),1201,4,0.7,14.7,71.3,0.3,0.5,0,6.57
Edmond Tapsoba,Leverkusen,24, D(C)  ,23,2034,0,0.2,69.1,86.1,0,4,0.1,6.57
Dennis Geiger,Hoffenheim,24, M(C)  ,18,1265,2,1.6,30.7,85.7,0.8,2,0,6.57
Dejan Ljubicic,FC Koln,25, M(CR)  ,11(5),999,0,1,20.8,77.8,0.2,1.1,0.1,6.57
Diogo Leite,Union Berlin,24, D(C)  ,19,1639,1,0.2,54,78.8,0.1,4.6,0,6.57
Milos Veljkovic,Werder Bremen,27," D(C),DMC  ",16(3),1430,0,0.2,44,81.7,0,4.6,0,6.57
Felix Uduokhai,Augsburg,25, D(C)  ,10(3),973,1,0.2,37.8,73.3,0,2.5,0,6.57
Donyell Malen,Borussia Dortmund,24," AM(L),FW  ",12(3),922,1,1.1,17.3,78.8,0.8,0.3,0,6.57
Chidera Ejuke,Hertha Berlin,25," AM(CLR),FW  ",9(6),791,3,0.5,16.5,82.7,0.1,0.7,0.1,6.56
Eric Martel,FC Koln,20, DMC  ,14(5),1248,0,0.2,28.6,80.1,0.1,0.8,0,6.56
Sebastiaan Bornauw,Wolfsburg,23, D(C)  ,15(2),1245,0,0.1,43.6,84.6,0,1.9,0,6.56
Amos Pieper,Werder Bremen,25, D(C)  ,19(3),1668,1,0.2,45.4,80.3,0.2,2.9,0,6.56
Christopher Antwi-Adjei,Bochum,29, AM(CLR)  ,11(7),1063,6,1.1,12.9,69.8,0.6,0.4,0.1,6.56
Robert Gumny,Augsburg,24, D(CLR)  ,17(2),1552,2,0.4,25.3,66.9,0.2,1.5,0,6.56
Anthony Losilla,Bochum,36," D(C),DMC  ",21,1836,2,0.4,32.7,69.2,0.1,1.2,0,6.55
Salih Özcan,Borussia Dortmund,25, M(C)  ,16(3),1344,1,0.4,43.2,87.1,0.1,1.9,0,6.55
Kristijan Jakic,Eintracht Frankfurt,25," D(CR),DMC  ",14(6),1244,0,0.3,34.6,77.6,0.1,1.3,0.1,6.55
Danny da Costa,Mainz,29," D(R),M(R)  ",9(5),846,2,0.7,20.7,65.2,0.5,0.7,0,6.55
Marcel Halstenberg,RBL,31," D(CL),M(L)  ",12(8),1132,1,0.5,36.9,80.7,0.3,1.1,0,6.55
Maximilian Eggestein,Freiburg,26, M(CR)  ,18(4),1656,2,0.7,26,77.4,0,0.7,0.1,6.54
Christian Groß,Werder Bremen,34," D(C),DMC  ",17(2),1387,0,0.2,33.5,83,0.1,1.4,0.1,6.54
Marvin Plattenhardt,Hertha Berlin,31," D(L),M(L)  ",19(1),1585,2,1.3,27.9,75.4,1.4,1.2,0,6.53
Anthony Modeste,Borussia Dortmund,34, FW  ,7(8),767,1,0.5,7.5,59.8,0.1,0,0,6.53
Ansgar Knauff,Eintracht Frankfurt,21, M(LR)  ,12(6),1033,1,0.2,21.2,65.4,0.3,0.6,0,6.53
Manuel Riemann,Bochum,34, GK  ,23,2070,0,0.1,49.3,59.4,0,19,0,6.53
Benno Schmitz,FC Koln,28, D(CLR)  ,20(1),1642,0,0.6,34.6,62.3,0.7,1.7,0,6.53
Andrej Kramaric,Hoffenheim,31," AM(CLR),FW  ",16(6),1546,2,1.1,28.2,81.8,0.3,1.4,0,6.52
Danilo Soares,Bochum,31," D(L),M(L)  ",16,1272,0,0.4,33.6,72.1,0.1,1.9,0.1,6.52
Philipp Förster,Bochum,28," M(CLR),FW  ",12(7),1006,5,0.8,18.2,78.3,0.8,0.7,0,6.52
Marius Bülter,Schalke,29," D(R),M(CLR),FW  ",20(3),1746,0,1.1,18.8,66.1,0.8,0.4,0,6.52
Sebastian Rode,Eintracht Frankfurt,32," D(R),M(C)  ",11(8),876,1,0.4,27.1,84.8,0,0.9,0.1,6.52
Lukás Hrádecky,Leverkusen,33, GK  ,22,1980,0,0,29.6,69.4,0,5.5,0,6.52
Joe Scally,Borussia M.Gladbach,20," D(R),M(R)  ",19(2),1709,0,0.5,34.2,79.1,0.5,1.3,0,6.52
Leonardo Bittencourt,Werder Bremen,29," M(CLR),FW  ",14(2),1026,1,0.4,28.7,74.7,0.2,1,0,6.52
Julian Weigl,Borussia M.Gladbach,27," D(C),DMC  ",14(2),1267,0,0.1,48.1,88.3,0,1.6,0.1,6.51
Nadiem Amiri,Leverkusen,26, M(CLR)  ,6(12),698,1,0.6,18.7,87.2,0.2,0.9,0.1,6.51
Jonathan Tah,Leverkusen,27, D(C)  ,19(3),1673,0,0.2,50.2,89.4,0,2.1,0,6.51
Sardar Azmoun,Leverkusen,28," AM(C),FW  ",5(8),550,1,0.8,11.5,67.3,0,0.7,0.1,6.51
Wilfried Kanga,Hertha Berlin,25, FW  ,13(4),1179,0,1.1,11.9,63.9,0.1,0.1,0,6.50
Marvin Friedrich,Borussia M.Gladbach,27, D(C)  ,10(5),962,0,0.3,48.9,85.5,0,2,0,6.50
