Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Robert Lewandowski,Bayern,34, FW  ,28(1),2463,7,1.1,22.8,77.2,0.2,0.5,0,8.07
Erling Haaland,Borussia Dortmund,22, FW  ,27(1),2410,6,1,16.3,72.7,0,0.1,0,7.63
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",25(2),2197,10,2.4,71,88.3,2.2,6.5,0.2,7.57
Jadon Sancho,Borussia Dortmund,22, AM(CLR)  ,24(2),2069,11,2.6,50.2,82.4,1,0.8,0.2,7.54
André Silva,Eintracht Frankfurt,27, FW  ,32,2771,5,1,23.4,73.4,0.1,0.3,0,7.51
Thomas Müller,Bayern,33," M(CLR),FW  ",31(1),2683,18,2.9,43.5,75,0.8,1.2,0.1,7.51
Matheus Cunha,Hertha Berlin,23," AM(CL),FW  ",25(2),2156,4,1.8,23.1,70.9,1.2,1.7,0,7.33
Wout Weghorst,Wolfsburg,30, FW  ,33(1),2950,8,1.3,23.1,66.1,0,0.6,0.1,7.31
Maximilian Arnold,Wolfsburg,28, M(CR)  ,30,2591,6,1.6,50.1,84.4,1.4,5.2,0.1,7.30
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  ",29(1),2536,14,3,35.1,69.9,2.6,1.4,0,7.29
Christopher Nkunku,RBL,25," M(CLR),FW  ",19(9),1895,6,2.5,29.8,84.3,1.6,0.6,0,7.26
Mats Hummels,Borussia Dortmund,34, D(C)  ,32(1),2817,0,0.4,80,87.6,0,7.6,0,7.26
Leon Bailey,Leverkusen,25," M(CLR),FW  ",25(5),2148,8,1.6,25.9,78.1,1.3,1.6,0,7.26
Raphaël Guerreiro,Borussia Dortmund,29," D(L),M(CL)  ",25(2),2224,10,2,70.4,86.9,0.8,2,0.3,7.24
Andrej Kramaric,Hoffenheim,31," AM(CLR),FW  ",26(2),2386,5,1.4,31.9,82.2,0.9,1.3,0.1,7.23
Leon Goretzka,Bayern,28, M(CR)  ,18(6),1707,5,0.8,43.5,87.7,0.1,3,0,7.20
Serge Gnabry,Bayern,27," AM(CLR),FW  ",20(7),1654,2,1.4,28.3,83.5,0.5,0.8,0,7.18
Willi Orbán,RBL,30, D(C)  ,25(4),2361,1,0.3,72,87.5,0.1,2.4,0,7.17
Silas Mvumpa,Stuttgart,24," M(LR),FW  ",24(1),1931,4,0.9,17,70.8,0.2,0.5,0,7.13
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  ",21(3),1825,11,2.4,36.3,80.3,2.1,2.3,0,7.13
Kingsley Coman,Bayern,26," M(LR),FW  ",23(6),1767,10,1.6,25.5,84.9,0.9,0.9,0,7.11
Marco Reus,Borussia Dortmund,33," M(CLR),FW  ",27(5),2295,6,1.5,33.1,81.7,0.4,1.3,0.1,7.10
Angeliño,RBL,26," D(L),M(L)  ",24(2),2165,4,2,42.8,74.4,2,1.7,0,7.09
Vincenzo Grifo,Freiburg,29, AM(CL)  ,27(4),2328,10,2.1,32.3,78.6,1.4,2.3,0.1,7.07
