Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Cristiano Ronaldo,Juventus,38," M(L),FW  ",33,2919,5,1.5,36.5,85.1,0.2,0.9,0,7.82
Josip Ilicic,Atalanta,35," AM(CLR),FW  ",21(5),1673,5,2.1,34.6,81.9,0.7,1.8,0.3,7.65
Ciro Immobile,Lazio,33, FW  ,36(1),3176,9,1.6,23.9,77,0,0.9,0.1,7.57
Luis Alberto,Lazio,30," AM(CL),FW  ",36,3122,15,2.9,57.6,83.5,1.2,3.1,0.4,7.55
Papu Gómez,Atalanta,35," M(CLR),FW  ",34(2),2861,16,2.8,47.8,85.3,1.8,2.1,0.1,7.55
Zlatan Ibrahimovic,AC Milan,41, FW  ,16(2),1365,5,1.4,32.8,70.9,0.2,1.1,0.1,7.51
Edin Dzeko,Roma,36, FW  ,31(4),2884,7,1.5,22,69.9,0.1,1.5,0.1,7.48
Domenico Berardi,Sassuolo,28," AM(R),FW  ",29(2),2505,10,1.9,35.1,78.4,0.6,1.5,0.3,7.45
Paulo Dybala,Juventus,29," AM(CR),FW  ",25(8),2165,6,2.1,42.2,88.1,0.8,2.2,0.1,7.44
Duván Zapata,Atalanta,31, FW  ,25(3),2038,6,1.4,19.6,79.6,0.3,0.4,0,7.41
Romelu Lukaku,Inter,29," AM(R),FW  ",33(3),2984,2,1.5,21.5,70.7,0.2,0.7,0,7.30
Musa Barrow,Bologna,24," AM(CL),FW  ",14(4),1354,2,1.9,29.1,78.2,0.6,1.4,0.1,7.28
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,35(2),3038,4,1.3,45.8,77.2,0.3,3.2,0.1,7.27
Rodrigo De Paul,Udinese,28," AM(CLR),FW  ",33(1),2828,6,2.3,46,82,1.6,3.6,0.1,7.25
Robin Gosens,Atalanta,28," D(L),M(CL)  ",31(3),2628,8,1.2,38,78.4,0.6,1.1,0,7.22
Radja Nainggolan,Cagliari,34, M(C)  ,25(1),2082,7,1.9,39.8,79.8,0.8,4.4,0.2,7.21
Theo Hernández,AC Milan,25," D(L),M(L)  ",32(1),2819,3,1.3,49.8,84.3,0.4,1.9,0,7.19
Hakan Çalhanoglu,AC Milan,29," M(CLR),FW  ",34(1),2719,9,2,41.5,84,0.9,1.9,0.1,7.19
Jérémie Boga,Sassuolo,26," AM(CLR),FW  ",28(6),2525,2,1,28.1,86.8,0,0.1,0,7.17
Joaquín Correa,Lazio,28," AM(CL),FW  ",22(8),2005,2,1.1,22.2,81.7,0.1,0.7,0,7.16
Marcelo Brozovic,Inter,30, M(CR)  ,30(2),2703,6,1.2,65,89.9,0.3,5.7,0,7.15
Aleksandar Kolarov,Roma,37," D(CL),M(L)  ",30(2),2760,3,1.8,45.5,83.7,1.7,2.8,0.1,7.14
Manuel Locatelli,Sassuolo,25, M(C)  ,31(2),2597,5,1.5,64,88,0.5,3.5,0.2,7.13
Andrea Belotti,Torino,29, FW  ,34(2),3011,3,1.2,19.7,68.8,0.2,0.6,0,7.12
Dejan Kulusevski,Parma Calcio 1913,22," AM(CR),FW  ",33(3),2938,8,2.2,29.4,80.5,0.3,0.8,0.1,7.12
Juan Cuadrado,Juventus,34," D(R),M(CLR),FW  ",28(5),2652,5,1.3,61.4,89.5,0.7,3,0,7.11
Lorenzo Insigne,Napoli,31," AM(CL),FW  ",34(3),2823,6,2.3,44.4,85.4,0.6,2,0.1,7.11
Rodrigo Bentancur,Juventus,25, M(C)  ,25(5),2199,7,1.5,52.1,88.9,0.7,2,0.1,7.10
Henrikh Mkhitaryan,Roma,34," M(CLR),FW  ",16(6),1536,5,1.2,30.5,84.1,0.1,1.4,0.1,7.09
Filippo Falco,Lecce,31," AM(CR),FW  ",24(6),2021,6,1.8,29.5,87.8,1.1,1.6,0,7.08
Francesco Caputo,Sassuolo,35, FW  ,33(3),2937,7,1.5,21.7,79.3,0.1,0.4,0.1,7.08
Miralem Pjanic,Juventus,32, M(C)  ,28(2),2286,6,1.9,63.6,90.4,0.8,3.3,0,7.08
