Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  ",27(4),2389,27,7,5,0,3.4,80.7,0.2,6,7.68
Andy Delort,Montpellier,31," AM(R),FW  ",30,2494,15,9,4,0,3,62.5,4.7,6,7.60
Memphis Depay,Lyon,29," AM(CL),FW  ",33(4),2932,20,12,4,0,3,76.1,0.4,9,7.56
Ángel Di María,PSG,35," M(CLR),FW  ",23(4),1863,4,9,1,0,2.2,81.2,0,5,7.33
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",34(1),2830,14,6,3,0,2.6,80.3,1,6,7.32
Benjamin André,Lille,32," D(R),M(CLR)  ",35,2903,0,1,10,0,0.5,84.1,2.7,6,7.27
Téji Savanier,Montpellier,31, M(C)  ,26(1),2175,5,5,6,1,2.1,74.4,0.7,6,7.26
Gaëtan Laborde,Montpellier,28," AM(CLR),FW  ",38,3270,16,8,3,0,2.6,67,3.6,4,7.25
Marco Verratti,PSG,30, M(C)  ,16(5),1491,0,2,7,0,0.5,91.7,0.6,2,7.24
Fabien Centonze,Metz,27," D(R),M(R)  ",36,3222,1,0,9,0,0.7,79.5,1.6,1,7.23
Ludovic Ajorque,Strasbourg,29, FW  ,34(1),2972,16,4,5,0,2,68.3,4.7,4,7.22
Farid Boulaya,Metz,30," AM(CLR),FW  ",32(1),2822,6,8,5,0,2.4,74.4,0.9,3,7.22
Lucas Paquetá,Lyon,25," M(CLR),FW  ",27(3),2285,9,5,4,1,1.8,81,1.3,1,7.22
Zinedine Ferhat,Nimes,30, M(LR)  ,33,2960,6,10,3,0,1.9,71,2.2,8,7.21
Romain Faivre,Brest,24, AM(CLR)  ,33(3),2902,6,5,0,0,1.8,84.8,0.4,5,7.18
Aleksandr Golovin,Monaco,26, M(CLR)  ,12(9),1072,5,9,2,0,1.3,76.5,0.5,3,7.16
Steve Mounié,Brest,28, FW  ,31(4),2696,9,4,6,0,2.3,58,7.4,2,7.16
