Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Robert Lewandowski,Bayern,34, FW  , FW  ,34,35,3,4.7,1.1,1.4,1.1,0.6,1.6,2.4,7.89
Christopher Nkunku,RBL,25," M(CLR),FW  "," M(CLR),FW  ",31(3),20,13,2.4,1.9,1.9,1.8,0.4,1.5,3.2,7.64
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  "," D(CR),DMC,M(R)  ",28,3,11,1,2.9,0.8,1.6,0,0.6,1.1,7.60
Erling Haaland,Borussia Dortmund,22, FW  , FW  ,21(3),22,7,3.3,1,0.5,0.6,0.6,0.7,2.4,7.55
Patrik Schick,Leverkusen,27," AM(R),FW  "," AM(R),FW  ",26(1),24,3,3.3,0.6,0.6,0.8,0.2,0.8,2.2,7.45
Florian Wirtz,Leverkusen,19," AM(C),FW  "," AM(C),FW  ",22(2),7,10,1.5,2.5,2.3,1,0.4,1.4,3.1,7.41
Nico Schlotterbeck,Freiburg,23, D(C)  , D(C)  ,32,4,1,1.1,0.4,0.7,1.1,0,0.5,0.9,7.39
Thomas Müller,Bayern,33," M(CLR),FW  "," M(CLR),FW  ",32,8,18,1.7,2.6,0.4,0.7,0.4,0.8,1.7,7.34
Alphonso Davies,Bayern,22," D(L),M(LR)  "," D(L),M(LR)  ",20(2),0,3,0.8,1.5,3.6,1.2,0.1,1.1,2.1,7.31
Serge Gnabry,Bayern,27," AM(CLR),FW  "," AM(CLR),FW  ",25(9),14,5,2,1.4,1.9,0.6,0.4,0.6,1.8,7.30
Marco Reus,Borussia Dortmund,33," M(CLR),FW  "," M(CLR),FW  ",29,9,12,1.8,1.8,1,1.5,0.3,1.1,2.1,7.25
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  "," D(R),M(CLR)  ",24(2),12,5,2.1,2.7,0.8,0.8,0.3,0.9,1.7,7.20
Moussa Diaby,Leverkusen,23," M(CLR),FW  "," M(CLR),FW  ",32,13,12,1.7,1.9,1.8,0.8,0.5,0.9,2.2,7.20
Leroy Sané,Bayern,27," M(CLR),FW  "," M(CLR),FW  ",22(10),7,7,2.8,1.6,1.9,0.8,0.2,1.3,1.7,7.17
David Raum,Hoffenheim,24," D(L),M(LR)  "," D(L),M(LR)  ",31(1),3,11,0.8,2.6,1,1,0.2,0.5,1.4,7.16
Kingsley Coman,Bayern,26," M(LR),FW  "," M(LR),FW  ",16(5),6,2,2.2,1.1,2.3,1,0.2,1.4,2.4,7.13
Jude Bellingham,Borussia Dortmund,19, M(CLR)  , M(CLR)  ,32,3,8,1.4,1.2,1.7,2.8,0.2,1.9,2.6,7.12
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  "," M(CLR),FW  ",22(9),9,8,1.1,1.4,1.2,0.5,0.1,1,1.9,7.12
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  "," M(LR),FW  ",28(3),4,9,1.6,2.8,0.8,0.7,0.1,1.1,1.6,7.11
