Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  "," AM(LR),FW  ",27(4),27,7,3.4,1.1,2.9,1.2,0.5,1.5,2.6,7.68
Andy Delort,Montpellier,31," AM(R),FW  "," AM(R),FW  ",30,15,9,3,1.8,1,1.4,0.6,0.8,2.5,7.60
Memphis Depay,Lyon,29," AM(CL),FW  "," AM(CL),FW  ",33(4),20,12,3,2.5,2.1,1.4,0.3,1.5,3.2,7.56
Ángel Di María,PSG,35," M(CLR),FW  "," M(CLR),FW  ",23(4),4,9,2.2,2.6,1.5,1,0.3,0.8,2.1,7.33
Karl Toko Ekambi,Lyon,30," AM(LR),FW  "," AM(LR),FW  ",34(1),14,6,2.6,1.4,1.7,0.8,0.4,0.7,2.1,7.32
Benjamin André,Lille,32," D(R),M(CLR)  "," D(R),M(CLR)  ",35,0,1,0.5,0.6,0.8,1.5,0,1.1,1.1,7.27
Téji Savanier,Montpellier,31, M(C)  , M(C)  ,26(1),5,5,2.1,2.3,1.9,2.4,0,1.6,1.8,7.26
Gaëtan Laborde,Montpellier,28," AM(CLR),FW  "," AM(CLR),FW  ",38,16,8,2.6,1,0.9,0.8,0.2,0.8,2.7,7.25
Marco Verratti,PSG,30, M(C)  , M(C)  ,16(5),0,2,0.5,1.1,2.3,2.4,0,1.4,1.4,7.24
Fabien Centonze,Metz,27," D(R),M(R)  "," D(R),M(R)  ",36,1,0,0.7,0.6,1.6,1.6,0.1,0.9,1.8,7.23
Ludovic Ajorque,Strasbourg,29, FW  , FW  ,34(1),16,4,2,1,0.3,1.3,0.3,0.9,2.1,7.22
Farid Boulaya,Metz,30," AM(CLR),FW  "," AM(CLR),FW  ",32(1),6,8,2.4,2.3,1.8,1.9,0,1.1,2.2,7.22
Lucas Paquetá,Lyon,25," M(CLR),FW  "," M(CLR),FW  ",27(3),9,5,1.8,1.5,1.1,2.3,0.2,1.1,1.8,7.22
Zinedine Ferhat,Nimes,30, M(LR)  , M(LR)  ,33,6,10,1.9,1.5,1.9,2,0.3,1.5,2.7,7.21
Romain Faivre,Brest,24, AM(CLR)  , AM(CLR)  ,33(3),6,5,1.8,1.8,2.5,2,0,0.9,2.1,7.18
Aleksandr Golovin,Monaco,26, M(CLR)  , M(CLR)  ,12(9),5,9,1.3,1.7,0.9,0.6,0.1,0.6,1.4,7.16
Steve Mounié,Brest,28, FW  , FW  ,31(4),9,4,2.3,0.5,0.4,0.8,0.6,1.1,2,7.16
Aurélien Tchouaméni,Monaco,23, DMC  , DMC  ,36,2,3,1.5,0.5,0.6,1.7,0,0.9,1.4,7.16
Burak Yilmaz,Lille,37," AM(L),FW  "," AM(L),FW  ",23(5),16,5,2.4,1,0.5,1.3,1,0.8,2,7.14
Angelo Fulgini,Angers,26," AM(CLR),FW  "," AM(CLR),FW  ",33,7,4,2,1.7,2.5,4,0.1,2.1,3,7.13
Amine Gouiri,Nice,23," AM(L),FW  "," AM(L),FW  ",31(3),12,7,2.4,1.5,1.5,1.1,0.2,1.6,2.4,7.13
Kiki Kouyaté,Metz,25, D(C)  , D(C)  ,21(4),1,0,0.5,0.1,0.1,1.2,0.2,0.2,0.5,7.10
Jérémy Doku,Rennes,20, AM(LR)  , AM(LR)  ,26(4),2,3,1.2,1.4,3.7,2.3,0.2,2,2.8,7.07
Jonathan Bamba,Lille,26," AM(CLR),FW  "," AM(CLR),FW  ",34(4),6,9,1.6,1.7,1.4,1.8,0.1,1.9,2.3,7.07
Kevin Volland,Monaco,30," AM(CLR),FW  "," AM(CLR),FW  ",34(1),16,7,1.6,0.9,0.5,1.3,0.4,1.1,2.3,7.06
Wissam Ben Yedder,Monaco,32," AM(C),FW  "," AM(C),FW  ",32(5),20,7,2.2,1.1,0.8,1.1,0.5,1.2,1.9,7.06
Ludovic Blas,Nantes,25," M(CLR),FW  "," M(CLR),FW  ",32(4),10,4,2,0.8,2.6,1.4,0.1,1.8,2.4,7.06
José Fonte,Lille,39, D(C)  , D(C)  ,36,3,0,0.8,0.3,0.2,0.4,0,0,0.3,7.05
Reinildo,Lille,29," D(CL),M(L)  "," D(CL),M(L)  ",24(5),0,0,0.1,0.6,1,1.2,0.1,0.4,0.8,7.05
Marquinhos,PSG,28," D(CR),DMC  "," D(CR),DMC  ",24(1),3,1,0.6,0.1,0.1,0.2,0,0.1,0.3,7.05
Rafinha,PSG,31, M(CLR)  , M(CLR)  ,15(8),0,4,1,1,1.3,1.7,0,1.5,1.5,7.02
Mahdi Camara,Saint-Etienne,24," D(CR),DMC  "," D(CR),DMC  ",37,3,2,0.6,0.6,0.8,1.1,0,0.6,1.1,7.01
Léo Dubois,Lyon,28," D(LR),M(R)  "," D(LR),M(R)  ",35(2),2,4,0.5,1.8,0.8,0.9,0.1,0.4,1.2,7.00
Zeki Çelik,Lille,26," D(R),M(R)  "," D(R),M(R)  ",28(1),3,2,0.5,0.8,0.7,0.5,0.1,0.5,1.2,7.00
Sven Botman,Lille,23, D(C)  , D(C)  ,37,0,0,0.4,0.1,0.2,0.7,0.1,0.1,0.5,6.99
Florian Thauvin,Marseille,30," M(CLR),FW  "," M(CLR),FW  ",33(3),8,8,2,1.6,1.6,1.5,0.2,1.4,2.2,6.98
Mathieu Debuchy,Saint-Etienne,37," D(CR),M(R)  "," D(CR),M(R)  ",25(1),2,1,1,0.7,0.5,0.7,0.2,0.5,1.3,6.97
Marcelo,Lyon,35, D(C)  , D(C)  ,34,3,0,0.7,0.2,0.1,0.3,0,0.1,0.3,6.97
Massadio Haïdara,Lens,30," D(CL),M(L)  "," D(CL),M(L)  ",24(1),2,1,0.5,0.7,0.6,1.4,0.1,0.3,1.3,6.96
Moise Kean,PSG,23," AM(LR),FW  "," AM(LR),FW  ",22(4),13,0,2,0.3,1,0.2,0.2,1.2,1.7,6.95
Sofiane Diop,Monaco,22, AM(CLR)  , AM(CLR)  ,24(8),7,1,1.4,0.9,1.4,1.8,0.1,1.1,1.7,6.95
Loïc Badé,Lens,22, D(C)  , D(C)  ,29(2),0,0,0.4,0.2,0.7,0.5,0,0.4,0.7,6.95
Tinotenda Kadewere,Lyon,27," AM(R),FW  "," AM(R),FW  ",24(9),10,3,1.8,0.6,0.9,0.8,0.3,1,1.6,6.94
Boubacar Kamara,Marseille,23," D(CL),DMC  "," D(CL),DMC  ",35,0,2,0.5,0.7,1,1.6,0,0.7,1.1,6.94
Nayef Aguerd,Rennes,26, D(C)  , D(C)  ,35,3,1,0.8,0.1,0.3,0.8,0.1,0.3,0.3,6.94
Valentin Rongier,Marseille,28," D(R),M(C)  "," D(R),M(C)  ",21(5),1,2,0.7,0.5,1,0.9,0,0.3,1.3,6.93
Laurent Koscielny,Bordeaux,37, D(C)  , D(C)  ,25(1),0,2,0.2,0.3,0.1,0.9,0.1,0,0.3,6.92
Brendan Chardonnet,Brest,28, D(C)  , D(C)  ,30(3),3,1,0.6,0.2,0.2,0.7,0,0.1,0.3,6.92
Dimitri Payet,Marseille,35," M(CLR),FW  "," M(CLR),FW  ",28(5),7,10,1.4,2,1.1,1.4,0,0.8,1.6,6.92
