Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  ",27(4),2389,0.1,0.1,0.7,0,0.1,0.2,0,0,7.68
Andy Delort,Montpellier,31," AM(R),FW  ",30,2494,0.4,0.1,1.8,0,1.1,0.3,0,0,7.60
Memphis Depay,Lyon,29," AM(CL),FW  ",33(4),2932,0.1,0.1,0.8,0,0.1,0.5,0,0,7.56
Ángel Di María,PSG,35," M(CLR),FW  ",23(4),1863,1,0.2,0.4,0,0.2,1.3,0,0,7.33
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",34(1),2830,0.5,0.7,0.8,0,0.2,0.7,0,0,7.32
Benjamin André,Lille,32," D(R),M(CLR)  ",35,2903,3.3,2.2,2,0,1.2,2,0.3,0,7.27
Téji Savanier,Montpellier,31, M(C)  ,26(1),2175,1.8,1.4,2.1,0,0.6,1.9,0.2,0,7.26
Gaëtan Laborde,Montpellier,28," AM(CLR),FW  ",38,3270,1.1,0.4,1.6,0,0.6,1.2,0.1,0,7.25
Marco Verratti,PSG,30, M(C)  ,16(5),1491,2.5,1.2,1.3,0,0.1,2.3,0.2,0,7.24
Fabien Centonze,Metz,27," D(R),M(R)  ",36,3222,2.9,3.1,1.2,0.1,3.1,0.8,0.5,0,7.23
Ludovic Ajorque,Strasbourg,29, FW  ,34(1),2972,0.9,0.3,1.1,0,1.5,0.7,0.1,0,7.22
Farid Boulaya,Metz,30," AM(CLR),FW  ",32(1),2822,0.7,0.4,0.6,0,0.2,1.2,0.1,0,7.22
Lucas Paquetá,Lyon,25," M(CLR),FW  ",27(3),2285,2.3,0.7,2.2,0,0.4,1.4,0.1,0,7.22
Zinedine Ferhat,Nimes,30, M(LR)  ,33,2960,1.1,1,0.7,0.1,1,0.6,0,0,7.21
Romain Faivre,Brest,24, AM(CLR)  ,33(3),2902,1.5,0.8,1,0,0.4,0.9,0,1,7.18
Aleksandr Golovin,Monaco,26, M(CLR)  ,12(9),1072,1.3,0.5,0.9,0,0.1,1.5,0,0,7.16
Steve Mounié,Brest,28, FW  ,31(4),2696,0.4,0.3,1.9,0,1.1,0.7,0.1,0,7.16
Aurélien Tchouaméni,Monaco,23, DMC  ,36,3073,3.5,1.7,1.6,0,1.2,1.2,0.3,0,7.16
Burak Yilmaz,Lille,37," AM(L),FW  ",23(5),2057,0.5,0.2,1.2,0,0.8,0.9,0,0,7.14
Angelo Fulgini,Angers,26," AM(CLR),FW  ",33,2739,0.7,0.5,0.9,0,0.3,0.7,0,0,7.13
Amine Gouiri,Nice,23," AM(L),FW  ",31(3),2753,0.9,0.5,1.3,0,0.5,0.9,0.2,0,7.13
Kiki Kouyaté,Metz,25, D(C)  ,21(4),1961,2.4,2.4,1.6,0.4,5.2,1,1.1,0,7.10
Jérémy Doku,Rennes,20, AM(LR)  ,26(4),2318,1.5,0.4,1.2,0,0,0.5,0,0,7.07
Jonathan Bamba,Lille,26," AM(CLR),FW  ",34(4),2993,1.2,0.6,0.7,0,0.3,1.6,0.1,0,7.07
Kevin Volland,Monaco,30," AM(CLR),FW  ",34(1),2789,0.9,0.1,1.7,0,0.1,0.7,0,0,7.06
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",32(5),2626,0.5,0.4,0.3,0,0.1,0.3,0,0,7.06
Ludovic Blas,Nantes,25," M(CLR),FW  ",32(4),2805,1.6,0.6,1.5,0,0.4,0.9,0.1,0,7.06
José Fonte,Lille,39, D(C)  ,36,3190,1.1,1,0.8,0.3,3.8,0.2,0.6,1,7.05
Reinildo,Lille,29," D(CL),M(L)  ",24(5),2183,2.7,1.6,1.3,0.1,1.5,0.8,0.1,0,7.05
Marquinhos,PSG,28," D(CR),DMC  ",24(1),2129,1.1,1.1,0.6,0.4,2.9,0.4,0.4,0,7.05
Rafinha,PSG,31, M(CLR)  ,15(8),1368,2.3,0.6,1,0,0.1,0.9,0.1,0,7.02
Mahdi Camara,Saint-Etienne,24," D(CR),DMC  ",37,3295,2.7,2.1,1.3,0.1,1.4,0.7,0.3,0,7.01
Léo Dubois,Lyon,28," D(LR),M(R)  ",35(2),2917,1,0.9,0.6,0.1,1.3,0.5,0.2,0,7.00
Zeki Çelik,Lille,26," D(R),M(R)  ",28(1),2389,2.5,1.3,1.9,0,1.3,1.3,0.2,1,7.00
Sven Botman,Lille,23, D(C)  ,37,3311,0.8,1.5,0.4,0.2,3.2,0.3,0.6,0,6.99
Florian Thauvin,Marseille,30," M(CLR),FW  ",33(3),2749,1.1,0.4,0.7,0,0.3,0.9,0.1,0,6.98
Mathieu Debuchy,Saint-Etienne,37," D(CR),M(R)  ",25(1),2108,2.2,1.7,1.5,0.2,2,0.8,0.3,0,6.97
