Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Antonín Barak,Verona,28, AM(CR)  ,32(2),2772,7,3,5,1,1.3,78.8,1.9,1,6.69
Dejan Kulusevski,Juventus,22," AM(CR),FW  ",19(16),1919,4,3,7,0,1,81.3,0.3,1,6.69
Mattia Destro,Genoa,31, FW  ,22(7),1617,11,1,5,0,1.3,69.1,1.2,4,6.68
Jordan Veretout,Roma,30, M(C)  ,25(4),2063,10,2,4,0,1.4,88.1,0.4,0,6.68
Hamed Traorè,Sassuolo,23, AM(CLR)  ,20(15),1792,5,2,6,0,1.2,79.6,0.4,1,6.68
Erick Pulgar,Fiorentina,29, DMC  ,21(10),1999,1,3,8,0,0.5,85.1,0.9,0,6.68
Weston McKennie,Juventus,24," D(C),M(CLR)  ",18(16),1699,5,2,5,0,0.9,85.4,0.9,1,6.68
Giuseppe Pezzella,Parma Calcio 1913,25," D(L),M(L)  ",21(3),1835,1,4,7,0,0.3,81.8,0.8,0,6.68
Domenico Criscito,Genoa,36," D(CL),M(L)  ",20(3),1727,1,0,6,0,0.3,82.3,0.9,0,6.68
Albin Ekdal,Sampdoria,33, M(C)  ,26(6),2304,2,1,9,0,0.4,83.8,1.1,1,6.68
Ivan Perisic,Inter,34," M(CLR),FW  ",20(12),1803,4,4,3,0,1.1,76,1,2,6.67
Pedro,Roma,35," M(CLR),FW  ",20(7),1601,5,2,3,1,1.6,81.4,0.1,0,6.67
Roberto Pereyra,Udinese,32," M(CLR),FW  ",34,2936,5,7,8,0,0.8,87.4,0.1,0,6.67
Ivan Ilic,Verona,21, M(C)  ,19(10),1834,2,0,2,0,0.4,85.8,1.2,1,6.67
Rafael Tolói,Atalanta,32, D(C)  ,29(2),2541,2,0,10,0,0.9,83.3,1.5,0,6.67
Lucas Leiva,Lazio,36," D(C),M(C)  ",30(2),2157,0,0,10,0,0.4,86.8,1.5,0,6.67
Gaetano Letizia,Benevento,32," D(LR),M(LR)  ",18(6),1569,3,1,2,0,0.5,80.4,0.6,1,6.67
Darko Lazovic,Verona,32, M(CLR)  ,27(5),2504,3,6,3,0,1,76.7,0.5,1,6.67
Alexis Saelemaekers,AC Milan,23, M(R)  ,27(5),2037,2,4,5,1,0.9,82.6,0.2,1,6.66
Adam Marusic,Lazio,30," D(CLR),M(LR)  ",33(3),2971,2,3,3,0,0.8,85.4,0.8,2,6.66
Giorgos Kyriakopoulos,Sassuolo,27," D(L),M(L)  ",16(7),1461,1,0,1,1,1,85.7,0.7,0,6.66
Leonardo Bonucci,Juventus,35, D(C)  ,24(3),2034,2,0,4,0,0.6,90.4,1.3,0,6.66
Simone Verdi,Torino,30," AM(CLR),FW  ",17(16),1621,1,5,6,0,1.2,77.6,0.1,1,6.66
Lyanco,Torino,26, D(CR)  ,21(2),1959,0,0,8,0,0.5,85.9,1.6,0,6.66
Adama Soumaoro,Bologna,30, D(CR)  ,19(1),1755,1,0,4,0,0.4,88.9,3,0,6.65
Federico Ceccherini,Verona,30, D(C)  ,23(2),1749,0,0,8,0,0.5,80.9,2.9,0,6.65
Tomás Rincón,Torino,35, M(CR)  ,33(3),2861,1,1,8,1,0.6,84.6,1.4,0,6.65
Rick Karsdorp,Roma,28," D(R),M(R)  ",28(6),2550,1,6,2,0,0.4,83.8,0.2,0,6.64
Bryan Cristante,Roma,28," D(C),M(C)  ",22(12),2149,1,3,8,0,0.8,83.1,1,1,6.64
Tolgay Arslan,Udinese,32, M(C)  ,25(5),1837,3,0,9,0,0.7,85.6,0.4,1,6.64
Andreas Cornelius,Parma Calcio 1913,29, FW  ,21(8),1903,1,4,4,0,1,68.2,5.2,1,6.64
Adrien Tameze,Verona,29, M(C)  ,28(5),2313,1,0,6,0,0.5,80,1.4,1,6.64
Alex Meret,Napoli,25, GK  ,22,1980,0,0,0,0,0,87.8,0.2,1,6.64
Charalampos Lykogiannis,Cagliari,29," D(CL),M(L)  ",29(2),2430,4,2,6,2,0.9,73,1.9,1,6.63
Lucas Martínez,Fiorentina,26, D(C)  ,15(6),1483,1,0,4,1,0.8,80.8,1.3,1,6.63
Mario Pasalic,Atalanta,28, M(CLR)  ,10(15),1115,6,2,2,0,0.8,86.1,0.6,2,6.63
Mário Rui,Napoli,31," D(L),M(L)  ",17(10),1666,0,2,4,0,0.7,84.6,0.4,0,6.63
Julian Chabot,Spezia,25, D(C)  ,19(6),1655,1,1,9,1,0.4,85.2,2.3,0,6.63
Maya Yoshida,Sampdoria,34, D(CR)  ,25(7),2273,1,2,5,0,0.3,85.1,1.4,0,6.63
Arthur,Juventus,26, DMC  ,13(9),1158,1,0,3,0,0.1,94.1,0.1,0,6.63
Rodrigo Becão,Udinese,27, D(C)  ,32(3),2784,1,0,5,0,0.3,86.7,1.7,2,6.63
Lorenzo Tonelli,Sampdoria,33, D(C)  ,21(2),1786,1,0,11,0,0.6,81.3,1.8,1,6.62
Manuel Lazzari,Lazio,29," D(R),M(R)  ",30(2),2620,2,5,2,1,0.8,85,0.4,0,6.62
Samir Handanovic,Inter,38, GK  ,37,3242,0,0,1,0,0,84.8,0.2,2,6.62
Tommaso Augello,Sampdoria,28," D(L),M(L)  ",37,3222,1,3,2,1,0.2,79.5,1.2,1,6.62
Kamil Glik,Benevento,35, D(C)  ,36,3207,2,1,7,1,0.8,88.5,2.4,0,6.61
