Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Lilian Brassier,Brest,23, D(CL)  ,23(8),2258,1,0,4,0,0.4,80.7,1.4,0,6.52
Amadou Onana,Lille,21, DMC  ,11(21),1352,1,0,2,1,0.5,83.3,0.8,1,6.52
Jean Lucas,Monaco,24, M(C)  ,18(10),1451,1,1,1,1,0.9,82.8,0.5,0,6.52
Thomas Foket,Reims,28," D(R),M(R)  ",26(3),2243,1,0,5,0,0.3,80.4,0.5,0,6.52
Fábio,Nantes,32," D(LR),M(R)  ",21(6),1679,0,2,8,1,0.4,73.2,1.1,0,6.52
Flavius Daniliuc,Nice,21, D(CR)  ,14(10),1291,0,0,4,0,0.2,88.7,0.9,0,6.52
Valère Germain,Montpellier,32," AM(CLR),FW  ",22(12),1978,4,3,3,0,0.9,77,1.6,0,6.51
Gaël Kakuta,Lens,31," M(CLR),FW  ",20(9),1685,3,2,1,0,1.4,73.9,0.4,0,6.51
Ismail Jakobs,Monaco,23," D(L),M(L)  ",10(18),1193,0,1,1,0,0.2,72.2,1.4,0,6.51
Vincent Le Goff,Lorient,33," D(L),M(L)  ",34,3060,1,1,1,0,0.8,79.5,0.3,1,6.51
Léo Pétrot,Lorient,25, D(C)  ,21(1),1820,1,0,0,0,0.2,82.9,1.3,0,6.50
Stian Gregersen,Bordeaux,27, D(C)  ,22(2),1955,1,1,7,0,0.3,85.1,1.4,0,6.50
Cédric Hountondji,Clermont Foot,29, D(C)  ,23,2035,1,0,2,0,0.3,84.8,2,0,6.50
Issa Kaboré,Troyes,21," D(R),M(R)  ",26(5),2261,0,1,6,2,0.2,76.6,0.4,1,6.50
Timothy Weah,Lille,23," D(L),M(LR),FW  ",17(12),1620,3,4,2,1,1.2,75.8,0.8,3,6.50
Pape Gueye,Marseille,24, DMC  ,17(11),1528,0,1,7,0,1.1,88.4,0.8,1,6.50
Jordan Lotomba,Nice,24," D(LR),M(R)  ",19(11),1782,0,0,4,0,0.3,82.7,0.4,0,6.49
Timothée Kolodziejczak,Saint-Etienne,31," D(CL),M(L)  ",30,2568,2,3,4,1,0.5,77.8,1,2,6.49
Arnaud Nordin,Saint-Etienne,24," AM(CLR),FW  ",20(16),1876,4,4,4,0,1.3,81.9,0.4,2,6.48
Lorenz Assignon,Rennes,22, D(R)  ,5(15),603,0,2,0,0,0.3,81.6,0.6,0,6.48
Pol Lirola,Marseille,25," D(R),M(LR)  ",19(15),1769,1,2,1,0,0.4,82.2,0.6,1,6.48
Elye Wahi,Montpellier,20," AM(L),FW  ",21(12),1770,10,2,2,1,1.3,68,0.4,1,6.48
Fabien Lemoine,Lorient,35, M(C)  ,13(8),1120,0,1,5,0,0.2,88.5,0.5,0,6.47
Dylan Bronn,Metz,27, D(C)  ,28(2),2545,1,2,8,1,0.5,81.3,0.9,0,6.47
Alexandre Oukidja,Metz,34, GK  ,21,1877,0,0,2,1,0,54.9,0.8,1,6.47
Serhou Guirassy,Rennes,26," AM(L),FW  ",7(30),1005,9,0,1,0,1.2,80.1,1,2,6.46
Dennis Appiah,Nantes,30," D(CLR),M(R)  ",22(10),2094,0,0,4,0,0.1,76.8,0.9,0,6.46
Osman Bukari,Nantes,24," M(R),FW  ",10(14),1008,2,4,1,0,0.8,77.1,0.4,0,6.46
Andreaw Gravillon,Reims,25, D(CR)  ,24(2),2141,0,0,5,2,0.6,76.7,1.2,0,6.45
Hugo Magnetti,Brest,24, DMC  ,16(12),1462,0,1,4,0,0.6,84.8,0.2,0,6.45
Oualid El Hajjam,Troyes,32, D(CR)  ,12(7),1075,1,1,2,0,0.5,78.1,0.4,0,6.44
Wesley Saïd,Lens,27," AM(CLR),FW  ",7(14),650,5,0,2,0,1.2,74.1,0.3,0,6.44
Batista Mendy,Angers,23," D(C),DMC  ",27(7),2417,1,1,5,0,0.4,85.6,0.7,0,6.43
Alidu Seidu,Clermont Foot,22, D(CR)  ,16(5),1410,0,0,5,2,0.4,86.9,0.8,0,6.43
Maxime Estève,Montpellier,20, D(C)  ,20(4),1856,0,0,2,0,0.2,84.4,1.3,0,6.43
Salis Abdul Samed,Clermont Foot,22, DMC  ,29(2),2472,1,0,9,2,0.6,91,0.6,0,6.43
Gabriel Gudmundsson,Lille,23," D(L),M(LR)  ",15(15),1341,1,0,3,0,0.6,75.4,0.5,0,6.43
Azzedine Ounahi,Angers,22, AM(CR)  ,16(16),1627,2,1,2,0,0.8,88,0.4,0,6.43
Georginio Wijnaldum,PSG,32, M(CLR)  ,18(13),1654,1,3,2,0,0.7,90.2,0.4,0,6.42
Burak Yilmaz,Lille,37," AM(L),FW  ",25(6),2219,4,3,9,1,2.3,75.1,0.8,0,6.42
Boubacar Traoré,Metz,21, M(C)  ,17(10),1721,1,1,7,1,0.8,83.1,0.6,1,6.42
Dion Lopy,Reims,21, DMC  ,19(7),1647,0,0,4,0,0.6,87,0.5,0,6.42
Mama Baldé,Troyes,27," D(R),M(CLR),FW  ",20(10),1725,3,2,2,1,1.6,69.8,0.9,1,6.42
Sékou Mara,Bordeaux,20, FW  ,8(18),898,6,0,2,0,1.5,67.9,1.2,2,6.42
Nathanaël Mbuku,Reims,20," AM(CLR),FW  ",18(13),1423,2,1,1,0,1.1,75.4,0.3,0,6.42
Zaydou Youssouf,Saint-Etienne,23, M(CR)  ,18(12),1558,1,0,3,1,0.7,84.6,0.4,0,6.41
Junior Sambia,Montpellier,26," D(R),M(CR)  ",16(14),1528,1,0,3,1,0.7,78.3,0.8,0,6.41
Gideon Mensah,Bordeaux,24," D(L),M(L)  ",13(10),1206,0,2,1,1,0.1,84.9,0.7,0,6.41
Houboulang Mendes,Lorient,24, D(CR)  ,36,3223,0,1,3,1,0.6,83.9,0.8,0,6.41
Paul Bernardoni,Saint-Etienne,25, GK  ,19,1710,0,0,0,0,0,45.9,0.3,0,6.41
Jodel Dossou,Clermont Foot,30, AM(R)  ,23(12),2017,3,1,4,0,1.5,75.8,0.2,1,6.40
Ouparine Djoco,Clermont Foot,24, GK  ,23(1),2113,0,0,1,0,0,62,0.1,2,6.40
Massadio Haïdara,Lens,30," D(CL),M(L)  ",12(8),1078,1,1,5,1,0.3,85.2,0.7,0,6.40
Bradley Locko,Reims,20," D(L),M(L)  ",11(13),1011,1,1,4,0,0.3,77.7,0.5,0,6.40
Morgan Schneiderlin,Nice,33, DMC  ,5(15),639,0,1,1,1,0.1,85.5,0.6,0,6.40
