Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Jamal Musiala,Bayern,20, M(CL)  ,19(3),1569,1.2,0.6,0.5,0,0.1,0.5,0,0,7.50
Jude Bellingham,Borussia Dortmund,19, M(CLR)  ,21(1),1896,2.6,1.3,1.1,0,1,0.4,0.1,0,7.48
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",21(1),1859,2.5,1.3,0.8,0,1,1,0.1,0,7.44
Niclas Füllkrug,Werder Bremen,30, FW  ,22,1939,0.4,0,1.1,0,1,0.3,0.2,0,7.40
Dominik Szoboszlai,RBL,22, AM(CLR)  ,19(2),1631,1.4,0.6,0.9,0,1,0.8,0,0,7.35
Vincenzo Grifo,Freiburg,29, AM(CL)  ,19(3),1556,0.7,0.4,0.2,0,0.4,0.6,0,0,7.30
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  ",20,1772,1,0.7,0.5,0,0.3,1,0.1,0,7.29
Randal Kolo Muani,Eintracht Frankfurt,24," AM(R),FW  ",21(1),1793,0.5,0.1,1.6,0,0.4,0.2,0,0,7.26
Christopher Nkunku,RBL,25," M(CLR),FW  ",15(3),1419,0.2,0.4,0.7,0,0.4,0.2,0.2,0,7.25
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  ",20(3),1766,0.9,0.6,0.3,0,0.3,0.8,0,0,7.25
Thomas Müller,Bayern,33," M(CLR),FW  ",13(3),999,0.7,0.2,0.2,0,0.4,0.3,0.1,0,7.24
Eric Choupo-Moting,Bayern,33," M(CLR),FW  ",13(4),1029,0.5,0,0.2,0,0.3,0.1,0,0,7.23
Alphonso Davies,Bayern,22," D(L),M(LR)  ",19(1),1672,1.9,0.9,0.4,0.2,0.6,0.6,0.2,0,7.20
Michael Gregoritsch,Freiburg,28," AM(CR),FW  ",21(1),1633,0.7,0.2,1,0,0.4,0.5,0.1,0,7.20
Nico Schlotterbeck,Borussia Dortmund,23, D(C)  ,23,2005,2.3,1.2,0.6,1.1,2.7,0.7,0.8,0,7.17
Maximilian Arnold,Wolfsburg,28, M(CR)  ,23,2004,1.8,0.8,1,0.2,2.1,0.9,0.4,0,7.13
Benjamin Pavard,Bayern,26," D(CLR),M(R)  ",17(3),1566,2.5,1.4,0.8,0.3,2.2,0.2,0.4,0,7.13
Leroy Sané,Bayern,27," M(CLR),FW  ",13(8),1311,1.1,0,0.6,0,0,0.4,0,0,7.13
Willi Orbán,RBL,30, D(C)  ,22,1961,1.6,1.4,0.7,0.5,4.2,0.5,0.8,0,7.12
Kingsley Coman,Bayern,26," M(LR),FW  ",9(7),880,0.6,0.1,0.4,0,0.3,0.3,0.1,0,7.11
