Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Rubén Vargas,Augsburg,24," AM(CLR),FW  "," AM(CLR),FW  ",18(12),6,3,1.3,0.8,1.2,1,0.3,1.1,1.6,6.65
Joel Pohjanpalo,Union Berlin,28, FW  , FW  ,10(9),6,0,1.6,0.4,0.3,0.4,0.6,0.2,1.7,6.65
Ömer Toprak,Werder Bremen,33, D(C)  , D(C)  ,24(2),2,0,0.4,0,0.2,1,0.1,0.4,0.5,6.64
Nadiem Amiri,Leverkusen,26, M(CLR)  , M(CLR)  ,20(9),2,6,1.4,1.3,0.7,0.9,0.1,0.8,1.7,6.64
Niclas Füllkrug,Werder Bremen,30, FW  , FW  ,10(9),6,0,1.8,0.3,0.4,0.7,0.8,0.9,1.3,6.64
Elvis Rexhbecaj,FC Koln,25, M(C)  , M(C)  ,20(10),5,2,0.9,0.9,0.4,1.6,0,0.8,1.6,6.63
Florian Müller,Freiburg,25, GK  , GK  ,31,0,0,0,0,0,0,0,0,0.1,6.63
Manuel Gulde,Freiburg,32, D(C)  , D(C)  ,22(5),2,0,0.3,0,0.1,0.7,0.1,0.1,0.1,6.62
Wendell,Leverkusen,29," D(CL),M(L)  "," D(CL),M(L)  ",15(7),0,0,0.3,0,0.5,0.7,0,0.2,1,6.62
Daley Sinkgraven,Leverkusen,27," D(L),M(CL)  "," D(L),M(CL)  ",19(3),0,0,0.3,0.6,1.3,1,0,0.9,1.4,6.62
Robin Zentner,Mainz,28, GK  , GK  ,31,0,0,0.1,0,0,0.2,0,0,0,6.62
Manuel Neuer,Bayern,36, GK  , GK  ,33,0,0,0,0,0,0.1,0,0,0,6.61
Ermedin Demirovic,Freiburg,24," AM(L),FW  "," AM(L),FW  ",19(11),5,6,1.4,0.5,0.5,0.5,0.3,1,1.7,6.61
Manuel Prietl,Arminia Bielefeld,31, M(C)  , M(C)  ,28,1,1,0.6,0.4,0.7,0.3,0,0.4,1.2,6.61
Charles Aránguiz,Leverkusen,33, M(C)  , M(C)  ,20(1),0,0,0.2,0.7,0.4,1.2,0,0.4,1,6.61
Makoto Hasebe,Eintracht Frankfurt,39," D(CR),M(CR)  "," D(CR),M(CR)  ",26(3),0,0,0.1,0.2,0.2,1.2,0,0.4,0.6,6.60
Josuha Guilavogui,Wolfsburg,32," D(C),M(C)  "," D(C),M(C)  ",7(13),0,0,0.3,0.3,0.4,0.2,0,0.1,0.4,6.60
Anderson Lucoqui,Arminia Bielefeld,25," D(L),M(L)  "," D(L),M(L)  ",18(3),0,0,0.4,0.3,0.6,1.9,0,0.8,1.5,6.60
Leonardo Bittencourt,Werder Bremen,29," M(CLR),FW  "," M(CLR),FW  ",19(8),4,1,1.6,0.6,0.5,1.3,0.3,0.4,2.2,6.60
Alexander Schwolow,Hertha Berlin,30, GK  , GK  ,26,0,0,0,0,0,0.2,0,0,0,6.60
Peter Pekarík,Hertha Berlin,36," D(LR),M(R)  "," D(LR),M(R)  ",22(1),3,1,0.3,0.4,0.2,0.8,0,0.3,0.5,6.59
Aleksandar Dragovic,Leverkusen,32, D(CR)  , D(CR)  ,11(7),1,0,0.2,0.3,0.2,0.4,0,0.1,0.2,6.59
Sebastian Rode,Eintracht Frankfurt,32," D(R),M(C)  "," D(R),M(C)  ",19(8),1,0,0.1,0.7,0.2,0.7,0,0.2,0.6,6.59
Lukas Klostermann,RBL,26," D(CLR),M(R)  "," D(CLR),M(R)  ",15(8),1,0,0.5,0.2,0.3,0.3,0,0.2,0.3,6.58
Philipp Lienhart,Freiburg,26, D(C)  , D(C)  ,34,4,0,0.3,0.1,0.1,1,0.1,0.1,0.3,6.58
Stefan Posch,Hoffenheim,25, D(CR)  , D(CR)  ,25(1),0,0,0.4,0.5,0.3,0.5,0,0.3,0.6,6.58
Jérôme Roussillon,Wolfsburg,30," D(L),M(L)  "," D(L),M(L)  ",14(6),0,2,0.6,0.8,0.9,0.8,0,0.8,1.3,6.58
Maximilian Philipp,Wolfsburg,29," AM(CLR),FW  "," AM(CLR),FW  ",13(11),6,2,1.3,0.5,0.5,0.5,0.2,0.3,1.4,6.58
Oliver Baumann,Hoffenheim,32, GK  , GK  ,31,0,0,0,0,0,0.2,0,0,0,6.58
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  "," M(CLR),FW  ",17(14),3,2,0.7,1,0.7,0.5,0.1,0.9,1.4,6.58
Reece Oxford,Augsburg,24," D(C),DMC  "," D(C),DMC  ",13(11),0,0,0.3,0,0.2,0.5,0,0.2,0.2,6.58
