Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Khvicha Kvaratskhelia,Napoli,22, AM(CLR)  ,20(1),1568,9,1.7,26.3,80.8,0.4,1.1,0.2,7.55
Victor Osimhen,Napoli,24, FW  ,20(1),1760,3,1,11.4,72.4,0,0.3,0,7.54
Paulo Dybala,Roma,29," AM(CR),FW  ",17(1),1352,6,2.2,31,81.2,1.3,2.3,0.1,7.31
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,22(1),1926,8,1.5,53.8,75,0.1,2.4,0.3,7.31
Lautaro Martínez,Inter,25, FW  ,22(3),1956,3,1.4,19.6,73.8,0,0.8,0.1,7.25
Lucas Martínez,Fiorentina,26, D(C)  ,16(2),1451,1,0.3,56.2,81.2,0,6.6,0,7.21
Armand Laurienté,Sassuolo,24," AM(LR),FW  ",18,1500,5,2.8,25.8,81.7,0.9,0.6,0.1,7.18
Mário Rui,Napoli,31," D(L),M(L)  ",18(1),1506,6,2.3,65.4,83.9,1.6,5.4,0.1,7.16
Kim Min-Jae,Napoli,26, D(C)  ,24,2116,1,0.4,81.6,90.6,0,3.8,0,7.13
Lorenzo Pellegrini,Roma,26, M(CL)  ,21,1769,5,2.2,32.8,80.8,1.5,1.7,0.1,7.12
Adrien Rabiot,Juventus,27," DMC,M(L)  ",20(1),1761,2,1,32.6,84.1,0.1,1.4,0.1,7.11
Mattia Zaccagni,Lazio,27," AM(CL),FW  ",21(1),1730,4,0.9,24.6,84.1,0.1,0.4,0,7.11
André-Frank Zambo Anguissa,Napoli,27, M(C)  ,23,1929,4,0.9,58.4,88.5,0,1.6,0,7.10
Rafael Leão,AC Milan,23," AM(CL),FW  ",19(4),1699,6,1.6,20.3,75.6,0.5,1.7,0.1,7.10
Hakan Çalhanoglu,Inter,29," M(CLR),FW  ",22(2),1820,5,2.2,45.1,88.1,2.1,2.9,0.1,7.10
