Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Vicente Guaita,Crystal Palace,36, GK  ,37,3330,0,0,2,0,0,49.6,0.3,1,6.46
Adam Lallana,Brighton,34, M(CLR)  ,16(14),1592,1,1,0,0,0.7,85,0.3,0,6.45
Moussa Sissoko,Tottenham,33, M(CR)  ,15(10),1577,0,0,3,0,0.1,84.4,0.6,0,6.44
Alexis Mac Allister,Brighton,24," M(CL),FW  ",13(8),1117,1,1,1,0,1.1,80.8,0.4,0,6.44
Erik Pieters,Burnley,34," D(CL),M(L)  ",13(7),1262,0,1,1,0,0.2,74.4,0.7,0,6.44
Tyler Roberts,Leeds,24," AM(CR),FW  ",14(13),1341,1,2,3,0,1,71.6,0.7,0,6.43
Mohamed Elneny,Arsenal,30, DMC  ,17(6),1542,1,0,3,0,0.4,93,0.3,1,6.43
Ryan Bertrand,Southampton,33," D(CL),M(L)  ",29,2599,0,1,5,0,0.3,79.6,1.3,0,6.41
Grady Diangana,West Brom,24," AM(CLR),FW  ",15(5),1239,1,0,0,0,0.7,76.2,1.2,0,6.41
Callum Robinson,West Brom,28," AM(CLR),FW  ",20(8),1567,5,0,0,0,1.1,74.9,0.6,1,6.41
Ben Osborn,Sheff Utd,28," D(L),M(CLR)  ",17(7),1606,1,0,1,0,0.4,81,0.5,0,6.40
Semi Ajayi,West Brom,29," D(C),DMC  ",31(2),2780,2,0,3,1,0.4,73.2,2.3,0,6.40
Enda Stevens,Sheff Utd,32," D(CL),M(L)  ",30,2700,0,1,6,0,0.5,78.1,1.2,0,6.39
Moussa Djenepo,Southampton,24, M(LR)  ,15(12),1240,1,0,5,0,0.5,72.8,0.4,0,6.37
Nampalys Mendy,Leicester,30, M(C)  ,15(8),1458,0,1,5,0,0.2,91,0.3,0,6.36
Matej Vydra,Burnley,30," AM(CL),FW  ",15(13),1368,3,2,0,0,1.3,71.2,1.3,0,6.36
Sean Longstaff,Newcastle,25, DMC  ,15(7),1406,0,1,2,0,0.7,81.5,0.5,0,6.36
Erik Lamela,Tottenham,31," AM(CLR),FW  ",5(18),708,1,0,4,1,0.9,83.1,0.3,0,6.36
George Baldock,Sheff Utd,30," D(CR),M(R)  ",32,2789,0,2,7,0,0.4,78.3,0.8,0,6.35
Donny van de Beek,Man Utd,25, M(C)  ,4(15),515,1,1,1,0,0.1,86.1,0.1,0,6.35
Matt Phillips,West Brom,31," M(CLR),FW  ",20(13),1829,2,1,1,0,0.7,74.3,0.5,1,6.34
Jairo Riedewald,Crystal Palace,26," D(CL),DMC  ",19(14),1819,2,0,4,0,0.2,85.6,0.4,0,6.34
Jamal Lewis,Newcastle,25," D(L),M(L)  ",20(4),1833,0,1,4,0,0.1,77.1,0.4,0,6.34
Jeff Hendrick,Newcastle,31, M(CR)  ,17(5),1423,2,1,1,1,0.5,80.1,0.6,1,6.33
Hélder Costa,Leeds,29, AM(CLR)  ,13(9),1158,3,3,0,0,0.7,76.6,0.2,0,6.32
Fábio Silva,Wolves,20, FW  ,11(21),1357,4,3,2,0,1.5,72.8,1.1,0,6.30
Jay Rodríguez,Burnley,34," AM(CLR),FW  ",12(19),1256,1,2,3,0,1,73.4,1.4,0,6.27
Alireza Jahanbakhsh,Brighton,29, AM(CLR)  ,6(15),525,0,1,3,0,0.9,77.6,0.2,0,6.26
Oliver Burke,Sheff Utd,25," AM(LR),FW  ",14(11),1273,1,1,2,0,1,70.2,1.2,0,6.25
Vitinha,Wolves,23, M(C)  ,5(14),513,0,1,0,0,0.4,90.3,0,0,6.23
John Lundstram,Sheff Utd,29," D(C),DMC  ",23(5),2032,0,2,8,1,0.7,84.2,0.5,0,6.23
Ibrahima Diallo,Southampton,24, DMC  ,10(12),1012,0,0,3,0,0.3,85,0.5,0,6.22
Jacob Ramsey,Aston Villa,21, AM(CLR)  ,6(16),619,0,0,0,0,0.5,86,0.3,0,6.20
Mark Noble,West Ham,35, M(C)  ,8(13),707,0,0,1,0,0,88.6,0.1,0,6.17
Rhian Brewster,Sheff Utd,22, FW  ,12(15),1125,0,0,1,0,0.9,74.4,0.5,0,6.17
Karlan Grant,West Brom,25," AM(CL),FW  ",14(7),1133,1,0,1,0,0.8,75.1,0.7,1,6.15
Hal Robson-Kanu,West Brom,33," AM(LR),FW  ",2(17),549,2,0,2,0,0.7,70.9,0.6,0,6.13
Romaine Sawyers,West Brom,31, M(CL)  ,17(2),1490,0,0,2,0,0.2,85.3,0.7,0,6.12
