Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  ",34(1),3032,0.3,0.1,0.8,0,0.4,0.2,0,0,8.04
Lionel Messi,PSG,35," AM(CR),FW  ",24(2),2153,0.4,0.2,0.2,0,0,0.4,0,0,7.77
Neymar,PSG,31," AM(CLR),FW  ",22,1861,1.3,0.2,1.4,0,0.1,1.1,0,0,7.65
Benjamin Bourigeaud,Rennes,29, M(CLR)  ,38,3215,1.2,0.8,0.7,0,1,1.1,0.1,0,7.44
Dimitri Payet,Marseille,35," M(CLR),FW  ",28(3),2597,0.5,0.3,0.3,0,0.1,0.8,0,0,7.44
Martin Terrier,Rennes,26," AM(CL),FW  ",37,2805,1.5,0.5,0.8,0,0.5,0.5,0.1,0,7.41
Téji Savanier,Montpellier,31, M(C)  ,28(1),2422,1.6,0.9,1.6,0,0.4,1.3,0,0,7.40
Aurélien Tchouaméni,Monaco,23, DMC  ,33(2),2933,2.5,2.9,1.5,0.1,0.9,0.7,0.2,0,7.32
Sofiane Boufal,Angers,29," AM(CLR),FW  ",28(1),2345,1.5,0.2,1.5,0,0,0.7,0.1,0,7.27
Lucas Paquetá,Lyon,25," M(CLR),FW  ",32(3),2713,1.9,0.3,1.8,0,0.6,1,0.1,0,7.24
Jonathan Clauss,Lens,30," D(R),M(LR)  ",35(2),3063,1.7,2,1,0,1.1,0.9,0,0,7.22
Marco Verratti,PSG,30, M(C)  ,23(1),1951,2.5,0.8,1.3,0,0.4,1.3,0.4,1,7.21
Bruno Guimarães,Lyon,25, DMC  ,19(1),1642,2.5,1.1,1.6,0.1,0.4,1.8,0.2,0,7.21
Moussa Dembélé,Lyon,26, FW  ,25(5),2209,0.6,0.3,1,0,1,0.3,0,0,7.21
Romain Faivre,Brest,24, AM(CLR)  ,20(1),1801,1.4,0.6,0.7,0,0.5,0.9,0,0,7.20
Ángel Di María,PSG,35," M(CLR),FW  ",19(7),1654,1.1,0.2,0.3,0,0.1,0.9,0,0,7.17
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",26(4),2305,0.4,0.7,0.5,0,0.2,0.6,0,0,7.15
Gaëtan Laborde,Rennes,28," AM(CLR),FW  ",32(2),2741,0.6,0.2,0.9,0,0.5,0.6,0.1,0,7.14
Andrei Girotto,Nantes,31," D(C),DMC  ",36,3150,2.4,1.9,1.4,0.4,3.9,1.4,0.9,0,7.13
Franck Honorat,Brest,26," M(LR),FW  ",34,2911,1.6,0.4,0.7,0,0.6,0.6,0.1,0,7.13
Andy Delort,Nice,31," AM(R),FW  ",26(6),2449,0.5,0.3,1.2,0,0.4,0.2,0.1,0,7.09
Lovro Majer,Rennes,25, AM(CR)  ,21(8),1841,1.1,0.4,1.2,0,0.3,1.1,0.1,0,7.06
Ludovic Ajorque,Strasbourg,29, FW  ,31(5),2743,1,0.2,1.1,0,0.9,0.9,0.1,1,7.05
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",29(8),2541,0.5,0,0.5,0,0,0.2,0,0,7.04
Kiki Kouyaté,Metz,25, D(C)  ,30,2666,2.8,2.6,1.2,0.5,7,1,1.1,0,7.04
Frédéric Guilbert,Strasbourg,28," D(CLR),M(R)  ",28(5),2521,2.1,1.7,0.8,0.2,1.1,0.9,0.3,0,7.04
Amine Gouiri,Nice,23," AM(L),FW  ",32(6),2765,0.6,0.3,0.8,0,0.4,0.6,0.1,0,7.01
Moses Simon,Nantes,27," M(CLR),FW  ",29(1),2352,0.6,0.4,0.5,0,0.1,0.4,0.1,0,7.01
Randal Kolo Muani,Nantes,24," AM(R),FW  ",34(2),2958,0.8,0.2,1.6,0,0.8,0.4,0.1,0,7.01
Hamari Traoré,Rennes,31," D(R),M(R)  ",33,2898,1.9,1.1,1.4,0.2,2,0.5,0.2,1,7.00
Kamaldeen Sulemana,Rennes,21, AM(L)  ,11(9),1018,1.2,0.2,1,0.1,0.2,0.4,0.1,0,7.00
Benjamin André,Lille,32," D(R),M(CLR)  ",33,2764,3.7,1.5,2,0.1,1.5,1.9,0.3,0,6.99
Jimmy Cabot,Angers,28, M(LR)  ,24,2012,3.4,1.3,1.4,0.4,1,1.5,0,0,6.99
Florian Sotoca,Lens,32," AM(CR),FW  ",28(7),2487,0.9,0.7,1.1,0,1.2,1.1,0.1,0,6.99
Florian Tardieu,Troyes,30, M(C)  ,29(1),2631,1.9,1.4,0.6,0.1,1.2,1.3,0.3,0,6.98
Marshall Munetsi,Reims,26," D(C),M(C)  ",20(4),1886,1.4,1.8,1.6,0,2.9,0.9,0.5,0,6.95
Adrien Thomasson,Strasbourg,29, M(CLR)  ,27(4),2397,2.1,0.9,1.1,0,0.5,2,0.1,0,6.94
Seko Fofana,Lens,27, M(C)  ,38,3364,0.7,0.7,0.7,0,0.4,1.2,0.1,0,6.94
Ludovic Blas,Nantes,25," M(CLR),FW  ",35,2978,0.9,0.9,1.3,0,0.1,0.8,0.1,0,6.94
Cheick Oumar Doucouré,Lens,23, DMC  ,33(1),2948,2.2,2,1.2,0,0.7,1.3,0.2,0,6.94
Houssem Aouar,Lyon,24, M(CL)  ,29(7),2508,1.3,0.6,0.8,0,0.1,0.8,0,0,6.93
Jonas Omlin,Montpellier,29, GK  ,29,2589,0.1,0,0,0,0.7,0,0,1,6.93
Danilo Pereira,PSG,31," D(C),DMC  ",22(5),2039,1.2,1.4,0.8,0.2,1,0.5,0.4,0,6.93
Achraf Hakimi,PSG,24," D(LR),M(R)  ",28(4),2486,2.3,0.9,0.6,0.3,0.6,1,0.2,0,6.93
Fabien Centonze,Metz,27," D(R),M(R)  ",18(1),1587,1.7,1.7,0.8,0.1,2.4,1,0.4,0,6.92
Emerson,Lyon,28," D(L),M(L)  ",26(3),2267,1.6,0.9,0.5,0.2,2.1,0.4,0.3,0,6.91
Boubacar Kamara,Marseille,23," D(CL),DMC  ",31(3),2779,2,1.4,1.2,0.5,1.2,0.6,0.3,0,6.91
Sofiane Diop,Monaco,22, AM(CLR)  ,24(6),1959,1.3,0.8,0.9,0,0.1,1.1,0,0,6.90
Flavien Tait,Rennes,30, M(CLR)  ,24(4),2131,1,0.7,1.1,0,0.3,1,0.1,0,6.90
Steve Mounié,Brest,28, FW  ,25(10),2313,0.5,0.2,1.2,0,0.3,0.7,0,0,6.89
Melvin Bard,Nice,22," D(L),M(L)  ",30(3),2593,1.8,1.5,0.6,0.2,1.3,0.7,0.3,0,6.89
Gerson,Marseille,25, M(CLR)  ,29(6),2553,1.2,0.5,1.3,0.1,0.4,0.8,0.1,0,6.89
Nayef Aguerd,Rennes,26, D(C)  ,31,2738,0.9,0.8,0.6,0.5,4,0.3,0.5,0,6.88
Dénis Bouanga,Saint-Etienne,28," M(CLR),FW  ",28(6),2449,1.4,0.2,1.5,0,1,1.2,0,0,6.88
William Saliba,Marseille,21, D(C)  ,36,3240,1.5,1.3,0.5,0.9,2.2,0.2,0.4,0,6.87
Mattéo Guendouzi,Marseille,23, M(C)  ,35(3),3154,1.2,0.4,0.7,0,0.4,0.9,0,0,6.87
Jean-Clair Todibo,Nice,23, D(C)  ,35(1),3116,1.6,1.4,0.7,0.6,3.6,0.6,0.6,0,6.87
Brendan Chardonnet,Brest,28, D(C)  ,31(1),2687,1.4,1.7,0.8,0.3,4.4,0.3,0.9,0,6.87
Idrissa Gueye,PSG,33, M(C)  ,18(8),1641,2.3,0.9,1.5,0,0.5,1,0.2,0,6.86
Marquinhos,PSG,28," D(CR),DMC  ",32,2862,1.2,0.5,0.2,0.6,3,0.5,0.6,0,6.86
Valentin Rongier,Marseille,28," D(R),M(C)  ",25(7),2199,2.4,1,1.1,0.1,0.3,1,0.2,0,6.85
Predrag Rajkovic,Reims,27, GK  ,38,3420,0.1,0,0,0,1.2,0,0,0,6.85
Renato Sanches,Lille,25, M(CR)  ,20(5),1657,0.8,0.6,1.2,0,0.3,0.7,0.1,0,6.85
Azor Matusiwa,Reims,24, DMC  ,29,2469,2,2.1,1,0,1.3,1,0.7,0,6.84
Jonathan Gradit,Lens,30, D(CR)  ,35,3073,1.7,1.9,1.2,0.3,3,0.6,0.8,0,6.84
Ruben Aguilar,Monaco,29," D(R),M(R)  ",22(6),2138,2.8,1.6,1.1,0.1,1.9,0.9,0.1,1,6.84
Ander Herrera,PSG,33, M(C)  ,12(7),1093,1.5,0.7,0.7,0,0.4,1.3,0.4,0,6.84
Hugo Ekitike,Reims,20, FW  ,15(9),1275,0.8,0.3,0.8,0,0.5,0.3,0.1,0,6.83
Julien Laporte,Lorient,29, D(C)  ,33,2893,1.9,1.6,0.8,0.3,5.2,1,0.7,0,6.83
Mohamed Bayo,Clermont Foot,24, FW  ,27(5),2426,0.4,0.2,0.6,0,0.4,0.7,0,0,6.83
Ghislain Konan,Reims,27," D(L),M(L)  ",28,2422,1.3,1,0.6,0.1,1.4,0.5,0.3,0,6.83
Sven Botman,Lille,23, D(C)  ,25,2250,1,1,0.6,0.4,4.5,0.2,0.8,0,6.83
Baptiste Santamaría,Rennes,28, DMC  ,28(6),2520,1.5,0.9,1,0,1.1,0.6,0.4,0,6.83
Cengiz Ünder,Marseille,25, M(CLR)  ,25(7),2209,0.6,0.4,0.3,0,0.3,0.4,0.1,0,6.82
Jean Onana,Bordeaux,23, DMC  ,23,1846,3,1.6,1.7,0,0.9,2.2,0.2,0,6.81
Aleksandr Golovin,Monaco,26, M(CLR)  ,17(10),1505,1.5,0.4,0.8,0,0.3,0.9,0,0,6.81
Angelo Fulgini,Angers,26," AM(CLR),FW  ",35(1),2947,1,0.6,1,0,0.1,0.8,0.1,0,6.81
Nicolas de Préville,Metz,32," AM(CLR),FW  ",24(3),1982,0.6,0.2,1.7,0,0.4,0.6,0.1,0,6.80
Rominigue Kouamé,Troyes,26, DMC  ,34,2977,1.4,1.4,1.3,0,0.6,1.1,0.1,0,6.80
Luan Peres,Marseille,28, D(CL)  ,29(5),2677,1.9,1.3,0.6,0.5,1.5,0.5,0.4,1,6.80
Ronaël Pierre-Gabriel,Brest,24," D(CLR),M(R)  ",29(1),2555,2.6,1.6,0.9,0.2,2.2,1,0.2,0,6.80
Justin Kluivert,Nice,23, AM(LR)  ,25(3),1883,0.7,0.5,1.4,0,0.2,0.6,0,0,6.79
Mario Lemina,Nice,29, DMC  ,24(8),1972,1.9,1.5,1.1,0,1.2,0.3,0.3,0,6.79
Ryad Boudebouz,Saint-Etienne,33," M(CLR),FW  ",27(3),2267,0.9,0.3,0.5,0,0.1,0.6,0.1,0,6.79
Kevin Volland,Monaco,30," AM(CLR),FW  ",29(5),2450,0.7,0.1,1.6,0,0.2,0.7,0,1,6.79
