Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Kylian Mbappé,PSG,24," AM(LR),FW  ",27(4),2389,7,1.1,30.7,80.7,0.2,0.2,0,7.68
Andy Delort,Montpellier,31," AM(R),FW  ",30,2494,9,1.8,26.3,62.5,1,1.1,0,7.60
Memphis Depay,Lyon,29," AM(CL),FW  ",33(4),2932,12,2.5,29.9,76.1,1.3,1.1,0.1,7.56
Ángel Di María,PSG,35," M(CLR),FW  ",23(4),1863,9,2.6,36.8,81.2,1.8,2.1,0.3,7.33
Karl Toko Ekambi,Lyon,30," AM(LR),FW  ",34(1),2830,6,1.4,25.9,80.3,0.3,0.7,0.1,7.32
Benjamin André,Lille,32," D(R),M(CLR)  ",35,2903,1,0.6,57.7,84.1,0.1,2.3,0,7.27
Téji Savanier,Montpellier,31, M(C)  ,26(1),2175,5,2.3,40,74.4,2,4.7,0,7.26
Gaëtan Laborde,Montpellier,28," AM(CLR),FW  ",38,3270,8,1,22,67,0.3,0.3,0,7.25
Marco Verratti,PSG,30, M(C)  ,16(5),1491,2,1.1,84,91.7,0.1,2.6,0,7.24
Fabien Centonze,Metz,27," D(R),M(R)  ",36,3222,0,0.6,37.8,79.5,0.6,1,0.1,7.23
Ludovic Ajorque,Strasbourg,29, FW  ,34(1),2972,4,1,25.6,68.3,0.1,1.2,0,7.22
Farid Boulaya,Metz,30," AM(CLR),FW  ",32(1),2822,8,2.3,41.4,74.4,1.4,3.5,0.1,7.22
Lucas Paquetá,Lyon,25," M(CLR),FW  ",27(3),2285,5,1.5,40.9,81,0.1,1.6,0.1,7.22
Zinedine Ferhat,Nimes,30, M(LR)  ,33,2960,10,1.5,33,71,0.8,1.6,0.1,7.21
Romain Faivre,Brest,24, AM(CLR)  ,33(3),2902,5,1.8,36.6,84.8,1.2,1.5,0,7.18
Aleksandr Golovin,Monaco,26, M(CLR)  ,12(9),1072,9,1.7,22.5,76.5,1.5,0.5,0.2,7.16
Steve Mounié,Brest,28, FW  ,31(4),2696,4,0.5,20.9,58,0.1,0.5,0,7.16
Aurélien Tchouaméni,Monaco,23, DMC  ,36,3073,3,0.5,50.7,82.8,0.1,2.6,0,7.16
Burak Yilmaz,Lille,37," AM(L),FW  ",23(5),2057,5,1,17.9,77.6,0,0.2,0,7.14
Angelo Fulgini,Angers,26," AM(CLR),FW  ",33,2739,4,1.7,45.7,83.2,0.9,2.1,0.2,7.13
Amine Gouiri,Nice,23," AM(L),FW  ",31(3),2753,7,1.5,30.9,79.6,0.5,0.9,0.1,7.13
Kiki Kouyaté,Metz,25, D(C)  ,21(4),1961,0,0.1,34.9,80.8,0,1.4,0,7.10
Jérémy Doku,Rennes,20, AM(LR)  ,26(4),2318,3,1.4,30.1,83.4,0.5,0.6,0,7.07
Jonathan Bamba,Lille,26," AM(CLR),FW  ",34(4),2993,9,1.7,38.6,82.6,1.1,1.3,0,7.07
Kevin Volland,Monaco,30," AM(CLR),FW  ",34(1),2789,7,0.9,21.6,67.8,0.2,0.5,0.1,7.06
Wissam Ben Yedder,Monaco,32," AM(C),FW  ",32(5),2626,7,1.1,23.4,74.2,0.1,0.6,0.1,7.06
Ludovic Blas,Nantes,25," M(CLR),FW  ",32(4),2805,4,0.8,25.9,80.7,0.2,1.3,0.1,7.06
José Fonte,Lille,39, D(C)  ,36,3190,0,0.3,65.7,90.4,0.1,4.1,0,7.05
Reinildo,Lille,29," D(CL),M(L)  ",24(5),2183,0,0.6,44.1,81.3,0.7,1.3,0,7.05
Marquinhos,PSG,28," D(CR),DMC  ",24(1),2129,1,0.1,69.2,93,0,4.2,0,7.05
Rafinha,PSG,31, M(CLR)  ,15(8),1368,4,1,50.1,90.9,0.3,1.3,0.1,7.02
Mahdi Camara,Saint-Etienne,24," D(CR),DMC  ",37,3295,2,0.6,42.9,86.4,0.3,1.9,0,7.01
Léo Dubois,Lyon,28," D(LR),M(R)  ",35(2),2917,4,1.8,47.2,83,1.7,1.9,0,7.00
Zeki Çelik,Lille,26," D(R),M(R)  ",28(1),2389,2,0.8,45.2,78.6,0.4,2,0,7.00
Sven Botman,Lille,23, D(C)  ,37,3311,0,0.1,70,86.5,0,3.8,0,6.99
Florian Thauvin,Marseille,30," M(CLR),FW  ",33(3),2749,8,1.6,32.8,79.1,1.2,1.6,0.1,6.98
Mathieu Debuchy,Saint-Etienne,37," D(CR),M(R)  ",25(1),2108,1,0.7,33.8,72.6,0.8,1.7,0,6.97
Marcelo,Lyon,35, D(C)  ,34,2912,0,0.2,60.6,88.2,0,3.9,0,6.97
Massadio Haïdara,Lens,30," D(CL),M(L)  ",24(1),2136,1,0.7,41.3,82.2,0.4,2.2,0,6.96
Moise Kean,PSG,23," AM(LR),FW  ",22(4),1709,0,0.3,11.6,78.8,0.1,0.3,0,6.95
Sofiane Diop,Monaco,22, AM(CLR)  ,24(8),2036,1,0.9,29.2,80.6,0.3,1,0,6.95
Loïc Badé,Lens,22, D(C)  ,29(2),2610,0,0.2,63,85.5,0.1,3.6,0,6.95
Tinotenda Kadewere,Lyon,27," AM(R),FW  ",24(9),2022,3,0.6,17.9,75.2,0.2,0.4,0,6.94
Boubacar Kamara,Marseille,23," D(CL),DMC  ",35,2905,2,0.7,58,86.7,0,3,0,6.94
