Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Robert Lewandowski,Bayern,34, FW  ,34,2952,35,3,2,0,4.7,77.4,1.6,8,7.89
Christopher Nkunku,RBL,25," M(CLR),FW  ",31(3),2735,20,13,2,0,2.4,81.8,0.8,10,7.64
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  ",28,2478,3,11,4,0,1,88,0.6,5,7.60
Erling Haaland,Borussia Dortmund,22, FW  ,21(3),1915,22,7,3,0,3.3,71.3,1.6,6,7.55
Patrik Schick,Leverkusen,27," AM(R),FW  ",26(1),2094,24,3,0,0,3.3,68.9,2,4,7.45
Florian Wirtz,Leverkusen,19," AM(C),FW  ",22(2),1864,7,10,2,0,1.5,78.7,0.3,3,7.41
Nico Schlotterbeck,Freiburg,23, D(C)  ,32,2789,4,1,5,0,1.1,80.6,3.4,1,7.39
Thomas Müller,Bayern,33," M(CLR),FW  ",32,2578,8,18,0,0,1.7,77,1,3,7.34
Alphonso Davies,Bayern,22," D(L),M(LR)  ",20(2),1744,0,3,3,0,0.8,84.3,0.5,2,7.31
Serge Gnabry,Bayern,27," AM(CLR),FW  ",25(9),2192,14,5,0,0,2,82,0.2,2,7.30
Marco Reus,Borussia Dortmund,33," M(CLR),FW  ",29,2514,9,12,2,0,1.8,82.8,0.3,3,7.25
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  ",24(2),2082,12,5,1,0,2.1,81.8,0.2,3,7.20
Moussa Diaby,Leverkusen,23," M(CLR),FW  ",32,2773,13,12,8,1,1.7,77.2,0.2,3,7.20
Leroy Sané,Bayern,27," M(CLR),FW  ",22(10),1982,7,7,3,0,2.8,84.1,0.1,0,7.17
David Raum,Hoffenheim,24," D(L),M(LR)  ",31(1),2762,3,11,5,0,0.8,79.5,0.9,4,7.16
Kingsley Coman,Bayern,26," M(LR),FW  ",16(5),1369,6,2,1,1,2.2,84.1,0.4,1,7.13
Jude Bellingham,Borussia Dortmund,19, M(CLR)  ,32,2795,3,8,9,0,1.4,83.7,0.9,1,7.12
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  ",22(9),2083,9,8,3,0,1.1,82.6,0.5,4,7.12
Filip Kostic,Eintracht Frankfurt,30," M(LR),FW  ",28(3),2525,4,9,2,0,1.6,69.7,0.4,6,7.11
Anthony Modeste,FC Koln,34, FW  ,31(1),2620,20,3,4,0,3.3,65.7,3,6,7.11
Vincenzo Grifo,Freiburg,29, AM(CL)  ,33(1),2792,9,7,0,0,2,79.4,0.5,4,7.10
Nicolas Höfler,Freiburg,33," D(C),DMC  ",30,2604,2,4,5,0,1.1,83.7,2.2,1,7.09
Leon Goretzka,Bayern,28, M(CR)  ,19,1407,3,3,0,0,2.4,83.9,1.6,3,7.08
Lucas Höler,Freiburg,28," AM(CLR),FW  ",30(4),2598,7,2,2,0,1.8,68.4,3.7,3,7.08
Evan Ndicka,Eintracht Frankfurt,23, D(CL)  ,32,2858,4,4,3,0,0.8,84.2,3.5,1,7.06
Danilo Soares,Bochum,31," D(L),M(L)  ",30,2568,0,1,4,0,0.4,75.8,1.6,2,7.06
Timo Hübers,FC Koln,26, D(C)  ,20,1742,1,0,7,0,0.5,82.9,2.6,1,7.06
Willi Orbán,RBL,30, D(C)  ,30,2646,2,1,1,0,0.7,89.2,3.3,2,7.06
Konstantinos Mavropanos,Stuttgart,25, D(CR)  ,31,2711,4,0,3,0,1.1,80.1,2.9,5,7.05
Josko Gvardiol,RBL,21, D(CL)  ,28(1),2413,2,2,7,0,0.8,84,1.8,0,7.04
