Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Khvicha Kvaratskhelia,Napoli,22, AM(CLR)  ,20(1),1568,1.3,0.1,0.5,0,0.2,0.6,0,0,7.55
Victor Osimhen,Napoli,24, FW  ,20(1),1760,0.2,0.1,1.4,0,0.8,0.2,0,0,7.54
Paulo Dybala,Roma,29," AM(CR),FW  ",17(1),1352,0.6,0.3,0.6,0,0.1,0.4,0,0,7.31
Sergej Milinkovic-Savic,Lazio,28, AM(C)  ,22(1),1926,1.7,1,1.2,0,1.2,1,0.3,0,7.31
Lautaro Martínez,Inter,25, FW  ,22(3),1956,0.8,0.4,1.5,0,0.5,0.3,0,0,7.25
Lucas Martínez,Fiorentina,26, D(C)  ,16(2),1451,3.3,1.9,0.8,0.6,2.9,0.7,0.8,0,7.21
Armand Laurienté,Sassuolo,24," AM(LR),FW  ",18,1500,0.7,0.5,0.7,0,0.2,0.3,0,0,7.18
Mário Rui,Napoli,31," D(L),M(L)  ",18(1),1506,1.5,0.8,0.8,0.2,0.8,0.8,0.2,0,7.16
Kim Min-Jae,Napoli,26, D(C)  ,24,2116,1.6,0.9,0.8,0.5,3.9,0.1,1,0,7.13
Lorenzo Pellegrini,Roma,26, M(CL)  ,21,1769,1.7,0.9,0.7,0,0.5,0.7,0.1,0,7.12
Adrien Rabiot,Juventus,27," DMC,M(L)  ",20(1),1761,1.8,0.9,1.1,0,1,0.8,0.3,0,7.11
Mattia Zaccagni,Lazio,27," AM(CL),FW  ",21(1),1730,1.3,0.7,1.5,0,0.2,0.4,0.1,0,7.11
André-Frank Zambo Anguissa,Napoli,27, M(C)  ,23,1929,1.7,1.1,1,0,0.7,1.3,0.1,0,7.10
Rafael Leão,AC Milan,23," AM(CL),FW  ",19(4),1699,0.2,0.5,0.6,0,0.3,0.2,0,0,7.10
Hakan Çalhanoglu,Inter,29," M(CLR),FW  ",22(2),1820,1.6,0.9,1.4,0,0.3,0.8,0.2,0,7.10
Ibañez,Roma,24, D(C)  ,24,2160,2.3,2.1,1.3,0.3,3.3,0.4,0.3,1,7.08
Danilo,Juventus,31," D(CLR),DMC  ",24(1),2172,2.3,1.3,1,0.2,3,0.6,0.5,0,7.08
Armando Izzo,Monza,31, D(C)  ,17(1),1469,3.1,1.7,1.4,0.2,2.7,0.4,0.4,0,7.07
Gerard Deulofeu,Udinese,28," AM(CLR),FW  ",15(1),1219,0.5,0.1,0.5,0,0.1,0.6,0.1,0,7.05
Felipe Anderson,Lazio,29," M(CLR),FW  ",23(2),1934,2,0.6,1,0,0.5,1.1,0.1,0,7.04
Giovanni Di Lorenzo,Napoli,29," D(CLR),M(R)  ",25,2239,1.6,0.8,0.9,0.2,1.4,0.6,0.2,0,7.04
Teun Koopmeiners,Atalanta,25," D(C),M(C)  ",23(1),2051,1.4,0.7,1.3,0.1,1.2,0.8,0.2,0,7.03
Ismaël Bennacer,AC Milan,25, DMC  ,17(3),1481,2.4,1,1.5,0,0.6,0.4,0.4,0,7.03
Ademola Lookman,Atalanta,25," AM(CLR),FW  ",19(5),1531,0.4,0.1,0.8,0,0,0.3,0,0,7.01
Piotr Zielinski,Napoli,28, M(CLR)  ,19(6),1601,0.5,0.6,0.4,0,0.2,0.3,0.1,0,7.01
Stefan Posch,Bologna,25, D(CR)  ,18,1542,2.7,1.4,1.2,0.3,2,0.6,0.4,0,7.00
Nicolò Barella,Inter,26, AM(C)  ,22(2),1888,1.3,0.3,1,0,0.4,0.6,0.2,0,7.00
Amir Rrahmani,Napoli,29, D(CL)  ,17(1),1567,1.4,0.6,0.6,0.2,2.8,0.3,0.8,0,7.00
Ángel Di María,Juventus,35," M(CLR),FW  ",11(5),880,0.4,0.3,0.3,0,0,0.8,0,0,6.98
Ivan Provedel,Lazio,28, GK  ,24(1),2242,0,0,0,0,1.1,0,0,0,6.98
Stanislav Lobotka,Napoli,28, DMC  ,23(2),2099,2.3,0.5,0.6,0,0.4,0.7,0.2,0,6.94
Jaka Bijol,Udinese,24," D(C),M(C),FW  ",20,1656,1.1,1,0.6,0.6,5.9,0.3,0.7,0,6.93
Chris Smalling,Roma,33, D(CR)  ,23(1),2132,0.8,1.5,0.6,0.1,4.2,0.3,1,0,6.93
Carlos Augusto,Monza,24," D(L),M(L)  ",22,1917,1.6,0.5,1.4,0.2,2.2,0.4,0.2,0,6.93
Dusan Vlahovic,Juventus,23, FW  ,15(1),1289,0.4,0.2,0.8,0,0.3,0.3,0.1,0,6.93
Rafael Tolói,Atalanta,32, D(C)  ,20,1723,1.8,2.2,0.9,0.3,2.5,0.9,0.6,0,6.92
Manuel Locatelli,Juventus,25, M(C)  ,20(1),1667,1.9,1,1.3,0,1.5,0.6,0.8,0,6.92
Ciro Immobile,Lazio,33, FW  ,18(2),1456,0.4,0.1,0.8,0,0.5,0.1,0.1,0,6.92
Destiny Udogie,Udinese,20, M(L)  ,21,1830,2.6,1.1,1.3,0.2,0.6,0.8,0.2,0,6.92
Juan Cuadrado,Juventus,34," D(R),M(CLR),FW  ",16(3),1269,1.8,0.7,0.9,0,0.7,1.1,0.1,0,6.92
Federico Dimarco,Inter,25," D(CL),M(L)  ",20(3),1608,1.1,0.6,0.4,0,0.6,0.3,0.2,0,6.90
Morten Hjulmand,Lecce,23, DMC  ,23,1985,2.7,2.2,1.7,0,1.9,0.7,0.3,0,6.89
Bryan Cristante,Roma,28," D(C),M(C)  ",25,2088,3.4,0.4,1.4,0,1.2,1,0.3,0,6.89
Alessio Romagnoli,Lazio,28, D(CL)  ,21(1),1864,1.2,1.1,0.9,0.5,3.3,0.5,0.8,0,6.89
Stefan de Vrij,Inter,31, D(C)  ,14(1),1221,1.1,2,0.7,0.3,3.1,0.1,0.3,0,6.89
Jérémie Boga,Atalanta,26," AM(CLR),FW  ",5(10),545,0.3,0.1,0.2,0,0.1,0.2,0,0,6.87
Davide Frattesi,Sassuolo,23, DMC  ,25,2042,1.9,0.4,1.2,0,1.2,0.5,0.1,0,6.87
Fikayo Tomori,AC Milan,25, D(CR)  ,21(1),1848,2.4,0.9,0.8,0.2,2,0.3,0.7,0,6.87
Nicolò Casale,Lazio,25, D(C)  ,17,1497,1.8,0.7,0.9,0.8,2.6,0.4,0.5,0,6.87
Hirving Lozano,Napoli,27," AM(LR),FW  ",14(10),1220,0.8,0.4,1,0,0.1,0.3,0,0,6.86
Bremer,Juventus,25, D(C)  ,21,1847,0.9,1.5,1,0.4,3.7,0.1,0.9,0,6.86
Ardian Ismajli,Empoli,26, D(C)  ,17(1),1563,1.8,1.2,0.9,0.6,5.3,0.2,1.3,1,6.86
Gabriel Strefezza,Lecce,25, M(LR)  ,20(3),1619,1.6,0.5,1.4,0,0.4,0.6,0.1,0,6.86
Roberto Pereyra,Udinese,32," M(CLR),FW  ",21(1),1779,1.3,0.5,0.8,0,0.5,0.7,0.1,0,6.86
Tammy Abraham,Roma,25, FW  ,19(6),1655,0.5,0.1,1,0,0.4,0.3,0.2,0,6.85
Matteo Pessina,Monza,25, AM(CR)  ,22(1),1887,1.5,1,1.1,0.1,0.7,0.8,0.4,0,6.85
Guglielmo Vicario,Empoli,26, GK  ,24,2160,0,0,0,0,1.3,0,0,0,6.85
Fabiano Parisi,Empoli,22, D(L)  ,22,1869,2,1,1,0.1,2,1,0.5,0,6.85
Luigi Sepe,Salernitana,31, GK  ,17,1530,0,0,0.1,0,0.4,0.1,0,0,6.84
Edin Dzeko,Inter,36, FW  ,17(8),1534,0.1,0.1,0.9,0,0.9,0.2,0,0,6.84
Theo Hernández,AC Milan,25," D(L),M(L)  ",22,1921,1.6,0.5,0.7,0.1,0.9,0.5,0.3,1,6.84
Filip Kostic,Juventus,30," M(LR),FW  ",23(2),1833,1.3,0.3,1,0,0.5,0.8,0.1,0,6.84
Rodrigo Becão,Udinese,27, D(C)  ,19,1683,2.9,0.8,1.3,0.5,1.9,0.5,1,1,6.83
