Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Jamal Musiala,Bayern,20, M(CL)  , M(CL)  ,19(3),11,8,2.2,1.7,2,1.2,0,2.5,2.7,7.50
Jude Bellingham,Borussia Dortmund,19, M(CLR)  , M(CLR)  ,21(1),4,4,2,1,2.4,2.6,0,2,2.2,7.48
Joshua Kimmich,Bayern,28," D(CR),DMC,M(R)  "," D(CR),DMC,M(R)  ",21(1),3,4,1.1,2.2,0.4,1.5,0,0.9,0.8,7.44
Niclas Füllkrug,Werder Bremen,30, FW  , FW  ,22,14,3,3.1,1.2,1,1.7,0.9,2,2.7,7.40
Dominik Szoboszlai,RBL,22, AM(CLR)  , AM(CLR)  ,19(2),4,8,1.5,2.1,1.4,1.1,0,1.1,1.8,7.35
Vincenzo Grifo,Freiburg,29, AM(CL)  , AM(CL)  ,19(3),12,4,2,1.8,1.2,0.9,0,0.7,1,7.30
Jonas Hofmann,Borussia M.Gladbach,30," D(R),M(CLR)  "," D(R),M(CLR)  ",20,8,7,1.5,3.2,0.4,1.7,0.8,1.2,1.5,7.29
Randal Kolo Muani,Eintracht Frankfurt,24," AM(R),FW  "," AM(R),FW  ",21(1),11,10,2,1,1.8,2.3,0.9,2.4,3.9,7.26
Christopher Nkunku,RBL,25," M(CLR),FW  "," M(CLR),FW  ",15(3),12,1,2.7,1.7,1.2,1.4,0.5,1.7,1.8,7.25
Julian Brandt,Borussia Dortmund,26," M(CLR),FW  "," M(CLR),FW  ",20(3),8,4,1.2,2.3,1.3,0.6,0.2,1,1.8,7.25
Thomas Müller,Bayern,33," M(CLR),FW  "," M(CLR),FW  ",13(3),4,7,1.7,1.5,0.3,0.3,0.3,0.7,1.9,7.24
Eric Choupo-Moting,Bayern,33," M(CLR),FW  "," M(CLR),FW  ",13(4),10,2,1.6,0.8,1,0.4,0.5,0.9,1.8,7.23
Alphonso Davies,Bayern,22," D(L),M(LR)  "," D(L),M(LR)  ",19(1),0,4,0.6,1.9,3,1.1,0.2,1.2,2.2,7.20
Michael Gregoritsch,Freiburg,28," AM(CR),FW  "," AM(CR),FW  ",21(1),8,3,2.5,0.9,0.4,1.3,0.5,0.5,1.7,7.20
Nico Schlotterbeck,Borussia Dortmund,23, D(C)  , D(C)  ,23,3,4,0.7,0.5,0.3,0.7,0,0.3,0.5,7.17
Maximilian Arnold,Wolfsburg,28, M(CR)  , M(CR)  ,23,5,2,1.2,1.4,0.3,2.1,0,0.7,0.6,7.13
Benjamin Pavard,Bayern,26," D(CLR),M(R)  "," D(CLR),M(R)  ",17(3),1,1,0.9,0.8,0,0.6,0.2,0.1,0.4,7.13
Leroy Sané,Bayern,27," M(CLR),FW  "," M(CLR),FW  ",13(8),6,3,2.5,1,2.4,0.8,0.1,2,1.9,7.13
Willi Orbán,RBL,30, D(C)  , D(C)  ,22,3,0,0.9,0.1,0.2,0.9,0.1,0.3,0.3,7.12
Kingsley Coman,Bayern,26," M(LR),FW  "," M(LR),FW  ",9(7),5,4,1.8,1.8,1.5,0.8,0.2,0.9,1.6,7.11
Serge Gnabry,Bayern,27," AM(CLR),FW  "," AM(CLR),FW  ",14(9),9,4,2.3,1,0.9,0.3,0.2,0.8,1.4,7.11
Moussa Diaby,Leverkusen,23," M(CLR),FW  "," M(CLR),FW  ",22,8,4,2.1,1.8,1.1,0.6,0.4,1.2,1.8,7.11
