Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Khvicha Kvaratskhelia,Napoli,22, AM(CLR)  , AM(CLR)  ,20(1),10,9,2.8,1.7,1.8,1.3,0.2,1.6,2.2,7.55
Victor Osimhen,Napoli,24, FW  , FW  ,20(1),19,3,4.3,1,0.8,1.2,1.2,1.4,3.1,7.54
Paulo Dybala,Roma,29," AM(CR),FW  "," AM(CR),FW  ",17(1),8,6,2.5,2.2,1.1,2.1,0.3,1.4,2.7,7.31
Sergej Milinkovic-Savic,Lazio,28, AM(C)  , AM(C)  ,22(1),4,8,1.6,1.5,1,2.4,0,1.8,3.2,7.31
Lautaro Martínez,Inter,25, FW  , FW  ,22(3),14,3,3.6,1.4,0.8,2,0.4,1.4,2,7.25
Lucas Martínez,Fiorentina,26, D(C)  , D(C)  ,16(2),1,1,1.1,0.3,0.4,1.1,0.1,0.1,0.4,7.21
Armand Laurienté,Sassuolo,24," AM(LR),FW  "," AM(LR),FW  ",18,5,5,2.2,2.8,1.8,1.8,0.2,2.2,2.1,7.18
Mário Rui,Napoli,31," D(L),M(L)  "," D(L),M(L)  ",18(1),0,6,0.5,2.3,0.3,1.4,0,0.3,0.5,7.16
Kim Min-Jae,Napoli,26, D(C)  , D(C)  ,24,2,1,0.3,0.4,0,0.2,0,0.3,0.5,7.13
Lorenzo Pellegrini,Roma,26, M(CL)  , M(CL)  ,21,2,5,1.9,2.2,1.1,1.9,0.2,1,1.9,7.12
Adrien Rabiot,Juventus,27," DMC,M(L)  "," DMC,M(L)  ",20(1),5,2,1.2,1,0.9,1.6,0.1,1.1,1.9,7.11
Mattia Zaccagni,Lazio,27," AM(CL),FW  "," AM(CL),FW  ",21(1),8,4,1.8,0.9,1.1,3,0.1,1,1.5,7.11
André-Frank Zambo Anguissa,Napoli,27, M(C)  , M(C)  ,23,2,4,1.3,0.9,1,1.3,0.1,1.4,2,7.10
Rafael Leão,AC Milan,23," AM(CL),FW  "," AM(CL),FW  ",19(4),8,6,2.9,1.6,1.9,0.8,0.4,1.2,1.9,7.10
Hakan Çalhanoglu,Inter,29," M(CLR),FW  "," M(CLR),FW  ",22(2),2,5,1.7,2.2,0.3,0.9,0,0.3,1,7.10
Ibañez,Roma,24, D(C)  , D(C)  ,24,3,0,0.8,0.2,0.4,1.8,0,0.6,0.7,7.08
Danilo,Juventus,31," D(CLR),DMC  "," D(CLR),DMC  ",24(1),3,3,0.8,0.6,0.2,0.5,0,0.2,0.6,7.08
Armando Izzo,Monza,31, D(C)  , D(C)  ,17(1),1,0,0.4,0.6,0.2,1.8,0.1,0.3,0.4,7.07
Gerard Deulofeu,Udinese,28," AM(CLR),FW  "," AM(CLR),FW  ",15(1),2,6,2.8,3,1.2,0.7,0.5,1.1,1.4,7.05
Felipe Anderson,Lazio,29," M(CLR),FW  "," M(CLR),FW  ",23(2),6,2,1.1,1.2,1.3,0.9,0.2,1.3,2.4,7.04
Giovanni Di Lorenzo,Napoli,29," D(CLR),M(R)  "," D(CLR),M(R)  ",25,1,4,0.8,1.3,0.3,0.9,0.2,0.6,0.6,7.04
Teun Koopmeiners,Atalanta,25," D(C),M(C)  "," D(C),M(C)  ",23(1),6,3,1.8,1.5,0.7,0.8,0,0.9,1.5,7.03
Ismaël Bennacer,AC Milan,25, DMC  , DMC  ,17(3),1,1,0.4,1.9,1.1,1.1,0.1,0.9,1.3,7.03
Ademola Lookman,Atalanta,25," AM(CLR),FW  "," AM(CLR),FW  ",19(5),12,4,1.9,1.3,1.3,1.3,0.4,1.9,1.8,7.01
Piotr Zielinski,Napoli,28, M(CLR)  , M(CLR)  ,19(6),3,6,1.5,2,0.5,1,0.1,0.4,0.7,7.01
Stefan Posch,Bologna,25, D(CR)  , D(CR)  ,18,4,1,0.9,1,0.3,0.7,0.1,0.4,1.5,7.00
Nicolò Barella,Inter,26, AM(C)  , AM(C)  ,22(2),5,6,0.8,1.5,1.2,1.5,0.3,1.2,1.6,7.00
Amir Rrahmani,Napoli,29, D(CL)  , D(CL)  ,17(1),1,1,0.8,0.4,0.1,0.5,0.1,0.1,0.2,7.00
Ángel Di María,Juventus,35," M(CLR),FW  "," M(CLR),FW  ",11(5),4,4,1.6,1.8,1.1,0.7,0.3,1.4,1.2,6.98
Ivan Provedel,Lazio,28, GK  , GK  ,24(1),0,0,0,0,0,0,0,0,0,6.98
Stanislav Lobotka,Napoli,28, DMC  , DMC  ,23(2),1,1,0.3,0.5,0.4,1.7,0,0.4,0.7,6.94
Jaka Bijol,Udinese,24," D(C),M(C),FW  "," D(C),M(C),FW  ",20,3,1,0.6,0.3,0.1,0.2,0,0.1,0.3,6.93
Chris Smalling,Roma,33, D(CR)  , D(CR)  ,23(1),3,0,0.5,0.1,0.1,0.5,0,0.1,0.3,6.93
Carlos Augusto,Monza,24," D(L),M(L)  "," D(L),M(L)  ",22,4,3,1.2,0.5,1.1,0.6,0.2,0.7,1.1,6.93
Dusan Vlahovic,Juventus,23, FW  , FW  ,15(1),8,2,2.8,1,0.6,1,0.9,1.4,2.4,6.93
Rafael Tolói,Atalanta,32, D(C)  , D(C)  ,20,1,1,1,0.7,0.1,0.7,0.2,0.2,0.7,6.92
Manuel Locatelli,Juventus,25, M(C)  , M(C)  ,20(1),0,0,1,0.5,0.5,1.1,0,0.7,1,6.92
Ciro Immobile,Lazio,33, FW  , FW  ,18(2),9,3,2.5,0.8,0.7,1,0.6,0.9,2.1,6.92
