Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Ebrima Colley,Verona,23, AM(R)  ,4(19),721,0.5,0.3,0.6,0,0,0.3,0,0,6.24
Andrés Tello,Benevento,26, M(C)  ,3(15),402,0.5,0.3,0.3,0,0.2,0.8,0.1,0,6.24
Niccolò Zanellato,Crotone,24, M(C)  ,18(9),1638,0.9,0.6,1.1,0,0.4,0.9,0.2,0,6.23
Andrea Poli,Bologna,33, M(CL)  ,4(14),374,0.5,0.4,0.3,0,0.3,0.3,0.1,1,6.23
Alberto Cerri,Cagliari,26, FW  ,3(21),359,0.1,0.1,0.8,0,0.3,0.2,0.1,0,6.22
Daniel Bessa,Verona,30, AM(C)  ,4(14),604,0.8,0.1,0.9,0,0,0.4,0.1,0,6.22
Emmanuel Rivière,Crotone,33, FW  ,7(14),632,0.1,0,0.5,0,0,0.1,0,0,6.21
Christian Kouamé,Fiorentina,25," AM(LR),FW  ",9(24),982,0.3,0.2,0.8,0,0.1,0.2,0,0,6.21
Luca Marrone,Crotone,32," D(C),DMC  ",18(3),1589,1.2,1.2,1.7,0.7,2.6,0.4,0.5,1,6.21
Maxime Busi,Parma Calcio 1913,23," D(R),M(R)  ",11(13),1190,1,0.7,1,0.2,1.1,0.7,0,0,6.21
Vladimir Golemic,Crotone,31, D(C)  ,26(4),2338,1.1,1.3,1,0.8,3.2,0.2,0.9,0,6.19
Sebastiano Luperto,Crotone,26, D(C)  ,22(1),1886,1.7,1.2,1.2,0.3,3.1,0.5,0.3,0,6.19
Borja Valero,Fiorentina,38, M(CL)  ,4(16),481,0.7,0.3,0.5,0,0.1,0.6,0.1,0,6.18
Danilo Cataldi,Lazio,28, M(C)  ,4(15),561,0.4,0.5,0.5,0.1,0.3,0.7,0.1,0,6.17
Jacopo Petriccione,Crotone,28, M(C)  ,11(9),958,0.7,0.4,0.9,0,0.5,0.8,0.1,0,6.16
Valon Behrami,Genoa,37, M(C)  ,8(18),885,0.8,0.3,1.1,0,0.3,0.7,0.2,0,6.15
Andreas Pereira,Lazio,27, M(CLR)  ,3(23),527,0.2,0,0.5,0,0.1,0.4,0,0,6.13
Simon Sohm,Parma Calcio 1913,21, M(C)  ,8(10),894,1,0.3,0.4,0.1,0.3,0.8,0,0,6.12
Eduardo Henrique,Crotone,27, M(C)  ,8(10),921,0.3,0.4,1,0,0.4,0.5,0.1,0,6.05
Andrea Rispoli,Crotone,34," D(R),M(R)  ",5(14),649,0.3,0.3,0.4,0.1,0.6,0.3,0.2,0,6.02
