Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Akim Zedadka,Clermont Foot,27, D(R)  ,37(1),3338,3,1.2,40.9,83.1,1.2,1.2,0,6.67
Nuno Mendes,PSG,20," D(L),M(L)  ",18(9),1654,1,0.7,35.6,88.1,0.4,0.7,0,6.67
Vincent Pajot,Metz,32, M(C)  ,27(3),2320,0,0.5,35.4,86,0.1,2.2,0,6.67
Facundo Medina,Lens,23, D(CL)  ,30(1),2597,0,0.2,71.9,89.4,0,4,0,6.67
Xeka,Lille,28, M(C)  ,19(4),1622,0,0.6,36.5,81.2,0.3,2.6,0.1,6.66
Yacine Adli,Bordeaux,22, M(C)  ,25(11),2265,7,1.6,31,78.2,0.7,2.8,0.1,6.66
Jean-Kévin Duverne,Brest,25, D(CLR)  ,33(4),3007,3,0.7,38.5,74.4,0.5,3.2,0,6.66
Khéphren Thuram,Nice,21, DMC  ,20(16),1897,2,0.6,31,86.4,0,1.2,0.1,6.65
Elbasan Rashani,Clermont Foot,29, AM(CLR)  ,22(7),1769,3,0.5,18.5,77.1,0.3,0.2,0,6.65
Kevin Gameiro,Strasbourg,35, FW  ,28(7),2397,3,0.8,22.3,80.1,0,0.3,0.1,6.65
Haris Belkebla,Brest,29, DMC  ,26(5),2312,0,0.5,31.2,84.3,0.2,1.9,0,6.64
Alberth Elis,Bordeaux,27," AM(LR),FW  ",16(4),1416,1,0.8,13.8,64.1,0.2,0.3,0,6.64
Johan Gastien,Clermont Foot,35, DMC  ,32,2752,1,0.8,79.8,83.4,0.5,9.3,0,6.64
Léo Dubois,Lyon,28," D(LR),M(R)  ",20(3),1747,0,0.7,48.7,86,0.6,2.4,0,6.63
Renaud Ripart,Troyes,29," D(R),M(CLR),FW  ",22(6),1902,2,0.6,21.1,71.8,0.3,0.8,0,6.63
Jason Berthomier,Clermont Foot,33, AM(C)  ,22(7),1744,5,1.6,44.4,86.6,1.3,1.7,0.1,6.63
Marco Bizot,Brest,31, GK  ,38,3420,1,0.1,26.3,64.7,0,8.1,0,6.63
El Bilal Touré,Reims,21, FW  ,15(6),1201,4,0.5,15.4,74.4,0,0.1,0,6.63
Jordan Ferri,Montpellier,30, M(C)  ,33(1),2920,2,0.9,73.1,84.7,0.3,6.5,0.1,6.62
Matz Sels,Strasbourg,31, GK  ,37,3330,0,0,21.9,68.1,0,5.6,0,6.62
Mihailo Ristic,Montpellier,27," D(L),M(L)  ",19(10),1808,3,0.6,27.2,76.5,0.3,1.3,0.1,6.62
Jonas Martin,Rennes,32, M(CL)  ,24(5),2111,1,0.3,58.1,90.7,0,2.8,0.1,6.62
Mickaël Nadé,Saint-Etienne,24, D(C)  ,29(1),2568,0,0.2,40.4,81.1,0,2.3,0,6.62
Bamba Dieng,Marseille,22," AM(L),FW  ",11(14),976,1,0.4,7.6,75.1,0,0,0.1,6.61
Hicham Boudaoui,Nice,23, M(CR)  ,21(8),1633,2,0.5,21,79.3,0.4,0.3,0,6.61
Xavier Chavalerin,Troyes,32," DMC,M(L)  ",31(3),2724,2,0.7,27.9,80.1,0.4,1.5,0.1,6.61
Erik Palmer-Brown,Troyes,25, D(C)  ,19(2),1739,0,0.1,30.9,83.4,0,1.5,0,6.61
Birger Meling,Rennes,28," D(LR),DMC  ",20(11),1828,4,0.5,29.6,85.2,0.2,1.6,0,6.61
Souleyman Doumbia,Angers,26," D(L),M(L)  ",27,2231,1,0.6,30.8,85.4,0.6,0.7,0,6.61
Alexander Nübel,Monaco,26, GK  ,38,3420,0,0,24.9,70.6,0,5.6,0,6.61
Duje Caleta-Car,Marseille,26, D(C)  ,24(2),2062,0,0.1,69.6,91.9,0,5.2,0,6.60
Yoann Salmier,Troyes,30, D(C)  ,30(1),2671,1,0.3,41.1,83.6,0.1,2.2,0,6.60
Florent Mollet,Montpellier,31, AM(CLR)  ,32(3),2649,2,0.9,30,87,0.7,1.1,0,6.60
Thiago Mendes,Lyon,30," D(CR),M(CR)  ",21(8),1864,1,0.5,53,88.5,0.1,4.2,0.1,6.59
Pau López,Marseille,28, GK  ,29,2610,1,0,41,83.6,0,4.8,0,6.59
Jean-Louis Leca,Lens,37, GK  ,27,2315,0,0,22.3,70.9,0,4.4,0,6.59
Arnaud Souquet,Montpellier,31," D(CR),M(R)  ",27(7),2341,3,0.5,25.3,71.8,0.2,0.8,0,6.59
Ismaël Traoré,Angers,36, D(CR)  ,36(1),3215,1,0.2,47.4,88.7,0.1,2.5,0,6.59
Ivo Grbic,Lille,27, GK  ,21,1890,0,0,23.7,62.7,0,5.1,0,6.58
Arkadiusz Milik,Marseille,29," AM(C),FW  ",15(8),1419,2,0.7,15.9,80.3,0,0.5,0,6.58
Warmed Omari,Rennes,22, D(C)  ,31(3),2798,0,0.1,58.2,92.4,0,4.7,0,6.58
Yohann Magnin,Clermont Foot,25, DMC  ,19(5),1717,0,0.3,36.9,81.7,0.1,1.5,0,6.58
Jérôme Boateng,Lyon,34, D(CR)  ,19(5),1627,1,0.3,47,87.6,0.1,3.4,0.1,6.58
Tristan Dingomé,Troyes,32, M(C)  ,12(13),1073,4,1,19.9,78.7,0.7,1,0.1,6.58
Javairô Dilrosun,Bordeaux,24, AM(CLR)  ,19(13),1738,6,1,16.4,80.2,0.6,0.8,0,6.57
Terem Moffi,Lorient,23," AM(R),FW  ",34(3),2736,4,0.9,15.1,73.1,0.1,0.4,0.1,6.57
Kasper Dolberg,Nice,25, FW  ,20(7),1503,2,0.6,8.8,71,0.1,0.1,0,6.57
Nicolas Cozza,Montpellier,24, D(CL)  ,32(2),2778,2,0.3,36.6,82,0.2,1.8,0,6.57
Adrien Truffert,Rennes,21," D(L),M(L)  ",18(12),1635,2,0.4,31.5,82,0.4,0.8,0,6.56
Gauthier Gallon,Troyes,29, GK  ,31,2790,0,0,29.1,66.1,0,7.4,0,6.56
Thomas Delaine,Metz,30," D(L),M(LR)  ",26(3),2317,2,1,28,77.8,0.6,1.1,0,6.56
Thilo Kehrer,PSG,26," D(CLR),M(R)  ",16(11),1505,0,0.1,43.1,94.7,0,0.9,0,6.56
Ilan Kebbal,Reims,24," AM(C),FW  ",21(10),1785,4,1.1,24.3,79.5,0.5,1.2,0,6.56
Romain Del Castillo,Brest,26," AM(LR),FW  ",13(6),985,6,0.8,20.2,76.3,0.8,0.5,0.1,6.55
Enock Kwateng,Bordeaux,25," D(CR),M(R)  ",22(7),2002,0,0.6,35.6,80.4,0.6,1.9,0.1,6.55
Marc-Aurèle Caillard,Metz,28, GK  ,17(2),1540,0,0,19.3,49.9,0,5.7,0,6.54
Mathias Pereira Lage,Angers,26, M(CLR)  ,11(13),1038,2,0.4,16.6,73.9,0.1,0.4,0,6.54
Hwang Ui-Jo,Bordeaux,30," AM(CLR),FW  ",29(3),2526,2,0.4,12.2,79.3,0.3,0.2,0,6.54
Florent Ogier,Clermont Foot,33, D(C)  ,29(1),2434,0,0.1,50.2,83.7,0,3.5,0,6.54
Pape Sarr,Metz,20, AM(C)  ,22(11),2130,3,0.6,30.3,83.3,0,1.7,0.1,6.54
Alfred Gomis,Rennes,29, GK  ,25,2250,0,0,26.4,72.2,0,6.1,0,6.54
