Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Harry Kane,Tottenham,29," AM(C),FW  ",35,3087,0.6,0.3,0.7,0,1.1,0.5,0.3,0,7.79
Kevin De Bruyne,Man City,31," M(CLR),FW  ",23(2),2001,1.4,0.4,1.1,0,0.3,1.4,0,0,7.65
Jack Grealish,Aston Villa,27," AM(CL),FW  ",24(2),2184,1.2,0.5,1.5,0,0.2,0.3,0.1,0,7.56
Bruno Fernandes,Man Utd,28, M(CLR)  ,35(2),3110,1.5,0.7,1.2,0,0.7,2,0,0,7.43
Tomás Soucek,West Ham,28, DMC  ,38,3420,2.1,1.6,1.8,0.1,2.7,1.3,0.5,1,7.36
Mason Mount,Chelsea,24, M(CLR)  ,32(4),2892,2.1,0.9,1.4,0,0.3,1.2,0.1,0,7.33
Sadio Mané,Liverpool,30," AM(CLR),FW  ",31(4),2813,1.4,0.4,1.5,0,0.3,0.6,0,0,7.33
Riyad Mahrez,Man City,32," AM(CLR),FW  ",23(4),1955,0.7,0.3,0.5,0,0.1,0.9,0,0,7.31
João Cancelo,Man City,28," D(LR),M(R)  ",27(1),2302,2.4,1.5,1.3,0.3,1,1.4,0.1,0,7.31
Gareth Bale,Tottenham,33," M(CLR),FW  ",10(10),923,0.9,0.4,0.5,0.1,0.7,0.4,0.1,0,7.30
Ilkay Gündogan,Man City,32, M(C)  ,23(5),2031,0.9,0.7,0.3,0,0.3,1,0.1,0,7.29
Son Heung-Min,Tottenham,30," M(CLR),FW  ",36(1),3127,0.9,0.4,0.4,0,0.1,1.5,0.1,0,7.27
Wilfred Ndidi,Leicester,26," D(C),DMC  ",25(1),2179,3.7,2.3,2.1,0.1,2,1.5,0.4,0,7.25
Raphinha,Leeds,26," AM(LR),FW  ",26(4),2364,1.1,1,0.4,0,0.9,1.5,0,0,7.22
Raheem Sterling,Man City,28," M(CLR),FW  ",28(3),2537,0.7,0.5,1.2,0,0.1,0.2,0,0,7.22
James Rodríguez,Everton,31," AM(CLR),FW  ",21(2),1776,1.2,0.7,0.7,0,0,1.5,0,0,7.21
Ollie Watkins,Aston Villa,27," AM(LR),FW  ",37,3329,0.8,0.2,1.3,0,0.6,0.6,0.1,0,7.18
Rodri,Man City,26," D(C),DMC  ",31(3),2749,2.1,1.1,1.3,0,1.6,1,0.3,0,7.17
Michail Antonio,West Ham,32," D(R),M(CLR),FW  ",24(2),1984,0.3,0.3,1.1,0,0.3,0.2,0.1,0,7.17
Dominic Calvert-Lewin,Everton,25," AM(L),FW  ",32(1),2876,0.5,0.2,1.1,0,1,0.2,0.2,0,7.17
Aaron Wan-Bissaka,Man Utd,25," D(R),M(R)  ",34,3060,2.6,1.8,0.9,0.2,1.8,0.4,0.5,0,7.15
Phil Foden,Man City,22," AM(CLR),FW  ",17(11),1614,0.8,0.4,0.4,0,0.4,0.5,0,0,7.14
Marcus Rashford,Man Utd,25," AM(CLR),FW  ",33(4),2928,0.5,0.2,0.7,0.1,0.3,0.5,0.1,0,7.13
Thiago,Liverpool,31, M(C)  ,20(4),1858,2.5,1.3,2,0,0.5,1.3,0,0,7.12
Allan Saint-Maximin,Newcastle,25," AM(CLR),FW  ",19(6),1568,0.6,0.2,0.4,0,0,0.2,0,0,7.12
Gabriel Jesus,Man City,25," AM(LR),FW  ",22(7),2060,0.6,0.5,1,0,0.2,0.6,0,0,7.11
Pedro Neto,Wolves,23," AM(CLR),FW  ",30(1),2559,0.5,1,0.8,0,0.2,0.7,0.1,0,7.11
Adama Traoré,Wolves,27," M(CLR),FW  ",28(9),2645,0.8,0.2,1.3,0,0.3,0.2,0,0,7.11
Roberto Firmino,Liverpool,31," M(CLR),FW  ",33(3),2852,0.9,0.3,0.6,0,0.3,0.7,0.1,0,7.11
Jamie Vardy,Leicester,36," AM(L),FW  ",31(3),2846,0.5,0.1,0.8,0.1,0.9,0.4,0.1,0,7.11
Youri Tielemans,Leicester,25, M(C)  ,37(1),3358,2.3,1.2,1,0,0.4,1.7,0.2,0,7.09
Lucas Digne,Everton,29," D(CL),M(L)  ",30,2682,2.1,1,1.1,0.1,2.4,0.8,0.1,0,7.08
Christian Benteke,Crystal Palace,32, FW  ,21(9),1819,0.5,0.1,1.2,0,1.3,0.2,0.2,0,7.08
Bernardo Silva,Man City,28," M(CLR),FW  ",24(2),2071,1,0.7,0.7,0,0.2,1.6,0,0,7.07
Kurt Zouma,Chelsea,28, D(CR)  ,22(2),2025,0.7,1.2,0.7,0.5,3.8,0.2,0.4,0,7.07
Solly March,Brighton,28, M(CLR)  ,19(2),1675,2.3,1,1.2,0,1,0.8,0.2,0,7.07
James Ward-Prowse,Southampton,28, M(CR)  ,38,3420,2,1.1,1.2,0,1.4,1.1,0.1,0,7.07
Mohamed Salah,Liverpool,30," AM(CLR),FW  ",34(3),3082,0.5,0,0.6,0,0.3,0.2,0,0,7.07
Liam Cooper,Leeds,31, D(C)  ,25,2188,2.7,2.4,0.9,0.5,2.7,0.9,1.3,0,7.06
Serge Aurier,Tottenham,30," D(CLR),M(R)  ",19,1609,2.9,1,1.2,0.2,2.2,1.3,0.3,0,7.06
Paul Pogba,Man Utd,29, M(CL)  ,21(5),1896,1.4,1,1.6,0,1.4,0.8,0.1,0,7.06
Harry Maguire,Man Utd,30, D(C)  ,34,3048,0.9,1.8,1.2,0.6,3.6,0.3,0.7,0,7.04
John Stones,Man City,28, D(CR)  ,22,1934,1,0.8,0.3,0.7,2.5,0.2,0.7,0,7.03
James Justin,Leicester,25," D(CLR),M(LR)  ",23,2070,2.7,1.3,0.7,0.2,1.9,0.9,0.4,0,7.03
Luke Shaw,Man Utd,27," D(CL),M(L)  ",30(2),2657,1.4,0.6,1.3,0.1,1.2,0.5,0.3,1,7.03
Patrick Bamford,Leeds,29," AM(CLR),FW  ",37(1),3066,0.6,0.3,0.9,0,1,0.5,0.1,0,7.03
James Tarkowski,Burnley,30, D(C)  ,36,3240,1.8,1.2,0.8,0.6,4.4,0.7,1.2,0,7.02
Antonio Rüdiger,Chelsea,30, D(CR)  ,19,1710,1.6,0.9,0.8,0.5,2.7,0.2,0.5,1,7.02
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  ",34(2),3033,1.6,1.4,0.6,0.4,1.2,0.6,0.1,0,7.02
Wesley Fofana,Leicester,22, D(C)  ,27(1),2265,1.8,2.2,1.3,0.5,3.3,0.5,0.6,0,7.01
Declan Rice,West Ham,24," D(C),DMC  ",32,2880,1.8,1.8,0.7,0,1.1,0.9,0.3,0,7.01
Kalvin Phillips,Leeds,27," D(C),DMC  ",28(1),2431,2.6,1.6,1.6,0.1,1.7,1.2,0.5,0,7.01
James Maddison,Leicester,26, AM(CLR)  ,24(7),2105,1,0.3,0.6,0,0.1,0.9,0,0,7.00
Ben Chilwell,Chelsea,26," D(L),M(L)  ",27,2290,1.6,0.9,0.9,0.1,1.7,0.7,0.1,0,7.00
Emiliano Martínez,Aston Villa,30, GK  ,38,3420,0.1,0.1,0,0,0.4,0,0,0,7.00
André-Frank Zambo Anguissa,Fulham,27, M(C)  ,29(7),2587,2.2,1.6,1.2,0,0.4,1.1,0.2,0,6.99
Yves Bissouma,Brighton,26, M(C)  ,35(1),3114,2.9,1.8,1.5,0,1.8,0.9,0.2,0,6.98
Richarlison,Everton,25," AM(CLR),FW  ",33(1),2872,1.4,0.4,1,0,1,1,0.1,0,6.98
Harvey Barnes,Leicester,25, AM(CL)  ,22(3),1950,0.8,0.3,0.6,0,0.4,0.7,0.1,0,6.98
Jack Harrison,Leeds,26," AM(CLR),FW  ",34(2),2858,1.8,0.4,0.8,0,0.5,0.9,0.1,0,6.96
