Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Cristiano Ronaldo,Juventus,38," M(L),FW  "," M(L),FW  ",31(2),29,3,5.1,1.1,1.8,1.3,0.9,1,1.9,7.61
Zlatan Ibrahimovic,AC Milan,41, FW  , FW  ,18(1),15,2,4.3,1.1,0.6,1.3,2.1,0.6,1.7,7.57
Lorenzo Insigne,Napoli,31," AM(CL),FW  "," AM(CL),FW  ",33(2),19,7,4.1,1.8,1.9,1.1,0.3,1,1.8,7.56
Romelu Lukaku,Inter,29," AM(R),FW  "," AM(R),FW  ",32(4),24,11,2.7,1.4,1.5,1.3,0.5,1.4,2.6,7.47
Domenico Berardi,Sassuolo,28," AM(R),FW  "," AM(R),FW  ",28(2),17,7,3.8,1.9,1,2,0.1,1,1.8,7.42
Rodrigo De Paul,Udinese,28," AM(CLR),FW  "," AM(CLR),FW  ",36,9,9,2.3,2.3,3.4,3.5,0,1.6,2.6,7.41
Henrikh Mkhitaryan,Roma,34," M(CLR),FW  "," M(CLR),FW  ",30(4),13,10,2.4,1.4,1.4,1.4,0.3,0.7,1.5,7.30
Sergej Milinkovic-Savic,Lazio,28, AM(C)  , AM(C)  ,32,8,9,2,1.3,0.9,1.6,0.3,1.4,2.5,7.30
Theo Hernández,AC Milan,25," D(L),M(L)  "," D(L),M(L)  ",33,7,5,1.4,1.3,2.2,2.5,0.2,0.8,1.9,7.28
Hakan Çalhanoglu,AC Milan,29," M(CLR),FW  "," M(CLR),FW  ",30(3),4,9,2.5,3,1.1,1.3,0.1,1.1,2.3,7.27
Luis Muriel,Atalanta,31," AM(CL),FW  "," AM(CL),FW  ",16(20),22,9,2.4,1.3,1.5,0.6,0.1,1.4,1.6,7.25
Andrea Belotti,Torino,29, FW  , FW  ,33(2),13,6,3.1,1.1,1.3,3.9,0.6,1.2,3.1,7.23
Lorenzo Pellegrini,Roma,26, M(CL)  , M(CL)  ,30(4),7,6,2.1,1.9,1.3,1.5,0.2,0.6,2,7.23
Junior Messias,Crotone,31," M(CR),FW  "," M(CR),FW  ",36,9,4,2.7,0.9,2.9,2.6,0.1,1.6,3.1,7.22
Federico Chiesa,Juventus,25," M(CLR),FW  "," M(CLR),FW  ",28(2),8,8,2,1.5,1.6,1.2,0.4,0.8,1.3,7.21
Robin Gosens,Atalanta,28," D(L),M(CL)  "," D(L),M(CL)  ",30(2),11,6,1.6,0.9,0.8,0.8,0.3,0.5,1.3,7.19
Lautaro Martínez,Inter,25, FW  , FW  ,30(8),17,6,2.9,1,0.9,1.6,0.3,0.9,2.4,7.17
Juan Cuadrado,Juventus,34," D(R),M(CLR),FW  "," D(R),M(CLR),FW  ",26(4),2,10,0.6,2,1.5,2.2,0.1,0.7,1.6,7.16
Ruslan Malinovskyi,Atalanta,29," M(CR),FW  "," M(CR),FW  ",22(14),8,12,1.9,2.2,1.4,1.5,0,1.3,1.8,7.16
Piotr Zielinski,Napoli,28, M(CLR)  , M(CLR)  ,32(4),8,10,1.7,1.6,1.6,1.3,0.2,0.9,1.4,7.16
Ciro Immobile,Lazio,33, FW  , FW  ,34(1),20,6,3.4,1.5,0.8,1.3,0.9,1,2,7.15
Franck Kessie,AC Milan,26, M(C)  , M(C)  ,36(1),13,4,1.3,0.8,1.2,1.1,0,1.1,1.4,7.15
Cristian Romero,Atalanta,24, D(C)  , D(C)  ,29(2),2,2,0.5,0.3,0.2,1,0,0.2,0.5,7.14
Giovanni Di Lorenzo,Napoli,29," D(CLR),M(R)  "," D(CLR),M(R)  ",36,3,6,0.8,1.4,0.8,1.7,0.1,0.4,0.9,7.14
Josip Ilicic,Atalanta,35," AM(CLR),FW  "," AM(CLR),FW  ",17(11),6,9,2.1,2.2,2,2.5,0.3,1.6,2.6,7.13
