Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Pascal Groß,Brighton,31," D(R),M(CR),FW  "," D(R),M(CR),FW  ",23,6,4,1,2.1,0.3,0.5,0.4,0.5,1.1,6.97
Roberto Firmino,Liverpool,31," M(CLR),FW  "," M(CLR),FW  ",11(7),8,4,1.9,1.1,0.6,0.3,0.2,1.1,1.8,6.97
Ilkay Gündogan,Man City,32, M(C)  , M(C)  ,19(4),3,3,1.7,1.3,0.3,0.7,0.2,0.9,0.7,6.96
Thiago,Liverpool,31, M(C)  , M(C)  ,14,0,0,0.6,1.2,1.4,1.8,0,1.3,0.8,6.96
Bernardo Silva,Man City,28," M(CLR),FW  "," M(CLR),FW  ",19(5),4,5,0.9,1,1,0.5,0.1,1.1,1,6.96
James Ward-Prowse,Southampton,28, M(CR)  , M(CR)  ,25,6,2,1.2,2.1,0.2,0.6,0,0.6,0.8,6.96
Oleksandr Zinchenko,Arsenal,26," D(L),M(CLR)  "," D(L),M(CLR)  ",18(1),1,2,1.2,0.9,0.6,0.5,0.1,0.6,0.8,6.96
Declan Rice,West Ham,24," D(C),DMC  "," D(C),DMC  ",25,2,2,1.1,1.2,0.8,0.2,0,0.8,0.7,6.94
Riyad Mahrez,Man City,32," AM(CLR),FW  "," AM(CLR),FW  ",12(7),5,4,1.5,1.3,0.7,1.3,0.2,0.5,1.1,6.92
Marcus Tavernier,Bournemouth,23, M(CLR)  , M(CLR)  ,16(1),3,4,1.6,0.9,1.9,1.5,0.2,1.8,2.4,6.92
Serge Aurier,Nottingham Forest,30," D(CLR),M(R)  "," D(CLR),M(R)  ",14(2),1,0,0.4,0.6,0.6,1.1,0,0.9,1.4,6.92
Trent Alexander-Arnold,Liverpool,24," D(R),M(R)  "," D(R),M(R)  ",22(3),1,2,1,1.8,0.5,0.1,0.2,0.6,1.1,6.92
James Tarkowski,Everton,30, D(C)  , D(C)  ,26,1,0,0.8,0.4,0.2,0.6,0,0.2,0.6,6.91
Virgil van Dijk,Liverpool,31, D(C)  , D(C)  ,21,3,0,1,0.1,0.1,0.1,0,0,0.3,6.91
Granit Xhaka,Arsenal,30," D(L),M(C)  "," D(L),M(C)  ",25(1),3,5,1,1.4,0.3,1.2,0.1,0.7,1,6.91
Pascal Struijk,Leeds,23," D(CL),DMC  "," D(CL),DMC  ",20,2,1,0.7,0.6,0.5,0.6,0,0.5,1.2,6.90
Dejan Kulusevski,Tottenham,22," AM(CR),FW  "," AM(CR),FW  ",16(2),2,5,1.5,1.8,1.6,0.8,0.1,1.5,3.2,6.89
Andrew Robertson,Liverpool,28," D(L),M(L)  "," D(L),M(L)  ",19(3),0,6,0.5,1.7,0.6,0.4,0.2,0.3,1,6.89
Son Heung-Min,Tottenham,30," M(CLR),FW  "," M(CLR),FW  ",21(3),5,3,2.3,1.6,0.8,1,0.4,1.7,1.9,6.87
Luke Shaw,Man Utd,27," D(CL),M(L)  "," D(CL),M(L)  ",20(1),1,2,0.4,1.1,0.4,1,0,0.3,0.8,6.87
Gabriel Magalhães,Arsenal,25, D(C)  , D(C)  ,26,2,0,0.8,0.1,0,1.2,0,0.1,0.4,6.86
Joachim Andersen,Crystal Palace,26, D(C)  , D(C)  ,20,1,0,0.7,0.2,0.2,0.6,0.1,0.1,0.4,6.86
Willian,Fulham,34, AM(CLR)  , AM(CLR)  ,17(2),3,2,1.3,1.5,1.3,0.9,0.1,0.9,1.6,6.86
Youri Tielemans,Leicester,25, M(C)  , M(C)  ,19(4),3,1,1,1,0.7,0.6,0,0.5,1.2,6.86
Wilfried Zaha,Crystal Palace,30," AM(LR),FW  "," AM(LR),FW  ",20,6,2,2.2,1.1,1.9,3,0.6,3.6,3.8,6.85
Sven Botman,Newcastle,23, D(C)  , D(C)  ,21(1),0,0,0.5,0.3,0,0.3,0.1,0.1,0.3,6.85
Michael Olise,Crystal Palace,21, AM(CLR)  , AM(CLR)  ,18(6),2,5,1,1.7,1.5,1.5,0.2,1.2,2.4,6.84
Eric Dier,Tottenham,29," D(CR),DMC  "," D(CR),DMC  ",23(1),2,1,0.6,0.3,0.1,0.3,0,0.1,0.4,6.83
Mathias Jensen,Brentford,27, M(C)  , M(C)  ,24,4,4,0.7,1.2,0.6,0.6,0,0.9,1.6,6.82
Ben White,Arsenal,25," D(CR),DMC  "," D(CR),DMC  ",24(2),1,2,0.3,0.7,0.2,0.7,0,0.2,0.8,6.82
Bryan Mbeumo,Brentford,23," AM(LR),FW  "," AM(LR),FW  ",24,5,3,1.7,1.2,0.8,0.6,0.1,1.5,1.8,6.82
Eberechi Eze,Crystal Palace,24, AM(CLR)  , AM(CLR)  ,20(5),4,3,1.6,1.4,1.6,1.4,0.1,1.2,1.6,6.82
Rodrigo,Leeds,32," M(CLR),FW  "," M(CLR),FW  ",17(1),10,1,2.9,0.7,0.3,0.2,0.4,0.6,1.9,6.82
Philip Billing,Bournemouth,26," M(C),FW  "," M(C),FW  ",22(2),5,1,0.9,0.6,0.6,1.1,0.1,1.1,1.1,6.81
Rúben Dias,Man City,25, D(C)  , D(C)  ,14(4),0,0,0.5,0.1,0.3,0.3,0,0,0,6.81
Emiliano Martínez,Aston Villa,30, GK  , GK  ,23,0,0,0,0.1,0,0.2,0,0,0.1,6.79
Ollie Watkins,Aston Villa,27," AM(LR),FW  "," AM(LR),FW  ",23(1),8,4,2.1,0.8,0.5,1,0.5,1.3,2.5,6.79
Armel Bella-Kotchap,Southampton,21, D(C)  , D(C)  ,16,0,1,0.7,0.2,0.1,1.5,0,0.4,0.6,6.79
Lucas Paquetá,West Ham,25," M(CLR),FW  "," M(CLR),FW  ",16(1),2,2,2.1,0.9,0.7,1.2,0.1,1.2,1.5,6.79
Lisandro Martínez,Man Utd,25," D(CL),DMC  "," D(CL),DMC  ",20(3),1,0,0.3,0.3,0.5,0.4,0,0.3,0.5,6.79
Tim Ream,Fulham,35," D(CL),DMC  "," D(CL),DMC  ",26,1,0,0.1,0,0.3,0.2,0,0.2,0.5,6.78
Dan Burn,Newcastle,30," D(CL),M(L)  "," D(CL),M(L)  ",23(1),0,0,0.5,0.4,0.3,0,0.2,0.2,0.7,6.78
Vicente Guaita,Crystal Palace,36, GK  , GK  ,25,0,0,0,0,0,0.1,0,0,0,6.78
Morgan Gibbs-White,Nottingham Forest,23," AM(CLR),FW  "," AM(CLR),FW  ",21(1),2,5,1.9,2,1.3,0.8,0.2,1.5,3.2,6.78
Tomás Soucek,West Ham,28, DMC  , DMC  ,21(4),1,1,0.9,0.4,0.1,0.5,0,0.6,0.6,6.78
Mohammed Salisu,Southampton,23, D(CL)  , D(CL)  ,21,0,1,0.8,0.3,0.3,0.1,0,0.4,0.2,6.78
Douglas Luiz,Aston Villa,24, M(C)  , M(C)  ,20(4),2,5,0.8,1.3,0.5,1,0.1,0.8,0.9,6.77
Callum Wilson,Newcastle,31, FW  , FW  ,15(3),7,3,2.4,0.8,0.2,1,0.7,1.2,2.6,6.77
Antonee Robinson,Fulham,25," D(L),M(L)  "," D(L),M(L)  ",23,0,1,0,0.7,1.1,0.6,0.1,0.7,1.2,6.77
Neto,Bournemouth,33, GK  , GK  ,15,0,0,0,0,0,0.2,0,0,0.1,6.76
Alex Iwobi,Everton,26, M(CLR)  , M(CLR)  ,26,1,6,0.9,1.6,1.2,0.3,0.2,1.3,1.7,6.76
Pervis Estupiñán,Brighton,25, D(L)  , D(L)  ,17(3),0,3,0.5,1.3,0.4,0.7,0.2,0.9,1,6.76
Kalidou Koulibaly,Chelsea,31, D(C)  , D(C)  ,15(2),2,0,0.5,0.3,0.2,0.4,0,0.1,0.5,6.76
Timothy Castagne,Leicester,27," D(CLR),M(LR)  "," D(CLR),M(LR)  ",23(1),1,2,0.5,0.6,0.3,0.4,0.2,0.5,1,6.76
Emerson Royal,Tottenham,24," D(R),M(R)  "," D(R),M(R)  ",16(5),2,1,0.7,0.4,0.6,1.2,0,0.7,0.9,6.76
Andreas Pereira,Fulham,27, M(CLR)  , M(CLR)  ,26,2,6,1.5,2.1,0.5,1,0.1,1.6,1.6,6.76
Allan Saint-Maximin,Newcastle,25," AM(CLR),FW  "," AM(CLR),FW  ",7(9),1,3,1.3,0.8,2.3,0.7,0.1,1.4,1.2,6.75
Cristian Romero,Tottenham,24, D(C)  , D(C)  ,16(1),0,0,0.4,0.2,0.6,0.4,0,0.6,0.9,6.75
Kai Havertz,Chelsea,23," M(CR),FW  "," M(CR),FW  ",21(3),5,1,1.8,1.1,0.5,0.6,1,1.3,2.6,6.75
Jarrod Bowen,West Ham,26," AM(CLR),FW  "," AM(CLR),FW  ",25,4,2,2.2,1.4,0.8,1.9,0.3,1.6,2.1,6.74
Antony,Man Utd,23, AM(R)  , AM(R)  ,12(1),3,0,2.7,0.7,1,1.1,0.2,0.5,1.5,6.74
James Justin,Leicester,25," D(CLR),M(LR)  "," D(CLR),M(LR)  ",14,0,0,0.4,0.5,0.3,2.1,0.1,0.4,1.1,6.74
Tyler Adams,Leeds,24," D(R),M(CR)  "," D(R),M(CR)  ",23,0,0,0.1,1,0.3,0.9,0,0.7,1.2,6.74
Jadon Sancho,Man Utd,22, AM(CLR)  , AM(CLR)  ,11(2),4,1,0.8,1.6,1,0.5,0.2,0.6,2.2,6.74
William Saliba,Arsenal,21, D(C)  , D(C)  ,26,2,1,0.2,0.2,0.3,0.5,0,0.2,0.5,6.73
Joe Willock,Newcastle,23, M(C)  , M(C)  ,20(3),2,2,1.4,0.9,0.6,0.5,0.1,0.8,2,6.73
Kiernan Dewsbury-Hall,Leicester,24, M(C)  , M(C)  ,22(1),2,2,0.7,1.3,1,0.9,0,0.8,2.5,6.73
Dominic Solanke,Bournemouth,25, FW  , FW  ,19(1),3,4,2.2,0.5,1.1,1.6,0.3,2.4,3.9,6.73
Danny Welbeck,Brighton,32," AM(CLR),FW  "," AM(CLR),FW  ",13(4),2,2,2,0.9,0.7,0.5,0.2,0.6,2.6,6.73
Raheem Sterling,Chelsea,28," M(CLR),FW  "," M(CLR),FW  ",16(3),4,2,1.5,1.4,1.3,1.3,0.4,2.1,2,6.73
Rasmus Kristensen,Leeds,25," D(R),M(R)  "," D(R),M(R)  ",13(2),0,1,0.5,0.5,0.3,0.3,0.1,0.1,0.2,6.73
Mason Mount,Chelsea,24, M(CLR)  , M(CLR)  ,20(3),3,2,1.4,1.3,0.7,1.1,0,1.2,1.6,6.72
Dwight McNeil,Everton,23, AM(CLR)  , AM(CLR)  ,16(8),2,2,0.9,1,1.3,0.6,0,1.1,1.3,6.72
John Stones,Man City,28, D(CR)  , D(CR)  ,13(1),0,2,0.5,0.4,0.3,0.5,0.1,0.1,0.3,6.72
Amadou Onana,Everton,21, DMC  , DMC  ,22(2),1,1,1,0.5,0.6,1.6,0.1,0.6,1.5,6.72
Cheick Oumar Doucouré,Crystal Palace,23, DMC  , DMC  ,23,0,2,1,0.8,0.5,0.3,0,0.7,0.7,6.70
Lukasz Fabianski,West Ham,37, GK  , GK  ,24,0,0,0,0,0,0.2,0,0,0,6.70
Vitaly Janelt,Brentford,24, DMC  , DMC  ,15(9),3,1,0.4,0.4,0.4,0.6,0,0.5,0.5,6.70
Joe Gomez,Liverpool,25, D(CLR)  , D(CLR)  ,13(6),0,0,0.2,0.1,0.3,0.2,0,0.1,0.5,6.69
Nick Pope,Newcastle,30, GK  , GK  ,24,0,0,0,0,0,0,0,0,0,6.69
Joël Veltman,Brighton,31," D(CR),M(R)  "," D(CR),M(R)  ",16(5),1,1,0.3,0.3,0.2,1.2,0,0.3,0.5,6.68
Jordan Pickford,Everton,29, GK  , GK  ,25,0,1,0,0.1,0,0.1,0,0,0,6.68
Fabinho,Liverpool,29," D(CR),DMC  "," D(CR),DMC  ",18(5),0,0,0.4,0.4,0.2,0.6,0,0.3,0.6,6.67
Wout Faes,Leicester,24, D(C)  , D(C)  ,19,0,0,0.3,0.3,0.2,0.6,0,0.2,0.6,6.67
Nathan Aké,Man City,28," D(CL),DMC  "," D(CL),DMC  ",16(4),0,0,0.4,0.3,0.1,0.5,0.1,0,0.6,6.67
Issa Diop,Fulham,26, D(C)  , D(C)  ,15(3),1,0,0.2,0.1,0.1,0.3,0.1,0.1,0.3,6.67
Liam Cooper,Leeds,31, D(C)  , D(C)  ,12(1),1,0,0.7,0.3,0.1,0.6,0,0.1,0.6,6.67
Maximilian Kilman,Wolves,25, D(C)  , D(C)  ,26,0,0,0.3,0,0.5,0.3,0,0.2,0.5,6.67
Kurt Zouma,West Ham,28, D(CR)  , D(CR)  ,15(1),1,0,0.7,0,0,0.3,0,0,0.3,6.67
Jack Harrison,Leeds,26," AM(CLR),FW  "," AM(CLR),FW  ",21(2),1,5,1,1.7,1.3,1.2,0.1,1.9,2.8,6.67
Aaron Cresswell,West Ham,33," D(CL),M(L)  "," D(CL),M(L)  ",17(2),0,0,0.4,1.6,0.1,0.3,0.1,0.3,0.3,6.67
Jordan Ayew,Crystal Palace,31," AM(CLR),FW  "," AM(CLR),FW  ",21(4),1,1,0.5,0.8,1.2,2.2,0,2,2.6,6.66
John McGinn,Aston Villa,28, M(CR)  , M(CR)  ,17(4),0,2,1.2,0.4,0.9,1.3,0,0.9,1.6,6.66
Marc Cucurella,Chelsea,24," D(CL),M(L)  "," D(CL),M(L)  ",17(3),0,2,0.3,0.4,0.3,0.8,0.1,0.3,0.7,6.66
Hugo Lloris,Tottenham,36, GK  , GK  ,21,0,0,0,0,0,0.1,0,0,0.1,6.66
Illan Meslier,Leeds,23, GK  , GK  ,25,0,0,0,0,0,0.1,0,0,0,6.66
Christian Eriksen,Man Utd,31," M(CLR),FW  "," M(CLR),FW  ",18(1),1,7,1.2,1.3,0.2,0.3,0.1,0.7,1,6.65
Ivan Perisic,Tottenham,34," M(CLR),FW  "," M(CLR),FW  ",17(8),0,5,0.7,1.3,0.4,0.1,0.2,0.4,1,6.65
Boubacar Kamara,Aston Villa,23," D(CL),DMC  "," D(CL),DMC  ",18(1),0,1,0.2,0.4,0.6,1.3,0,0.6,0.8,6.65
Emiliano Buendía,Aston Villa,26, M(CLR)  , M(CLR)  ,16(9),4,0,1.3,1,0.5,1,0,1.6,1.6,6.65
Jorginho,Chelsea,31, DMC  , DMC  ,15(3),2,0,0.3,0.4,0.3,1.3,0,0.5,0.8,6.65
Rico Henry,Brentford,25," D(L),M(L)  "," D(L),M(L)  ",23,0,2,0.5,0.6,0.7,1,0,1.3,1.6,6.65
Sean Longstaff,Newcastle,25, DMC  , DMC  ,20(4),1,3,0.9,0.8,0.2,1.2,0.1,1,1,6.64
Che Adams,Southampton,26," AM(CL),FW  "," AM(CL),FW  ",19(3),4,3,1.6,1,0.5,0.9,0.4,0.8,2.8,6.64
Aaron Ramsdale,Arsenal,24, GK  , GK  ,26,0,0,0,0,0,0.1,0,0,0,6.64
José Sá,Wolves,30, GK  , GK  ,26,0,0,0,0,0.1,0.2,0,0,0.1,6.64
