Name,Team,Age,Position,Apps,Minutes,Total goals,Total Assists,Shots per game,Key passes per game,Dribble,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Rating
Bevic Moussiti-Oko,AC Ajaccio,28, FW  , FW  ,7(10),1,0,1.2,0.3,0.8,1.3,0.1,0.6,1.5,6.44
Arbër Zeneli,Reims,28," AM(LR),FW  "," AM(LR),FW  ",11(7),0,2,1.6,1.2,0.8,0.6,0.2,1.1,2.4,6.44
Cyrille Bayala,AC Ajaccio,26, AM(R)  , AM(R)  ,19(6),1,1,0.8,0.6,0.7,0.8,0.2,1.1,1.7,6.43
Lucas Perrin,Strasbourg,24, D(C)  , D(C)  ,11(6),0,0,0.1,0.2,0.1,0.6,0,0.2,0.2,6.43
Wilson Odobert,Troyes,18, AM(L)  , AM(L)  ,11(12),3,2,0.9,0.6,0.8,0.3,0,0.8,1.3,6.43
Thomas Mangani,AC Ajaccio,35, M(C)  , M(C)  ,9(9),1,1,0.4,1.2,0.2,0.4,0,0.2,0.4,6.43
Gauthier Gallon,Troyes,29, GK  , GK  ,19,0,0,0,0.1,0,0.1,0,0,0,6.43
Dion Lopy,Reims,21, DMC  , DMC  ,12(9),0,1,0.6,0.6,0.4,0.9,0,0.7,1,6.42
Stephy Mavididi,Montpellier,24," AM(LR),FW  "," AM(LR),FW  ",11(3),2,1,1.4,0.2,1,0.9,0.2,1.4,2.2,6.42
Paul Bernardoni,Angers,25, GK  , GK  ,18,0,0,0,0,0,0.1,0,0,0,6.42
Ross Barkley,Nice,29, M(CLR)  , M(CLR)  ,6(12),3,1,1.3,0.7,0.4,0.5,0.1,1.1,0.6,6.42
Colin Dagba,Strasbourg,24," D(R),M(R)  "," D(R),M(R)  ",7(7),0,0,0.1,0.8,0.6,0.4,0.1,0.3,0.5,6.41
Christophe Hérelle,Brest,30, D(CR)  , D(CR)  ,12(3),0,0,0.2,0.2,0.1,0.9,0,0.1,0.2,6.41
Yoann Salmier,Troyes,30, D(C)  , D(C)  ,24,1,0,0.4,0.1,0.2,1,0,0.2,0.2,6.40
Adrien Thomasson,Strasbourg,29, M(CLR)  , M(CLR)  ,10(5),0,2,1.1,1.1,0.5,1.3,0.3,1.2,1.4,6.40
Achraf Dari,Brest,23, D(C)  , D(C)  ,13(3),1,0,0.3,0.1,0,0.8,0.1,0.2,0.2,6.40
Gaetan Perrin,Auxerre,26, AM(L)  , AM(L)  ,10(15),3,1,0.7,0.5,1.2,0.6,0.1,1.2,1.4,6.40
Ruben Aguilar,Monaco,29," D(R),M(R)  "," D(R),M(R)  ",8(6),0,0,0.1,0.1,0.2,0.6,0,0.2,0.6,6.40
Grejohn Kyei,Clermont Foot,27, FW  , FW  ,15(10),3,2,1.3,0.2,0.8,0.8,0.4,1.4,2.5,6.40
Jeff Reine-Adélaïde,Lyon,25," AM(CLR),FW  "," AM(CLR),FW  ",1(13),0,0,0.7,0.6,0.8,0.3,0,0.6,0.9,6.39
Haris Belkebla,Brest,29, DMC  , DMC  ,18(8),1,0,0.3,0.3,0.2,1.3,0,0.7,1,6.39
Adrien Hunou,Angers,29," AM(CLR),FW  "," AM(CLR),FW  ",22(2),3,1,1.5,0.6,0.4,1.5,0.2,0.8,1.9,6.39
Lassine Sinayoko,Auxerre,23, AM(R)  , AM(R)  ,14(10),0,2,1.3,0.6,0.9,0.8,0.2,1.1,1.5,6.38
Moussa Dembélé,Lyon,26, FW  , FW  ,8(11),3,0,1.4,0.2,0.2,0.2,0.4,0.8,1.5,6.37
Yasser Larouci,Troyes,22," D(L),M(L)  "," D(L),M(L)  ",14(7),1,0,0.3,0.5,1.1,0.8,0,1.3,1.3,6.37
Erik Palmer-Brown,Troyes,25, D(C)  , D(C)  ,24(2),0,0,0.2,0.2,0.2,0.3,0,0.2,0.3,6.37
Rayan Raveloson,Auxerre,26," D(C),DMC  "," D(C),DMC  ",15(7),1,0,0.7,0.2,0.3,1,0,0.4,1.2,6.37
Pablo Rosario,Nice,26," D(C),DMC  "," D(C),DMC  ",10(10),0,0,0.3,0.7,0.2,0.4,0,0.4,0.6,6.37
Mitchell van Bergen,Reims,23," AM(LR),FW  "," AM(LR),FW  ",5(16),0,1,1,0.8,0.4,0.3,0.1,0.3,0.8,6.36
Oumar Gonzalez,AC Ajaccio,25, D(C)  , D(C)  ,20,0,0,0.4,0.1,0.2,1.6,0.2,0.4,0.7,6.36
Ibrahima Koné,Lorient,23, FW  , FW  ,8(17),3,1,0.6,0.4,0.3,0.6,0.4,0.6,1.6,6.36
Mathieu Coutadeur,AC Ajaccio,36, M(C)  , M(C)  ,13(3),0,0,0.1,0.5,0.3,0.5,0,0.3,0.8,6.36
Romain Hamouma,AC Ajaccio,35," M(CLR),FW  "," M(CLR),FW  ",11(4),2,2,1,0.9,0.9,0.9,0.1,0.8,2.2,6.36
Thierno Baldé,Troyes,20," D(R),M(R)  "," D(R),M(R)  ",18(3),0,0,0.2,0.6,1,1.1,0,0.5,1.1,6.36
Jean-Eudes Aholou,Strasbourg,28, DMC  , DMC  ,11(9),1,0,0.5,0.4,0.6,0.9,0.1,0.6,1.4,6.35
Amine Salama,Angers,22, FW  , FW  ,12(12),3,1,1,0.3,0.9,0.4,0.2,0.8,1.9,6.35
Souleyman Doumbia,Angers,26," D(L),M(L)  "," D(L),M(L)  ",19,0,0,0.2,0.5,0.9,0.9,0.2,0.2,1.1,6.35
