Name,Team,Age,Position,Apps,Minutes,Total Assists,Key passes per game,Passes per game,Pass success percentage,Crosses per game,Long balls per game,Through balls per game,Rating
Gabriel Jesus,Arsenal,25," AM(LR),FW  ",14,1226,5,1.6,27.6,81.9,0.1,0.5,0.1,7.61
Kieran Trippier,Newcastle,32," D(LR),M(R)  ",24,2111,4,3,51.5,74.6,3.9,3.4,0.3,7.61
Erling Haaland,Man City,22, FW  ,24(1),2030,5,0.8,13.9,76.1,0,0,0.1,7.57
Kevin De Bruyne,Man City,31," M(CLR),FW  ",22(2),1933,12,3.3,42.3,78.8,2.4,2.5,0.4,7.56
Bukayo Saka,Arsenal,21," D(L),M(CLR)  ",26,2251,9,2.2,34.2,81.3,1,1,0,7.45
Harry Kane,Tottenham,29," AM(C),FW  ",26,2328,2,1.7,21.8,71.8,0.2,1.9,0.2,7.45
Rodri,Man City,26," D(C),DMC  ",25,2153,5,1.2,89.6,91.4,0.1,5.4,0.1,7.39
Ivan Toney,Brentford,26, FW  ,22,1972,3,0.9,23.8,60.1,0.2,0.4,0.2,7.36
Bruno Fernandes,Man Utd,28, M(CLR)  ,24,2160,6,2.9,46.2,77.1,0.9,2.9,0.5,7.36
Martin Ødegaard,Arsenal,24, AM(CR)  ,25,2141,6,2.4,44.8,83.9,0.7,1.6,0.3,7.34
James Maddison,Leicester,26, AM(CLR)  ,17(1),1456,5,2.3,36.6,82.1,1,1.9,0.1,7.29
Solly March,Brighton,28, M(CLR)  ,23,1982,4,1.6,34.5,78.2,1,2.1,0.1,7.26
Rodrigo Bentancur,Tottenham,25, M(C)  ,17(1),1506,2,0.6,47.6,85.2,0.2,1.3,0.1,7.22
Bruno Guimarães,Newcastle,25, DMC  ,18,1495,3,1,48.9,82.8,0.1,3,0.3,7.21
Jack Grealish,Man City,27," AM(CL),FW  ",16(4),1442,4,1.8,33.3,88,0.3,0.6,0,7.20
Thomas Partey,Arsenal,29," D(R),M(CR)  ",19(2),1685,0,1,64.5,87,0,3.9,0.1,7.20
