Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Fredrik Jensen,Augsburg,25," AM(CL),FW  ",7(10),788,2,1,1,0,0.6,57.9,1.1,0,6.37
Cristian Gamboa,Bochum,33," D(R),M(R)  ",15,1279,0,0,2,0,0.5,67,0.8,0,6.37
Romano Schmid,Werder Bremen,23, AM(CL)  ,11(7),1067,0,2,1,0,0.5,76.4,0.6,0,6.36
Florian Neuhaus,Borussia M.Gladbach,25, M(C)  ,6(7),599,0,0,0,0,0.7,77.4,0.2,0,6.36
Dominick Drexler,Schalke,32, AM(CLR)  ,12(6),1019,3,3,2,1,0.7,67.8,0.8,1,6.36
Amadou Haidara,RBL,25, M(CLR)  ,7(14),802,1,1,3,0,0.6,84.3,0.7,0,6.36
Ilia Gruev,Werder Bremen,22, DMC  ,13(8),1151,0,0,1,0,0.2,86.9,0.6,0,6.36
Filip Uremovic,Hertha Berlin,26, D(CR)  ,13(1),1121,0,0,3,1,0.4,80.5,2.6,0,6.35
Oliver Christensen,Hertha Berlin,23, GK  ,23,2070,0,0,1,0,0,61.5,0.2,1,6.35
Odilon Kossounou,Leverkusen,22, D(CR)  ,10(7),890,0,1,0,0,0.1,83.3,1.2,0,6.35
Ivan Sunjic,Hertha Berlin,26, DMC  ,12(5),967,0,0,4,0,0.4,75.6,0.4,1,6.34
Aymen Barkok,Mainz,24, AM(CR)  ,2(12),335,0,1,1,0,0.6,72.8,0.8,0,6.34
Pavel Kaderábek,Hoffenheim,30," D(R),M(LR)  ",10(9),1054,1,0,1,0,0.2,69.3,0.8,0,6.33
Iago,Augsburg,25," D(L),M(L)  ",14(2),1191,0,1,2,1,0.4,62.3,0.6,0,6.33
Angelo Stiller,Hoffenheim,21, DMC  ,3(11),424,0,1,0,0,0.2,77.4,0.8,0,6.32
Kevin Kampl,RBL,32, M(CLR)  ,10(9),805,0,1,5,0,0.2,90.3,0.2,0,6.32
Davie Selke,Hertha Berlin,28, FW  ,3(10),276,1,1,1,0,0.5,62.1,1.7,0,6.31
Rafael Borré,Eintracht Frankfurt,27, FW  ,4(18),543,2,2,2,0,0.6,74.7,0.5,0,6.31
Sebastian Polter,Schalke,31," AM(R),FW  ",4(10),458,1,2,2,0,0.4,56.9,1.9,0,6.30
Lee Buchanan,Werder Bremen,22," D(L),M(L)  ",1(13),282,1,0,1,0,0.3,74.6,0.4,0,6.29
Jordi Osei-Tutu,Bochum,24," D(R),M(LR)  ",6(12),651,0,0,3,0,0.7,70.5,0.3,0,6.29
Agustín Rogel,Hertha Berlin,25, D(C)  ,11(2),1013,0,1,6,0,0.4,76.2,2.2,0,6.29
Morten Thorsby,Union Berlin,26, M(CLR)  ,5(11),527,1,1,2,0,0.5,65.8,0.9,0,6.29
Sargis Adamyan,FC Koln,29," AM(CLR),FW  ",3(17),555,1,2,3,0,1,72.7,0.6,0,6.28
Sven Michel,Union Berlin,32," AM(L),FW  ",1(14),312,3,0,2,0,0.5,58.9,1.1,0,6.28
Sebastian Rudy,Hoffenheim,33," D(R),M(CR)  ",4(11),539,0,1,2,0,0.2,78.7,0.2,0,6.28
Thorgan Hazard,Borussia Dortmund,29," M(CLR),FW  ",2(12),455,0,0,1,0,0.6,80,0.3,0,6.28
Jean-Paul Boëtius,Hertha Berlin,28," AM(CL),FW  ",8(10),848,0,0,2,0,0.3,74.4,0.2,0,6.28
Enzo Millot,Stuttgart,20, Midfielder  ,3(10),365,0,0,3,0,0.5,83.9,0.2,0,6.27
Yussuf Poulsen,RBL,28," AM(R),FW  ",2(12),263,1,0,1,0,0.4,54.7,1.1,0,6.27
Simon Zoller,Bochum,31," AM(LR),FW  ",17(2),1285,3,1,4,0,1.4,66.4,0.7,1,6.26
Luca Kilian,FC Koln,23, D(C)  ,13,1099,1,0,1,2,0.3,86.2,1.7,0,6.24
Angelo Fulgini,Mainz,26," AM(CLR),FW  ",5(11),520,0,1,1,0,0.5,81.3,0.3,0,6.24
Yannik Keitel,Freiburg,23, DMC  ,5(11),440,0,2,3,0,0,82,0.4,0,6.24
Ryan Gravenberch,Bayern,20, DMC  ,1(13),294,0,0,1,0,0.6,89,0,0,6.24
Oliver Burke,Werder Bremen,25," AM(LR),FW  ",1(14),255,2,0,0,0,0.5,70.3,0.5,0,6.24
Kingsley Schindler,FC Koln,29," D(R),M(R),FW  ",4(15),683,0,0,3,0,0,66.8,0.9,0,6.23
Woo-Yeong Jeong,Freiburg,23," AM(CR),FW  ",4(15),593,1,1,2,0,0.6,79.9,0.2,0,6.23
Florian Müller,Stuttgart,25, GK  ,19,1710,0,0,0,0,0,78.7,0.2,0,6.21
Ondrej Duda,FC Koln,28," AM(C),FW  ",9(4),694,0,0,4,0,0.9,77.3,0.4,0,6.21
Luca Pfeiffer,Stuttgart,26, FW  ,6(10),658,0,0,1,1,0.8,63.7,1.8,0,6.20
Josha Vagnoman,Stuttgart,22," D(LR),M(R)  ",7(6),659,0,0,0,1,0.7,77.2,0.9,0,6.19
Lucas Alario,Eintracht Frankfurt,30, FW  ,2(13),256,1,0,0,0,0.6,67.2,0.8,0,6.18
Takuma Asano,Bochum,28," AM(CLR),FW  ",11(3),865,1,0,0,0,1.6,74.1,0.6,0,6.16
Juan Perea,Stuttgart,23, Forward  ,1(12),267,1,0,0,0,0.1,70,0.3,0,6.16
Patrick Osterhage,Bochum,23, M(C)  ,4(11),464,0,0,1,0,0.1,69.8,0.5,0,6.14
Silvère Ganvoula,Bochum,26, FW  ,0(15),224,0,0,1,0,0.6,55.6,1.5,0,6.14
Saidy Janko,Bochum,27," D(R),M(R)  ",9(5),786,0,0,1,0,0.1,72.8,0.5,0,6.10
Nils Petersen,Freiburg,34, FW  ,0(19),191,0,0,0,0,0.3,46.8,0.4,0,6.08
Danny Latza,Schalke,33, M(C)  ,4(9),454,0,0,1,0,0.7,82,0.5,0,6.07
Patrick Herrmann,Borussia M.Gladbach,32," M(LR),FW  ",0(17),138,1,0,2,0,0.4,73.5,0.2,0,6.04
