Name,Team,Age,Position,Apps,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating
Gabriel Jesus,Arsenal,25," AM(LR),FW  ",14,1226,5,5,4,0,3.6,81.9,1.7,2,7.61
Kieran Trippier,Newcastle,32," D(LR),M(R)  ",24,2111,1,4,5,0,0.4,74.6,1.3,7,7.61
Erling Haaland,Man City,22, FW  ,24(1),2030,27,5,4,0,3.4,76.1,1.2,5,7.57
Kevin De Bruyne,Man City,31," M(CLR),FW  ",22(2),1933,4,12,1,0,2.4,78.8,0.3,7,7.56
Bukayo Saka,Arsenal,21," D(L),M(CLR)  ",26,2251,10,9,5,0,2.5,81.3,0.3,2,7.45
Harry Kane,Tottenham,29," AM(C),FW  ",26,2328,18,2,4,0,3.5,71.8,1.7,4,7.45
Rodri,Man City,26," D(C),DMC  ",25,2153,2,5,3,0,1.6,91.4,2.4,2,7.39
Ivan Toney,Brentford,26, FW  ,22,1972,15,3,8,0,3,60.1,3.4,4,7.36
Bruno Fernandes,Man Utd,28, M(CLR)  ,24,2160,5,6,5,0,2.2,77.1,0.5,4,7.36
Martin Ødegaard,Arsenal,24, AM(CR)  ,25,2141,9,6,3,0,2.8,83.9,0.4,5,7.34
James Maddison,Leicester,26, AM(CLR)  ,17(1),1456,9,5,7,0,2.9,82.1,0.1,3,7.29
Solly March,Brighton,28, M(CLR)  ,23,1982,5,4,2,0,2.3,78.2,1.1,4,7.26
Rodrigo Bentancur,Tottenham,25, M(C)  ,17(1),1506,5,2,8,0,0.8,85.2,0.8,1,7.22
Bruno Guimarães,Newcastle,25, DMC  ,18,1495,3,3,4,0,0.8,82.8,0.6,1,7.21
Jack Grealish,Man City,27," AM(CL),FW  ",16(4),1442,3,4,2,0,1.3,88,0.6,1,7.20
Thomas Partey,Arsenal,29," D(R),M(CR)  ",19(2),1685,3,0,2,0,1.1,87,1,1,7.20
Gabriel Martinelli,Arsenal,21," AM(L),FW  ",25(1),2105,11,2,3,0,2.4,83.3,0.4,2,7.19
Joelinton,Newcastle,26," AM(CLR),FW  ",21(1),1851,2,1,10,0,1.5,83.4,1.7,1,7.17
Aleksandar Mitrovic,Fulham,28, FW  ,20,1730,11,1,6,0,4.2,60.1,4.3,4,7.16
Phil Foden,Man City,22," AM(CLR),FW  ",16(7),1351,9,4,1,0,1.5,85.8,0.7,2,7.16
Casemiro,Man Utd,31, DMC  ,14(4),1305,2,3,5,1,0.9,78,1.9,2,7.14
