team,player,Nation,Pos,Age,Born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,League,Season
,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,,
Alavés,Jota,ESP,MF,29,1991,15.5,0,16,2,12.5,1.03,0.13,0.00,0.00,20.1,0,0,0,0.8,0.8,0.05,-0.8,-0.8,La Liga,2020-2021
Alavés,Lucas Pérez,ESP,FW,31,1988,19.5,4,28,9,32.1,1.43,0.46,0.04,0.11,18.1,3,3,4,6.7,3.5,0.13,-2.7,-2.5,La Liga,2020-2021
Alavés,Luis Rioja,ESP,"MF,FW",26,1993,23.2,4,24,9,37.5,1.03,0.39,0.17,0.44,18.1,0,0,0,3.3,3.3,0.14,+0.7,+0.7,La Liga,2020-2021
Alavés,Manu García,ESP,MF,34,1986,12.5,0,11,1,9.1,0.88,0.08,0.00,0.00,17.7,0,0,0,0.6,0.6,0.05,-0.6,-0.6,La Liga,2020-2021
Alavés,Martin Agirregabiria,ESP,"DF,MF",24,1996,17.3,0,2,0,0.0,0.12,0.00,0.00,,15.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,La Liga,2020-2021
Alavés,Pere Pons,ESP,MF,27,1993,13.2,2,9,4,44.4,0.68,0.30,0.22,0.50,18.9,0,0,0,0.9,0.9,0.10,+1.1,+1.1,La Liga,2020-2021
Alavés,Rodrigo Battaglia,ARG,MF,29,1991,27.7,1,17,5,29.4,0.61,0.18,0.06,0.20,16.8,0,0,0,1.2,1.2,0.07,-0.2,-0.2,La Liga,2020-2021
Alavés,Rodrigo Ely,BRA,DF,26,1993,5.2,1,4,2,50.0,0.77,0.38,0.25,0.50,8.3,0,0,0,0.6,0.6,0.15,+0.4,+0.4,La Liga,2020-2021
Alavés,Rubén Duarte,ESP,DF,24,1995,28.3,1,14,2,14.3,0.50,0.07,0.07,0.50,20.6,0,0,0,1.4,1.4,0.10,-0.4,-0.4,La Liga,2020-2021
Alavés,Sergi García,ESP,MF,21,1999,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Alavés,Stephane Keller,CMR,DF,18,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Alavés,Tachi,ESP,DF,22,1997,9.4,0,3,0,0.0,0.32,0.00,0.00,,9.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,La Liga,2020-2021
Alavés,Tomás Pina Isla,ESP,MF,32,1987,28.6,1,9,1,11.1,0.31,0.03,0.11,1.00,18.5,0,0,0,0.7,0.7,0.08,+0.3,+0.3,La Liga,2020-2021
Alavés,Tomás Tavares,POR,"MF,DF",19,2001,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Alavés,Víctor Laguardia,ESP,DF,30,1989,29.2,0,8,3,37.5,0.27,0.10,0.00,0.00,9.2,0,0,0,1.3,1.3,0.16,-1.3,-1.3,La Liga,2020-2021
Alavés,Ximo Navarro,ESP,DF,30,1990,26.4,1,13,3,23.1,0.49,0.11,0.08,0.33,25.9,0,0,0,0.4,0.4,0.03,+0.6,+0.6,La Liga,2020-2021
Alavés,Édgar Méndez,ESP,"MF,FW",30,1990,23.2,5,35,10,28.6,1.51,0.43,0.14,0.50,16.5,0,0,0,5.5,5.5,0.16,-0.5,-0.5,La Liga,2020-2021
Athletic Club,Ander Capa,ESP,DF,28,1992,23.7,2,12,6,50.0,0.51,0.25,0.17,0.33,14.2,0,0,0,1.1,1.1,0.10,+0.9,+0.9,La Liga,2020-2021
Athletic Club,Asier Villalibre,ESP,FW,22,1997,17.7,4,38,14,36.8,2.15,0.79,0.11,0.29,14.3,0,0,0,4.3,4.3,0.11,-0.3,-0.3,La Liga,2020-2021
Athletic Club,Dani García,ESP,MF,30,1990,21.3,0,6,1,16.7,0.28,0.05,0.00,0.00,20.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,La Liga,2020-2021
Athletic Club,Ibai Gómez,ESP,MF,30,1989,4.7,0,5,0,0.0,1.06,0.00,0.00,,21.5,0,0,0,0.2,0.2,0.04,-0.2,-0.2,La Liga,2020-2021
Athletic Club,Iker Muniain,ESP,"MF,FW",27,1992,21.6,5,23,9,39.1,1.07,0.42,0.22,0.56,13.9,1,0,0,4.5,4.5,0.21,+0.5,+0.5,La Liga,2020-2021
Athletic Club,Iñaki Williams,GHA,FW,26,1994,26.5,6,52,16,30.8,1.96,0.60,0.10,0.31,15.2,0,1,1,6.2,5.4,0.10,-0.2,-0.4,La Liga,2020-2021
Athletic Club,Iñigo Córdoba,ESP,"FW,MF",23,1997,1.1,0,2,0,0.0,1.89,0.00,0.00,,15.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,La Liga,2020-2021
Athletic Club,Iñigo Lekue,ESP,DF,27,1993,7.2,0,2,1,50.0,0.28,0.14,0.00,0.00,25.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,La Liga,2020-2021
Athletic Club,Iñigo Martínez,ESP,DF,29,1991,28.0,1,18,7,38.9,0.64,0.25,0.06,0.14,19.3,1,0,0,1.1,1.1,0.07,-0.1,-0.1,La Liga,2020-2021
Athletic Club,Iñigo Vicente,ESP,"FW,MF",22,1998,0.6,0,1,0,0.0,1.73,0.00,0.00,,23.8,0,0,0,0.0,0.0,0.03,0.0,0.0,La Liga,2020-2021
Athletic Club,Jokin Ezkieta,ESP,GK,23,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Athletic Club,Jon Morcillo,ESP,"MF,FW",21,1998,15.1,2,24,8,33.3,1.58,0.53,0.08,0.25,23.1,3,0,0,1.2,1.2,0.05,+0.8,+0.8,La Liga,2020-2021
Athletic Club,Kenan Kodro,BIH,"FW,MF",26,1993,0.5,1,1,1,100.0,2.05,2.05,0.00,0.00,39.4,0,1,1,0.8,0.0,0.03,+0.2,0.0,La Liga,2020-2021
Athletic Club,Mikel Balenziaga,ESP,DF,32,1988,18.8,0,3,1,33.3,0.16,0.05,0.00,0.00,30.3,1,0,0,0.1,0.1,0.03,-0.1,-0.1,La Liga,2020-2021
Athletic Club,Mikel Vesga,ESP,MF,27,1993,19.1,0,22,5,22.7,1.15,0.26,0.00,0.00,17.7,0,0,0,1.6,1.6,0.07,-1.6,-1.6,La Liga,2020-2021
Athletic Club,Nico Williams,ESP,MF,18,2002,0.6,0,1,0,0.0,1.58,0.00,0.00,,14.0,0,0,0,0.0,0.0,0.05,0.0,0.0,La Liga,2020-2021
Athletic Club,Oier Zarraga,ESP,MF,21,1999,1.1,0,1,0,0.0,0.90,0.00,0.00,,16.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,La Liga,2020-2021
Athletic Club,Oihan Sancet,ESP,"FW,MF",20,2000,11.5,2,18,6,33.3,1.57,0.52,0.11,0.33,12.7,0,0,0,2.8,2.8,0.16,-0.8,-0.8,La Liga,2020-2021
Athletic Club,Raúl García,ESP,"FW,MF",34,1986,19.4,5,44,11,25.0,2.27,0.57,0.07,0.27,17.2,0,2,3,6.1,3.7,0.08,-1.1,-0.7,La Liga,2020-2021
Athletic Club,Unai López,ESP,MF,24,1995,15.8,3,25,10,40.0,1.58,0.63,0.12,0.30,25.2,5,0,0,1.1,1.1,0.05,+1.9,+1.9,La Liga,2020-2021
Athletic Club,Unai Núñez,ESP,DF,23,1997,23.4,1,12,5,41.7,0.51,0.21,0.08,0.20,11.1,0,0,0,1.8,1.8,0.15,-0.8,-0.8,La Liga,2020-2021
Athletic Club,Unai Simón,ESP,GK,23,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Athletic Club,Unai Vencedor Paris,ESP,MF,19,2000,18.9,0,9,0,0.0,0.48,0.00,0.00,,23.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,La Liga,2020-2021
Athletic Club,Yeray Álvarez,ESP,DF,25,1995,21.6,1,10,1,10.0,0.46,0.05,0.10,1.00,14.4,0,0,0,0.6,0.6,0.06,+0.4,+0.4,La Liga,2020-2021
Athletic Club,Yuri Berchiche,ESP,DF,30,1990,18.7,1,16,6,37.5,0.86,0.32,0.06,0.17,19.5,0,0,0,0.9,0.9,0.06,+0.1,+0.1,La Liga,2020-2021
Athletic Club,Álex Berenguer,ESP,"MF,FW",25,1995,25.3,8,48,15,31.3,1.90,0.59,0.17,0.53,17.4,4,0,0,6.2,6.2,0.13,+1.8,+1.8,La Liga,2020-2021
Athletic Club,Óscar de Marcos,ESP,"DF,MF",31,1989,16.9,1,6,5,83.3,0.36,0.30,0.17,0.20,12.4,0,0,0,1.8,1.8,0.31,-0.8,-0.8,La Liga,2020-2021
Atlético Madrid,Diego Costa,ESP,FW,31,1988,2.3,2,4,2,50.0,1.73,0.87,0.25,0.50,13.4,0,1,1,1.4,0.6,0.15,+0.6,+0.4,La Liga,2020-2021
Atlético Madrid,Felipe,BRA,DF,31,1989,22.9,0,12,2,16.7,0.53,0.09,0.00,0.00,9.8,0,0,0,1.5,1.5,0.12,-1.5,-1.5,La Liga,2020-2021
Atlético Madrid,Geoffrey Kondogbia,CTA,MF,27,1993,6.8,0,5,2,40.0,0.74,0.29,0.00,0.00,22.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,La Liga,2020-2021
Atlético Madrid,Héctor Herrera,MEX,MF,30,1990,7.6,0,7,1,14.3,0.92,0.13,0.00,0.00,19.6,0,0,0,0.3,0.3,0.04,-0.3,-0.3,La Liga,2020-2021
Atlético Madrid,Jan Oblak,SVN,GK,27,1993,38.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Atlético Madrid,José María Giménez,URU,DF,25,1995,19.6,0,14,5,35.7,0.71,0.25,0.00,0.00,13.1,0,0,0,1.1,1.1,0.08,-1.1,-1.1,La Liga,2020-2021
Atlético Madrid,João Félix,POR,"FW,MF",20,1999,17.5,7,37,15,40.5,2.12,0.86,0.16,0.40,19.4,2,1,2,5.5,3.9,0.10,+1.5,+2.1,La Liga,2020-2021
Atlético Madrid,Kieran Trippier,ENG,DF,29,1990,27.5,0,3,1,33.3,0.11,0.04,0.00,0.00,18.8,1,0,0,0.1,0.1,0.04,-0.1,-0.1,La Liga,2020-2021
Atlético Madrid,Koke,ESP,MF,28,1992,33.6,1,17,7,41.2,0.51,0.21,0.06,0.14,20.7,0,0,0,2.0,2.0,0.12,-1.0,-1.0,La Liga,2020-2021
Atlético Madrid,Lucas Torreira,URU,MF,24,1996,5.8,1,3,1,33.3,0.52,0.17,0.33,1.00,33.1,0,0,0,0.1,0.1,0.04,+0.9,+0.9,La Liga,2020-2021
Atlético Madrid,Luis Suárez,URU,FW,33,1987,27.9,21,101,40,39.6,3.62,1.44,0.18,0.45,16.0,7,3,3,16.2,13.9,0.14,+4.8,+4.1,La Liga,2020-2021
Atlético Madrid,Manuel Sánchez,ESP,DF,19,2000,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Atlético Madrid,Marcos Llorente,ESP,"MF,FW",25,1995,32.8,12,49,22,44.9,1.49,0.67,0.24,0.55,18.6,0,0,0,3.4,3.4,0.07,+8.6,+8.6,La Liga,2020-2021
Atlético Madrid,Mario Hermoso,ESP,DF,25,1995,28.6,1,18,4,22.2,0.63,0.14,0.06,0.25,20.6,0,0,0,1.1,1.1,0.06,-0.1,-0.1,La Liga,2020-2021
Atlético Madrid,Moussa Dembélé,FRA,FW,24,1996,1.1,0,6,2,33.3,5.40,1.80,0.00,0.00,10.5,0,0,0,1.0,1.0,0.17,-1.0,-1.0,La Liga,2020-2021
Atlético Madrid,Renan Lodi,BRA,"DF,FW",22,1998,12.5,1,11,3,27.3,0.88,0.24,0.09,0.33,18.6,0,0,0,0.8,0.8,0.07,+0.2,+0.2,La Liga,2020-2021
Atlético Madrid,Ricard,ESP,DF,20,2000,0.3,0,1,0,0.0,3.00,0.00,0.00,,17.3,0,0,0,0.0,0.0,0.04,0.0,0.0,La Liga,2020-2021
Atlético Madrid,Saúl Ñíguez,ESP,"MF,DF",25,1994,22.6,2,32,12,37.5,1.42,0.53,0.06,0.17,17.0,0,0,1,2.8,1.9,0.06,-0.8,+0.1,La Liga,2020-2021
Atlético Madrid,Stefan Savić,MNE,DF,29,1991,32.8,1,7,2,28.6,0.21,0.06,0.14,0.50,5.7,0,0,0,0.8,0.8,0.12,+0.2,+0.2,La Liga,2020-2021
Atlético Madrid,Thomas Lemar,FRA,MF,24,1995,15.2,1,23,10,43.5,1.52,0.66,0.04,0.10,21.9,2,0,0,1.6,1.6,0.07,-0.6,-0.6,La Liga,2020-2021
Atlético Madrid,Thomas Partey,GHA,MF,27,1993,2.2,0,5,0,0.0,2.25,0.00,0.00,,33.4,0,0,0,0.1,0.1,0.02,-0.1,-0.1,La Liga,2020-2021
Atlético Madrid,Vitolo,ESP,"MF,FW",30,1989,3.3,0,2,0,0.0,0.60,0.00,0.00,,11.4,0,0,0,0.4,0.4,0.22,-0.4,-0.4,La Liga,2020-2021
Atlético Madrid,Yannick Carrasco,BEL,"DF,MF",26,1993,24.2,6,43,24,55.8,1.78,0.99,0.14,0.25,17.2,1,0,0,5.2,5.2,0.12,+0.8,+0.8,La Liga,2020-2021
Atlético Madrid,Ángel Correa,ARG,"FW,MF",25,1995,26.6,9,52,23,44.2,1.96,0.87,0.17,0.39,17.4,0,0,0,7.8,7.7,0.15,+1.2,+1.3,La Liga,2020-2021
Atlético Madrid,Šime Vrsaljko,CRO,"FW,DF",28,1992,5.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Barcelona,Ansu Fati,ESP,FW,17,2002,4.8,4,14,7,50.0,2.92,1.46,0.29,0.57,15.5,0,0,0,1.8,1.8,0.13,+2.2,+2.2,La Liga,2020-2021
Barcelona,Antoine Griezmann,FRA,"FW,MF",29,1991,28.9,13,69,32,46.4,2.38,1.11,0.17,0.38,14.7,0,1,2,12.1,10.5,0.15,+0.9,+1.5,La Liga,2020-2021
Barcelona,Carles Aleñá,ESP,MF,22,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,La Liga,2020-2021
Barcelona,Clément Lenglet,FRA,DF,25,1995,27.5,1,11,5,45.5,0.40,0.18,0.09,0.20,12.0,0,0,0,1.8,1.8,0.17,-0.8,-0.8,La Liga,2020-2021
Barcelona,Francisco Trincão,POR,"FW,MF",20,1999,7.8,3,23,12,52.2,2.93,1.53,0.13,0.25,17.3,0,0,0,2.6,2.6,0.11,+0.4,+0.4,La Liga,2020-2021
Barcelona,Frenkie de Jong,NED,"MF,DF",23,1997,35.0,3,17,6,35.3,0.49,0.17,0.18,0.50,11.4,0,0,0,4.8,4.8,0.30,-1.8,-1.8,La Liga,2020-2021
Barcelona,Gerard Piqué,ESP,DF,33,1987,16.5,0,9,2,22.2,0.55,0.12,0.00,0.00,10.1,0,0,0,0.8,0.8,0.09,-0.8,-0.8,La Liga,2020-2021
Barcelona,Ilaix Moriba,GUI,MF,17,2003,6.0,1,13,3,23.1,2.16,0.50,0.08,0.33,14.7,0,0,0,0.8,0.8,0.06,+0.2,+0.2,La Liga,2020-2021
Barcelona,Jordi Alba,ESP,"DF,FW",31,1989,33.6,3,27,10,37.0,0.80,0.30,0.11,0.30,20.2,1,0,0,1.9,1.9,0.07,+1.1,+1.1,La Liga,2020-2021
Barcelona,Junior Firpo,ESP,"DF,MF",23,1996,3.2,1,1,1,100.0,0.31,0.31,1.00,1.00,3.6,0,0,0,0.7,0.7,0.68,+0.3,+0.3,La Liga,2020-2021
Barcelona,Lionel Messi,ARG,"FW,MF",33,1987,33.6,30,191,85,44.5,5.69,2.53,0.14,0.32,19.7,40,3,5,22.1,17.8,0.10,+7.9,+9.2,La Liga,2020-2021
Barcelona,Marc-André ter Stegen,GER,GK,28,1992,31.0,0,1,0,0.0,0.03,0.00,0.00,,19.2,0,0,0,0.1,0.1,0.06,-0.1,-0.1,La Liga,2020-2021
Barcelona,Martin Braithwaite,DEN,FW,29,1991,13.1,2,22,7,31.8,1.69,0.54,0.09,0.29,12.5,0,0,1,5.4,4.6,0.24,-3.4,-2.6,La Liga,2020-2021
Barcelona,Miralem Pjanić,BIH,MF,30,1990,7.0,0,16,3,18.8,2.30,0.43,0.00,0.00,22.5,2,0,0,1.0,1.0,0.06,-1.0,-1.0,La Liga,2020-2021
Barcelona,Neto,BRA,GK,31,1989,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Barcelona,Ousmane Dembélé,FRA,FW,23,1997,19.7,6,55,21,38.2,2.79,1.07,0.11,0.29,17.1,0,0,0,5.6,5.6,0.10,+0.4,+0.4,La Liga,2020-2021
Barcelona,Pedri,ESP,MF,17,2002,26.8,3,25,8,32.0,0.93,0.30,0.12,0.38,15.9,0,0,0,4.6,4.4,0.18,-1.6,-1.4,La Liga,2020-2021
Barcelona,Philippe Coutinho,BRA,"MF,FW",28,1992,7.3,2,28,9,32.1,3.85,1.24,0.07,0.22,17.3,0,0,0,4.0,4.0,0.14,-2.0,-2.0,La Liga,2020-2021
Barcelona,Riqui Puig,ESP,"MF,FW",20,1999,3.2,1,4,2,50.0,1.23,0.62,0.25,0.50,18.9,0,0,0,0.6,0.6,0.16,+0.4,+0.4,La Liga,2020-2021
Barcelona,Ronald Araújo,URU,DF,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.50,11.7,0,0,0,1.8,1.8,0.15,+0.2,+0.2,La Liga,2020-2021
Barcelona,Samuel Umtiti,FRA,DF,26,1993,7.2,0,2,1,50.0,0.28,0.14,0.00,0.00,9.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,La Liga,2020-2021
Barcelona,Sergi Roberto,ESP,"DF,FW",28,1992,10.5,1,5,1,20.0,0.48,0.10,0.20,1.00,17.7,0,0,0,0.3,0.3,0.06,+0.7,+0.7,La Liga,2020-2021
Barcelona,Sergio Busquets,ESP,MF,32,1988,28.0,0,3,1,33.3,0.11,0.04,0.00,0.00,16.9,0,0,0,0.3,0.3,0.09,-0.3,-0.3,La Liga,2020-2021
Barcelona,Sergiño Dest,USA,"DF,FW",19,2000,21.2,2,14,5,35.7,0.66,0.24,0.14,0.40,15.3,0,0,0,1.7,1.7,0.12,+0.3,+0.3,La Liga,2020-2021
Barcelona,Óscar Mingueza,ESP,DF,21,1999,21.1,2,12,6,50.0,0.57,0.28,0.17,0.33,17.1,0,0,0,1.0,1.0,0.08,+1.0,+1.0,La Liga,2020-2021
Betis,Aitor Ruibal,ESP,"FW,MF",24,1996,17.7,2,33,14,42.4,1.86,0.79,0.06,0.14,17.9,0,0,0,2.9,2.9,0.09,-0.9,-0.9,La Liga,2020-2021
Betis,Andrés Guardado,MEX,MF,33,1986,14.6,1,11,5,45.5,0.75,0.34,0.09,0.20,24.3,0,0,0,0.3,0.3,0.03,+0.7,+0.7,La Liga,2020-2021
Betis,Antonio Sanabria,PAR,FW,24,1996,10.4,3,25,12,48.0,2.41,1.16,0.12,0.25,11.7,0,0,0,5.0,5.0,0.20,-2.0,-2.0,La Liga,2020-2021
Betis,Aïssa Mandi,ALG,DF,28,1991,26.6,3,8,7,87.5,0.30,0.26,0.38,0.43,6.3,0,0,0,2.1,2.1,0.26,+0.9,+0.9,La Liga,2020-2021
Betis,Borja Iglesias,ESP,FW,27,1993,15.7,11,33,10,30.3,2.10,0.64,0.18,0.60,17.2,0,5,5,8.4,4.4,0.14,+2.6,+1.6,La Liga,2020-2021
Betis,Claudio Bravo,CHI,GK,37,1983,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Betis,Cristian Tello,ESP,"FW,MF",28,1991,14.3,5,35,14,40.0,2.46,0.98,0.14,0.36,20.5,1,0,0,2.7,2.7,0.08,+2.3,+2.3,La Liga,2020-2021
Betis,Diego Lainez,MEX,"FW,MF",20,2000,9.6,0,13,4,30.8,1.36,0.42,0.00,0.00,18.9,0,0,0,0.7,0.7,0.06,-0.7,-0.7,La Liga,2020-2021
Betis,Emerson,BRA,DF,21,1999,33.2,1,11,3,27.3,0.33,0.09,0.09,0.33,16.6,0,0,0,1.5,1.5,0.14,-0.5,-0.5,La Liga,2020-2021
Betis,Guido Rodríguez,ARG,MF,26,1994,31.8,1,30,9,30.0,0.94,0.28,0.03,0.11,19.8,0,0,0,2.3,2.3,0.08,-1.3,-1.3,La Liga,2020-2021
Betis,Joaquín,ESP,"FW,MF",39,1981,14.3,2,10,5,50.0,0.70,0.35,0.20,0.40,15.9,0,0,0,0.6,0.6,0.06,+1.4,+1.4,La Liga,2020-2021
Betis,Joel Robles,ESP,GK,30,1990,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Betis,Juan Miranda,ESP,DF,20,2000,18.4,1,10,3,30.0,0.54,0.16,0.10,0.33,25.3,1,0,0,0.7,0.7,0.07,+0.3,+0.3,La Liga,2020-2021
Betis,Juanmi,ESP,"FW,MF",27,1993,6.7,2,14,5,35.7,2.09,0.75,0.14,0.40,11.3,0,0,0,2.4,2.4,0.17,-0.4,-0.4,La Liga,2020-2021
Betis,Loren Morón,ESP,FW,26,1993,11.0,1,24,3,12.5,2.18,0.27,0.04,0.33,18.1,0,0,0,2.8,2.8,0.12,-1.8,-1.8,La Liga,2020-2021
Betis,Marc Bartra,ESP,DF,29,1991,18.8,0,10,4,40.0,0.53,0.21,0.00,0.00,18.5,0,0,0,0.6,0.6,0.06,-0.6,-0.6,La Liga,2020-2021
Betis,Martín Montoya,ESP,DF,29,1991,2.7,0,2,0,0.0,0.75,0.00,0.00,,12.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,La Liga,2020-2021
Betis,Nabil Fekir,FRA,"MF,FW",27,1993,29.1,5,83,24,28.9,2.85,0.82,0.05,0.17,21.9,9,1,3,7.0,4.6,0.06,-2.0,-0.6,La Liga,2020-2021
Betis,Paul Akouokou,CIV,MF,22,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Betis,Rodrigo,ESP,"FW,MF",20,2000,6.0,0,5,0,0.0,0.84,0.00,0.00,,21.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,La Liga,2020-2021
Betis,Sergio Canales,ESP,"MF,FW",29,1991,27.8,8,44,10,22.7,1.59,0.36,0.14,0.60,22.4,5,2,3,5.3,2.9,0.07,+2.7,+3.1,La Liga,2020-2021
Betis,Sidnei,BRA,DF,30,1989,7.7,0,1,0,0.0,0.13,0.00,0.00,,4.7,0,0,0,0.3,0.3,0.32,-0.3,-0.3,La Liga,2020-2021
Betis,Víctor Ruiz,ESP,DF,31,1989,24.0,2,4,4,100.0,0.17,0.17,0.50,0.50,11.5,0,0,0,1.5,1.5,0.38,+0.5,+0.5,La Liga,2020-2021
Betis,William Carvalho,POR,MF,28,1992,13.6,2,15,6,40.0,1.10,0.44,0.13,0.33,18.0,0,0,0,1.2,1.2,0.08,+0.8,+0.8,La Liga,2020-2021
Betis,Álex Moreno,ESP,DF,27,1993,19.8,0,11,3,27.3,0.55,0.15,0.00,0.00,18.7,0,0,0,0.9,0.9,0.08,-0.9,-0.9,La Liga,2020-2021
Celta Vigo,Aarón Martín,ESP,DF,23,1997,17.1,0,5,1,20.0,0.29,0.06,0.00,0.00,22.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,La Liga,2020-2021
Celta Vigo,Alfon,ESP,MF,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,La Liga,2020-2021
Celta Vigo,Augusto Solari,ARG,MF,28,1992,5.4,2,5,3,60.0,0.93,0.56,0.40,0.67,23.7,0,0,0,1.1,1.1,0.22,+0.9,+0.9,La Liga,2020-2021
Celta Vigo,Brais Méndez,ESP,"MF,FW",23,1997,29.7,9,49,21,42.9,1.65,0.71,0.16,0.38,16.1,1,1,1,8.2,7.4,0.15,+0.8,+0.6,La Liga,2020-2021
Celta Vigo,Carlos Dominguez,ESP,DF,19,2001,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,8.4,0,0,0,0.1,0.1,0.12,-0.1,-0.1,La Liga,2020-2021
Celta Vigo,Denis Suárez,ESP,MF,26,1994,31.7,0,16,3,18.8,0.50,0.09,0.00,0.00,23.1,1,0,0,1.1,1.1,0.07,-1.1,-1.1,La Liga,2020-2021
Celta Vigo,Emre Mor,TUR,"FW,MF",23,1997,5.6,0,8,2,25.0,1.44,0.36,0.00,0.00,18.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,La Liga,2020-2021
Celta Vigo,Facundo Ferreyra,ARG,FW,29,1991,3.3,1,7,2,28.6,2.10,0.60,0.14,0.50,12.5,0,0,0,1.5,1.5,0.22,-0.5,-0.5,La Liga,2020-2021
Celta Vigo,Fran Beltrán,ESP,"MF,FW",21,1999,15.5,3,19,7,36.8,1.22,0.45,0.16,0.43,22.2,0,0,0,1.2,1.2,0.06,+1.8,+1.8,La Liga,2020-2021
Celta Vigo,Gabriel Veiga,ESP,"MF,DF",18,2002,1.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Celta Vigo,Hugo Mallo,ESP,DF,29,1991,28.9,3,20,11,55.0,0.69,0.38,0.15,0.27,14.2,0,0,0,2.6,2.6,0.13,+0.4,+0.4,La Liga,2020-2021
Celta Vigo,Hugo Sotelo,ESP,MF,16,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Celta Vigo,Iago Aspas,ESP,FW,32,1987,31.8,14,45,21,46.7,1.41,0.66,0.20,0.43,15.9,6,5,5,12.4,8.5,0.19,+1.6,+0.5,La Liga,2020-2021
Celta Vigo,Iván Villar,ESP,GK,23,1997,19.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,La Liga,2020-2021
Celta Vigo,Jeison Murillo,COL,DF,28,1992,30.0,2,9,3,33.3,0.30,0.10,0.22,0.67,10.8,0,0,0,0.8,0.8,0.09,+1.2,+1.2,La Liga,2020-2021
Celta Vigo,Jordan Holsgrove,SCO,MF,20,1999,1.6,0,1,0,0.0,0.62,0.00,0.00,,11.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,La Liga,2020-2021
Celta Vigo,Joseph Aidoo,GHA,DF,24,1995,14.3,0,9,0,0.0,0.63,0.00,0.00,,14.9,0,0,0,0.8,0.8,0.09,-0.8,-0.8,La Liga,2020-2021
Celta Vigo,José Fontán,ESP,DF,20,2000,7.2,0,5,3,60.0,0.69,0.41,0.00,0.00,12.1,0,0,0,0.7,0.7,0.14,-0.7,-0.7,La Liga,2020-2021
Celta Vigo,Kevin Vázquez,ESP,DF,27,1993,6.2,0,1,0,0.0,0.16,0.00,0.00,,22.7,0,0,0,0.0,0.0,0.03,0.0,0.0,La Liga,2020-2021
Celta Vigo,Lauti,URU,FW,19,2001,0.2,0,0,0,,0.00,0.00,,,,,0,0,,,,,,La Liga,2020-2021
