team,player,Nation,Pos,Age,Born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,League,Season
,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
Mainz 05,Florian Müller,GER,GK,20,1997,24,24,2160,24.0,43,1.79,124,81,67.7,8,3,13,5,20.8,4,3,0,1,0.0,Bundesliga,2018-2019
Mainz 05,Robin Zentner,GER,GK,23,1994,10,10,900,10.0,14,1.40,49,35,71.4,4,4,2,2,20.0,0,0,0,0,,Bundesliga,2018-2019
Nürnberg,Christian Mathenia,GER,GK,26,1992,22,22,1933,21.5,40,1.86,118,80,67.8,1,7,14,2,9.1,2,2,0,0,0.0,Bundesliga,2018-2019
Nürnberg,Fabian Bredlow,GER,GK,23,1995,14,12,1127,12.5,28,2.24,61,32,54.1,2,3,7,2,16.7,2,0,1,1,100.0,Bundesliga,2018-2019
RB Leipzig,Péter Gulácsi,HUN,GK,28,1990,33,33,2925,32.5,27,0.83,117,91,80.3,19,9,5,15,45.5,5,4,0,1,0.0,Bundesliga,2018-2019
RB Leipzig,Yvon Mvogo,SUI,GK,24,1994,2,1,135,1.5,2,1.33,4,2,75.0,0,0,1,1,100.0,1,1,0,0,0.0,Bundesliga,2018-2019
Schalke 04,Alexander Nübel,GER,GK,21,1996,18,18,1588,17.6,29,1.64,83,53,68.7,4,6,8,4,22.2,4,3,1,0,25.0,Bundesliga,2018-2019
Schalke 04,Ralf Fährmann,GER,GK,29,1988,17,16,1469,16.3,26,1.59,83,58,71.1,4,3,9,3,18.8,2,2,0,0,0.0,Bundesliga,2018-2019
Stuttgart,Ron-Robert Zieler,GER,GK,29,1989,34,34,3060,34.0,70,2.06,179,113,62.0,7,7,20,6,17.6,3,2,0,1,0.0,Bundesliga,2018-2019
Werder Bremen,Jiří Pavlenka,CZE,GK,26,1992,34,34,2978,33.1,47,1.42,153,106,71.2,14,11,9,5,14.7,4,3,0,1,0.0,Bundesliga,2018-2019
Werder Bremen,Luca Plogmann,GER,GK,18,2000,1,0,37,0.4,1,2.43,1,0,100.0,0,0,0,0,,1,1,0,0,0.0,Bundesliga,2018-2019
Werder Bremen,Stefanos Kapino,GRE,GK,24,1994,1,0,45,0.5,1,2.00,3,2,66.7,0,0,0,0,,0,0,0,0,,Bundesliga,2018-2019
Wolfsburg,Koen Casteels,BEL,GK,26,1992,26,26,2295,25.5,39,1.53,119,79,70.6,11,6,9,8,30.8,5,4,1,0,20.0,Bundesliga,2018-2019
Wolfsburg,Pavao Pervan,AUT,GK,30,1987,10,8,765,8.5,11,1.29,40,29,72.5,5,1,2,1,12.5,1,0,0,1,,Bundesliga,2018-2019
Augsburg,Andreas Luthe,GER,GK,32,1987,10,10,900,10.0,12,1.20,33,22,63.6,3,3,4,3,30.0,0,0,0,0,,Bundesliga,2019-2020
Augsburg,Tomáš Koubek,CZE,GK,26,1992,24,24,2160,24.0,51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100.0,Bundesliga,2019-2020
Bayern Munich,Manuel Neuer,GER,GK,33,1986,33,33,2970,33.0,31,0.94,110,79,74.5,25,4,4,15,45.5,4,3,1,0,25.0,Bundesliga,2019-2020
Bayern Munich,Sven Ulreich,GER,GK,30,1988,2,2,90,1.0,1,1.00,3,2,66.7,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Dortmund,Marwin Hitz,SUI,GK,31,1987,4,3,290,3.2,1,0.31,7,6,85.7,2,1,0,3,100.0,0,0,0,0,,Bundesliga,2019-2020
Dortmund,Roman Bürki,SUI,GK,28,1990,31,31,2770,30.8,40,1.30,95,58,61.1,19,5,7,12,38.7,3,3,0,0,0.0,Bundesliga,2019-2020
Düsseldorf,Florian Kastenmeier,GER,GK,22,1997,17,17,1530,17.0,31,1.82,78,49,62.8,2,9,6,2,11.8,3,2,1,0,33.3,Bundesliga,2019-2020
Düsseldorf,Zack Steffen,USA,GK,24,1995,17,17,1530,17.0,36,2.12,99,63,64.6,4,3,10,2,11.8,2,1,1,0,50.0,Bundesliga,2019-2020
Eint Frankfurt,Felix Wiedwald,GER,GK,29,1990,3,3,270,3.0,8,2.67,20,12,60.0,0,0,3,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Eint Frankfurt,Frederik Rønnow,DEN,GK,26,1992,9,9,810,9.0,14,1.56,49,35,75.5,2,3,4,1,11.1,2,2,0,0,0.0,Bundesliga,2019-2020
Eint Frankfurt,Kevin Trapp,GER,GK,29,1990,22,22,1980,22.0,38,1.73,105,69,64.8,11,3,8,4,18.2,1,1,0,0,0.0,Bundesliga,2019-2020
Freiburg,Alexander Schwolow,GER,GK,27,1992,24,24,2091,23.2,32,1.38,118,86,75.4,9,6,9,4,16.7,3,3,0,0,0.0,Bundesliga,2019-2020
Freiburg,Mark Flekken,NED,GK,26,1993,10,10,900,10.0,14,1.40,69,55,79.7,4,3,3,3,30.0,1,0,0,1,,Bundesliga,2019-2020
Freiburg,Niclas Thiede,GER,GK,20,1999,1,0,69,0.8,1,1.30,4,3,75.0,0,0,0,0,,0,0,0,0,,Bundesliga,2019-2020
Hertha BSC,Dennis Smarsch,GER,GK,20,1999,2,1,151,1.7,4,2.38,11,7,63.6,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Hertha BSC,Rune Jarstein,NOR,GK,34,1984,29,29,2547,28.3,46,1.63,143,99,72.7,11,5,13,9,31.0,7,7,0,0,0.0,Bundesliga,2019-2020
Hertha BSC,Thomas Kraft,GER,GK,31,1988,4,4,360,4.0,9,2.25,19,10,52.6,0,3,1,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Hoffenheim,Oliver Baumann,GER,GK,29,1990,30,30,2700,30.0,49,1.63,146,97,69.9,13,7,10,7,23.3,7,5,2,0,28.6,Bundesliga,2019-2020
Hoffenheim,Philipp Pentke,GER,GK,34,1985,4,4,360,4.0,4,1.00,21,17,85.7,2,0,2,1,25.0,1,1,0,0,0.0,Bundesliga,2019-2020
Köln,Timo Horn,GER,GK,26,1993,34,34,3060,34.0,69,2.03,156,87,58.3,10,6,18,6,17.6,6,4,2,0,33.3,Bundesliga,2019-2020
Leverkusen,Lukáš Hrádecký,FIN,GK,29,1989,34,34,3060,34.0,44,1.29,143,99,70.6,19,6,9,10,29.4,2,2,0,0,0.0,Bundesliga,2019-2020
M'Gladbach,Yann Sommer,SUI,GK,30,1988,34,34,3060,34.0,40,1.18,158,117,75.3,20,5,9,7,20.6,2,1,1,0,50.0,Bundesliga,2019-2020
Mainz 05,Florian Müller,GER,GK,21,1997,13,12,1125,12.5,25,2.00,66,40,65.2,3,2,7,2,16.7,3,2,1,0,33.3,Bundesliga,2019-2020
Mainz 05,Robin Zentner,GER,GK,24,1994,22,22,1935,21.5,40,1.86,115,75,66.1,8,2,12,3,13.6,2,1,1,0,50.0,Bundesliga,2019-2020
Paderborn 07,Jannik Huth,GER,GK,25,1994,6,6,540,6.0,17,2.83,33,16,51.5,0,1,5,0,0.0,1,1,0,0,0.0,Bundesliga,2019-2020
Paderborn 07,Leopold Zingerle,GER,GK,25,1994,28,28,2520,28.0,57,2.04,152,96,64.5,4,7,17,5,17.9,4,3,1,0,25.0,Bundesliga,2019-2020
RB Leipzig,Péter Gulácsi,HUN,GK,29,1990,32,32,2880,32.0,34,1.06,116,82,72.4,16,12,4,10,31.3,2,2,0,0,0.0,Bundesliga,2019-2020
RB Leipzig,Yvon Mvogo,SUI,GK,25,1994,2,2,180,2.0,3,1.50,5,2,40.0,2,0,0,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Schalke 04,Alexander Nübel,GER,GK,22,1996,26,26,2315,25.7,40,1.56,118,80,69.5,8,9,9,5,19.2,4,4,0,0,0.0,Bundesliga,2019-2020
Schalke 04,Markus Schubert,GER,GK,21,1998,9,8,742,8.2,18,2.18,55,37,70.9,1,3,4,2,25.0,2,2,0,0,0.0,Bundesliga,2019-2020
Union Berlin,Moritz Nicolas,GER,GK,21,1997,1,1,90,1.0,4,4.00,8,4,50.0,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Union Berlin,Rafał Gikiewicz,POL,GK,31,1987,33,33,2970,33.0,54,1.64,159,105,67.9,12,5,16,8,24.2,4,3,1,0,25.0,Bundesliga,2019-2020
Werder Bremen,Jiří Pavlenka,CZE,GK,27,1992,33,33,2970,33.0,67,2.03,169,105,60.9,8,6,19,4,12.1,1,1,0,0,0.0,Bundesliga,2019-2020
Werder Bremen,Stefanos Kapino,GRE,GK,25,1994,1,1,90,1.0,2,2.00,5,3,60.0,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2019-2020
Wolfsburg,Koen Casteels,BEL,GK,27,1992,26,26,2340,26.0,38,1.46,105,67,67.6,11,6,9,5,19.2,4,4,0,0,0.0,Bundesliga,2019-2020
Wolfsburg,Pavao Pervan,AUT,GK,31,1987,8,8,720,8.0,8,1.00,37,30,81.1,2,4,2,3,37.5,1,1,0,0,0.0,Bundesliga,2019-2020
Arminia,Stefan Ortega,GER,GK,27,1992,34,34,3060,34.0,52,1.53,170,118,72.4,9,8,17,11,32.4,6,5,1,0,16.7,Bundesliga,2020-2021
Augsburg,Rafał Gikiewicz,POL,GK,32,1987,34,34,3060,34.0,54,1.59,178,126,73.0,10,6,18,7,20.6,9,6,1,2,14.3,Bundesliga,2020-2021
Bayern Munich,Alexander Nübel,GER,GK,23,1996,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2020-2021
Bayern Munich,Manuel Neuer,GER,GK,34,1986,33,33,2970,33.0,42,1.27,123,80,66.7,24,5,4,9,27.3,3,1,1,1,50.0,Bundesliga,2020-2021
Dortmund,Marwin Hitz,SUI,GK,32,1987,16,16,1395,15.5,16,1.03,44,29,68.2,11,2,3,7,43.8,2,2,0,0,0.0,Bundesliga,2020-2021
Dortmund,Roman Bürki,SUI,GK,29,1990,19,18,1665,18.5,30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,0.0,Bundesliga,2020-2021
Eint Frankfurt,Elias Bördner,GER,GK,18,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2020-2021
Eint Frankfurt,Kevin Trapp,GER,GK,30,1990,33,33,2970,33.0,52,1.58,150,99,68.0,15,12,6,4,12.1,6,4,1,1,20.0,Bundesliga,2020-2021
Freiburg,Florian Müller,GER,GK,22,1997,31,31,2790,31.0,46,1.48,157,112,72.0,11,8,12,6,19.4,3,2,1,0,33.3,Bundesliga,2020-2021
Freiburg,Mark Flekken,NED,GK,27,1993,3,3,270,3.0,6,2.00,18,12,77.8,1,1,1,0,0.0,3,2,0,1,0.0,Bundesliga,2020-2021
Hertha BSC,Alexander Schwolow,GER,GK,28,1992,26,26,2340,26.0,39,1.50,108,69,69.4,6,10,10,8,30.8,6,6,0,0,0.0,Bundesliga,2020-2021
Hertha BSC,Rune Jarstein,NOR,GK,35,1984,8,8,720,8.0,13,1.62,33,20,63.6,2,1,5,1,12.5,2,1,1,0,50.0,Bundesliga,2020-2021
Hoffenheim,Oliver Baumann,GER,GK,30,1990,31,31,2790,31.0,51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,1,25.0,Bundesliga,2020-2021
Hoffenheim,Philipp Pentke,GER,GK,35,1985,3,3,270,3.0,3,1.00,13,10,76.9,1,2,0,0,0.0,0,0,0,0,,Bundesliga,2020-2021
Köln,Ron-Robert Zieler,GER,GK,31,1989,1,0,51,0.6,1,1.76,3,2,100.0,0,0,0,0,,1,1,0,0,0.0,Bundesliga,2020-2021
Köln,Timo Horn,GER,GK,27,1993,34,34,3009,33.4,59,1.76,155,95,66.5,8,9,17,5,14.7,8,7,1,0,12.5,Bundesliga,2020-2021
Leverkusen,Lennart Grill,GER,GK,21,1999,4,4,360,4.0,7,1.75,21,14,66.7,1,0,3,1,25.0,0,0,0,0,,Bundesliga,2020-2021
Leverkusen,Lukáš Hrádecký,FIN,GK,30,1989,29,29,2565,28.5,29,1.02,83,55,66.3,13,9,7,8,27.6,2,1,1,0,50.0,Bundesliga,2020-2021
Leverkusen,Niklas Lomb,GER,GK,27,1993,2,1,135,1.5,3,2.00,8,5,62.5,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2020-2021
M'Gladbach,Tobias Sippel,GER,GK,32,1988,4,3,344,3.8,6,1.57,19,13,68.4,1,1,1,1,33.3,0,0,0,0,,Bundesliga,2020-2021
M'Gladbach,Yann Sommer,SUI,GK,31,1988,31,31,2712,30.1,50,1.66,132,82,66.7,12,9,10,6,19.4,6,6,0,0,0.0,Bundesliga,2020-2021
Mainz 05,Finn Dahmen,GER,GK,22,1998,3,3,270,3.0,10,3.33,20,10,55.0,1,0,2,0,0.0,1,1,0,0,0.0,Bundesliga,2020-2021
Mainz 05,Robin Zentner,GER,GK,25,1994,31,31,2790,31.0,46,1.48,142,97,71.1,9,9,13,5,16.1,6,5,0,1,0.0,Bundesliga,2020-2021
RB Leipzig,Josep Martinez,ESP,GK,22,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2020-2021
RB Leipzig,Péter Gulácsi,HUN,GK,30,1990,33,33,2970,33.0,30,0.91,80,50,66.3,19,8,6,15,45.5,3,3,0,0,0.0,Bundesliga,2020-2021
Schalke 04,Frederik Rønnow,DEN,GK,27,1992,11,10,945,10.5,24,2.29,67,45,70.1,0,4,6,1,10.0,4,4,0,0,0.0,Bundesliga,2020-2021
Schalke 04,Michael Langer,AUT,GK,35,1985,3,2,239,2.7,12,4.52,24,13,50.0,0,0,2,0,0.0,0,0,0,0,,Bundesliga,2020-2021
Schalke 04,Ralf Fährmann,GER,GK,31,1988,22,22,1876,20.8,50,2.40,143,94,67.1,3,3,16,3,13.6,4,3,1,0,25.0,Bundesliga,2020-2021
Stuttgart,Fabian Bredlow,GER,GK,25,1995,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2020-2021
Stuttgart,Gregor Kobel,SUI,GK,22,1997,33,33,2970,33.0,54,1.64,157,102,68.8,11,9,13,5,15.2,7,5,2,0,28.6,Bundesliga,2020-2021
Union Berlin,Andreas Luthe,GER,GK,33,1987,31,31,2768,30.8,42,1.37,132,89,71.2,11,12,8,5,16.1,5,4,1,0,20.0,Bundesliga,2020-2021
Union Berlin,Loris Karius,GER,GK,27,1993,4,3,292,3.2,1,0.31,4,4,75.0,1,2,0,2,66.7,0,0,0,0,,Bundesliga,2020-2021
Werder Bremen,Jiří Pavlenka,CZE,GK,28,1992,34,34,3060,34.0,57,1.68,157,101,66.2,7,10,17,6,17.6,6,4,2,0,33.3,Bundesliga,2020-2021
Wolfsburg,Koen Casteels,BEL,GK,28,1992,32,32,2880,32.0,33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40.0,Bundesliga,2020-2021
Wolfsburg,Pavao Pervan,AUT,GK,32,1987,2,2,180,2.0,4,2.00,14,10,71.4,0,1,1,0,0.0,0,0,0,0,,Bundesliga,2020-2021
Arminia,Stefan Ortega,GER,GK,28,1992,33,33,2970,33.0,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,0.0,Bundesliga,2021-2022
Arminia,Stefanos Kapino,GRE,GK,27,1994,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Bundesliga,2021-2022
Augsburg,Rafał Gikiewicz,POL,GK,33,1987,34,34,3060,34.0,56,1.65,156,102,67.3,10,8,16,9,26.5,5,5,0,0,0.0,Bundesliga,2021-2022
Bayern Munich,Christian Früchtl,GER,GK,21,2000,1,0,10,0.1,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Bundesliga,2021-2022
Bayern Munich,Manuel Neuer,GER,GK,35,1986,28,28,2510,27.9,26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,0.0,Bundesliga,2021-2022
Bayern Munich,Sven Ulreich,GER,GK,32,1988,6,6,540,6.0,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0.0,Bundesliga,2021-2022
Bochum,Manuel Riemann,GER,GK,32,1988,31,31,2790,31.0,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40.0,Bundesliga,2021-2022
Bochum,Michael Esser,GER,GK,33,1987,3,3,270,3.0,7,2.33,21,14,76.2,2,0,1,0,0.0,2,2,0,0,0.0,Bundesliga,2021-2022
Dortmund,Gregor Kobel,SUI,GK,23,1997,29,29,2565,28.5,39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,0.0,Bundesliga,2021-2022
Dortmund,Marwin Hitz,SUI,GK,33,1987,5,4,405,4.5,12,2.67,25,13,60.0,1,0,3,0,0.0,2,2,0,0,0.0,Bundesliga,2021-2022
Dortmund,Roman Bürki,SUI,GK,30,1990,1,1,90,1.0,1,1.00,1,0,100.0,1,0,0,0,0.0,1,1,0,0,0.0,Bundesliga,2021-2022
Eint Frankfurt,Diant Ramaj,GER,GK,19,2001,1,1,90,1.0,1,1.00,4,3,75.0,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Eint Frankfurt,Jens Grahl,GER,GK,32,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Eint Frankfurt,Kevin Trapp,GER,GK,31,1990,32,32,2880,32.0,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0,Bundesliga,2021-2022
Freiburg,Benjamin Uphoff,GER,GK,27,1993,2,2,180,2.0,7,3.50,12,5,41.7,0,1,1,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Freiburg,Mark Flekken,NED,GK,28,1993,32,32,2880,32.0,39,1.22,141,103,73.8,15,9,8,10,31.3,2,2,0,0,0.0,Bundesliga,2021-2022
Greuther Fürth,Andreas Linde,SWE,GK,28,1993,12,12,1080,12.0,24,2.00,62,39,62.9,1,5,6,3,25.0,1,1,0,0,0.0,Bundesliga,2021-2022
Greuther Fürth,Marius Funk,GER,GK,25,1996,8,8,720,8.0,30,3.75,54,26,48.1,0,0,8,0,0.0,2,2,0,0,0.0,Bundesliga,2021-2022
Greuther Fürth,Sascha Burchert,GER,GK,31,1989,14,14,1260,14.0,28,2.00,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0.0,Bundesliga,2021-2022
Hertha BSC,Alexander Schwolow,GER,GK,29,1992,25,25,2175,24.2,51,2.11,123,72,62.6,7,5,13,4,16.0,5,5,0,0,0.0,Bundesliga,2021-2022
Hertha BSC,Marcel Lotka,POL,GK,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,0.0,Bundesliga,2021-2022
Hoffenheim,Oliver Baumann,GER,GK,31,1990,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3,Bundesliga,2021-2022
Hoffenheim,Philipp Pentke,GER,GK,36,1985,1,1,90,1.0,3,3.00,7,4,57.1,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Köln,Marvin Schwäbe,GER,GK,26,1995,21,21,1890,21.0,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100.0,Bundesliga,2021-2022
Köln,Timo Horn,GER,GK,28,1993,13,13,1170,13.0,21,1.62,56,36,62.5,4,6,3,1,7.7,0,0,0,0,,Bundesliga,2021-2022
Leverkusen,Andrey Lunyov,RUS,GK,29,1991,1,1,90,1.0,1,1.00,2,1,50.0,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Leverkusen,Lennart Grill,GER,GK,22,1999,1,1,90,1.0,2,2.00,6,5,66.7,1,0,0,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Leverkusen,Lukáš Hrádecký,FIN,GK,31,1989,32,32,2880,32.0,44,1.37,154,109,72.7,17,7,8,8,25.0,4,2,1,1,33.3,Bundesliga,2021-2022
M'Gladbach,Tobias Sippel,GER,GK,33,1988,1,1,90,1.0,1,1.00,3,2,66.7,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2021-2022
M'Gladbach,Yann Sommer,SUI,GK,32,1988,33,33,2970,33.0,60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,0,40.0,Bundesliga,2021-2022
Mainz 05,Finn Dahmen,GER,GK,23,1998,2,2,180,2.0,3,1.50,5,2,60.0,1,1,0,0,0.0,1,1,0,0,0.0,Bundesliga,2021-2022
Mainz 05,Robin Zentner,GER,GK,26,1994,32,32,2880,32.0,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20.0,Bundesliga,2021-2022
RB Leipzig,Josep Martinez,ESP,GK,23,1998,1,1,90,1.0,3,3.00,4,1,25.0,0,0,1,0,0.0,0,0,0,0,,Bundesliga,2021-2022
RB Leipzig,Philipp Tschauner,GER,GK,35,1985,1,0,3,0.0,0,0.00,0,0,,0,0,0,1,,0,0,0,0,,Bundesliga,2021-2022
RB Leipzig,Péter Gulácsi,HUN,GK,31,1990,33,33,2967,33.0,34,1.03,111,78,72.1,17,7,9,9,27.3,3,3,0,0,0.0,Bundesliga,2021-2022
Stuttgart,Fabian Bredlow,GER,GK,26,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,,Bundesliga,2021-2022
Stuttgart,Florian Müller,GER,GK,23,1997,30,30,2700,30.0,52,1.73,139,88,65.5,7,10,13,4,13.3,4,4,0,0,0.0,Bundesliga,2021-2022
Union Berlin,Andreas Luthe,GER,GK,34,1987,27,27,2430,27.0,39,1.44,104,68,64.4,11,7,9,6,22.2,2,2,0,0,0.0,Bundesliga,2021-2022
Union Berlin,Frederik Rønnow,DEN,GK,28,1992,7,7,630,7.0,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,,Bundesliga,2021-2022
Wolfsburg,Koen Casteels,BEL,GK,29,1992,28,28,2520,28.0,40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,1,40.0,Bundesliga,2021-2022
Wolfsburg,Pavao Pervan,AUT,GK,33,1987,6,6,540,6.0,14,2.33,38,25,65.8,1,0,5,1,16.7,1,1,0,0,0.0,Bundesliga,2021-2022
Atalanta,Etrit Berisha,ALB,GK,28,1989,31,31,2790,31.0,34,1.10,99,64,66.7,13,10,8,8,25.8,2,1,1,0,50.0,Serie A,2017-2018
Atalanta,Francesco Rossi,ITA,GK,26,1991,1,0,8,0.1,1,11.25,2,1,50.0,0,0,0,0,,0,0,0,0,,Serie A,2017-2018
Atalanta,Pierluigi Gollini,ITA,GK,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,,Serie A,2017-2018
Benevento,Alberto Brignoli,ITA,GK,25,1991,13,11,1126,12.5,31,2.48,70,39,58.6,1,2,8,1,9.1,4,2,0,2,0.0,Serie A,2017-2018
Benevento,Christian Puggioni,ITA,GK,36,1981,14,14,1179,13.1,26,1.98,65,39,67.7,3,1,10,2,14.3,6,5,0,1,0.0,Serie A,2017-2018
Benevento,Vid Belec,SVN,GK,27,1990,13,13,1113,12.4,27,2.18,74,49,67.6,2,0,11,1,7.7,3,3,0,0,0.0,Serie A,2017-2018
Bologna,Angelo da Costa Júnior,BRA,GK,33,1983,4,4,360,4.0,5,1.25,17,12,76.5,1,0,3,1,25.0,1,1,0,0,0.0,Serie A,2017-2018
Bologna,Antonio Mirante,ITA,GK,34,1983,33,33,2970,33.0,46,1.39,144,101,69.4,10,5,18,7,21.2,3,2,0,1,0.0,Serie A,2017-2018
Bologna,Antonio Santurro,DOM,GK,25,1992,1,1,90,1.0,1,1.00,5,4,80.0,0,1,0,0,0.0,0,0,0,0,,Serie A,2017-2018
Cagliari,Alessio Cragno,ITA,GK,23,1994,29,29,2536,28.2,47,1.67,130,82,68.5,7,5,17,7,24.1,10,6,2,2,25.0,Serie A,2017-2018
Cagliari,Luca Crosta,ITA,GK,19,1998,1,1,90,1.0,3,3.00,3,0,33.3,0,0,1,0,0.0,1,1,0,0,0.0,Serie A,2017-2018
Cagliari,Rafael,BRA,GK,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,1,3,1,12.5,1,1,0,0,0.0,Serie A,2017-2018
Chievo,Stefano Sorrentino,ITA,GK,38,1979,38,38,3420,38.0,59,1.55,187,129,70.6,10,10,18,7,18.4,7,4,3,0,42.9,Serie A,2017-2018
Crotone,Alex Cordaz,ITA,GK,34,1983,38,38,3420,38.0,66,1.74,200,133,70.0,9,8,21,5,13.2,8,6,1,1,14.3,Serie A,2017-2018
Fiorentina,Bartłomiej Drągowski,POL,GK,19,1997,3,1,217,2.4,8,3.32,17,9,52.9,0,0,1,0,0.0,0,0,0,0,,Serie A,2017-2018
Fiorentina,Marco Sportiello,ITA,GK,25,1992,37,37,3202,35.6,38,1.07,131,92,72.5,16,9,12,14,37.8,3,2,1,0,33.3,Serie A,2017-2018
Genoa,Eugenio Lamanna,ITA,GK,27,1989,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Serie A,2017-2018
Genoa,Mattia Perin,ITA,GK,24,1992,37,37,3330,37.0,42,1.14,167,127,77.2,11,8,18,12,32.4,4,4,0,0,0.0,Serie A,2017-2018
Hellas Verona,Marco Silvestri,ITA,GK,26,1991,2,2,180,2.0,7,3.50,25,18,72.0,0,0,2,0,0.0,0,0,0,0,,Serie A,2017-2018
Hellas Verona,Nícolas Andrade,BRA,GK,29,1988,36,36,3240,36.0,71,1.97,233,162,72.1,7,4,25,7,19.4,8,6,2,0,25.0,Serie A,2017-2018
Inter,Samir Handanović,SVN,GK,33,1984,38,38,3420,38.0,30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0.0,Serie A,2017-2018
Juventus,Carlo Pinsoglio,ITA,GK,27,1990,1,0,28,0.3,1,3.21,2,1,50.0,0,0,0,0,,0,0,0,0,,Serie A,2017-2018
Juventus,Gianluigi Buffon,ITA,GK,39,1978,21,21,1862,20.7,14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,0,25.0,Serie A,2017-2018
Juventus,Wojciech Szczęsny,POL,GK,27,1990,17,17,1530,17.0,9,0.53,33,24,72.7,13,3,1,11,64.7,0,0,0,0,,Serie A,2017-2018
Lazio,Thomas Strakosha,ALB,GK,22,1995,38,38,3420,38.0,49,1.29,159,111,74.8,21,9,8,11,28.9,10,9,1,0,10.0,Serie A,2017-2018
Milan,Gianluigi Donnarumma,ITA,GK,18,1999,38,38,3420,38.0,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0,Serie A,2017-2018
Napoli,Luigi Sepe,ITA,GK,26,1991,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Serie A,2017-2018
Napoli,Pepe Reina,ESP,GK,34,1982,37,37,3330,37.0,29,0.78,97,68,72.2,28,6,3,18,48.6,2,2,0,0,0.0,Serie A,2017-2018
Roma,Alisson,BRA,GK,24,1992,37,37,3330,37.0,28,0.76,135,105,81.5,22,8,7,17,45.9,5,3,2,0,40.0,Serie A,2017-2018
Roma,Łukasz Skorupski,POL,GK,26,1991,1,1,90,1.0,0,0.00,3,3,100.0,1,0,0,1,100.0,0,0,0,0,,Serie A,2017-2018
SPAL,Alex Meret,ITA,GK,20,1997,13,13,1158,12.9,16,1.24,60,44,78.3,2,7,4,4,30.8,5,3,2,0,40.0,Serie A,2017-2018
