team,player,Nation,Pos,Age,Born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,League,Season
,,,,,,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,,
Brentford,David Raya,ESP,GK,25,1995,24,24,2160,24.0,27,1.13,103,76,77.7,10,5,9,8,33.3,4,4,0,0,0.0,Premier League,2021-2022
Brentford,Jonas Lössl,DEN,GK,32,1989,2,2,180,2.0,5,2.50,7,2,28.6,0,0,2,0,0.0,0,0,0,0,,Premier League,2021-2022
Brentford,Álvaro Fernández,ESP,GK,23,1998,12,12,1080,12.0,24,2.00,69,47,66.7,3,2,7,1,8.3,1,1,0,0,0.0,Premier League,2021-2022
Brighton,Jason Steele,ENG,GK,30,1990,1,1,90,1.0,2,2.00,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,Premier League,2021-2022
Brighton,Robert Sánchez,ESP,GK,23,1997,37,37,3329,37.0,42,1.14,141,99,72.3,12,15,10,11,29.7,4,3,0,1,0.0,Premier League,2021-2022
Burnley,Nick Pope,ENG,GK,29,1992,36,36,3240,36.0,47,1.31,165,119,74.5,7,14,15,9,25.0,5,5,0,0,0.0,Premier League,2021-2022
Burnley,Wayne Hennessey,WAL,GK,34,1987,2,2,180,2.0,6,3.00,13,8,53.8,0,0,2,0,0.0,0,0,0,0,,Premier League,2021-2022
Chelsea,Edouard Mendy,SEN,GK,29,1992,34,34,3060,34.0,31,0.91,102,72,75.5,19,10,5,14,41.2,6,6,0,0,0.0,Premier League,2021-2022
Chelsea,Kepa Arrizabalaga,ESP,GK,26,1994,4,4,360,4.0,2,0.50,13,11,84.6,2,1,1,2,50.0,0,0,0,0,,Premier League,2021-2022
Crystal Palace,Jack Butland,ENG,GK,28,1993,9,8,765,8.5,13,1.53,28,16,53.6,2,4,2,1,12.5,1,0,1,0,100.0,Premier League,2021-2022
Crystal Palace,Vicente Guaita,ESP,GK,34,1987,30,30,2655,29.5,33,1.12,116,83,74.1,9,11,10,11,36.7,3,3,0,0,0.0,Premier League,2021-2022
Everton,Asmir Begović,BIH,GK,34,1987,3,3,270,3.0,8,2.67,18,11,61.1,1,0,2,1,33.3,1,1,0,0,0.0,Premier League,2021-2022
Everton,Jordan Pickford,ENG,GK,27,1994,35,35,3150,35.0,58,1.66,170,116,66.5,10,6,19,7,20.0,1,1,0,0,0.0,Premier League,2021-2022
Leeds United,Illan Meslier,FRA,GK,21,2000,38,38,3384,37.6,79,2.10,220,142,66.4,9,11,18,5,13.2,5,5,0,0,0.0,Premier League,2021-2022
Leeds United,Kristoffer Klaesson,NOR,GK,20,2000,1,0,36,0.4,0,0.00,4,4,100.0,0,0,0,0,,0,0,0,0,,Premier League,2021-2022
Leicester City,Danny Ward,WAL,GK,28,1993,1,1,90,1.0,1,1.00,5,4,80.0,1,0,0,0,0.0,0,0,0,0,,Premier League,2021-2022
Leicester City,Kasper Schmeichel,DEN,GK,34,1986,37,37,3330,37.0,58,1.57,187,128,72.7,13,10,14,7,18.9,9,7,2,0,22.2,Premier League,2021-2022
Liverpool,Alisson,BRA,GK,28,1992,36,36,3240,36.0,24,0.67,99,76,75.8,27,7,2,20,55.6,0,0,0,0,,Premier League,2021-2022
Liverpool,Caoimhín Kelleher,IRL,GK,22,1998,2,2,180,2.0,2,1.00,8,6,75.0,1,1,0,1,50.0,0,0,0,0,,Premier League,2021-2022
Manchester City,Ederson,BRA,GK,27,1993,37,37,3330,37.0,26,0.70,83,57,69.9,28,6,3,20,54.1,1,1,0,0,0.0,Premier League,2021-2022
Manchester City,Zack Steffen,USA,GK,26,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Premier League,2021-2022
Manchester Utd,David de Gea,ESP,GK,30,1990,38,38,3420,38.0,57,1.50,180,124,70.0,16,10,12,8,21.1,5,3,2,0,40.0,Premier League,2021-2022
Newcastle Utd,Freddie Woodman,ENG,GK,24,1997,4,4,360,4.0,12,3.00,22,9,54.5,0,1,3,0,0.0,3,2,1,0,33.3,Premier League,2021-2022
Newcastle Utd,Karl Darlow,ENG,GK,30,1990,8,8,720,8.0,15,1.87,37,23,64.9,0,5,3,0,0.0,2,2,0,0,0.0,Premier League,2021-2022
Newcastle Utd,Martin Dúbravka,SVK,GK,32,1989,26,26,2340,26.0,35,1.35,106,72,67.9,13,4,9,8,30.8,1,1,0,0,0.0,Premier League,2021-2022
Norwich City,Angus Gunn,ENG,GK,25,1996,9,9,810,9.0,22,2.44,57,34,64.9,1,2,6,1,11.1,4,2,1,1,33.3,Premier League,2021-2022
Norwich City,Tim Krul,NED,GK,33,1988,29,29,2610,29.0,62,2.14,165,105,66.7,4,5,20,5,17.2,8,7,0,1,0.0,Premier League,2021-2022
Southampton,Alex McCarthy,ENG,GK,31,1989,17,17,1530,17.0,27,1.59,71,44,62.0,3,7,7,5,29.4,0,0,0,0,,Premier League,2021-2022
Southampton,Fraser Forster,ENG,GK,33,1988,19,19,1710,19.0,35,1.84,101,68,67.3,6,5,8,3,15.8,2,2,0,0,0.0,Premier League,2021-2022
Southampton,Willy Caballero,ARG,GK,39,1981,2,2,180,2.0,5,2.50,11,6,54.5,0,1,1,0,0.0,0,0,0,0,,Premier League,2021-2022
Tottenham,Hugo Lloris,FRA,GK,34,1986,38,38,3420,38.0,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0.0,Premier League,2021-2022
Watford,Ben Foster,ENG,GK,38,1983,26,26,2340,26.0,49,1.88,116,67,60.3,5,5,16,4,15.4,4,3,1,0,25.0,Premier League,2021-2022
Watford,Daniel Bachmann,AUT,GK,27,1994,12,12,1080,12.0,28,2.33,72,46,65.3,1,0,11,0,0.0,3,3,0,0,0.0,Premier League,2021-2022
West Ham,Alphonse Areola,FRA,GK,28,1993,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,,Premier League,2021-2022
West Ham,Łukasz Fabiański,POL,GK,36,1985,37,37,3330,37.0,50,1.35,162,111,70.4,16,8,13,8,21.6,6,2,3,1,60.0,Premier League,2021-2022
Wolves,John Ruddy,ENG,GK,34,1986,2,1,135,1.5,3,2.00,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Premier League,2021-2022
Wolves,José Sá,POR,GK,28,1993,37,37,3285,36.5,40,1.10,160,121,80.6,15,5,17,11,29.7,10,9,0,1,0.0,Premier League,2021-2022
Augsburg,Andreas Luthe,GER,GK,30,1987,2,2,180,2.0,4,2.00,7,3,57.1,0,1,1,0,0.0,1,1,0,0,0.0,Bundesliga,2017-2018
Augsburg,Marwin Hitz,SUI,GK,29,1987,32,32,2880,32.0,42,1.31,159,116,74.2,10,10,12,9,28.1,2,1,1,0,50.0,Bundesliga,2017-2018
Bayern Munich,Manuel Neuer,GER,GK,31,1986,3,3,270,3.0,2,0.67,7,5,71.4,2,0,1,2,66.7,0,0,0,0,,Bundesliga,2017-2018
Bayern Munich,Sven Ulreich,GER,GK,28,1988,29,29,2610,29.0,26,0.90,84,58,70.2,23,3,3,12,41.4,4,1,3,0,75.0,Bundesliga,2017-2018
Bayern Munich,Tom Starke,GER,GK,36,1981,2,2,180,2.0,0,0.00,4,4,100.0,2,0,0,2,100.0,0,0,0,0,,Bundesliga,2017-2018
Dortmund,Roman Bürki,SUI,GK,26,1990,33,33,2969,33.0,43,1.30,145,102,72.4,15,9,9,12,36.4,3,3,0,0,0.0,Bundesliga,2017-2018
Dortmund,Roman Weidenfeller,GER,GK,36,1980,2,1,91,1.0,4,3.96,7,3,42.9,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2017-2018
Eint Frankfurt,Lukáš Hrádecký,FIN,GK,27,1989,34,34,3060,34.0,45,1.32,133,90,67.7,14,7,13,7,20.6,3,2,0,1,0.0,Bundesliga,2017-2018
Freiburg,Alexander Schwolow,GER,GK,25,1992,33,33,2906,32.3,53,1.64,151,102,67.5,8,11,14,9,27.3,5,4,0,1,0.0,Bundesliga,2017-2018
Freiburg,Rafał Gikiewicz,POL,GK,29,1987,2,1,154,1.7,3,1.75,7,4,57.1,0,1,0,0,0.0,0,0,0,0,,Bundesliga,2017-2018
Hamburger SV,Christian Mathenia,GER,GK,25,1992,24,24,2160,24.0,38,1.58,95,58,63.2,4,6,14,6,25.0,4,3,0,1,0.0,Bundesliga,2017-2018
Hamburger SV,Julian Pollersbeck,GER,GK,22,1994,10,10,900,10.0,15,1.50,47,32,68.1,4,1,5,1,10.0,0,0,0,0,,Bundesliga,2017-2018
Hannover 96,Michael Esser,GER,GK,29,1987,3,3,270,3.0,9,3.00,20,11,55.0,1,0,2,0,0.0,1,0,0,1,,Bundesliga,2017-2018
Hannover 96,Philipp Tschauner,GER,GK,31,1985,31,31,2790,31.0,45,1.45,158,113,72.8,9,9,13,5,16.1,3,2,0,1,0.0,Bundesliga,2017-2018
Hertha BSC,Rune Jarstein,NOR,GK,32,1984,31,31,2790,31.0,44,1.42,140,97,72.1,10,10,11,7,22.6,6,5,0,1,0.0,Bundesliga,2017-2018
Hertha BSC,Thomas Kraft,GER,GK,29,1988,3,3,270,3.0,2,0.67,14,12,92.9,0,3,0,1,33.3,1,1,0,0,0.0,Bundesliga,2017-2018
Hoffenheim,Oliver Baumann,GER,GK,27,1990,34,34,3060,34.0,48,1.41,147,100,69.4,15,10,9,10,29.4,4,3,1,0,25.0,Bundesliga,2017-2018
Köln,Timo Horn,GER,GK,24,1993,34,34,3060,34.0,70,2.06,201,130,69.2,5,7,22,5,14.7,9,8,1,0,11.1,Bundesliga,2017-2018
Leverkusen,Bernd Leno,GER,GK,25,1992,33,33,2970,33.0,40,1.21,110,70,68.2,15,10,8,10,30.3,5,5,0,0,0.0,Bundesliga,2017-2018
Leverkusen,Ramazan Özcan,AUT,GK,33,1984,1,1,90,1.0,4,4.00,8,3,50.0,0,0,1,0,0.0,1,0,1,0,100.0,Bundesliga,2017-2018
M'Gladbach,Tobias Sippel,GER,GK,29,1988,5,4,435,4.8,10,2.07,23,13,56.5,1,0,3,1,25.0,0,0,0,0,,Bundesliga,2017-2018
M'Gladbach,Yann Sommer,SUI,GK,28,1988,30,30,2625,29.2,42,1.44,151,110,74.8,12,8,10,6,20.0,4,4,0,0,0.0,Bundesliga,2017-2018
Mainz 05,Florian Müller,GER,GK,19,1997,5,5,450,5.0,7,1.40,21,13,66.7,1,1,3,1,20.0,1,0,1,0,100.0,Bundesliga,2017-2018
Mainz 05,René Adler,GER,GK,32,1985,14,14,1260,14.0,18,1.29,53,35,67.9,5,3,6,4,28.6,2,1,0,1,0.0,Bundesliga,2017-2018
Mainz 05,Robin Zentner,GER,GK,22,1994,15,15,1350,15.0,27,1.80,70,44,67.1,3,5,7,2,13.3,4,4,0,0,0.0,Bundesliga,2017-2018
