Name,Team,Age,Position,Minutes,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals
Samuel Kalu,Bordeaux,21,"Midfielder, Forward",1280,2,3,1,2.0,71.8,1.0,2,6.97,Ligue1,2018,1997,14,7,1.4,22.1,1.2,1.1,0.0,1.3,0.4,0.9,0.0,0.1,0.3,0.1,0
Gelson Martins,Monaco,23,"Midfielder, Forward",1393,2,1,0,1.9,78.1,0.6,0,6.94,Ligue1,2018,1995,16,0,1.0,28.5,0.9,0.3,0.0,1.3,0.5,0.9,0.0,0.4,1.2,0.1,0
Bertrand Traoré,Lyon,23,"Midfielder, Forward",2125,2,5,0,1.9,82.5,0.7,3,6.93,Ligue1,2018,1995,24,10,0.7,29.3,0.2,0.9,0.1,1.1,0.4,0.6,0.0,0.4,0.4,0.1,0
Rony Lopes,Monaco,23,"Midfielder, Forward",1857,2,1,0,2.1,74.2,0.3,3,6.91,Ligue1,2018,1995,22,2,2.0,21.8,1.9,0.3,0.1,1.4,0.3,0.7,0.0,0.3,0.5,0.0,0
Wylan Cyprien,Nice,23,"Midfielder, Forward",2364,2,1,1,1.8,87.5,0.4,0,6.91,Ligue1,2018,1995,27,2,2.1,64.7,1.2,4.3,0.1,1.4,0.4,0.8,0.0,0.5,1.0,0.2,0
M'Baye Niang,Rennes,24,"Midfielder, Forward",1794,4,5,0,2.2,72.6,1.8,1,6.88,Ligue1,2018,1994,19,10,0.4,13.5,0.1,0.6,0.0,0.6,0.3,1.5,0.0,0.4,0.3,0.1,0
Jeff Reine-Adélaïde,Angers,21,"Midfielder, Forward",2566,3,2,0,1.1,84.1,0.5,2,6.87,Ligue1,2018,1997,29,6,1.0,31.2,0.0,0.9,0.1,1.1,0.5,0.9,0.0,0.1,0.7,0.0,0
Pierre Lees-Melou,Nice,25,"Midfielder, Forward",2393,1,5,1,1.3,85.7,0.6,1,6.85,Ligue1,2018,1993,26,4,1.0,47.0,0.5,2.7,0.0,2.5,1.2,1.4,0.0,1.1,1.2,0.3,0
Jonathan Ikone,Lille,20,"Midfielder, Forward",2815,9,3,0,1.3,73.8,0.3,0,6.82,Ligue1,2018,1998,34,4,1.5,24.1,0.1,0.8,0.1,0.7,0.2,0.9,0.0,0.1,0.6,0.1,0
Júlio Tavares,Dijon,30,"Midfielder, Forward",2804,4,4,0,1.7,58.6,6.6,1,6.82,Ligue1,2018,1988,31,5,0.8,19.7,0.1,0.3,0.0,0.4,0.4,1.2,0.0,1.4,0.2,0.1,0
Nuno da Costa,Strasbourg,28,"Midfielder, Forward",2055,5,3,0,1.4,69.1,1.6,1,6.8,Ligue1,2018,1990,22,12,0.6,14.1,0.1,0.4,0.1,1.1,0.4,1.2,0.0,0.1,0.8,0.0,0
Valère Germain,Marseille,29,"Midfielder, Forward",2170,2,1,0,1.5,78.0,2.8,3,6.8,Ligue1,2018,1989,23,13,0.6,16.2,0.1,0.2,0.0,1.1,0.2,0.6,0.0,0.8,0.7,0.1,0
Mathieu Cafaro,Reims,22,"Midfielder, Forward",2103,3,5,0,2.1,68.8,0.4,2,6.79,Ligue1,2018,1996,24,10,1.1,17.8,1.2,1.1,0.0,1.7,0.6,1.0,0.0,0.2,1.3,0.0,0
Denis Bouanga,Nimes,24,"Midfielder, Forward",2640,2,5,0,2.5,69.7,0.8,2,6.79,Ligue1,2018,1994,29,6,0.9,16.8,0.4,0.5,0.0,1.5,0.6,1.2,0.0,0.3,1.4,0.1,0
Nicolas Benezet,Guingamp,28,"Midfielder, Forward",1667,1,1,0,1.1,74.9,0.8,3,6.74,Ligue1,2018,1990,18,7,1.7,29.8,1.3,0.8,0.0,1.3,0.8,0.9,0.0,0.1,0.6,0.0,0
Remi Oudin,Reims,22,"Midfielder, Forward",2627,4,4,0,2.1,60.5,0.8,2,6.74,Ligue1,2018,1996,32,5,0.7,20.4,0.1,1.2,0.1,1.4,1.1,0.9,0.0,0.8,0.7,0.1,0
Sada Thioub,Nimes,24,"Midfielder, Forward",2482,5,3,0,0.9,78.4,0.5,1,6.73,Ligue1,2018,1994,27,11,1.0,22.5,0.5,0.6,0.0,0.8,0.4,1.0,0.0,0.3,0.7,0.0,0
Romain Hamouma,Saint-Etienne,32,"Midfielder, Forward",1595,4,2,1,1.3,78.4,0.9,2,6.72,Ligue1,2018,1986,19,8,1.2,17.6,0.6,0.3,0.0,1.1,0.3,0.9,0.0,0.1,0.7,0.0,0
Maxwel Cornet,Lyon,22,"Midfielder, Forward",1276,5,2,0,1.7,77.3,0.7,2,6.71,Ligue1,2018,1996,12,15,0.9,15.3,0.3,0.1,0.0,0.5,0.2,0.3,0.0,0.3,0.4,0.0,0
Mathieu Dossevi,Toulouse,31,"Midfielder, Forward",2482,2,0,0,0.7,76.0,0.4,2,6.71,Ligue1,2018,1987,30,5,1.7,20.6,1.4,0.6,0.0,1.2,0.9,0.8,0.0,0.1,0.8,0.0,0
Martin Terrier,Lyon,22,"Midfielder, Forward",1481,0,2,0,1.1,84.2,0.7,2,6.7,Ligue1,2018,1996,16,16,0.9,15.8,0.1,0.3,0.1,0.7,0.2,0.4,0.0,0.3,0.4,0.1,0
Saman Ghoddos,Amiens,25,"Midfielder, Forward",1833,4,4,0,1.6,72.8,0.6,2,6.69,Ligue1,2018,1993,20,7,1.3,18.0,1.0,0.6,0.0,1.2,0.3,1.0,0.0,0.4,0.7,0.1,0
Angelo Fulgini,Angers,22,"Midfielder, Forward",1637,1,1,0,0.9,77.5,0.7,2,6.67,Ligue1,2018,1996,18,13,1.3,23.8,0.5,0.8,0.1,1.2,0.9,0.7,0.1,0.4,0.6,0.1,0
Yann Karamoh,Bordeaux,20,"Midfielder, Forward",1224,1,2,0,1.6,77.3,0.0,0,6.65,Ligue1,2018,1998,13,9,1.2,20.8,0.9,0.5,0.1,0.3,0.3,0.5,0.0,0.1,0.5,0.0,0
Benjamin Jeannot,Dijon,27,"Midfielder, Forward",1448,0,3,0,2.1,72.2,3.0,0,6.64,Ligue1,2018,1991,19,2,0.5,19.9,0.0,0.7,0.0,0.8,0.6,1.6,0.0,0.6,0.6,0.1,0
Kévin Monnet-Paquet,Saint-Etienne,30,"Midfielder, Forward",1483,1,4,0,0.9,78.9,1.2,1,6.64,Ligue1,2018,1988,16,7,0.6,24.3,0.2,0.4,0.0,2.0,0.6,1.0,0.0,1.1,0.7,0.2,0
François Kamano,Bordeaux,23,"Midfielder, Forward",2572,1,6,0,2.2,81.0,0.2,2,6.64,Ligue1,2018,1995,29,8,0.9,24.1,0.1,0.9,0.1,0.8,0.5,1.3,0.0,0.1,0.5,0.0,0
Moussa Doumbia,Reims,24,"Midfielder, Forward",1600,1,5,0,1.0,80.0,0.6,2,6.64,Ligue1,2018,1994,18,10,0.7,21.5,0.4,0.9,0.0,1.0,0.3,1.0,0.0,0.2,1.0,0.1,0
John Stiven Mendoza,Amiens,27,"Midfielder, Forward",1884,2,4,0,1.7,78.1,0.4,0,6.63,Ligue1,2018,1991,22,3,1.1,23.9,0.6,0.7,0.0,1.2,0.6,1.0,0.0,0.3,1.0,0.0,0
Loïc Remy,Lille,32,"Midfielder, Forward",1209,2,3,0,1.3,77.5,1.4,0,6.62,Ligue1,2018,1986,14,12,0.3,8.4,0.0,0.2,0.0,0.1,0.1,0.7,0.0,0.7,0.1,0.0,0
Adrien Hunou,Rennes,25,"Midfielder, Forward",1241,1,1,0,1.4,76.8,0.6,0,6.62,Ligue1,2018,1993,14,5,0.5,15.4,0.0,0.1,0.0,0.6,0.3,0.7,0.0,0.4,0.4,0.0,0
Arnaud Nordin,Saint-Etienne,21,"Midfielder, Forward",1048,1,2,0,1.6,84.4,0.4,1,6.61,Ligue1,2018,1997,11,14,0.5,12.1,0.2,0.2,0.0,0.6,0.2,0.5,0.0,0.3,0.3,0.1,0
Nicolas de Preville,Bordeaux,28,"Midfielder, Forward",1270,2,5,0,1.4,74.5,1.3,0,6.59,Ligue1,2018,1990,14,9,1.0,18.4,0.5,1.0,0.0,1.2,0.4,1.8,0.0,0.8,0.9,0.0,0
