Name,Team,Age,Position,Minutes,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals
Philip Billing,Bournemouth,26,"Midfielder, Forward",1808,1,3,0,0.9,77.9,1.5,2,6.81,PremierLeague,2022,1996,22,2,0.6,24.9,0.2,0.8,0.0,1.8,0.9,0.8,0.0,1.4,0.7,0.3,0
Ollie Watkins,Aston Villa,27,"Midfielder, Forward",1974,4,1,0,2.1,71.1,1.8,0,6.79,PremierLeague,2022,1995,23,1,0.8,15.6,0.1,0.2,0.0,0.5,0.3,0.7,0.0,0.9,0.5,0.0,0
Lucas Paquetá,West Ham,25,"Midfielder, Forward",1253,2,3,0,2.1,81.0,1.3,1,6.79,PremierLeague,2022,1997,16,1,0.9,37.5,0.1,1.5,0.1,1.8,0.6,1.6,0.0,1.4,1.2,0.2,0
Morgan Gibbs-White,Nottingham Forest,22,"Midfielder, Forward",1830,5,2,0,1.9,69.9,1.4,3,6.78,PremierLeague,2022,2000,21,1,2.0,26.7,1.0,1.1,0.4,0.7,0.5,0.8,0.0,0.3,0.5,0.1,0
Kai Havertz,Chelsea,23,"Midfielder, Forward",1805,1,4,0,1.8,81.3,2.4,0,6.75,PremierLeague,2022,1999,21,3,1.1,24.1,0.1,0.2,0.0,1.1,0.3,1.9,0.0,1.2,0.5,0.0,0
Jarrod Bowen,West Ham,26,"Midfielder, Forward",2243,2,2,0,2.2,74.2,0.8,3,6.74,PremierLeague,2022,1996,25,0,1.4,20.3,0.8,0.6,0.0,1.2,1.0,0.8,0.1,0.4,0.9,0.2,0
Antony,Man Utd,23,"Midfielder, Forward",1006,0,4,0,2.7,80.3,0.2,0,6.74,PremierLeague,2022,1999,12,1,0.7,31.6,0.1,0.7,0.0,1.2,0.3,0.5,0.0,0.2,0.8,0.0,0
Jadon Sancho,Man Utd,22,"Midfielder, Forward",860,1,0,0,0.8,84.4,0.2,0,6.74,PremierLeague,2022,2000,11,2,1.6,27.6,0.1,0.5,0.1,0.5,0.3,0.3,0.0,0.2,0.5,0.0,0
Danny Welbeck,Brighton,32,"Midfielder, Forward",1159,2,0,0,2.0,83.1,1.4,1,6.73,PremierLeague,2022,1990,13,4,0.9,13.2,0.0,0.1,0.1,0.5,0.2,1.1,0.1,0.6,0.2,0.1,0
Raheem Sterling,Chelsea,28,"Midfielder, Forward",1349,2,3,0,1.5,78.2,0.1,1,6.73,PremierLeague,2022,1994,16,3,1.4,23.6,0.4,0.2,0.1,0.6,0.1,0.8,0.0,0.1,0.3,0.0,0
Dwight McNeil,Everton,23,"Midfielder, Forward",1422,2,4,0,0.9,78.6,0.2,2,6.72,PremierLeague,2022,1999,16,8,1.0,19.1,1.3,0.7,0.0,1.7,0.8,0.4,0.0,0.6,0.6,0.0,0
Jack Harrison,Leeds,26,"Midfielder, Forward",1668,5,2,0,1.0,70.1,0.2,2,6.67,PremierLeague,2022,1996,21,2,1.7,25.7,1.3,0.7,0.1,1.3,0.3,1.1,0.0,0.4,0.9,0.0,0
Jordan Ayew,Crystal Palace,31,"Midfielder, Forward",1757,1,2,0,0.5,79.9,1.4,1,6.66,PremierLeague,2022,1991,21,4,0.8,20.7,0.3,0.2,0.0,2.2,0.4,1.4,0.0,1.0,0.8,0.1,0
Christian Eriksen,Man Utd,30,"Midfielder, Forward",1499,7,3,0,1.2,82.7,0.4,1,6.65,PremierLeague,2022,1992,18,1,1.3,50.6,0.7,2.4,0.2,0.6,0.4,0.5,0.0,0.9,0.8,0.4,0
Ivan Perisic,Tottenham,34,"Midfielder, Forward",1526,5,4,0,0.7,72.3,0.8,1,6.65,PremierLeague,2022,1988,17,8,1.3,22.8,1.6,1.0,0.0,1.2,0.7,0.9,0.0,0.9,0.6,0.1,0
Che Adams,Southampton,26,"Midfielder, Forward",1643,3,1,0,1.6,67.1,2.5,1,6.64,PremierLeague,2022,1996,19,3,1.0,17.7,0.1,0.9,0.1,0.7,0.2,1.5,0.1,0.8,0.1,0.1,0
Leon Bailey,Aston Villa,25,"Midfielder, Forward",1493,2,4,0,1.6,69.0,0.8,2,6.63,PremierLeague,2022,1997,19,5,0.8,14.0,0.8,0.8,0.0,0.5,0.2,1.0,0.0,0.3,0.4,0.0,0
Saïd Benrahma,West Ham,27,"Midfielder, Forward",1340,3,0,0,1.9,84.6,0.1,0,6.62,PremierLeague,2022,1995,14,9,1.4,20.0,0.3,0.4,0.0,0.7,0.3,0.5,0.0,0.3,0.6,0.0,0
Harvey Barnes,Leicester,25,"Midfielder, Forward",1928,1,2,0,2.2,72.2,1.0,0,6.62,PremierLeague,2022,1997,23,0,0.6,22.8,0.2,0.4,0.0,0.9,0.3,1.2,0.0,0.3,0.9,0.0,0
Anthony Gordon,Everton,21,"Midfielder, Forward",1097,0,6,0,1.6,75.1,0.6,2,6.61,PremierLeague,2022,2001,12,4,0.5,15.8,0.2,0.4,0.1,2.1,0.3,1.3,0.0,0.6,0.9,0.0,0
Wilfried Gnonto,Leeds,19,"Midfielder, Forward",982,1,4,0,1.2,75.7,0.4,1,6.6,PremierLeague,2022,2003,11,3,1.1,24.1,0.4,0.1,0.1,1.4,0.2,1.4,0.0,0.1,0.9,0.0,0
Harvey Elliott,Liverpool,19,"Midfielder, Forward",1386,2,1,0,1.1,82.1,0.1,0,6.59,PremierLeague,2022,2003,15,10,0.8,32.4,0.2,1.0,0.2,0.8,0.5,0.5,0.0,0.2,0.8,0.0,0
Demarai Gray,Everton,26,"Midfielder, Forward",1850,1,2,0,1.8,81.5,0.4,1,6.59,PremierLeague,2022,1996,20,4,1.1,22.5,1.2,0.8,0.0,0.8,0.4,0.5,0.0,0.5,0.3,0.1,0
Jacob Ramsey,Aston Villa,21,"Midfielder, Forward",1506,2,4,0,0.6,83.8,0.5,1,6.59,PremierLeague,2022,2001,18,4,0.8,25.2,0.0,0.6,0.0,2.1,0.7,0.9,0.0,0.9,0.9,0.3,1
Joe Aribo,Southampton,26,"Midfielder, Forward",1097,0,2,0,0.7,74.2,1.4,0,6.58,PremierLeague,2022,1996,11,8,0.5,18.2,0.0,0.3,0.0,1.5,0.4,0.5,0.1,0.5,0.4,0.1,0
Brennan Johnson,Nottingham Forest,21,"Midfielder, Forward",2067,2,4,0,1.6,62.0,0.5,2,6.55,PremierLeague,2022,2001,23,2,0.8,12.5,0.2,0.2,0.0,0.8,0.1,1.0,0.0,0.0,0.4,0.0,0
Conor Gallagher,Chelsea,22,"Midfielder, Forward",867,1,5,1,0.7,83.1,0.6,1,6.53,PremierLeague,2022,2000,10,12,0.8,21.2,0.5,0.4,0.0,1.3,0.6,0.9,0.0,0.5,0.7,0.1,0
Daniel Podence,Wolves,27,"Midfielder, Forward",1385,0,4,0,1.4,70.0,0.3,2,6.51,PremierLeague,2022,1995,16,8,1.2,20.2,0.4,0.8,0.0,1.0,0.2,1.0,0.0,0.2,0.7,0.0,0
Yoane Wissa,Brentford,26,"Midfielder, Forward",1071,2,2,0,0.9,73.6,0.5,0,6.49,PremierLeague,2022,1996,11,13,0.4,8.8,0.0,0.3,0.0,0.5,0.3,0.6,0.0,0.5,0.1,0.0,0
Odsonne Édouard,Crystal Palace,24,"Midfielder, Forward",1124,2,3,0,1.2,73.5,1.1,0,6.46,PremierLeague,2022,1998,12,10,0.5,12.5,0.0,0.0,0.0,1.0,0.1,0.7,0.0,0.8,0.2,0.2,0
Brenden Aaronson,Leeds,22,"Midfielder, Forward",1795,2,2,0,1.3,79.4,0.3,0,6.45,PremierLeague,2022,2000,21,3,1.4,23.2,0.5,0.3,0.0,1.3,0.0,0.5,0.0,0.3,0.8,0.1,0
Mohamed Elyounoussi,Southampton,28,"Midfielder, Forward",1615,1,3,0,1.3,68.0,1.0,0,6.44,PremierLeague,2022,1994,19,4,0.7,19.0,0.4,0.8,0.1,1.3,0.8,1.1,0.0,1.3,0.8,0.1,0
Ryan Christie,Bournemouth,28,"Midfielder, Forward",1047,0,1,0,0.9,82.6,0.3,0,6.43,PremierLeague,2022,1994,12,8,0.7,17.0,0.2,0.5,0.0,1.0,0.9,1.1,0.0,0.5,0.9,0.1,0
Jamie Vardy,Leicester,35,"Midfielder, Forward",1239,4,1,0,0.6,54.5,1.2,0,6.3,PremierLeague,2022,1987,11,14,0.4,7.0,0.0,0.2,0.0,0.3,0.1,0.6,0.0,0.8,0.1,0.0,0
Neal Maupay,Everton,26,"Midfielder, Forward",942,0,3,0,1.4,75.0,0.7,0,6.26,PremierLeague,2022,1996,10,9,0.3,10.7,0.0,0.3,0.0,0.5,0.2,0.6,0.0,0.0,0.0,0.0,0
Adam Armstrong,Southampton,25,"Midfielder, Forward",1100,1,1,0,0.9,76.4,0.2,0,6.25,PremierLeague,2022,1997,12,11,0.4,10.5,0.1,0.4,0.0,0.5,0.2,0.6,0.0,0.2,0.3,0.1,0
Jesse Lingard,Nottingham Forest,30,"Midfielder, Forward",880,0,1,0,0.7,81.0,0.1,0,6.19,PremierLeague,2022,1992,11,4,0.7,17.9,0.1,0.6,0.0,0.2,0.3,0.5,0.0,0.3,0.2,0.0,0
Eden Hazard,Chelsea,27,"Midfielder, Forward",2926,15,2,0,2.5,84.3,0.5,14,7.81,PremierLeague,2018,1991,32,5,2.6,49.2,0.9,2.7,0.3,0.4,0.4,0.3,0.0,0.1,0.3,0.0,0
Raheem Sterling,Manchester City,24,"Midfielder, Forward",2777,10,3,0,2.3,85.8,0.4,8,7.61,PremierLeague,2018,1994,31,3,1.9,37.1,0.4,0.3,0.0,0.9,0.5,1.2,0.0,0.1,0.5,0.1,0
Mohamed Salah,Liverpool,26,"Midfielder, Forward",3262,8,1,0,3.6,75.9,0.3,8,7.57,PremierLeague,2018,1992,37,1,1.8,28.4,0.4,0.6,0.3,0.6,0.1,0.7,0.0,0.1,0.3,0.0,0
Sergio Agüero,Manchester City,30,"Midfielder, Forward",2480,8,3,0,3.6,85.0,0.5,5,7.53,PremierLeague,2018,1988,31,2,1.0,23.4,0.0,0.1,0.1,0.5,0.3,0.6,0.0,0.1,0.1,0.0,0
Sadio Mané,Liverpool,26,"Midfielder, Forward",3086,1,2,0,2.4,78.2,1.0,6,7.43,PremierLeague,2018,1992,35,1,1.3,32.9,0.2,1.3,0.1,1.0,0.4,0.9,0.1,0.2,0.8,0.1,0
Harry Kane,Tottenham,25,"Midfielder, Forward",2427,4,5,0,3.6,73.1,1.8,6,7.38,PremierLeague,2018,1993,27,1,1.1,19.7,0.1,1.6,0.0,0.4,0.0,1.1,0.0,0.5,0.5,0.2,0
Bernardo Silva,Manchester City,24,"Midfielder, Forward",2853,7,3,0,1.7,86.1,0.3,4,7.26,PremierLeague,2018,1994,31,5,2.0,47.4,0.3,2.0,0.1,1.4,0.7,0.9,0.0,0.7,1.4,0.1,0
Felipe Anderson,West Ham,25,"Midfielder, Forward",3054,4,3,0,1.6,76.0,0.3,6,7.23,PremierLeague,2018,1993,36,0,1.8,46.3,0.9,2.4,0.3,2.5,1.1,0.8,0.0,0.3,1.9,0.0,0
Wilfried Zaha,Crystal Palace,26,"Midfielder, Forward",3041,5,8,1,2.1,77.3,0.3,6,7.21,PremierLeague,2018,1992,34,0,1.6,29.6,0.3,0.7,0.1,1.1,0.3,1.3,0.0,0.0,0.6,0.0,0
James Maddison,Leicester,22,"Midfielder, Forward",2850,7,3,1,2.3,83.8,0.3,3,7.2,PremierLeague,2018,1996,35,1,2.8,39.0,1.9,2.2,0.3,1.3,0.3,0.7,0.0,0.1,1.2,0.1,0
Roberto Firmino,Liverpool,27,"Midfielder, Forward",2620,6,0,0,2.2,80.8,0.9,4,7.2,PremierLeague,2018,1991,31,3,1.3,37.6,0.1,0.5,0.1,0.9,0.2,1.1,0.0,0.4,0.8,0.0,0
Alexandre Lacazette,Arsenal,27,"Midfielder, Forward",2507,8,2,0,2.3,74.2,1.3,4,7.17,PremierLeague,2018,1991,27,8,0.9,22.0,0.1,0.5,0.1,1.0,0.4,1.5,0.0,0.8,0.7,0.0,0
Gylfi Sigurdsson,Everton,29,"Midfielder, Forward",3134,6,3,0,2.3,76.2,0.5,6,7.16,PremierLeague,2018,1989,36,2,1.9,26.1,1.3,0.7,0.3,1.5,0.7,0.9,0.0,0.6,0.8,0.1,0
Pierre-Emerick Aubameyang,Arsenal,29,"Midfielder, Forward",2733,5,0,0,2.6,74.0,0.9,4,7.1,PremierLeague,2018,1989,30,6,0.9,19.2,0.3,0.3,0.0,0.6,0.2,0.4,0.0,0.5,0.6,0.0,0
Son Heung-Min,Tottenham,26,"Midfielder, Forward",2049,6,2,1,2.4,85.6,0.1,4,7.1,PremierLeague,2018,1992,23,8,1.1,24.3,0.2,0.4,0.1,0.7,0.3,0.4,0.0,0.1,0.8,0.1,0
Willian,Chelsea,30,"Midfielder, Forward",2109,6,2,0,1.9,85.7,0.3,2,7.06,PremierLeague,2018,1988,26,6,2.5,38.4,1.2,1.2,0.1,1.1,0.4,0.4,0.0,0.3,0.5,0.0,0
Kevin De Bruyne,Manchester City,27,"Midfielder, Forward",978,2,2,0,1.6,83.7,0.3,2,7.05,PremierLeague,2018,1991,11,8,1.9,38.2,1.1,2.4,0.2,1.2,0.2,0.5,0.1,0.1,0.7,0.1,0
Andros Townsend,Crystal Palace,27,"Midfielder, Forward",3018,4,1,0,1.7,78.8,0.1,2,6.98,PremierLeague,2018,1991,34,4,1.6,27.0,1.0,0.8,0.0,1.6,1.0,0.3,0.0,0.4,1.4,0.1,0
Joshua King,Bournemouth,26,"Midfielder, Forward",2974,3,3,0,2.1,72.0,2.5,5,6.96,PremierLeague,2018,1992,34,1,1.1,23.0,0.2,0.3,0.1,0.9,0.2,1.5,0.0,0.4,0.6,0.1,0
Riyad Mahrez,Manchester City,27,"Midfielder, Forward",1338,4,0,0,2.0,84.7,0.7,3,6.96,PremierLeague,2018,1991,14,13,0.9,29.5,0.6,1.4,0.2,0.5,0.3,0.4,0.0,0.1,0.4,0.0,0
Lucas Moura,Tottenham,26,"Midfielder, Forward",2128,0,3,0,1.4,76.1,1.1,3,6.96,PremierLeague,2018,1992,25,7,0.8,22.6,0.0,0.4,0.0,1.1,0.8,0.8,0.0,0.8,0.6,0.0,0
Marcus Rashford,Manchester United,21,"Midfielder, Forward",2345,6,3,1,2.5,78.1,0.9,3,6.95,PremierLeague,2018,1997,26,7,1.2,20.2,0.3,0.5,0.0,0.7,0.1,0.8,0.0,0.7,0.7,0.0,0
Ayoze Pérez,Newcastle United,25,"Midfielder, Forward",2928,2,2,0,1.5,75.9,0.7,3,6.95,PremierLeague,2018,1993,34,3,1.2,21.1,0.1,0.7,0.1,1.6,1.1,1.2,0.0,0.8,1.2,0.1,0
Jamie Vardy,Leicester,31,"Midfielder, Forward",2733,4,3,1,2.3,65.6,2.0,3,6.94,PremierLeague,2018,1987,30,4,0.9,12.2,0.2,0.2,0.0,0.4,0.2,0.6,0.0,0.8,0.4,0.0,0
Nathan Redmond,Southampton,24,"Midfielder, Forward",3278,4,3,0,1.9,75.4,0.7,3,6.91,PremierLeague,2018,1994,36,2,1.4,29.6,0.6,1.3,0.0,1.2,0.5,0.8,0.0,0.6,0.7,0.1,0
Anthony Martial,Manchester United,23,"Midfielder, Forward",1624,2,2,0,1.4,79.3,0.7,2,6.9,PremierLeague,2018,1995,18,9,1.3,26.2,0.1,0.1,0.1,0.3,0.1,0.5,0.0,0.3,0.4,0.0,0
Diogo Jota,Wolverhampton Wanderers,22,"Midfielder, Forward",2372,5,11,0,1.8,75.6,0.8,3,6.89,PremierLeague,2018,1996,29,4,0.8,22.6,0.2,0.5,0.1,0.8,0.4,1.3,0.0,0.3,0.8,0.0,0
Richarlison,Everton,21,"Midfielder, Forward",2679,1,5,1,2.4,68.5,2.0,3,6.89,PremierLeague,2018,1997,32,3,0.6,22.7,0.1,0.6,0.0,1.4,0.5,0.9,0.0,1.1,0.5,0.1,0
Nathaniel Mendez-Laing,Cardiff,26,"Midfielder, Forward",987,1,0,0,1.0,62.0,1.2,0,6.88,PremierLeague,2018,1992,11,9,1.0,12.8,0.5,0.3,0.1,1.7,0.7,0.4,0.0,0.7,0.7,0.1,0
Ryan Babel,Fulham,32,"Midfielder, Forward",1260,3,3,0,1.7,82.9,0.9,1,6.86,PremierLeague,2018,1986,15,1,1.4,29.3,0.7,0.7,0.0,0.5,0.4,0.9,0.0,0.6,0.4,0.0,0
Gerard Deulofeu,Watford,24,"Midfielder, Forward",2083,5,3,0,2.0,77.4,0.1,3,6.84,PremierLeague,2018,1994,26,4,1.0,23.9,0.2,0.5,0.1,0.4,0.5,0.5,0.0,0.1,0.7,0.0,0
Romelu Lukaku,Manchester United,25,"Midfielder, Forward",2130,0,4,0,1.7,66.3,2.9,2,6.84,PremierLeague,2018,1993,22,10,0.7,16.7,0.2,0.4,0.1,0.3,0.1,0.6,0.0,0.6,0.3,0.0,0
Marko Arnautovic,West Ham,30,"Midfielder, Forward",2001,4,3,0,2.2,74.7,0.9,2,6.84,PremierLeague,2018,1988,24,4,1.3,22.9,0.2,0.4,0.1,0.3,0.1,1.1,0.0,0.2,0.2,0.1,0
David Brooks,Bournemouth,21,"Midfielder, Forward",2278,5,3,0,1.4,73.1,0.2,1,6.83,PremierLeague,2018,1997,29,1,1.0,28.5,0.3,0.7,0.2,1.2,0.8,0.5,0.0,0.8,0.8,0.2,0
Danny Ings,Southampton,26,"Midfielder, Forward",1668,3,1,0,2.3,71.4,0.8,0,6.83,PremierLeague,2018,1992,23,1,1.2,16.3,0.0,0.5,0.2,1.3,0.2,0.7,0.0,0.3,0.7,0.1,0
Solly March,Brighton,24,"Midfielder, Forward",2475,5,1,0,1.2,70.6,0.5,0,6.79,PremierLeague,2018,1994,30,5,1.2,21.6,1.3,0.9,0.0,1.6,0.8,0.8,0.0,0.7,0.7,0.1,0
Robert Snodgrass,West Ham,31,"Midfielder, Forward",2224,5,10,0,0.9,82.1,0.8,3,6.78,PremierLeague,2018,1987,25,8,1.8,29.4,1.8,0.8,0.1,1.3,0.3,1.1,0.1,0.5,1.0,0.1,0
Ashley Barnes,Burnley,29,"Midfielder, Forward",2388,2,8,0,1.8,59.1,3.6,2,6.75,PremierLeague,2018,1989,26,11,0.6,14.0,0.0,0.4,0.1,0.8,0.1,1.5,0.0,0.6,0.6,0.2,1
Johann Gudmundsson,Burnley,28,"Midfielder, Forward",1749,6,2,0,1.1,72.5,1.1,2,6.74,PremierLeague,2018,1990,19,10,1.3,16.9,1.3,0.6,0.0,0.9,1.1,0.3,0.0,1.1,0.6,0.1,0
Harvey Barnes,Leicester,21,"Midfielder, Forward",1010,2,0,0,2.5,77.2,0.4,0,6.7,PremierLeague,2018,1997,11,5,1.1,19.4,0.2,0.1,0.0,0.6,0.2,0.4,0.0,0.3,0.1,0.1,0
Juan Mata,Manchester United,30,"Midfielder, Forward",1295,2,3,0,0.9,86.0,0.1,0,6.7,PremierLeague,2018,1988,16,6,1.4,31.8,0.6,2.2,0.1,0.4,0.3,0.5,0.0,0.2,0.7,0.0,0
Anthony Knockaert,Brighton,27,"Midfielder, Forward",1833,6,4,1,0.9,76.9,0.5,0,6.64,PremierLeague,2018,1991,18,12,1.2,20.5,1.3,1.3,0.0,1.1,1.0,0.7,0.0,0.2,0.6,0.0,0
Gabriel Jesus,Manchester City,21,"Midfielder, Forward",1022,3,1,0,1.5,82.6,0.5,1,6.64,PremierLeague,2018,1997,8,21,0.7,12.3,0.0,0.1,0.0,0.3,0.1,0.4,0.0,0.1,0.2,0.1,0
Alex Iwobi,Arsenal,22,"Midfielder, Forward",1976,6,0,0,1.0,77.8,0.1,0,6.62,PremierLeague,2018,1996,22,13,1.1,27.2,0.3,0.8,0.0,0.8,0.3,0.2,0.0,0.3,0.5,0.0,0
Dominic Calvert-Lewin,Everton,21,"Midfielder, Forward",1776,2,3,0,1.5,61.7,3.2,0,6.61,PremierLeague,2018,1997,19,16,0.3,12.2,0.1,0.3,0.0,0.4,0.2,1.0,0.0,0.5,0.2,0.1,0
Bernard,Everton,26,"Midfielder, Forward",2129,3,5,0,0.7,75.3,0.1,0,6.6,PremierLeague,2018,1992,25,9,1.2,23.7,0.4,0.5,0.1,1.4,0.8,0.5,0.0,0.4,1.2,0.1,0
Jesse Lingard,Manchester United,26,"Midfielder, Forward",1670,2,3,0,1.2,85.7,0.2,1,6.59,PremierLeague,2018,1992,19,8,0.6,28.2,0.1,0.3,0.1,1.1,0.4,1.0,0.0,0.2,0.8,0.1,0
Adama Traoré,Wolverhampton Wanderers,22,"Midfielder, Forward",896,1,1,0,0.7,72.2,0.8,1,6.59,PremierLeague,2018,1996,8,21,0.6,9.3,0.5,0.2,0.0,0.6,0.2,0.5,0.0,0.2,0.2,0.0,0
André Schürrle,Fulham,28,"Midfielder, Forward",1650,0,2,0,2.3,77.8,0.6,1,6.59,PremierLeague,2018,1990,21,3,0.9,21.8,0.4,0.7,0.0,1.3,0.3,0.7,0.0,0.7,1.3,0.0,0
Álvaro Morata,Chelsea,26,"Midfielder, Forward",943,0,3,0,2.2,76.9,1.1,0,6.56,PremierLeague,2018,1992,11,5,0.4,14.3,0.0,0.3,0.0,0.5,0.0,1.2,0.0,0.4,0.4,0.1,0
Josh Murphy,Cardiff,23,"Midfielder, Forward",1826,2,2,0,1.6,60.4,0.4,1,6.54,PremierLeague,2018,1995,22,7,0.6,10.6,0.5,0.4,0.1,0.9,0.4,0.5,0.0,0.3,0.7,0.0,0
Alex Pritchard,Huddersfield,25,"Midfielder, Forward",2092,0,2,0,1.6,74.9,0.5,0,6.51,PremierLeague,2018,1993,26,4,1.1,29.9,0.6,1.0,0.0,1.2,0.6,0.4,0.0,0.2,0.8,0.1,0
Theo Walcott,Everton,29,"Midfielder, Forward",2124,2,1,0,1.2,72.6,0.4,0,6.51,PremierLeague,2018,1989,24,13,0.6,15.6,0.3,0.2,0.0,0.7,0.6,0.3,0.0,0.2,0.4,0.0,0
Demarai Gray,Leicester,22,"Midfielder, Forward",1996,1,2,0,1.4,77.6,0.3,0,6.51,PremierLeague,2018,1996,23,11,0.5,19.3,0.1,0.6,0.0,0.7,0.3,0.4,0.0,0.4,0.3,0.0,0
Stuart Armstrong,Southampton,26,"Midfielder, Forward",1433,2,2,0,1.1,78.6,0.6,0,6.5,PremierLeague,2018,1992,16,13,1.0,21.1,0.1,0.7,0.0,1.0,0.4,0.7,0.0,0.4,1.2,0.0,0
Shane Long,Southampton,31,"Midfielder, Forward",1271,1,3,0,1.2,64.6,2.8,1,6.5,PremierLeague,2018,1987,12,14,0.5,11.7,0.0,0.0,0.0,0.6,0.3,1.0,0.0,0.7,0.5,0.0,0
Jordan Ayew,Crystal Palace,27,"Midfielder, Forward",1187,2,3,0,1.4,77.7,1.6,1,6.5,PremierLeague,2018,1991,14,6,0.8,13.3,0.0,0.3,0.0,1.9,0.4,1.6,0.0,0.3,0.7,0.0,0
Max Meyer,Crystal Palace,23,"Midfielder, Forward",1415,2,3,0,1.3,83.9,0.1,0,6.49,PremierLeague,2018,1995,15,14,0.8,22.9,0.1,0.6,0.0,1.1,0.5,0.3,0.0,0.6,0.3,0.0,0
Luciano Vietto,Fulham,25,"Midfielder, Forward",987,4,1,0,1.2,78.8,0.3,0,6.48,PremierLeague,2018,1993,10,10,1.1,19.3,0.4,0.2,0.1,0.8,0.3,0.7,0.0,0.3,0.8,0.0,0
David Junior Hoilett,Cardiff,29,"Midfielder, Forward",2143,1,4,0,1.3,71.6,0.6,0,6.46,PremierLeague,2018,1989,23,9,0.8,13.8,0.6,0.5,0.0,1.3,1.0,1.1,0.0,0.8,1.2,0.0,0
Christian Atsu,Newcastle United,26,"Midfielder, Forward",1488,0,2,0,1.0,82.2,0.4,0,6.44,PremierLeague,2018,1992,15,13,0.6,13.7,0.3,0.4,0.0,0.9,0.3,0.5,0.0,0.5,0.4,0.1,0
Bobby De Cordova-Reid,Cardiff,26,"Midfielder, Forward",1423,2,0,0,1.0,71.4,0.4,1,6.41,PremierLeague,2018,1992,16,11,0.6,11.5,0.1,0.2,0.0,0.6,0.1,0.2,0.0,0.4,0.2,0.0,0
Hélder Costa,Wolverhampton Wanderers,24,"Midfielder, Forward",1346,2,3,0,1.0,81.4,0.4,0,6.36,PremierLeague,2018,1994,16,9,0.7,17.7,0.1,0.4,0.0,0.7,0.4,0.8,0.0,0.2,0.6,0.0,0
Alireza Jahanbakhsh,Brighton,25,"Midfielder, Forward",1022,0,2,0,1.1,69.3,0.6,0,6.33,PremierLeague,2018,1993,12,7,0.3,14.6,0.3,0.6,0.0,1.7,0.6,1.0,0.0,0.1,1.0,0.0,0
Isaac Success,Watford,22,"Midfielder, Forward",1039,1,4,0,1.0,71.3,1.0,0,6.32,PremierLeague,2018,1996,9,21,0.7,11.6,0.0,0.3,0.0,0.5,0.1,0.8,0.0,0.4,0.1,0.0,0
Jürgen Locadia,Brighton,25,"Midfielder, Forward",1230,0,1,0,1.1,72.8,0.9,0,6.27,PremierLeague,2018,1993,12,14,0.5,12.7,0.2,0.7,0.0,0.6,0.3,0.8,0.0,0.3,0.2,0.0,0
Kelechi Iheanacho,Leicester,22,"Midfielder, Forward",931,3,2,0,0.6,76.4,0.5,0,6.22,PremierLeague,2018,1996,9,21,0.4,9.2,0.0,0.2,0.1,0.2,0.1,0.5,0.0,0.1,0.1,0.0,0
Morgan Gibbs-White,Wolverhampton Wanderers,18,"Midfielder, Forward",651,1,1,0,0.3,83.9,0.5,0,6.2,PremierLeague,2018,2000,5,21,0.4,12.2,0.2,0.8,0.1,0.2,0.0,0.3,0.0,0.0,0.1,0.0,0
Elias Kachunga,Huddersfield,26,"Midfielder, Forward",1182,0,2,0,0.7,71.3,1.2,0,6.14,PremierLeague,2018,1992,13,7,0.3,14.8,0.3,0.2,0.0,1.1,0.2,1.2,0.0,0.5,0.8,0.1,0
Isaac Mbenza,Huddersfield,22,"Midfielder, Forward",984,1,1,0,0.7,75.4,0.1,0,6.14,PremierLeague,2018,1996,10,12,0.3,10.5,0.3,0.4,0.0,0.5,0.2,0.4,0.0,0.2,0.1,0.0,0
Shinji Okazaki,Leicester,32,"Midfielder, Forward",271,1,0,0,0.2,74.5,0.4,0,6.1,PremierLeague,2018,1986,1,20,0.0,4.5,0.0,0.1,0.0,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0
Dries Mertens,Napoli,29,"Midfielder, Forward",2566,9,6,0,4.2,76.3,0.1,10,7.76,SerieA,2016,1987,28,7,1.6,22.9,0.2,0.5,0.2,0.7,0.2,1.2,0.0,0.3,0.4,0.1,0
Alejandro Gómez,Atalanta,29,"Midfielder, Forward",3140,10,6,0,3.2,80.6,0.1,10,7.75,SerieA,2016,1987,37,0,2.5,33.0,2.6,1.7,0.0,0.7,0.7,1.0,0.0,0.2,0.8,0.0,0
Lorenzo Insigne,Napoli,25,"Midfielder, Forward",2935,9,2,0,4.0,86.1,0.0,8,7.67,SerieA,2016,1991,35,2,1.8,63.3,0.5,1.9,0.2,1.0,0.7,0.2,0.0,0.1,0.9,0.0,0
Felipe Anderson,Lazio,23,"Midfielder, Forward",2919,9,5,0,2.0,74.9,0.5,7,7.62,SerieA,2016,1993,33,3,2.1,43.8,1.2,2.6,0.2,2.8,1.5,1.3,0.0,0.4,1.4,0.0,0
Mohamed Salah,Roma,24,"Midfielder, Forward",2487,11,2,0,2.6,80.4,0.3,4,7.48,SerieA,2016,1992,29,2,2.3,31.2,0.5,0.6,0.2,0.8,0.4,0.9,0.0,0.2,0.5,0.0,0
