Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Start Application,Remplacement Application,Key passes per game,Passes per game,Crosses per game,Long balls per game,Through balls per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble
Simon Rolfes,Bayer Leverkusen,37,Midfielder,1836,3.0,3,1.0,0.0,0.8,80.3,0.9,2.0,6.88,Bundesliga,2011,22,9,0.7,34.4,0.0,1.6,0.2,0.9,0.8,0.1,1.0,0.5,0.0
Adil Chihi,FC Cologne,31,"Midfielder, Forward",756,2.0,0,2.0,0.0,1.0,78.8,0.1,0.0,6.88,Bundesliga,2011,10,0,0.5,23.6,0.2,1.4,0.2,2.2,2.8,0.0,2.4,1.1,0.0
Jens Hegeler,Nuernberg,31,"Midfielder, Forward",1843,1.0,1,1.0,0.0,1.2,65.8,2.4,1.0,6.87,Bundesliga,2011,19,12,0.7,21.9,0.2,1.0,0.0,1.8,1.0,0.2,1.2,1.2,0.0
Andreas Wolf,Werder Bremen,37,"Midfielder, Forward",1228,0.0,1,4.0,0.0,0.3,83.5,1.3,0.0,6.87,Bundesliga,2011,14,1,0.4,42.1,0.1,2.8,0.0,0.4,1.2,0.1,0.3,0.1,0.0
Anton Putilo,Freiburg,32,Midfielder,1304,0.0,1,1.0,0.0,1.1,85.1,0.2,0.0,6.87,Bundesliga,2011,15,4,0.9,35.8,0.3,1.7,0.1,2.7,1.0,0.2,1.7,1.2,0.0
Pierre De Wit,Kaiserslautern,31,"Midfielder, Forward",1836,3.0,1,1.0,0.0,1.6,78.0,0.6,1.0,6.86,Bundesliga,2011,24,1,1.1,34.2,0.4,3.2,0.2,1.1,1.1,0.1,0.7,0.8,0.0
Boris Vukcevic,Hoffenheim,29,"Midfielder, Forward",1341,2.0,1,1.0,0.0,1.6,72.5,1.1,1.0,6.86,Bundesliga,2011,14,4,0.8,26.2,0.7,0.6,0.0,0.8,2.0,0.1,1.9,1.1,0.0
Zdravko Kuzmanovic,VfB Stuttgart,31,Midfielder,1820,5.0,2,5.0,0.0,2.0,85.5,1.0,1.0,6.85,Bundesliga,2011,22,4,0.8,46.0,0.3,4.5,0.1,0.7,0.9,0.1,0.7,0.5,0.0
Patrick Ebert,Hertha Berlin,32,Midfielder,1832,0.0,3,6.0,0.0,0.9,71.9,0.9,1.0,6.85,Bundesliga,2011,21,5,1.3,34.2,1.8,1.8,0.2,1.3,1.7,0.1,1.0,0.9,0.0
Andre Mijatovic,Hertha Berlin,39,"Midfielder, Forward",1749,1.0,0,7.0,0.0,0.6,77.0,1.7,2.0,6.85,Bundesliga,2011,18,3,0.1,36.0,0.0,3.7,0.0,0.0,1.2,0.1,0.1,0.3,0.0
Christoph Metzelder,Schalke 04,38,"Midfielder, Forward",1021,1.0,0,3.0,0.0,0.3,86.3,1.0,1.0,6.85,Bundesliga,2011,11,5,0.1,27.4,0.0,2.2,0.0,0.2,0.7,0.0,0.1,0.2,0.0
Cristian Molinaro,VfB Stuttgart,35,"Midfielder, Forward",1746,0.0,5,3.0,2.0,0.3,76.6,0.6,0.0,6.85,Bundesliga,2011,19,4,1.0,37.5,0.9,2.4,0.1,1.0,1.3,0.4,0.7,0.4,0.0
Nicolai Müller,Mainz 05,31,"Midfielder, Forward",1434,4.0,3,2.0,0.0,0.9,68.7,0.4,2.0,6.85,Bundesliga,2011,17,6,0.6,16.3,0.3,0.3,0.1,1.4,1.3,0.3,2.3,1.3,0.0
Makoto Hasebe,Wolfsburg,35,"Midfielder, Forward",1754,1.0,2,3.0,1.0,0.2,68.8,0.7,0.0,6.84,Bundesliga,2011,20,3,0.7,30.7,0.9,2.9,0.1,0.7,1.3,0.0,0.8,0.6,0.0
Alexander Esswein,Nuernberg,29,"Midfielder, Forward",1833,4.0,3,3.0,0.0,1.6,70.8,0.6,2.0,6.84,Bundesliga,2011,20,6,1.0,18.0,0.5,0.8,0.1,1.6,1.3,0.5,0.6,1.4,0.0
Tobias Weis,Hoffenheim,33,Midfielder,955,0.0,1,5.0,0.0,0.7,82.3,0.2,0.0,6.83,Bundesliga,2011,11,2,0.8,29.1,0.1,1.8,0.0,1.5,1.9,0.2,1.9,1.5,0.0
Fallou Diagne,Freiburg,29,"Midfielder, Forward",1165,1.0,0,2.0,1.0,0.1,76.4,1.1,1.0,6.82,Bundesliga,2011,15,0,0.0,27.7,0.1,2.5,0.0,0.4,0.6,0.1,0.5,0.5,0.0
Julian Baumgartlinger,Mainz 05,31,"Midfielder, Forward",1490,0.0,2,2.0,0.0,0.4,82.4,0.8,0.0,6.81,Bundesliga,2011,14,12,0.8,28.9,0.2,1.9,0.0,0.7,1.4,0.0,1.2,0.5,0.0
Manuel Schmiedebach,Hannover 96,30,Midfielder,2382,0.0,1,6.0,0.0,0.6,76.7,0.5,0.0,6.81,Bundesliga,2011,28,2,0.7,34.6,0.1,2.0,0.2,1.4,2.2,0.2,2.3,1.5,0.0
Christian Tiffert,Kaiserslautern,37,"Midfielder, Forward",2674,2.0,1,5.0,0.0,1.2,79.6,0.5,1.0,6.8,Bundesliga,2011,31,0,2.1,36.8,2.1,2.7,0.0,0.9,1.8,0.5,1.3,0.6,0.0
Michael Mancienne,Hamburger SV,31,"Midfielder, Forward",1293,0.0,0,4.0,0.0,0.3,80.2,2.5,0.0,6.79,Bundesliga,2011,14,2,0.0,42.4,0.0,4.7,0.0,0.4,0.5,0.0,0.2,0.1,0.0
Arthur Boka,VfB Stuttgart,36,"Midfielder, Forward",857,0.0,0,2.0,0.0,0.7,72.9,0.4,0.0,6.79,Bundesliga,2011,10,3,0.5,30.7,0.4,1.9,0.1,1.2,1.2,0.1,1.1,1.1,0.0
Andreas Ivanschitz,Mainz 05,35,"Midfielder, Forward",1395,6.0,3,2.0,0.0,2.5,69.9,0.3,0.0,6.78,Bundesliga,2011,16,10,0.8,13.9,0.7,0.6,0.1,0.7,1.0,0.2,1.3,0.5,0.0
Andreas Ottl,Hertha Berlin,34,Midfielder,2226,0.0,0,2.0,1.0,0.9,81.9,0.2,0.0,6.78,Bundesliga,2011,26,0,0.5,44.7,0.2,5.2,0.2,0.7,1.3,0.0,1.0,0.7,0.0
Ivo Ilicevic,Hamburger SV,32,Midfielder,1069,2.0,0,3.0,0.0,1.5,80.3,0.2,1.0,6.77,Bundesliga,2011,11,7,0.7,19.4,0.4,0.8,0.1,1.6,1.4,0.3,1.1,0.8,0.0
Timmy Simons,Nuernberg,42,"Midfielder, Forward",3042,4.0,3,4.0,0.0,0.5,78.1,1.0,0.0,6.76,Bundesliga,2011,34,0,0.5,35.6,0.1,2.9,0.0,0.1,0.7,0.0,0.4,0.7,0.0
Christian Gentner,VfB Stuttgart,33,Midfielder,1474,5.0,3,4.0,0.0,1.4,78.1,0.3,1.0,6.76,Bundesliga,2011,16,12,0.9,25.8,0.4,2.2,0.1,0.4,1.2,0.2,0.9,0.8,0.0
Jan Rosenthal,Freiburg,33,"Midfielder, Forward",1119,2.0,0,2.0,0.0,1.3,70.3,1.3,1.0,6.76,Bundesliga,2011,15,3,0.3,21.3,0.2,1.1,0.1,1.8,1.1,0.2,2.1,1.6,0.0
Änis Ben-Hatira,Hertha Berlin,30,Midfielder,907,3.0,2,2.0,0.0,0.7,73.1,0.1,1.0,6.76,Bundesliga,2011,10,6,0.7,17.7,0.1,0.4,0.0,1.6,0.8,0.3,2.3,1.7,0.0
Christian Clemens,FC Cologne,27,Midfielder,2102,5.0,2,1.0,0.0,0.9,81.7,0.2,0.0,6.76,Bundesliga,2011,23,8,1.2,20.8,0.6,0.7,0.1,1.1,1.4,0.1,1.4,0.9,0.0
Dorge Kouemaha,Kaiserslautern,36,"Midfielder, Forward",1159,2.0,1,3.0,0.0,3.0,71.0,1.5,1.0,6.75,Bundesliga,2011,13,4,0.9,21.1,0.1,1.4,0.0,1.7,0.9,0.9,1.6,1.8,0.0
Marco Russ,Wolfsburg,33,"Midfielder, Forward",1977,1.0,0,7.0,0.0,0.4,70.4,1.3,0.0,6.75,Bundesliga,2011,21,3,0.1,25.2,0.0,2.9,0.0,0.2,0.8,0.0,0.4,0.3,0.0
Hajime Hosogai,Augsburg,33,"Midfielder, Forward",2729,3.0,1,5.0,0.0,0.5,81.9,0.5,0.0,6.75,Bundesliga,2011,31,1,0.7,37.0,0.1,2.3,0.1,0.8,1.4,0.1,1.1,0.5,0.0
Sami Allagui,Mainz 05,33,"Midfielder, Forward",1172,4.0,1,4.0,0.0,1.6,67.2,0.6,0.0,6.73,Bundesliga,2011,13,6,0.8,12.8,0.1,0.2,0.1,1.1,1.2,1.5,1.8,1.5,0.0
Marko Arnautovic,Werder Bremen,30,"Midfielder, Forward",978,6.0,0,0.0,1.0,2.2,76.0,0.1,0.0,6.72,Bundesliga,2011,10,9,0.9,17.7,0.2,0.4,0.1,1.2,0.7,0.6,0.8,1.2,0.0
Robert Mak,Nuernberg,28,"Midfielder, Forward",874,2.0,1,1.0,0.0,1.2,75.5,0.2,1.0,6.71,Bundesliga,2011,10,7,0.2,11.3,0.2,0.5,0.1,2.4,1.5,0.1,0.8,1.0,0.0
Mehmet Ekici,Werder Bremen,29,Midfielder,962,1.0,2,3.0,0.0,1.4,78.4,0.0,0.0,6.7,Bundesliga,2011,11,10,1.0,18.5,0.8,1.4,0.0,1.3,1.8,0.1,2.0,0.9,0.0
Jan Polák,Wolfsburg,38,Midfielder,1104,0.0,0,3.0,0.0,0.6,75.3,0.8,0.0,6.68,Bundesliga,2011,13,3,0.4,27.9,0.2,2.9,0.0,0.5,1.3,0.0,0.6,0.8,0.0
Konstantinos Fortounis,Kaiserslautern,26,Midfielder,1792,0.0,4,4.0,0.0,1.1,76.3,0.2,1.0,6.68,Bundesliga,2011,18,10,1.0,24.2,0.4,1.9,0.1,1.8,2.4,0.1,1.4,1.1,0.0
Gojko Kacar,Hamburger SV,32,"Midfielder, Forward",1186,1.0,1,5.0,0.0,0.6,78.1,1.1,0.0,6.68,Bundesliga,2011,14,7,0.5,28.2,0.1,2.6,0.1,0.4,1.4,0.0,1.0,0.8,0.0
Olcay Sahan,Kaiserslautern,32,Midfielder,1984,1.0,2,5.0,0.0,1.1,72.2,0.7,2.0,6.67,Bundesliga,2011,23,4,0.9,29.5,0.3,1.4,0.1,1.1,1.3,0.2,1.4,1.7,0.0
Mato Jajalo,FC Cologne,31,Midfielder,2257,3.0,3,4.0,1.0,0.9,77.3,0.6,1.0,6.67,Bundesliga,2011,25,6,0.8,30.7,0.2,1.4,0.1,1.5,0.8,0.2,1.6,1.4,0.0
