Name,Team,Age,Position,Minutes,Total Goals,Total Assists,Yellow cards,Red cards,Shots per game,Pass success percentage,Aerials won per game,Man of the match,Rating,League,Saison,Born,Start Application,Remplacement Application,Total goals,Key passes per game,Dribbles per game,Fouled per game,Offsides per game,Dispossessed per game,Bad control per game,Dribble
Bobby Allain,Dijon,27,Goalkeeper,1170,0,0,1,0,0.0,57.7,1.0,1,7.13,Ligue1,2018,1991,13,0,0,0.0,0.0,0.5,0,0.0,0.0,0.0
Walter Benítez,Nice,26,Goalkeeper,3150,0,0,1,0,0.0,75.2,0.4,7,7.05,Ligue1,2018,1992,35,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Gianluigi Buffon,Paris Saint-Germain,40,Goalkeeper,1530,0,0,0,0,0.0,90.0,0.1,1,6.88,Ligue1,2018,1978,17,0,0,0.0,0.1,0.1,0,0.0,0.0,0.0
Benjamin Lecomte,Montpellier,28,Goalkeeper,3330,0,0,1,0,0.0,63.9,0.6,3,6.86,Ligue1,2018,1990,37,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Stéphane Ruffier,Saint-Etienne,32,Goalkeeper,3330,0,0,1,0,0.0,57.6,0.5,1,6.86,Ligue1,2018,1986,37,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Edouard Mendy,Reims,26,Goalkeeper,3420,0,0,3,0,0.0,58.0,0.6,5,6.85,Ligue1,2018,1992,38,0,0,0.0,0.0,0.4,0,0.0,0.0,0.0
Brice Samba,Caen,25,Goalkeeper,3420,0,0,1,0,0.0,58.4,0.3,3,6.81,Ligue1,2018,1993,38,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Alphonse Areola,Paris Saint-Germain,25,Goalkeeper,1890,0,0,1,0,0.0,83.2,0.1,0,6.8,Ligue1,2018,1993,21,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Ludovic Butelle,Angers,36,Goalkeeper,3240,0,0,1,1,0.0,56.8,0.2,4,6.8,Ligue1,2018,1982,36,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Mike Maignan,Lille,23,Goalkeeper,3420,0,0,1,0,0.0,57.1,0.3,2,6.79,Ligue1,2018,1995,38,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Paul Bernardoni,Nimes,22,Goalkeeper,3420,0,0,0,0,0.0,49.4,0.4,0,6.75,Ligue1,2018,1996,38,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Benoit Costil,Bordeaux,31,Goalkeeper,3330,0,0,0,0,0.0,66.8,0.2,3,6.74,Ligue1,2018,1987,37,0,0,0.1,0.0,0.1,0,0.0,0.0,0.0
Matz Sels,Strasbourg,27,Goalkeeper,3330,0,0,2,0,0.0,57.3,0.4,0,6.71,Ligue1,2018,1991,37,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Ciprian Tatarusanu,Nantes,33,Goalkeeper,2391,0,0,1,0,0.0,68.5,0.3,0,6.71,Ligue1,2018,1985,27,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Anthony Lopes,Lyon,28,Goalkeeper,3060,0,0,0,0,0.0,77.6,0.3,1,6.68,Ligue1,2018,1990,34,0,0,0.0,0.0,0.2,0,0.0,0.1,0.0
Régis Gurtner,Amiens,32,Goalkeeper,3420,0,0,4,0,0.0,52.2,0.2,4,6.62,Ligue1,2018,1986,38,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Diego Benaglio,Monaco,35,Goalkeeper,2057,0,0,2,0,0.0,70.5,0.3,0,6.61,Ligue1,2018,1983,22,1,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Baptiste Reynet,Toulouse,28,Goalkeeper,2705,0,0,0,1,0.0,61.6,0.4,3,6.61,Ligue1,2018,1990,31,0,0,0.1,0.1,0.3,0,0.0,0.0,0.0
Marc-Aurèle Caillard,Guingamp,25,Goalkeeper,1890,0,0,0,0,0.0,50.5,0.3,2,6.57,Ligue1,2018,1993,21,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Tomas Koubek,Rennes,26,Goalkeeper,2925,0,0,1,0,0.0,63.5,0.2,2,6.53,Ligue1,2018,1992,32,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Danijel Subasic,Monaco,34,Goalkeeper,1144,0,0,1,0,0.0,61.5,0.4,0,6.5,Ligue1,2018,1984,14,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Steve Mandanda,Marseille,34,Goalkeeper,2737,0,0,1,1,0.0,66.3,0.3,1,6.48,Ligue1,2018,1984,31,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Karl-Johan Johnsson,Guingamp,29,Goalkeeper,1530,0,0,0,0,0.0,51.7,0.5,0,6.25,Ligue1,2018,1989,17,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Rúnar Alex Rúnarsson,Dijon,23,Goalkeeper,2250,0,0,0,0,0.0,67.1,0.4,0,6.23,Ligue1,2018,1995,25,0,0,0.0,0.1,0.2,0,0.0,0.1,0.0
Maxime Dupé,Nantes,26,Goalkeeper,939,0,0,1,0,0.0,53.4,0.2,0,6.19,Ligue1,2018,1992,10,1,0,0.0,0.0,0.0,0,0.0,0.1,0.0
Marc-André ter Stegen,Borussia M.Gladbach,21,Goalkeeper,3060,0,0,1,0,0.0,72.9,1.4,1,7.21,Bundesliga,2013,1992,34,0,0,0.1,0.1,0.4,0,0.0,0.0,0.0
Ralf Fährmann,Schalke 04,25,Goalkeeper,1980,0,0,0,0,0.0,55.1,0.8,2,7.13,Bundesliga,2013,1988,22,0,0,0.0,0.0,0.4,0,0.0,0.0,0.0
Jens Grahl,Hoffenheim,25,Goalkeeper,990,0,0,1,0,0.0,56.2,0.7,0,7.08,Bundesliga,2013,1988,11,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Manuel Neuer,Bayern Munich,27,Goalkeeper,2746,0,0,0,0,0.0,88.3,0.5,0,7.05,Bundesliga,2013,1986,31,0,0,0.0,0.1,0.2,0,0.0,0.1,0.0
Bernd Leno,Bayer Leverkusen,21,Goalkeeper,3060,0,0,1,0,0.0,69.5,0.8,1,7.02,Bundesliga,2013,1992,34,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Raphael Schäfer,Nuernberg,35,Goalkeeper,2926,0,0,3,0,0.0,70.5,0.8,3,7.01,Bundesliga,2013,1978,33,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Loris Karius,Mainz 05,20,Goalkeeper,2070,0,0,0,0,0.0,51.1,0.6,0,6.93,Bundesliga,2013,1993,23,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Marwin Hitz,Augsburg,26,Goalkeeper,1710,0,0,0,0,0.0,63.6,0.3,0,6.82,Bundesliga,2013,1987,19,0,0,0.2,0.0,0.2,0,0.0,0.0,0.0
Kevin Trapp,Eintracht Frankfurt,23,Goalkeeper,3047,0,0,2,0,0.0,65.5,0.5,1,6.8,Bundesliga,2013,1990,34,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Ron-Robert Zieler,Hannover 96,24,Goalkeeper,3060,0,0,2,0,0.0,63.7,0.6,1,6.71,Bundesliga,2013,1989,34,0,0,0.0,0.1,0.2,0,0.0,0.0,0.0
Diego Benaglio,Wolfsburg,30,Goalkeeper,2566,0,0,0,0,0.0,66.0,0.5,0,6.7,Bundesliga,2013,1983,29,0,0,0.0,0.1,0.3,0,0.0,0.0,0.0
Sven Ulreich,VfB Stuttgart,25,Goalkeeper,2790,0,0,3,0,0.0,61.1,0.7,2,6.69,Bundesliga,2013,1988,31,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Sebastian Mielitz,Werder Bremen,24,Goalkeeper,1170,0,0,0,0,0.0,59.2,0.1,0,6.69,Bundesliga,2013,1989,13,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Oliver Baumann,Freiburg,23,Goalkeeper,2970,0,0,0,0,0.0,55.6,0.6,1,6.65,Bundesliga,2013,1990,33,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Daniel Davari,Eintracht Braunschweig,26,Goalkeeper,2610,0,1,0,0,0.0,51.2,0.7,1,6.64,Bundesliga,2013,1987,29,0,0,0.2,0.0,0.1,0,0.0,0.0,0.0
Raphael Wolf,Werder Bremen,26,Goalkeeper,1890,0,0,0,0,0.0,47.8,0.7,0,6.64,Bundesliga,2013,1987,21,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Thomas Kraft,Hertha Berlin,25,Goalkeeper,2880,0,0,0,0,0.0,58.7,0.6,1,6.61,Bundesliga,2013,1988,32,0,0,0.0,0.0,0.2,0,0.0,0.1,0.0
Roman Weidenfeller,Borussia Dortmund,33,Goalkeeper,2700,0,0,1,0,0.0,68.1,0.6,0,6.6,Bundesliga,2013,1980,30,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Heinz Müller,Mainz 05,36,Goalkeeper,856,0,0,1,0,0.1,74.1,0.4,0,6.58,Bundesliga,2013,1977,10,0,0,0.2,0.1,0.1,0,0.0,0.0,0.0
Timo Hildebrand,Schalke 04,35,Goalkeeper,1080,0,0,0,0,0.0,55.0,0.2,0,6.51,Bundesliga,2013,1978,12,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Koen Casteels,Hoffenheim,21,Goalkeeper,2053,0,0,0,0,0.0,66.5,0.7,0,6.48,Bundesliga,2013,1992,23,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
René Adler,Hamburger SV,28,Goalkeeper,2700,0,0,0,0,0.0,61.3,0.6,0,6.46,Bundesliga,2013,1985,30,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Alexander Manninger,Augsburg,37,Goalkeeper,1170,0,0,0,0,0.0,65.0,0.3,0,6.22,Bundesliga,2013,1976,13,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Michael Esser,Hannover 96,31,Goalkeeper,2880,0,0,3,0,0.0,67.9,0.4,2,6.98,Bundesliga,2018,1987,32,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Péter Gulácsi,RasenBallsport Leipzig,28,Goalkeeper,2926,0,0,0,0,0.0,58.9,0.2,1,6.93,Bundesliga,2018,1990,33,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Yann Sommer,Borussia M.Gladbach,30,Goalkeeper,3060,0,0,1,0,0.0,77.4,0.4,2,6.88,Bundesliga,2018,1988,34,0,0,0.0,0.1,0.1,0,0.0,0.1,0.0
Robin Zentner,Mainz 05,24,Goalkeeper,900,0,0,1,0,0.0,54.4,0.3,1,6.87,Bundesliga,2018,1994,10,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Kevin Trapp,Eintracht Frankfurt,28,Goalkeeper,2938,0,0,2,0,0.0,63.6,0.5,1,6.84,Bundesliga,2018,1990,33,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Koen Casteels,Wolfsburg,26,Goalkeeper,2296,0,0,0,0,0.0,76.9,0.4,0,6.83,Bundesliga,2018,1992,26,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Andreas Luthe,Augsburg,31,Goalkeeper,1310,0,0,0,0,0.0,64.7,0.0,1,6.77,Bundesliga,2018,1987,14,1,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Oliver Baumann,Hoffenheim,28,Goalkeeper,2970,0,1,0,0,0.0,76.4,0.3,0,6.73,Bundesliga,2018,1990,33,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Rune Jarstein,Hertha Berlin,34,Goalkeeper,2746,0,0,2,0,0.0,57.2,0.5,2,6.72,Bundesliga,2018,1984,31,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Michael Rensing,Fortuna Duesseldorf,34,Goalkeeper,2880,0,0,1,0,0.0,59.0,0.5,1,6.71,Bundesliga,2018,1984,32,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Christian Mathenia,Nuernberg,26,Goalkeeper,1934,0,0,2,0,0.0,59.9,0.8,1,6.71,Bundesliga,2018,1992,22,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Ralf Fährmann,Schalke 04,30,Goalkeeper,1469,0,0,0,0,0.0,69.3,0.4,0,6.71,Bundesliga,2018,1988,16,1,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Jirí Pavlenka,Werder Bremen,27,Goalkeeper,2979,0,0,2,0,0.0,70.1,0.2,0,6.7,Bundesliga,2018,1991,34,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Alexander Schwolow,Freiburg,26,Goalkeeper,2970,0,1,1,0,0.0,62.8,0.2,0,6.66,Bundesliga,2018,1992,33,0,0,0.1,0.0,0.1,0,0.0,0.1,0.0
Roman Bürki,Borussia Dortmund,28,Goalkeeper,2880,0,0,1,0,0.0,65.8,0.3,2,6.62,Bundesliga,2018,1990,32,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Lukás Hrádecky,Bayer Leverkusen,29,Goalkeeper,2880,0,0,1,0,0.0,76.6,0.3,1,6.61,Bundesliga,2018,1989,32,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Alexander Nübel,Schalke 04,22,Goalkeeper,1589,0,0,1,1,0.0,63.7,0.6,1,6.55,Bundesliga,2018,1996,18,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Ron-Robert Zieler,VfB Stuttgart,29,Goalkeeper,3060,0,0,3,0,0.0,56.0,0.3,1,6.52,Bundesliga,2018,1989,34,0,0,0.0,0.1,0.0,0,0.0,0.1,0.0
Florian Müller,Mainz 05,21,Goalkeeper,2160,0,0,0,0,0.0,60.8,0.1,1,6.48,Bundesliga,2018,1997,24,0,0,0.1,0.0,0.0,0,0.0,0.0,0.0
Manuel Neuer,Bayern Munich,32,Goalkeeper,2303,0,0,1,0,0.0,81.6,0.2,0,6.34,Bundesliga,2018,1986,26,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Gregor Kobel,Augsburg,21,Goalkeeper,1390,0,0,0,0,0.0,66.4,0.1,1,6.3,Bundesliga,2018,1997,16,0,0,0.0,0.1,0.1,0,0.0,0.0,0.0
Fabian Bredlow,Nuernberg,23,Goalkeeper,1127,0,0,1,0,0.0,69.2,0.1,0,6.14,Bundesliga,2018,1995,13,1,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Keylor Navas,PSG,34,Goalkeeper,2522,0,0,0,0,0.0,85.6,0.1,2,6.9,Ligue1,2020,1986,29,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Mike Maignan,Lille,25,Goalkeeper,3420,0,0,1,0,0.0,67.3,0.3,1,6.82,Ligue1,2020,1995,38,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Anthony Lopes,Lyon,30,Goalkeeper,3420,0,0,2,0,0.0,79.5,0.2,1,6.69,Ligue1,2020,1990,38,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Walter Benítez,Nice,28,Goalkeeper,3420,0,0,3,0,0.0,78.6,0.3,1,6.69,Ligue1,2020,1992,38,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Alexandre Oukidja,Metz,32,Goalkeeper,3060,0,0,3,1,0.0,59.4,0.5,2,6.68,Ligue1,2020,1988,34,0,0,0.0,0.0,0.3,0,0.0,0.0,0.1
Predrag Rajkovic,Reims,25,Goalkeeper,3286,0,0,2,0,0.0,62.7,0.4,2,6.67,Ligue1,2020,1995,37,0,0,0.0,0.0,0.3,0,0.0,0.1,0.1
Jonas Omlin,Montpellier,27,Goalkeeper,2675,0,0,0,1,0.0,66.0,0.3,2,6.66,Ligue1,2020,1993,31,0,0,0.0,0.0,0.1,0,0.0,0.0,0.1
Baptiste Reynet,Nimes,30,Goalkeeper,3420,0,0,3,0,0.1,64.6,0.3,1,6.64,Ligue1,2020,1990,38,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Alban Lafont,Nantes,21,Goalkeeper,3420,0,0,2,0,0.0,53.6,0.4,0,6.61,Ligue1,2020,1999,38,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Benoît Costil,Bordeaux,33,Goalkeeper,3420,0,0,0,0,0.0,67.3,0.2,0,6.59,Ligue1,2020,1987,38,0,0,0.0,0.0,0.1,0,0.0,0.0,0.1
Alfred Gomis,Rennes,27,Goalkeeper,1980,0,0,1,0,0.0,75.0,0.4,0,6.58,Ligue1,2020,1993,22,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Gautier Larsonneur,Brest,24,Goalkeeper,3150,0,0,2,0,0.0,77.1,0.2,0,6.55,Ligue1,2020,1996,35,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Benjamin Lecomte,Monaco,29,Goalkeeper,2520,0,0,1,0,0.0,72.8,0.4,0,6.52,Ligue1,2020,1991,28,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Anthony Racioppi,Dijon,22,Goalkeeper,1890,0,0,0,0,0.0,60.1,0.3,1,6.51,Ligue1,2020,1998,21,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Eiji Kawashima,Strasbourg,37,Goalkeeper,2160,0,0,1,0,0.0,64.3,0.3,0,6.5,Ligue1,2020,1983,24,0,0,0.0,0.0,0.0,0,0.0,0.1,0.0
Jean-Louis Leca,Lens,35,Goalkeeper,3315,0,0,2,0,0.0,63.0,0.2,1,6.49,Ligue1,2020,1985,37,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Paul Bernardoni,Angers,23,Goalkeeper,3420,0,0,1,0,0.0,56.3,0.3,0,6.44,Ligue1,2020,1997,38,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Jessy Moulin,Saint-Etienne,35,Goalkeeper,2610,0,0,1,0,0.0,67.0,0.4,1,6.43,Ligue1,2020,1985,29,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Steve Mandanda,Marseille,35,Goalkeeper,3330,0,0,1,0,0.0,66.0,0.2,0,6.41,Ligue1,2020,1985,37,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Paul Nardi,Lorient,26,Goalkeeper,2070,0,0,1,0,0.0,53.2,0.1,0,6.33,Ligue1,2020,1994,23,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
Alex Meret,SPAL 2013,20,Goalkeeper,1160,0,0,0,0,0.0,56.4,0.2,3,7.02,SerieA,2017,1997,13,0,0,0.0,0.0,0.0,0,0.0,0.1,0.0
Alisson,Roma,25,Goalkeeper,3330,0,0,1,0,0.0,78.9,0.2,1,6.99,SerieA,2017,1992,37,0,0,0.0,0.2,0.1,0,0.0,0.1,0.0
Salvatore Sirigu,Torino,30,Goalkeeper,3330,0,0,2,0,0.0,65.8,0.4,3,6.95,SerieA,2017,1987,37,0,0,0.0,0.1,0.1,0,0.0,0.0,0.0
Nícolas,Verona,30,Goalkeeper,3240,0,0,2,1,0.0,53.3,0.3,2,6.93,SerieA,2017,1987,36,0,0,0.0,0.0,0.3,0,0.0,0.1,0.0
Samir Handanovic,Inter,33,Goalkeeper,3420,0,0,0,0,0.0,80.3,0.3,4,6.81,SerieA,2017,1984,38,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Mattia Perin,Genoa,25,Goalkeeper,3330,0,0,1,0,0.0,58.1,0.2,0,6.81,SerieA,2017,1992,37,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Gianluigi Buffon,Juventus,39,Goalkeeper,1863,0,0,1,0,0.0,77.6,0.2,0,6.79,SerieA,2017,1978,21,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Wojciech Szczesny,Juventus,28,Goalkeeper,1530,0,0,0,0,0.0,75.3,0.1,0,6.78,SerieA,2017,1989,17,0,0,0.1,0.1,0.1,0,0.0,0.1,0.0
Emiliano Viviano,Sampdoria,32,Goalkeeper,2430,0,0,2,0,0.0,64.9,0.1,2,6.77,SerieA,2017,1985,27,0,0,0.0,0.0,0.0,0,0.0,0.1,0.0
Thomas Strakosha,Lazio,22,Goalkeeper,3420,0,0,2,0,0.0,71.4,0.2,1,6.75,SerieA,2017,1995,38,0,0,0.1,0.0,0.1,0,0.0,0.0,0.0
Marco Sportiello,Fiorentina,25,Goalkeeper,3203,0,0,0,1,0.0,70.3,0.3,2,6.75,SerieA,2017,1992,37,0,0,0.0,0.0,0.1,0,0.0,0.1,0.0
Stefano Sorrentino,Chievo,38,Goalkeeper,3420,0,0,2,0,0.0,59.3,0.2,2,6.74,SerieA,2017,1979,38,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Alfred Gomis,SPAL 2013,24,Goalkeeper,2260,0,0,0,0,0.0,51.8,0.2,1,6.69,SerieA,2017,1993,25,1,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Alessio Cragno,Cagliari,23,Goalkeeper,2538,0,0,0,0,0.0,58.0,0.2,1,6.65,SerieA,2017,1994,29,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
José Reina,Napoli,35,Goalkeeper,3330,0,0,1,0,0.0,80.6,0.2,0,6.63,SerieA,2017,1982,37,0,0,0.1,0.0,0.1,0,0.0,0.0,0.0
Andrea Consigli,Sassuolo,30,Goalkeeper,3317,0,0,2,0,0.0,62.6,0.4,2,6.62,SerieA,2017,1987,37,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Antonio Mirante,Bologna,34,Goalkeeper,2970,0,0,5,0,0.0,66.8,0.4,1,6.61,SerieA,2017,1983,33,0,0,0.0,0.1,0.0,0,0.0,0.0,0.0
Albano Bizzarri,Udinese,40,Goalkeeper,2880,0,0,0,1,0.0,60.9,0.3,0,6.59,SerieA,2017,1977,32,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Alex Cordaz,Crotone,34,Goalkeeper,3420,0,0,2,0,0.0,42.2,0.2,0,6.56,SerieA,2017,1983,38,0,0,0.1,0.0,0.1,0,0.0,0.0,0.0
Gianluigi Donnarumma,AC Milan,18,Goalkeeper,3420,0,0,2,0,0.0,77.1,0.1,1,6.54,SerieA,2017,1999,38,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Vid Belec,Benevento,27,Goalkeeper,1114,0,0,1,1,0.0,57.3,0.3,0,6.51,SerieA,2017,1990,13,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Alberto Brignoli,Benevento,26,Goalkeeper,1124,1,0,2,0,0.1,56.4,0.8,0,6.51,SerieA,2017,1991,11,2,1,0.0,0.0,0.1,0,0.1,0.1,0.0
Etrit Berisha,Atalanta,28,Goalkeeper,2790,0,0,0,0,0.0,62.0,0.1,0,6.49,SerieA,2017,1989,31,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Christian Puggioni,Benevento,36,Goalkeeper,1177,0,0,0,1,0.0,69.8,0.4,2,6.45,SerieA,2017,1981,14,0,0,0.0,0.0,0.1,0,0.0,0.0,0.0
Oliver Baumann,Freiburg,20,Goalkeeper,2700,0,1,0,0,0.0,59.7,0.0,3,7.03,Bundesliga,2010,1990,30,0,0,0.1,0.0,0.3,0,0.0,0.0,0.0
Ralf Fährmann,Eintracht Frankfurt,22,Goalkeeper,1306,0,0,1,0,0.0,44.1,0.0,3,6.98,Bundesliga,2010,1988,14,1,0,0.1,0.0,0.5,0,0.0,0.0,0.0
Ron-Robert Zieler,Hannover 96,21,Goalkeeper,1312,0,0,1,0,0.0,40.3,0.0,1,6.91,Bundesliga,2010,1989,15,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Manuel Neuer,Schalke 04,24,Goalkeeper,3060,0,0,1,0,0.0,65.5,0.0,2,6.9,Bundesliga,2010,1986,34,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Christian Wetklo,Mainz 05,31,Goalkeeper,2095,0,1,4,0,0.0,53.8,0.0,2,6.85,Bundesliga,2010,1979,24,0,0,0.1,0.0,0.2,0,0.0,0.0,0.0
Michael Rensing,FC Cologne,26,Goalkeeper,1530,0,0,2,0,0.0,45.3,0.0,0,6.8,Bundesliga,2010,1984,17,0,0,0.1,0.0,0.3,0,0.0,0.0,0.0
Sven Ulreich,VfB Stuttgart,22,Goalkeeper,3060,0,0,2,0,0.0,55.1,0.0,1,6.75,Bundesliga,2010,1988,34,0,0,0.0,0.0,0.4,0,0.0,0.0,0.0
Oka Nikolov,Eintracht Frankfurt,37,Goalkeeper,1756,0,0,0,0,0.0,53.2,0.1,0,6.72,Bundesliga,2010,1973,20,0,0,0.1,0.0,0.2,0,0.0,0.1,0.0
Tom Starke,Hoffenheim,29,Goalkeeper,2250,0,0,1,0,0.0,60.3,0.0,1,6.71,Bundesliga,2010,1981,25,0,0,0.1,0.1,0.2,0,0.0,0.0,0.0
Roman Weidenfeller,Borussia Dortmund,30,Goalkeeper,2970,0,0,4,0,0.0,59.3,0.0,0,6.7,Bundesliga,2010,1980,33,0,0,0.0,0.0,0.5,0,0.0,0.1,0.0
Frank Rost,Hamburger SV,38,Goalkeeper,2652,0,1,1,0,0.0,66.1,0.0,0,6.69,Bundesliga,2010,1972,30,0,0,0.1,0.1,0.3,0,0.0,0.0,0.0
Diego Benaglio,Wolfsburg,27,Goalkeeper,2498,0,0,1,0,0.0,59.2,0.0,2,6.68,Bundesliga,2010,1983,28,0,0,0.0,0.1,0.2,0,0.0,0.1,0.0
Jörg Butt,Bayern Munich,37,Goalkeeper,2026,0,0,0,0,0.0,70.6,0.0,0,6.63,Bundesliga,2010,1973,22,1,0,0.0,0.0,0.2,0,0.0,0.0,0.0
Raphael Schäfer,Nuernberg,32,Goalkeeper,3029,0,0,4,0,0.0,64.1,0.0,0,6.58,Bundesliga,2010,1978,34,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Thomas Kraft,Bayern Munich,22,Goalkeeper,1036,0,0,0,0,0.0,73.0,0.0,0,6.56,Bundesliga,2010,1988,12,0,0,0.0,0.1,0.2,0,0.0,0.1,0.0
René Adler,Bayer Leverkusen,25,Goalkeeper,2880,0,0,2,0,0.0,54.1,0.1,0,6.55,Bundesliga,2010,1985,32,0,0,0.0,0.1,0.2,0,0.0,0.1,0.0
Heinz Müller,Mainz 05,33,Goalkeeper,900,0,0,1,0,0.0,48.3,0.0,0,6.54,Bundesliga,2010,1977,10,0,0,0.1,0.0,0.0,0,0.0,0.0,0.0
Tobias Sippel,Kaiserslautern,22,Goalkeeper,2250,0,0,1,0,0.0,51.8,0.0,0,6.54,Bundesliga,2010,1988,25,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Tim Wiese,Werder Bremen,29,Goalkeeper,2608,0,0,4,1,0.0,63.8,0.1,1,6.48,Bundesliga,2010,1981,29,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Thomas Kessler,St. Pauli,25,Goalkeeper,2319,0,0,0,1,0.0,46.3,0.0,1,6.48,Bundesliga,2010,1985,26,0,0,0.1,0.0,0.3,0,0.0,0.0,0.0
Florian Fromlowitz,Hannover 96,24,Goalkeeper,1749,0,0,2,0,0.0,48.2,0.0,1,6.43,Bundesliga,2010,1986,19,1,0,0.1,0.0,0.4,0,0.0,0.1,0.0
Christofer Heimeroth,Borussia M.Gladbach,29,Goalkeeper,1170,0,0,0,0,0.0,48.1,0.0,0,6.34,Bundesliga,2010,1981,13,0,0,0.0,0.0,0.4,0,0.0,0.0,0.0
Faryd Mondragón,FC Cologne,40,Goalkeeper,1080,0,0,2,0,0.0,47.6,0.0,1,6.32,Bundesliga,2010,1970,12,0,0,0.0,0.0,0.3,0,0.0,0.0,0.0
Logan Bailly,Borussia M.Gladbach,25,Goalkeeper,1350,0,0,0,0,0.0,60.0,0.0,0,6.13,Bundesliga,2010,1985,15,0,0,0.1,0.0,0.3,0,0.0,0.0,0.0
Emiliano Viviano,Sampdoria,30,Goalkeeper,3330,0,0,2,0,0.0,54.6,0.2,5,7.07,SerieA,2015,1985,37,0,0,0.0,0.0,0.2,0,0.0,0.0,0.0
